last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-02-2025 09:15,23563.2,333600,-75,-1275,32325,61350,N,15225,N,6,23547.1,23563.2,04-02-2025 09:15,56.3,3802575,-900,-225,39375,86475,N,127575,N,2.62,04-02-2025 09:15,155.2,1102725,-525,975,36750,140775,N,62250,N,-5.8,04-02-2025 09:15,49804.9,67440,-150,60,12300,-6360,N,31860,N,18.39
04-02-2025 09:20,23587.65,275625,0,225,41325,81975,Y,-71850,Y,7.09,23562.95,23587.2,04-02-2025 09:20,72.5,5130750,1575,450,46950,-2470050,YES,-33900,Y,6.11,04-02-2025 09:20,149.5,1253400,-1125,-225,41400,63225,N,90225,Y,-4.27,04-02-2025 09:20,49848,54600,660,0,14670,-5970,N,28170,N,-2.16
04-02-2025 09:25,23574.45,209625,0,-450,37200,22575,N,219375,YES,3.93,23586.45,23574.45,04-02-2025 09:25,75,3310875,-225,-300,39825,36975,Y,118500,YES,3.62,04-02-2025 09:25,156.8,1301025,-225,-1725,40125,29400,N,25725,N,0.32,04-02-2025 09:25,49818.4,40200,-30,-90,12210,2340,N,8280,N,-1.29
04-02-2025 09:30,23570.75,244650,-150,-825,31425,17025,N,11400,N,0.21,23574.45,23569.9,04-02-2025 09:30,83.2,3653775,975,-1500,45150,80025,Y,-99675,Y,2.86,04-02-2025 09:30,167.25,1685175,0,-1425,47025,-24600,Y,-44475,YES,4.18,04-02-2025 09:30,49947.8,69870,0,0,14700,4410,N,-20250,Y,8.13
04-02-2025 09:35,23619.25,348075,-75,-75,33075,37050,Y,-20100,Y,7.32,23571.45,23619.25,04-02-2025 09:35,112.3,5650050,1200,-150,41625,-2925,YES,-81975,N,8.04,04-02-2025 09:35,153.7,1580400,525,1500,50700,36600,YES,63375,Y,0.14,04-02-2025 09:35,50059,112380,90,-3570,16980,10680,N,-17760,N,43.94
04-02-2025 09:40,23632,213000,600,900,39225,45450,N,29025,YES,6.39,23619.05,23632,04-02-2025 09:40,123,4492725,-1425,-975,43875,-15075,YES,99975,YES,7.03,04-02-2025 09:40,149.2,1543425,375,-1050,45825,128475,YES,91275,Y,-0.82,04-02-2025 09:40,50123.5,132240,60,-30,16110,12180,N,7110,YES,56.52
04-02-2025 09:45,23631.25,168375,150,0,36900,6300,N,155400,YES,4.28,23633,23630,04-02-2025 09:45,117.35,3505650,75,75,46350,13575,Y,153000,YES,4,04-02-2025 09:45,150.45,2239050,75,-525,45075,47475,N,90825,N,-1.17,04-02-2025 09:45,50142.35,59370,-150,30,14100,5130,N,31470,YES,19.17
04-02-2025 09:50,23627.75,68025,-525,0,31950,75,YES,6000,N,1.38,23630.35,23627.75,04-02-2025 09:50,116.95,2589525,-1800,1275,45000,-99375,YES,30375,N,2.31,04-02-2025 09:50,150.85,1793700,225,0,43125,27900,N,7200,N,-0.44,04-02-2025 09:50,50160,50970,-60,180,13500,2430,YES,-480,Y,14.87
04-02-2025 09:55,23624,84675,900,75,35025,17250,N,12750,N,1.34,23627.95,23622,04-02-2025 09:55,115.25,1681950,450,-1350,44925,116475,Y,81675,YES,1.27,04-02-2025 09:55,151.6,1274400,-975,0,44625,50025,YES,57150,Y,-0.19,04-02-2025 09:55,50145,25560,-240,30,12630,-570,YES,54060,YES,5.77
04-02-2025 10:00,23613.1,100650,-75,225,36750,-2100,YES,111825,YES,1.34,23625.15,23617.6,04-02-2025 10:00,109.65,2852775,-600,-750,41475,-67950,YES,24075,N,1.61,04-02-2025 10:00,155.7,2292525,-1575,-150,40950,-62400,Y,-48600,YES,-0.16,04-02-2025 10:00,50098.05,38130,-180,0,13110,-2700,YES,12180,N,6
04-02-2025 10:05,23608,73575,-150,-825,33000,-11100,YES,6975,N,0.61,23617.35,23608,04-02-2025 10:05,107.05,1894800,1350,600,42075,68550,Y,61500,YES,0.79,04-02-2025 10:05,160.55,1699500,-225,-825,41850,8100,YES,7800,Y,0.43,04-02-2025 10:05,50097.25,14910,0,390,11640,38940,Y,-120,Y,2.29
04-02-2025 10:10,23587.25,77025,-75,225,29100,-25875,YES,-47925,Y,0.25,23608,23586,04-02-2025 10:10,103,3272025,375,600,43725,-105450,YES,23400,N,1.18,04-02-2025 10:10,177.45,2350425,-600,-525,42000,-18450,Y,-189825,YES,1.64,04-02-2025 10:10,50068,23220,60,-420,14010,-690,YES,-9780,Y,2.81
