last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-02-2025 10:15,23599.65,102150,-75,300,32925,25650,Y,-3150,YES,0.14,23586.65,23595,04-02-2025 10:15,108.25,2506875,-1200,-75,39300,123150,Y,60300,YES,0.67,04-02-2025 10:15,170.9,2060475,750,525,41775,-30150,Y,2925,Y,1.87,04-02-2025 10:15,50070.45,29010,-30,240,12360,8160,N,-2100,N,2.45
04-02-2025 10:20,23590,36975,0,675,31200,101100,Y,6300,N,0.13,23596.75,23592.45,04-02-2025 10:20,106.45,1472100,600,75,39075,-3000,YES,84900,YES,0.45,04-02-2025 10:20,177.15,850275,-300,0,40800,16050,YES,-6750,YES,0.5,04-02-2025 10:20,50074.8,12510,-120,-30,10710,6810,N,53940,YES,1.44
04-02-2025 10:25,23574.75,134925,0,900,31650,-25425,YES,-8625,Y,-0.8,23590.65,23574.75,04-02-2025 10:25,101.75,2107950,-75,75,38700,-92025,YES,36450,N,0.35,04-02-2025 10:25,193.7,1571250,150,-900,40650,-41025,Y,-102825,YES,1.81,04-02-2025 10:25,50053.9,15690,-30,30,10890,-26100,YES,2010,Y,1.02
04-02-2025 10:30,23559.6,120750,0,-225,35250,15750,Y,4200,N,-0.68,23574.15,23563.1,04-02-2025 10:30,100.5,1817325,900,1275,41475,60375,Y,44325,N,0.31,04-02-2025 10:30,205.35,1344300,-825,525,40200,-25650,N,-10950,Y,1.82,04-02-2025 10:30,49996.7,27780,30,0,11820,-2400,Y,510,Y,0.17
04-02-2025 10:35,23502.6,341175,225,0,42675,97650,Y,-14775,Y,-6.55,23553.8,23502,04-02-2025 10:35,88.25,3907950,0,-375,41175,-77775,YES,78450,YES,-0.07,04-02-2025 10:35,246.15,1905975,-75,-225,38250,-23025,N,-27675,YES,4.11,04-02-2025 10:35,49848,67620,240,240,14610,39810,Y,0,Y,-7
04-02-2025 10:40,23525.5,206475,-150,75,36300,21600,N,144600,YES,-4.21,23505.9,23528.95,04-02-2025 10:40,93.35,2659350,750,-300,39375,119475,Y,39675,N,-0.18,04-02-2025 10:40,229.5,1027425,975,225,37500,-64800,Y,8025,Y,2.51,04-02-2025 10:40,49905,41040,-240,30,15660,8940,N,41310,YES,-5.7
04-02-2025 10:45,23522.9,151575,150,-75,34650,6450,N,-150,Y,-2.02,23525.5,23521.6,04-02-2025 10:45,90.15,2268075,-1875,375,41550,-4275,YES,135375,YES,-0.11,04-02-2025 10:45,223.8,705375,-75,-75,39450,-450,YES,9600,N,1.2,04-02-2025 10:45,49879,27360,90,0,12540,5370,N,13770,N,-2.41
04-02-2025 10:50,23513.2,77325,-150,900,30600,3150,N,-121950,Y,-1.34,23522.9,23507,04-02-2025 10:50,86.75,1980750,3750,825,46650,13125,N,-26325,Y,-0.27,04-02-2025 10:50,239,642300,75,0,38625,-6900,Y,4200,N,1.29,04-02-2025 10:50,49819.05,27870,-30,-30,12420,21960,N,-930,Y,-4.37
04-02-2025 10:55,23532.25,43050,-225,150,30525,26550,Y,-14325,YES,-0.59,23515,23534,04-02-2025 10:55,87.6,1638525,450,-5775,44325,-18225,YES,59850,YES,-0.17,04-02-2025 10:55,215,472050,-300,-75,39975,-1350,N,10950,N,0.81,04-02-2025 10:55,49900,11490,-240,-90,9570,90,YES,30840,YES,-1.32
04-02-2025 11:00,23550,84375,450,225,34875,300,YES,-34575,Y,-0.66,23532.25,23547.9,04-02-2025 11:00,89.45,2835825,-1275,1725,43800,48975,Y,41025,N,-0.23,04-02-2025 11:00,199.25,712275,0,0,38400,-8250,Y,27450,N,0.76,04-02-2025 11:00,49957.45,21330,60,-30,10680,-35070,YES,4410,N,-1.02
04-02-2025 11:05,23567,89250,23475,-150,35250,99975,Y,-13425,YES,-0.27,23551.9,23566,04-02-2025 11:05,92.55,2160225,1650,225,47625,19425,N,32025,N,-0.08,04-02-2025 11:05,190.45,539625,75,-450,44700,20700,YES,14175,N,0.3,04-02-2025 11:05,49963.7,25260,-120,-60,11940,-10350,Y,-6360,Y,-0.23
04-02-2025 11:10,23577,70500,-22725,-525,31500,150,YES,-116475,Y,-0.13,23566,23575,04-02-2025 11:10,95.9,2007975,1125,-1500,42750,10425,N,-106050,Y,-0.06,04-02-2025 11:10,180,719175,-825,-225,37650,-17925,Y,8850,N,0.35,04-02-2025 11:10,50007.3,13290,60,-120,10050,-600,N,-2550,N,-0.15
04-02-2025 11:15,23585,68025,750,-525,29325,-2100,YES,22950,YES,0.13,23578,23582.05,04-02-2025 11:15,94.75,2492250,-675,2025,39075,-10725,YES,77775,YES,0.03,04-02-2025 11:15,172.2,792750,-225,-450,40125,36225,YES,34650,Y,0.06,04-02-2025 11:15,50005,13770,60,-210,10560,-22530,YES,41550,YES,0.34
04-02-2025 11:20,23613.35,249750,-75,-525,44100,7650,N,-41100,Y,1.73,23585,23611,04-02-2025 11:20,102.45,3613500,1050,525,42525,42525,Y,-133950,Y,0.22,04-02-2025 11:20,156.75,1409175,-300,-75,39525,1800,Y,49650,N,-0.61,04-02-2025 11:20,50040,16410,-120,-90,9660,-3780,N,7800,N,0.9
04-02-2025 11:25,23594,91350,225,300,38025,3525,N,23175,YES,0.53,23613.35,23594,04-02-2025 11:25,99.3,2067600,2850,-15525,39675,-79875,YES,-20100,YES,0.17,04-02-2025 11:25,164.85,836100,150,0,38325,56700,YES,10575,N,-0.26,04-02-2025 11:25,50011,6990,0,0,10620,-780,N,6090,N,0.21
04-02-2025 11:30,23605,81675,-75,-525,32775,30450,Y,600,Y,0.56,23594,23604.9,04-02-2025 11:30,100.65,1734300,-450,675,45750,-21900,Y,-69450,Y,0.16,04-02-2025 11:30,159.05,694875,225,0,38325,9525,N,31800,Y,-0.26,04-02-2025 11:30,50000,7320,0,0,8670,-1170,YES,48090,YES,0.21
04-02-2025 11:35,23618.25,82050,0,150,28350,-9000,YES,57300,YES,0.63,23605.05,23617.45,04-02-2025 11:35,104.15,1597050,675,-150,44400,71175,Y,-11550,YES,0.15,04-02-2025 11:35,150.35,927525,-450,525,39300,-10725,Y,92925,Y,-0.44,04-02-2025 11:35,50015,8970,90,-240,12480,1680,N,-210,Y,0.05
04-02-2025 11:40,23596.2,102750,0,-375,35775,-2775,N,10575,N,0.8,23618.25,23598.25,04-02-2025 11:40,96.9,2203425,1050,-1650,38325,-105750,YES,67725,YES,0.1,04-02-2025 11:40,159.5,1173825,600,-600,39750,76950,YES,41850,N,-0.53,04-02-2025 11:40,49954.65,7560,-90,-30,9120,480,YES,-1260,Y,-0.13
04-02-2025 11:45,23640,70500,-75,7575,29025,13500,N,-61275,Y,0.62,23596.2,23640,04-02-2025 11:45,127.4,2722950,975,1125,46650,48675,Y,-666150,Y,0.43,04-02-2025 11:45,142.85,1041075,225,-3675,39450,-103875,Y,600,YES,-0.44,04-02-2025 11:45,50054.4,11400,60,0,11340,1650,N,-58140,Y,0.08
04-02-2025 11:50,23622.4,280425,-1500,0,39225,4575,N,-88950,Y,3.91,23647.95,23623.55,04-02-2025 11:50,117.7,6858825,0,75,38550,-7050,YES,168825,YES,2.11,04-02-2025 11:50,153.4,4191150,525,-225,39900,107850,YES,-21750,YES,-2.51,04-02-2025 11:50,50001.4,19050,0,210,14850,-25590,YES,38970,YES,0.96
04-02-2025 11:55,23606.1,83925,-900,150,33675,-3825,YES,27375,YES,0.56,23623,23607,04-02-2025 11:55,103.65,2548575,375,0,41925,-25650,YES,92700,N,0.31,04-02-2025 11:55,157.7,1490025,825,75,40650,41325,N,26775,Y,-0.33,04-02-2025 11:55,49982.75,4230,-90,30,9090,-4320,Y,-2790,Y,0.03
04-02-2025 12:00,23613.9,80325,-825,-300,30075,9450,N,-66375,Y,0.26,23606.1,23613.8,04-02-2025 12:00,104.7,2291775,-975,1800,44550,29475,Y,42975,N,0.04,04-02-2025 12:00,155.7,1442775,-300,1350,40050,-70425,Y,-225,YES,-0.2,04-02-2025 12:00,49988.1,7260,60,30,8220,45270,Y,-11820,Y,-0.17
04-02-2025 12:05,23606.05,32775,150,-450,28725,147825,Y,-18825,YES,0.16,23613.9,23606,04-02-2025 12:05,103,2432625,300,-1050,41475,78525,Y,103425,YES,0.13,04-02-2025 12:05,156,986175,225,-375,41100,31500,YES,21750,Y,-0.2,04-02-2025 12:05,49988,5130,60,-210,8520,18630,N,1770,N,-0.05
04-02-2025 12:10,23628.55,28950,0,-75,27000,2700,YES,-375,N,0.2,23606.05,23626.4,04-02-2025 12:10,114.4,2456475,-1350,-375,38625,30150,N,-110250,Y,0.29,04-02-2025 12:10,149.7,1164300,-75,1125,37650,34350,N,32475,N,-0.41,04-02-2025 12:10,50023.1,6840,0,0,9840,-5790,YES,5220,N,0.16
04-02-2025 12:15,23643.45,71850,600,75,23850,1425,YES,-7275,Y,0.74,23628.55,23643.45,04-02-2025 12:15,126.45,3072600,150,75,38550,49050,N,-179325,Y,0.64,04-02-2025 12:15,145.9,1355250,450,-825,33375,-13500,Y,48750,N,-0.58,04-02-2025 12:15,50035.7,10920,0,30,7830,-60,N,6660,N,0.49
04-02-2025 12:20,0,0,0,0,0,0,YES,0,N,0,0,0,04-02-2025 12:20,0,0,0,0,0,0,YES,0,YES,0,04-02-2025 12:20,0,0,0,0,0,0,N,0,YES,0,04-02-2025 12:20,0,0,0,0,0,0,N,0,Y,0
04-02-2025 12:25,0,0,0,0,0,0,N,0,N,0,0,0,04-02-2025 12:25,0,0,0,0,0,0,N,0,N,0,04-02-2025 12:25,0,0,0,0,0,0,N,0,N,0,04-02-2025 12:25,0,0,0,0,0,0,N,0,N,0
04-02-2025 12:30,23653,775500,75,750,10275,-7800,YES,-44475,Y,2.21,0,0,04-02-2025 12:30,132,775500,-1200,1275,16650,-43950,YES,47775,YES,0.2,04-02-2025 12:30,139.6,567000,-1350,675,15300,44325,YES,31575,Y,-0.25,04-02-2025 12:30,50135.3,8190,0,720,4290,-31290,YES,-330,Y,0.84
04-02-2025 12:35,23646.75,84150,-675,75,30975,97800,Y,75,N,1.04,23649.25,23649.5,04-02-2025 12:35,128.7,2993925,525,150,39825,-90150,YES,-61125,Y,0.85,04-02-2025 12:35,145,1472025,-3975,-525,43350,84075,YES,5475,N,-0.63,04-02-2025 12:35,50132.15,19920,60,-600,11760,0,Y,52620,YES,2.3
04-02-2025 12:40,23651.25,89100,-225,-225,37800,-8175,YES,-83025,Y,0.96,23650,23653,04-02-2025 12:40,132.55,2340225,-450,0,40500,69300,Y,60000,YES,0.57,04-02-2025 12:40,140.4,1531800,-225,300,41925,20700,N,96225,Y,-0.58,04-02-2025 12:40,50147.1,13380,150,30,11700,5580,N,28020,N,1.42
04-02-2025 12:45,23659.15,43875,0,0,63900,5400,N,-18900,YES,0.52,23651.3,23662.5,04-02-2025 12:45,137,2024175,150,-750,38175,31125,N,2700,Y,0.52,04-02-2025 12:45,139.35,1200150,-900,-225,40050,27000,N,38850,N,-0.5,04-02-2025 12:45,50132,13110,-180,-30,9120,450,YES,-450,Y,1.27
04-02-2025 12:50,23670.35,237525,0,-375,84375,-7125,YES,-56925,Y,3.27,23663,23670.35,04-02-2025 12:50,137.1,3294075,150,-225,38175,19425,N,-99300,Y,0.94,04-02-2025 12:50,134.6,2649750,-75,825,42375,-117600,Y,87675,Y,-1.21,04-02-2025 12:50,50195,36510,60,720,11460,-1380,YES,-39480,Y,4.68
04-02-2025 12:55,23678,78000,750,0,74850,46275,Y,206625,YES,1.05,23670.4,23678,04-02-2025 12:55,138.35,1967250,-75,75,36300,-14625,YES,51150,YES,0.51,04-02-2025 12:55,127,1837350,-150,-225,38100,-7425,YES,93375,N,-0.88,04-02-2025 12:55,50220,50190,30,-420,12000,7650,N,-40710,Y,6.99
04-02-2025 13:00,23657.7,81525,-600,-75,70800,8625,N,21075,N,1.05,23676.5,23656.65,04-02-2025 13:00,125.8,2570850,300,-600,39450,-144375,YES,98550,YES,0.55,04-02-2025 13:00,137.8,2371425,1275,150,39075,94125,YES,-48300,YES,-1.04,04-02-2025 13:00,50153,39600,-90,-90,13350,-2640,YES,-37410,N,5.32
04-02-2025 13:05,23676.5,88275,225,0,83475,96225,Y,-10050,Y,0.91,23656.05,23676.5,04-02-2025 13:05,136.85,3216900,-300,0,40800,106725,Y,-76425,Y,0.5,04-02-2025 13:05,127.6,3053625,-525,-300,42450,-89100,Y,47625,Y,-1.09,04-02-2025 13:05,50188.3,21300,120,60,11880,3090,N,-3270,YES,1.7
04-02-2025 13:10,23694,137175,2025,-600,82575,19125,N,-10650,Y,2.04,23680.1,23690,04-02-2025 13:10,146.9,3966525,600,-675,39900,64350,N,-5100,YES,1.09,04-02-2025 13:10,122.95,2732250,375,-225,39600,32700,YES,108525,Y,-1.32,04-02-2025 13:10,50223.3,16230,60,-30,9960,-60,YES,-930,N,2
04-02-2025 13:15,23684.95,122025,150,0,71025,-6975,YES,5775,N,1.77,23694,23684.95,04-02-2025 13:15,140.6,2521125,450,300,42900,-85950,YES,-78375,Y,0.67,04-02-2025 13:15,122.45,2295375,600,-150,48075,-40425,Y,79050,N,-1.11,04-02-2025 13:15,50176.1,14670,300,-660,10380,1470,N,-9120,Y,1.61
04-02-2025 13:20,23697,128775,-375,975,81900,8100,N,-26700,Y,2.03,23688.95,23700,04-02-2025 13:20,144.3,2848125,600,-975,39000,44325,Y,-67725,N,0.82,04-02-2025 13:20,118.1,2454075,-975,375,42000,6150,YES,69975,N,-1.28,04-02-2025 13:20,50188.45,16320,120,0,9900,-10920,YES,2070,N,2.03
04-02-2025 13:25,23703,64050,-600,-825,90300,1350,YES,3150,YES,0.97,23697,23703,04-02-2025 13:25,148,1031700,-150,-375,40950,9150,N,-12000,YES,0.27,04-02-2025 13:25,118.85,1245375,375,525,40575,23550,N,40950,N,-0.6,04-02-2025 13:25,50163.6,11340,0,-30,10920,1860,N,3750,N,1.08
04-02-2025 13:30,23736,143400,-75,-75,81750,-2775,YES,-92250,Y,2.3,23703,23733.5,04-02-2025 13:30,172.5,1818375,-300,75,41100,-16200,YES,-239100,Y,0.55,04-02-2025 13:30,106.6,1854450,1050,-675,42075,-207225,Y,73200,Y,-0.88,04-02-2025 13:30,50246.4,21900,0,-270,9690,4380,N,-2010,Y,2.31
04-02-2025 13:35,23732,188550,150,150,85050,-75525,YES,51450,YES,3.59,23737,23732,04-02-2025 13:35,170.15,2708025,-150,-225,38850,-31500,YES,99900,YES,1.13,04-02-2025 13:35,108.15,3263250,75,-225,45375,197775,YES,9225,N,-1.86,04-02-2025 13:35,50209.75,33000,30,-60,11460,-3090,YES,23670,YES,4.31
04-02-2025 13:40,23715,111750,-300,-150,70575,-10725,Y,23700,N,1.79,23732,23715,04-02-2025 13:40,152.85,1740000,-900,1500,40950,-58050,YES,54225,N,0.57,04-02-2025 13:40,113.05,2370000,225,-225,41625,-13650,Y,67050,Y,-1.08,04-02-2025 13:40,50148.05,40530,-90,120,12390,-6150,YES,3510,N,3.41
04-02-2025 13:45,23747.8,119700,225,1725,68625,19950,Y,-26025,Y,2.05,23716.7,23747.8,04-02-2025 13:45,172,1559625,150,675,38250,42375,Y,-34050,Y,0.53,04-02-2025 13:45,103.05,1879950,600,0,39975,-96450,Y,73575,N,-0.95,04-02-2025 13:45,50239.65,32130,-90,-120,10590,10230,N,-13680,Y,2.94
04-02-2025 13:50,23744,212775,675,-75,86625,10725,N,-16575,N,3.99,23747.8,23744,04-02-2025 13:50,170,1603800,-225,-150,41250,-29175,YES,-3975,YES,0.65,04-02-2025 13:50,102.9,2382600,675,-75,52050,-9825,YES,14175,N,-1.26,04-02-2025 13:50,50220.75,30450,120,-30,10980,-1680,YES,-5190,N,3.62
04-02-2025 13:55,23741.85,147750,0,75,67275,-23925,YES,-750,N,2.55,23744.4,23741.85,04-02-2025 13:55,160.15,1111650,150,-600,38025,-21375,N,15450,N,0.4,04-02-2025 13:55,102.4,1976250,750,300,40350,-11550,Y,60075,Y,-1.02,04-02-2025 13:55,50205,15660,-30,-30,9810,26670,Y,2250,N,1.47
04-02-2025 14:00,23723,125175,-75,0,67350,7725,Y,2175,N,1.93,23741.85,23723,04-02-2025 14:00,149.4,1136025,-450,300,37725,-60150,YES,40725,YES,0.33,04-02-2025 14:00,103.25,1854900,-900,-1125,44850,12900,YES,38325,N,-0.93,04-02-2025 14:00,50200,12360,-30,-30,11190,-22710,YES,-570,Y,1.19
04-02-2025 14:05,23741.1,103650,75,600,73200,-825,YES,11925,N,1.54,23722.5,23741.75,04-02-2025 14:05,152.05,1597125,-1050,600,41625,31950,Y,17850,N,0.42,04-02-2025 14:05,90.75,3141450,450,4200,48600,-75375,Y,-50775,YES,-1.69,04-02-2025 14:05,50227.45,14460,-150,270,10170,-49170,YES,5070,N,1.5
04-02-2025 14:10,23689.95,293775,75,0,74625,-22950,YES,17025,N,3,23739.9,23700.4,04-02-2025 14:10,116.8,3270225,0,-75,41175,23400,N,19350,N,0.31,04-02-2025 14:10,109.9,5451750,0,1350,45225,71025,YES,-210375,YES,-2.16,04-02-2025 14:10,50110,48780,-30,30,11550,-2610,Y,3390,N,2.6
04-02-2025 14:15,23690,134850,0,-675,88050,38325,Y,24675,N,1.15,23683,23692.95,04-02-2025 14:15,116,2679900,675,300,43200,111450,Y,118650,YES,0.13,04-02-2025 14:15,108.45,2909550,450,0,44850,58050,N,105000,Y,-0.99,04-02-2025 14:15,50095,20910,0,120,10620,5910,N,10260,N,0.66
04-02-2025 14:20,23686.1,144600,75,-150,82275,15000,N,14625,N,1.07,23690,23689,04-02-2025 14:20,110,2729100,375,-300,49050,-111075,YES,43425,N,-0.01,04-02-2025 14:20,108.6,3506025,75,75,42150,71850,N,50850,N,-1.11,04-02-2025 14:20,50100,40710,-30,30,12360,-780,YES,-4650,Y,0.35
04-02-2025 14:25,23687.95,60900,0,-225,84150,33450,N,11625,N,0.45,23686.1,23687.95,04-02-2025 14:25,111.75,2214300,300,1050,43725,191025,Y,24375,N,-0.02,04-02-2025 14:25,109.4,2515575,825,0,38475,-55500,Y,37425,N,-0.77,04-02-2025 14:25,50062.3,21150,-210,0,10260,16290,N,1740,N,0.35
04-02-2025 14:30,23721,120600,6900,0,67425,32925,N,-24975,Y,1.23,23686,23721,04-02-2025 14:30,128.1,3431175,-825,-750,43500,-156225,YES,-48375,Y,0.26,04-02-2025 14:30,92.1,3199875,0,-300,39900,-66000,Y,47700,N,-1.24,04-02-2025 14:30,50131.75,24960,0,0,10680,7260,N,-1230,Y,0.78
04-02-2025 14:35,23759,176850,-8100,150,66150,-25575,YES,-76200,Y,2.46,23721,23757.1,04-02-2025 14:35,153.25,3086550,-450,300,42300,42675,Y,-112950,Y,0.52,04-02-2025 14:35,69.75,4300950,825,-300,44925,-146400,Y,12225,N,-2.27,04-02-2025 14:35,50268,42600,0,0,12420,2400,YES,-14970,Y,3.53
04-02-2025 14:40,23755,151575,-375,75,62100,18750,Y,-39150,YES,2.24,23758.55,23755,04-02-2025 14:40,149.45,2629800,750,-75,40050,-66300,YES,21975,YES,0.58,04-02-2025 14:40,68.6,2609850,-1200,-375,47475,53700,YES,55200,Y,-1.5,04-02-2025 14:40,50288,50370,30,-30,16860,2190,YES,9870,YES,6.02
04-02-2025 14:45,23763.5,84300,-150,75,66750,75375,Y,-17025,YES,1.16,23755,23763.55,04-02-2025 14:45,151.45,1990875,-300,-225,41700,-26175,Y,1200,Y,0.38,04-02-2025 14:45,63.55,2577750,0,-300,51000,35925,N,29850,N,-1.4,04-02-2025 14:45,50300,35910,30,-510,13980,18720,N,6780,N,4.16
04-02-2025 14:50,23768.3,182925,-375,-225,83100,-41850,YES,-11250,N,2.71,23763.5,23770.05,04-02-2025 14:50,151.65,1465125,600,150,40200,-32700,YES,-13500,Y,0.31,04-02-2025 14:50,59.7,2127150,0,375,47400,-80400,Y,28650,N,-1.24,04-02-2025 14:50,50304.5,50850,-60,-30,11820,-3780,YES,1410,Y,5.55
04-02-2025 14:55,23789.85,166050,225,300,86850,22575,Y,21675,YES,2.51,23769.8,23789.85,04-02-2025 14:55,164.4,1441875,-825,75,42825,15375,Y,-138525,Y,0.33,04-02-2025 14:55,54.95,1954800,75,-2175,49575,-1950,YES,10050,N,-1.14,04-02-2025 14:55,50315.6,48150,-150,0,12510,-51390,YES,-19020,Y,5.44
04-02-2025 15:00,23794.9,183375,225,-75,79950,27450,N,8700,N,2.83,23787.95,23790.35,04-02-2025 15:00,162.65,1420425,225,-75,37275,-5700,YES,27150,YES,0.34,04-02-2025 15:00,50.5,2086050,3150,-975,48600,2550,N,61875,Y,-1.22,04-02-2025 15:00,50331.3,53700,90,-120,13890,9840,Y,9600,YES,5.86
04-02-2025 15:05,23790.5,129525,-300,2625,81900,8775,N,-3975,Y,1.97,23791.2,23790.5,04-02-2025 15:05,159.4,1485900,825,0,46500,-42450,YES,50100,YES,0.32,04-02-2025 15:05,50.95,2303775,2175,375,50475,25200,YES,10800,N,-1.35,04-02-2025 15:05,50336.15,40830,-150,30,16440,-3690,YES,3720,N,4.38
04-02-2025 15:10,23793.55,126450,225,-3225,79800,-23775,YES,-18825,Y,1.84,23790.55,23793.55,04-02-2025 15:10,160.75,1003725,75,-150,40875,-35850,N,-57450,Y,0.21,04-02-2025 15:10,48.8,2156475,675,600,51975,-27825,Y,25875,N,-1.25,04-02-2025 15:10,50360.95,34620,180,0,14130,-1470,N,-17130,Y,3.72
04-02-2025 15:15,23782.8,148200,-225,150,75750,-675,Y,-2400,N,2.04,23792.75,23782.8,04-02-2025 15:15,151.8,1191000,0,0,39675,-72450,YES,1950,YES,0.22,04-02-2025 15:15,54.05,2227950,525,150,60675,49050,YES,-282975,YES,-1.21,04-02-2025 15:15,50292.6,58230,-30,-60,14550,1860,N,10050,YES,5.4
04-02-2025 15:20,23782.75,136575,675,-1650,79425,-5250,YES,-10275,Y,1.84,23780.4,23782.75,04-02-2025 15:20,150.15,762900,150,-225,49350,-45075,Y,-51000,Y,0.14,04-02-2025 15:20,53.6,2082675,-375,825,97725,-4650,Y,-77700,Y,-1.09,04-02-2025 15:20,50299.05,36210,0,0,13650,-4950,YES,-3420,Y,3.15
