last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
11-05-2024 11:00,-13.1,30950,-925,575,-13.2,-13.9,11775,-44075,YES,1525,N,0.09,05-11-2024 11:00,-3.4,595600,125,-675,-3.85,-3.9,24475,9575,N,28400,N,-0.05,05-11-2024 11:00,6.9,66000,-25,-975,8.2,8.3,19050,2225,Y,-3475,YES,-0.17
11-05-2024 11:05,2.55,20925,-700,125,1.45,-0.75,10500,-1500,Y,4100,N,-0.1,05-11-2024 11:05,-0.7,457000,-50,-550,-0.3,-0.3,31100,4375,N,33475,N,-0.11,05-11-2024 11:05,-1.35,51600,150,-100,-1.05,-1.05,18875,1275,Y,-3250,N,-0.02
11-05-2024 11:10,4.8,14200,325,175,6,6.8,9475,-27775,YES,6825,N,-0.04,05-11-2024 11:10,0.35,347500,125,325,1.2,1.2,24525,-9725,YES,-225,Y,-0.07,05-11-2024 11:10,-2.2,35100,350,-350,-3.2,-3.4,18350,5900,N,-3775,YES,-0.03
11-05-2024 11:15,-11.95,24725,-475,-275,-9.95,-6,12275,-3650,Y,-47725,Y,-0.12,05-11-2024 11:15,-0.9,536700,0,875,-1.45,-1.4,26875,6375,N,-4350,Y,-0.14,05-11-2024 11:15,5.35,79125,-50,-25,4.4,4.55,21475,525,Y,-3050,N,0.02
11-05-2024 11:20,-28.55,44975,0,-25,-27.55,-27.15,10850,-1425,N,5425,YES,-0.64,05-11-2024 11:20,-6.15,513050,400,300,-6.8,-6.8,24975,-75900,YES,15000,N,-0.21,05-11-2024 11:20,21.35,78050,0,-25,24.8,24.9,17950,-1500,Y,-17425,YES,0.24
11-05-2024 11:25,-21.3,65525,0,-1600,-20.95,-19.35,12400,-2250,YES,2250,Y,-1.46,05-11-2024 11:25,-4.4,672525,-400,25,-4.1,-4.05,28550,14225,Y,43000,YES,-0.39,05-11-2024 11:25,18.95,93850,25,-25,19.35,19.4,19725,-14050,Y,-2000,N,0.66
11-05-2024 11:30,11.65,67700,100,-75,5.9,4.25,11300,-3325,YES,-4175,Y,-1.65,05-11-2024 11:30,3.25,627050,1950,900,1.6,1.65,27050,44725,Y,38700,N,-0.33,05-11-2024 11:30,-7.85,106025,75,150,-5.8,-5.5,18025,425,N,2350,N,0.87
11-05-2024 11:35,-35,88900,50,-25,-35.9,-37.5,14300,12500,N,20000,YES,-2.77,05-11-2024 11:35,-5.8,661225,-1000,-475,-6.1,-6.15,27400,-86375,YES,19500,N,-0.43,05-11-2024 11:35,27.45,131225,125,-150,29.9,30.1,20050,8575,N,-11100,YES,1.41
11-05-2024 11:40,-33.45,186200,525,0,-33.5,-32.15,13775,7050,N,-3150,Y,-7.44,05-11-2024 11:40,-8.25,1241375,-125,-100,-8.15,-8.2,28125,-40500,Y,36875,N,-0.96,05-11-2024 11:40,31.55,194075,-25,375,31.7,32.05,20500,125,Y,-6350,N,2.91
11-05-2024 11:45,2.4,154925,-300,-750,3.9,3.1,18825,-36775,YES,2150,N,-6.31,05-11-2024 11:45,0.3,965650,475,-975,0.55,0.5,32775,43850,Y,-68575,Y,-0.87,05-11-2024 11:45,-7.15,116175,300,0,-6.85,-6.85,21775,-3525,Y,-50,N,1.98
11-05-2024 11:50,-0.45,81475,-475,2650,-5.4,-0.8,15700,-1975,Y,6900,N,-3.17,05-11-2024 11:50,-2.05,648000,275,50,-2,-2,32775,24900,N,11325,YES,-0.58,05-11-2024 11:50,1.55,90075,0,-25,1,0.35,24325,9150,N,16075,N,1.52
11-05-2024 11:55,-6,89650,-250,-1700,-1.05,-2.6,15400,5575,N,3225,N,-3.07,05-11-2024 11:55,-1.5,700175,75,-1300,-1.6,-1.65,33900,-18825,YES,23825,N,-0.62,05-11-2024 11:55,1.95,85500,-150,0,2.3,2.25,17725,-5425,Y,800,YES,1.3
11-05-2024 12:00,26.25,49850,-50,0,26.9,28.1,13650,29225,Y,-5525,Y,-1.65,05-11-2024 12:00,3.3,541850,500,-1125,3.65,3.6,30500,12475,Y,-16575,Y,-0.47,05-11-2024 12:00,-18.5,55975,350,300,-21,-20.85,25975,5100,N,-2800,YES,0.8
11-05-2024 12:05,0.1,46775,0,0,3,4.9,13000,-4125,YES,-8025,Y,-1.13,05-11-2024 12:05,0.95,471850,-375,250,1,0.95,24950,-21150,YES,39525,YES,-0.34,05-11-2024 12:05,-4.55,53325,100,-150,-3.85,-3.75,21550,-850,Y,2600,N,0.58
11-05-2024 12:10,-16.95,41925,-75,50,-16.25,-17.2,11700,-5800,YES,7550,N,-1.15,05-11-2024 12:10,-2.25,476975,-175,50,-2.35,-2.35,26225,22375,Y,4925,N,-0.36,05-11-2024 12:10,9.8,67650,150,100,10,10.1,19400,0,N,2375,YES,0.84
11-05-2024 12:15,23.15,38075,-50,-75,22.5,17.6,14175,14200,N,-10550,Y,-0.95,05-11-2024 12:15,3.9,629075,-25,-450,3.95,3.9,25375,44550,Y,-55650,Y,-0.43,05-11-2024 12:15,-15.45,61675,100,-225,-16.6,-16.55,17025,1450,N,4200,N,0.68
11-05-2024 12:20,-36.65,35775,325,150,-36.1,-33,13225,-275,YES,8125,N,-1,05-11-2024 12:20,-6.15,580800,-175,200,-6.15,-6.2,30500,-21800,YES,55950,YES,-0.41,05-11-2024 12:20,33.8,51425,250,0,33.75,34.1,20650,9900,N,-5800,YES,0.63
11-05-2024 12:25,28,34400,0,525,28,24.05,15000,250,N,3425,N,-1.01,05-11-2024 12:25,4.85,388550,-425,1350,5.1,5.15,27100,16025,Y,-28225,Y,-0.28,05-11-2024 12:25,-21.7,59200,-225,25,-22.35,-22.45,19550,-5975,Y,4025,N,0.81
11-05-2024 12:30,17.3,34025,0,225,14.45,17.1,14050,3850,N,-6225,Y,-0.68,05-11-2024 12:30,2.5,480200,150,50,2.4,2.5,22825,-675,YES,-45925,Y,-0.26,05-11-2024 12:30,-12.6,62475,-125,0,-13.8,-13.8,21675,2000,N,1750,YES,0.54
11-05-2024 12:35,11.95,48850,325,25,11.95,14,20150,7175,N,-21725,Y,-0.66,05-11-2024 12:35,1.1,482450,-450,-500,1.05,1.05,28200,5800,N,22200,YES,-0.23,05-11-2024 12:35,-8.05,69175,75,-400,-8.35,-7.85,24650,4950,N,6175,N,0.46
11-05-2024 12:40,-2,27150,0,250,-0.2,0,16075,7425,N,16850,YES,-0.34,05-11-2024 12:40,0.6,394400,-125,-50,0.65,0.65,27850,7625,N,11525,N,-0.18,05-11-2024 12:40,-2.35,36900,700,100,-2.6,-2.45,19125,450,Y,7900,N,0.22
11-05-2024 12:45,19,69375,-900,-25,20,20,20725,-6275,YES,-16325,Y,-0.48,05-11-2024 12:45,3.2,687500,-175,175,2.75,2.7,23175,25850,N,-14825,Y,-0.22,05-11-2024 12:45,-10.95,69275,150,-25,-9.6,-9.6,25525,-8475,Y,2375,YES,0.27
11-05-2024 12:50,-0.85,86200,-200,-175,0.05,-0.3,15000,6325,N,4675,YES,-0.39,05-11-2024 12:50,-0.15,922050,-275,-1075,0.1,0.05,19375,-38700,YES,-15350,Y,-0.24,05-11-2024 12:50,-0.35,71500,100,75,-0.3,-0.4,17675,4625,N,-4950,YES,0.15
11-05-2024 12:55,-10.05,24025,-50,100,-10,-10.45,14425,43825,Y,3800,N,-0.17,05-11-2024 12:55,-3.6,512675,525,-325,-3.35,-3.4,26925,-8625,Y,54450,YES,-0.18,05-11-2024 12:55,5.45,47950,-225,-25,5.9,5.6,20950,-1100,Y,11650,N,0.19
11-05-2024 13:00,18.35,41475,25,-100,19.3,23.7,14425,2325,YES,-4675,Y,-0.23,05-11-2024 13:00,4.4,367300,-50,125,4.35,4.3,23550,3300,N,-19100,Y,-0.12,05-11-2024 13:00,-14.65,43450,150,75,-14.95,-14.9,19175,-3200,Y,2950,YES,0.14
11-05-2024 13:05,-27.75,49250,-50,-250,-27.45,-32.3,13450,-5625,YES,2100,N,-0.54,05-11-2024 13:05,-7.8,517000,-375,-1375,-7.5,-7.55,23200,-18600,YES,9750,YES,-0.22,05-11-2024 13:05,27.6,75025,-225,-75,26.6,26.65,21300,4600,N,-11875,YES,0.41
11-05-2024 13:10,12.85,39950,-25,0,12.25,16.7,15250,8175,N,75,Y,-0.43,05-11-2024 13:10,3.6,382425,325,100,3.2,3.2,27125,32900,Y,-29175,Y,-0.16,05-11-2024 13:10,-19.8,58025,-75,-125,-17.7,-18.45,19850,-5300,Y,2750,N,0.29
11-05-2024 13:15,-17.7,21975,25,-25,-17.85,-19.25,10425,-15275,YES,2625,N,-0.22,05-11-2024 13:15,-4.3,323175,1300,250,-4.15,-4.1,23375,-5100,YES,23600,YES,-0.14,05-11-2024 13:15,17.55,38175,0,-75,18.25,18.3,18600,6500,N,-1975,YES,0.17
11-05-2024 13:20,64.2,68900,-25,550,63.45,63.3,11850,-17350,YES,-59300,Y,-0.06,05-11-2024 13:20,16.55,793275,-200,-75,16.25,16.3,25550,-5800,YES,-132850,Y,-0.19,05-11-2024 13:20,-49.85,90725,-150,350,-49.85,-49.7,18900,-9125,Y,-5800,YES,0.17
11-05-2024 13:25,76,223050,75,-1175,66.15,65,17900,2000,N,-80225,Y,3.16,05-11-2024 13:25,25.5,3017850,150,275,19.95,19.9,29400,97025,Y,-108050,YES,0.81,05-11-2024 13:25,-52.45,281750,-700,-375,-44.85,-45.45,28750,6250,N,10575,N,-1.6
11-05-2024 13:30,-5.8,277800,25,0,2.15,1.2,19725,27750,Y,5875,YES,7.79,05-11-2024 13:30,3.85,3200725,0,25,5.1,5.2,25725,31950,N,-625,YES,2.42,05-11-2024 13:30,-0.15,448425,-75,250,-0.4,-0.25,27800,24100,N,18025,N,-5.12
11-05-2024 13:35,-18.8,125650,775,0,-23.4,-24.6,18250,12150,N,7100,N,2.56,05-11-2024 13:35,-12.2,1545425,50,25,-12.55,-12.55,27200,-85725,YES,27375,YES,0.74,05-11-2024 13:35,11.8,223300,175,-250,11.45,11.6,24375,16750,N,3900,N,-1.96
11-05-2024 13:40,19,46450,-375,400,19.45,16.45,16275,4450,N,5075,N,0.84,05-11-2024 13:40,6.35,917925,250,325,6.8,7,24550,31550,Y,19700,N,0.33,05-11-2024 13:40,-10.35,130175,-150,-150,-8.9,-9.05,24325,1100,Y,-500,YES,-0.99
11-05-2024 13:45,14.95,74325,0,-650,9.8,11.2,16950,20900,N,-350,Y,1.66,05-11-2024 13:45,5.2,1431075,150,-50,3.9,3.9,26775,-70700,YES,23325,N,0.76,05-11-2024 13:45,-1.5,186900,100,0,-0.15,-0.2,24500,7900,N,3100,N,-1.54
11-05-2024 13:50,2.2,180050,25,-75,3.05,4.1,22550,5475,N,-12775,Y,4.4,05-11-2024 13:50,2.2,1669450,-1325,-150,2.2,2.15,23275,14025,Y,-2050,Y,1.08,05-11-2024 13:50,-6.35,317775,-175,250,-5.95,-6.3,26250,50,Y,-6375,YES,-2.95
11-05-2024 13:55,33,91000,0,450,33.1,28.45,11825,11225,N,-10000,N,2.31,05-11-2024 13:55,9.95,1544075,725,500,9.4,9.5,31275,69725,Y,18775,YES,1.03,05-11-2024 13:55,-23.65,308550,-525,25,-22.95,-22.9,23075,-1075,Y,14125,Y,-3.02
11-05-2024 14:00,42.7,159900,0,-575,42.7,42,17500,-7525,YES,-21450,Y,4.78,05-11-2024 14:00,18.75,2139450,-575,-225,20,20.05,30775,42025,N,-174325,Y,1.66,05-11-2024 14:00,-25.65,370725,100,-275,-26.55,-26.7,22475,-16700,Y,23025,N,-4.1
11-05-2024 14:05,-18.15,173875,-50,1675,-11.55,-14,25975,32150,Y,40925,YES,5.68,05-11-2024 14:05,-7.4,2554575,25,-50,-7.75,-7.7,26525,-33875,YES,127925,YES,2.32,05-11-2024 14:05,7.35,647900,25,300,7.35,7.35,25575,24775,YES,17575,N,-7.38
11-05-2024 14:10,6.25,63300,75,1050,2.75,6.25,16350,31800,N,1400,Y,1.88,05-11-2024 14:10,-1.1,1103400,-475,175,-1.05,-1.05,23400,4550,Y,60400,N,0.86,05-11-2024 14:10,3.15,333700,100,75,2.85,2.8,23575,16875,N,-2500,YES,-3.29
11-05-2024 14:15,14.05,100975,-75,-650,18.45,15,27150,6400,N,5375,N,3.13,05-11-2024 14:15,6.45,1781875,175,325,6.5,6.6,22875,39800,Y,-47975,Y,1.43,05-11-2024 14:15,-15.05,529625,-275,-800,-15.6,-15.85,28950,-600,Y,27925,Y,-5.21
11-05-2024 14:20,-10.25,83000,1000,-1500,-10.45,-9.9,16750,7450,N,-2250,Y,2.55,05-11-2024 14:20,-4.45,1431575,-275,1575,-4.85,-5.15,23075,-79275,YES,48325,YES,1.09,05-11-2024 14:20,4.7,779875,225,-600,5.2,5.3,23950,10375,N,16675,N,-6.97
11-05-2024 14:25,19.95,103900,175,0,21.8,21.55,16525,-16400,YES,15800,N,3.43,05-11-2024 14:25,10.3,2025875,-425,-225,10.05,10,25300,27325,Y,-76400,Y,1.69,05-11-2024 14:25,-11.35,758925,-150,100,-10.95,-11,23325,22075,N,43975,Y,-6.44
11-05-2024 14:30,2.95,96575,125,-1250,1.4,2.85,16300,33075,Y,-3750,Y,3.07,05-11-2024 14:30,1.95,2031450,-150,225,0.95,0.9,22425,-5650,YES,20800,YES,1.62,05-11-2024 14:30,-3.2,946275,-400,-175,-2.8,-3,28525,11425,N,4225,N,-6.93
11-05-2024 14:35,6.85,52750,25,250,6.3,2,17150,4950,N,34675,YES,1.5,05-11-2024 14:35,2.85,1391300,-200,150,2.3,2.6,25700,-23225,YES,-35100,Y,0.93,05-11-2024 14:35,-4.85,976275,500,300,-4.5,-4.45,28900,-31025,Y,-1850,YES,-5.78
11-05-2024 14:40,2.35,121875,-50,75,-2.35,0,19550,-825,YES,-17950,Y,4.05,05-11-2024 14:40,-4.3,2413300,200,725,-3.95,-3.9,24125,-8400,N,10325,YES,1.96,05-11-2024 14:40,2.3,1255050,425,225,1.3,1.35,26575,28825,YES,8450,N,-7.74
11-05-2024 14:45,-10,41100,4300,125,-6.6,-11.3,14350,-6375,YES,125,N,1.22,05-11-2024 14:45,-4.65,1130250,6650,-425,-3.75,-3.85,24925,9400,N,55725,YES,0.74,05-11-2024 14:45,5.05,779825,-300,-50,4.95,4.95,20825,12700,N,-1950,YES,-3.81
11-05-2024 14:50,-0.55,60100,-75,375,1.15,4.05,14800,23100,Y,4875,N,1.57,05-11-2024 14:50,3.7,1369375,-2725,450,3.4,3.5,25350,58675,Y,-7600,Y,0.75,05-11-2024 14:50,-2.8,986975,675,-75,-2.95,-2.8,22625,-11850,Y,10900,N,-3.86
11-05-2024 14:55,-6.7,30850,175,-525,-10,-11.45,14000,24350,N,1150,Y,0.81,05-11-2024 14:55,-2.9,873175,275,350,-5.8,-5.7,21650,-36950,YES,15900,YES,0.46,05-11-2024 14:55,5.45,737125,250,400,7.8,7.95,23300,1825,N,-9875,YES,-2.54
11-05-2024 15:00,21.2,100975,-25,-100,20.9,19.25,16800,1700,YES,22875,YES,2.95,05-11-2024 15:00,5.2,1961025,875,0,4.25,4.5,25100,-2750,Y,-28950,Y,1.2,05-11-2024 15:00,-13.45,962600,-800,2150,-14.4,-14.4,24050,2750,N,15800,Y,-3.68
11-05-2024 15:05,5.7,113725,75,175,3.55,4,21000,9900,N,-10125,Y,3.21,05-11-2024 15:05,0,1433725,-75,-25,0.8,0.85,26350,-175,N,25,YES,0.79,05-11-2024 15:05,-2.4,770400,-100,-25,-2.55,-2.55,30650,-14400,Y,27775,N,-2.71
11-05-2024 15:10,-21,79050,25,-25,-16.6,-18.95,19550,22125,N,-20025,Y,2.06,05-11-2024 15:10,-5.1,1067125,-25,-150,-4.6,-4.55,25750,2725,N,-2750,Y,0.52,05-11-2024 15:10,8.35,771075,0,300,8.2,8.2,30350,-15200,Y,-7150,YES,-2.31
11-05-2024 15:15,3.1,90950,775,275,1.95,2.1,21375,-6700,YES,8150,YES,2.25,05-11-2024 15:15,3.05,1024125,1400,-75,2.5,2.4,26275,-19175,YES,-32975,Y,0.51,05-11-2024 15:15,5.15,756375,50,50,5.2,5.2,25400,41425,YES,-51775,YES,-1.92
11-05-2024 15:20,-1.8,119500,-100,600,-0.65,-2.6,19075,-55450,YES,-10550,Y,2.72,05-11-2024 15:20,-1.95,1456400,-125,-50,-2.2,-2.3,27275,-59425,YES,-14525,N,0.64,05-11-2024 15:20,-2.9,966450,-75,25,-2.75,-2.95,24225,-46800,Y,-40300,N,-2.01
11-05-2024 15:25,4.25,106750,-50,0,3.7,7.6,23175,-56000,YES,-68225,Y,2.41,05-11-2024 15:25,-1.75,1006200,6550,-200,-1.55,0.1,21600,-85125,YES,-155450,Y,0.45,05-11-2024 15:25,-2.5,734300,2925,-75,-4.75,-2.15,26975,-53625,Y,-36750,N,-1.55
