last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
11-05-2024 09:35,4.55,2300,0,-75,3,3.5,225,1800,N,28925,N,-0.06,05-11-2024 09:35,-7.2,977225,-100,375,-6.9,-6.9,21100,29850,N,-9250,N,-2.03,05-11-2024 09:35,9.4,165950,75,-25,9.2,9.4,16875,8800,N,2600,N,1.08
11-05-2024 09:40,-5.7,50900,25,50,-5.35,-5.95,13150,56650,Y,9350,N,-1.16,05-11-2024 09:40,-2,730850,-25,125,-2.5,-2.55,24100,2050,YES,28275,YES,-1.34,05-11-2024 09:40,0.25,179600,-75,250,2.2,2.25,20700,4525,N,-1950,YES,1.33
11-05-2024 09:45,-18.35,79850,25,-125,-21.4,-18.05,14975,-3650,YES,7750,N,-3.01,05-11-2024 09:45,-6.8,955050,-325,300,-7.05,-7.05,24800,14175,N,15350,N,-2.1,05-11-2024 09:45,13.15,236325,-100,25,13.4,13.2,22425,4500,N,-9825,YES,2.27
11-05-2024 09:50,18.1,59600,250,0,15.2,16.85,14025,1225,N,-29100,Y,-1.83,05-11-2024 09:50,4.05,861800,200,50,4.25,4.3,24400,-15075,YES,-6475,Y,-1.63,05-11-2024 09:50,-11.9,223175,25,75,-11.9,-11.85,25425,-5875,Y,8125,N,1.31
11-05-2024 09:55,43.5,112725,75,-1100,45.8,46.85,14775,9650,N,19100,YES,1.76,05-11-2024 09:55,15.85,1865025,0,50,16,16.1,28175,31150,Y,-19450,Y,0.5,05-11-2024 09:55,-30.6,437350,-175,75,-31.45,-31.7,21525,3675,N,8975,N,-4.18
11-05-2024 10:00,-20.05,69550,-150,-50,-14.65,-15.2,14800,425,YES,-26450,Y,0.31,05-11-2024 10:00,-5.85,1083550,-475,-600,-5.7,-5.75,25575,-10800,YES,29450,YES,-0.26,05-11-2024 10:00,13.55,177175,-25,25,12.7,12.85,23425,-3375,Y,-1925,YES,-0.79
11-05-2024 10:05,-18.95,47375,-225,75,-18.95,-19.2,13825,6625,N,8850,YES,-0.24,05-11-2024 10:05,-5.1,686950,-850,-150,-5.2,-5.25,26100,29350,Y,19050,N,-0.41,05-11-2024 10:05,7.55,88050,0,-125,8.15,7.95,20550,5425,N,-6500,YES,0.06
11-05-2024 10:10,-6.25,24725,675,-75,1.6,-1.6,10025,11950,N,3575,N,-0.11,05-11-2024 10:10,-1.15,411225,-1050,1150,-1.4,-1.45,20025,12875,N,30375,N,-0.2,05-11-2024 10:10,0.6,53325,-50,25,0,0.2,18625,-3800,Y,6050,N,-0.04
11-05-2024 10:15,-13.05,69250,500,0,-15.35,-16.45,13625,1500,YES,1600,Y,-1.14,05-11-2024 10:15,-3.4,664250,325,-600,-4.3,-4.3,29475,3150,N,16025,N,-0.58,05-11-2024 10:15,6.6,112025,-325,-275,7.25,7.1,21250,2450,N,6075,N,0.35
11-05-2024 10:20,20,28175,75,150,18.5,20,14125,2150,N,9625,N,-0.39,05-11-2024 10:20,3.85,435975,-100,-175,4.35,4.3,25800,21850,N,-175,Y,-0.35,05-11-2024 10:20,-13.5,115575,200,-75,-12.7,-13.2,23550,-175,Y,-375,YES,0.28
11-05-2024 10:25,51.8,102150,100,-100,52,55.85,18175,-6125,YES,-6575,Y,2.12,05-11-2024 10:25,15.75,1328825,50,-275,17.65,17.6,25450,-2225,YES,-72275,Y,0.37,05-11-2024 10:25,-35.9,230375,450,-125,-38.3,-38.4,23800,-2725,Y,1675,N,-1.97
11-05-2024 10:30,-52.95,78150,350,0,-48,-48.5,14450,-5900,N,9550,N,1.13,05-11-2024 10:30,-16.25,1166150,475,725,-15,-14.85,25500,11925,N,51150,YES,0.04,05-11-2024 10:30,38.65,187275,-150,-125,35.8,35.7,25375,5225,N,-8150,YES,-0.99
11-05-2024 10:35,-15.2,65225,0,-25,-21.35,-16.75,11125,37050,Y,-1550,Y,-0.66,05-11-2024 10:35,-2.35,914200,-100,-600,-3.3,-3.35,25175,68225,Y,27500,N,-0.56,05-11-2024 10:35,7.6,170550,100,-675,11.5,11.45,24275,-3350,Y,-3475,N,0.34
11-05-2024 10:40,4.85,34850,-25,375,8.9,6.45,13000,2975,YES,26725,YES,-0.17,05-11-2024 10:40,1.75,556675,-375,925,1.5,1.55,26000,4950,N,23550,N,-0.21,05-11-2024 10:40,-8.25,63900,75,-200,-6.75,-6.5,19300,11550,N,250,N,0.03
11-05-2024 10:45,20.3,19175,0,25,20,20.35,11025,3300,N,-2125,Y,-0.02,05-11-2024 10:45,5.85,505550,-150,-225,6.05,6,27400,64800,Y,-4200,Y,-0.15,05-11-2024 10:45,-17.65,71800,50,-125,-17.6,-17.85,15325,-3575,Y,11100,N,-0.12
11-05-2024 10:50,-11.9,29875,875,-200,-11.6,-11.9,10825,-1675,YES,12525,N,0.09,05-11-2024 10:50,-3.15,694475,-275,475,-2.6,-2.65,29425,-68775,YES,9400,N,-0.05,05-11-2024 10:50,15.25,62125,500,75,14.95,14.9,18425,8825,N,-4725,YES,-0.12
11-05-2024 10:55,5.25,29825,500,25,8.25,9.6,13950,8875,N,-2375,Y,0.01,05-11-2024 10:55,4.35,374400,-25,-100,3.95,3.95,25725,3575,Y,8575,N,-0.04,05-11-2024 10:55,-11.05,55550,-50,225,-10.65,-10.3,22050,6600,N,8325,N,-0.07
