last_traded_time,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig
12-11-2024 09:25,-17000,N,16500,N,-56250,N,58300,N,4275,N,-75,N
12-11-2024 09:30,16100,Y,8800,N,38325,Y,-17575,Y,-9875,Y,-30500,N
12-11-2024 09:35,2000,N,-16725,Y,-13575,YES,40450,YES,4325,YES,-31550,YES
12-11-2024 09:40,8550,N,90875,N,40925,Y,34375,N,8100,N,11775,Y
12-11-2024 09:45,-1750,N,46300,N,62275,Y,66950,N,-4325,Y,-5750,N
12-11-2024 09:50,-5375,N,9775,N,17375,N,30650,Y,14450,N,14300,Y
12-11-2024 09:55,71575,Y,-55250,Y,36875,Y,-338250,Y,-39775,Y,10975,N
12-11-2024 10:00,-31100,YES,45825,YES,-62225,YES,348500,YES,43525,YES,-18700,YES
12-11-2024 10:05,10950,Y,17300,N,46200,Y,-44025,Y,1000,Y,8650,Y
12-11-2024 10:10,-1775,N,1900,Y,35275,N,50500,N,17625,YES,-2400,YES
12-11-2024 10:15,7700,N,10925,N,-5075,N,46675,N,200,Y,1875,N
12-11-2024 10:20,1025,N,-7425,Y,15375,Y,62475,N,4125,N,-625,N
12-11-2024 10:25,-9325,N,-55950,Y,35525,Y,-43975,Y,-800,Y,11700,Y
12-11-2024 10:30,1250,Y,6325,N,-44350,YES,112925,YES,3225,N,-18850,N
12-11-2024 10:35,-36725,N,12050,N,-27000,Y,53425,Y,4425,N,-20225,N
12-11-2024 10:40,-40550,N,14100,N,102350,Y,-36400,Y,12075,N,4450,Y
12-11-2024 10:45,6400,Y,225,Y,89950,N,27975,N,-8850,Y,15925,Y
12-11-2024 10:50,-4325,YES,11625,YES,-34075,N,15100,N,-3050,N,3050,N
12-11-2024 10:55,-525,N,7450,N,-5950,Y,-15450,Y,2775,N,4875,N
12-11-2024 11:00,2800,N,5525,N,-20725,YES,5850,YES,4725,N,-1275,N
12-11-2024 11:05,12475,N,-56050,Y,51350,Y,-28575,Y,-12600,Y,16500,Y
12-11-2024 11:10,-14475,YES,16775,YES,-22275,YES,80375,YES,17700,YES,5800,YES
12-11-2024 11:15,5275,Y,-1600,Y,19625,Y,36875,Y,-4525,Y,-17500,N
12-11-2024 11:20,10500,N,-29075,Y,67850,Y,850,Y,-2725,Y,8200,Y
12-11-2024 11:25,7000,N,-225,N,-38925,N,8325,N,-675,N,-5750,N
12-11-2024 11:30,41975,Y,-7525,Y,19250,Y,19300,N,4975,N,4275,Y
12-11-2024 11:35,575,N,875,N,-15350,YES,57875,YES,-8600,Y,2700,N
12-11-2024 11:40,-64450,N,8850,N,-64450,N,5850,Y,700,N,23375,Y
12-11-2024 11:45,6900,Y,11350,N,6575,Y,17275,N,1975,N,-28675,N
12-11-2024 11:50,425,N,4275,N,85975,Y,9725,N,-1725,Y,4600,Y
12-11-2024 11:55,1500,N,-25625,Y,49800,N,-30725,Y,-5775,Y,37550,Y
12-11-2024 12:00,1050,YES,6175,YES,-55125,YES,14400,YES,9200,YES,4825,YES
12-11-2024 12:05,145075,Y,10025,N,28150,Y,18525,N,2725,Y,375,N
12-11-2024 12:10,-19050,N,-26425,Y,-140700,N,10500,N,9375,N,-56075,N
12-11-2024 12:15,-7075,Y,5375,N,32900,Y,-17000,Y,-2475,Y,7250,Y
12-11-2024 12:20,46575,Y,9125,N,32250,N,1325,N,2125,N,11075,N
12-11-2024 12:25,-10600,N,4775,N,-49675,YES,60300,YES,4200,N,-5025,N
12-11-2024 12:30,13050,Y,-1275,Y,81450,Y,-41850,Y,-600,Y,575,N
12-11-2024 12:35,850,YES,14425,YES,-66075,YES,-23625,YES,-2150,Y,2425,N
12-11-2024 12:40,-425,N,-5325,Y,-160550,N,-24100,Y,-4350,Y,-33625,N
12-11-2024 12:45,-77000,N,-40775,Y,-84375,Y,-31350,Y,-10950,Y,-69700,N
12-11-2024 12:50,17050,Y,20675,N,1575,Y,7200,N,-2350,N,23050,Y
12-11-2024 12:55,-6500,N,-16400,Y,32725,Y,22425,N,-4425,Y,-3600,N
