last_traded_time,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig
19-11-2024 09:25,32450,N,3325,N,-32150,N,3700,N,-31325,N,81150,N
19-11-2024 09:30,-29250,YES,26300,YES,6575,Y,95175,N,95375,N,131675,Y
19-11-2024 09:35,2225,Y,3925,N,-49650,N,-53050,Y,-7375,Y,125575,N
19-11-2024 09:40,84825,Y,-17350,Y,-24050,Y,-31025,Y,-44850,Y,81025,N
19-11-2024 09:45,26450,N,28150,N,-69750,YES,24375,YES,219075,YES,9550,YES
19-11-2024 09:50,40500,Y,-4850,Y,57750,Y,-10600,Y,-58450,Y,50950,Y
19-11-2024 09:55,175,YES,6875,YES,-32450,YES,148975,YES,98075,N,86300,Y
19-11-2024 10:00,-14350,YES,50575,YES,21725,Y,-14300,Y,55550,N,95375,N
19-11-2024 10:05,11600,Y,252275,N,-3275,YES,14000,YES,-9600,Y,89525,N
19-11-2024 10:10,-10475,N,-13800,Y,-36675,N,-875,Y,29425,YES,5075,YES
19-11-2024 10:15,4425,Y,27575,N,-5425,Y,32500,N,1300,Y,78950,Y
19-11-2024 10:20,7425,N,-30325,Y,59500,Y,-90525,Y,-93350,Y,45000,N
19-11-2024 10:25,7250,N,-65750,Y,-54650,N,-206275,Y,-124325,Y,-16800,N
19-11-2024 10:30,49325,Y,-12950,N,-60725,YES,43525,YES,144350,YES,-57550,YES
19-11-2024 10:35,15375,N,4300,N,-6150,Y,7700,Y,6150,Y,125400,Y
19-11-2024 10:40,-11225,N,925,Y,-38675,N,-33750,Y,10750,N,-133000,N
19-11-2024 10:45,-2225,N,9675,N,-7450,Y,34200,N,32650,N,-39150,Y
19-11-2024 10:50,23650,Y,-6625,Y,58000,Y,3350,Y,-103100,Y,91825,Y
19-11-2024 10:55,-13700,YES,20900,YES,3900,YES,53600,YES,-20025,N,68775,N
19-11-2024 11:00,2400,Y,4800,N,-5700,N,-37725,Y,33275,N,74250,N
19-11-2024 11:05,-700,N,-1575,Y,200,N,-31975,Y,51625,YES,-4225,YES
19-11-2024 11:10,5175,N,5025,N,-9675,YES,26900,YES,217950,N,34825,Y
19-11-2024 11:15,9675,N,-1925,Y,17525,Y,-17675,Y,-33650,Y,18600,N
