last_traded_time,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig
11-11-2024 09:15,-1125,N,60350,N,21075,N,13725,N,-22275,N,62675,N
11-11-2024 09:20,14525,Y,106725,N,112675,Y,70100,N,209875,N,65550,N
11-11-2024 09:25,11500,N,10375,N,20000,N,33500,Y,-165625,Y,56625,N
11-11-2024 09:30,22100,Y,45200,N,72175,Y,-8625,Y,-30875,N,61900,N
11-11-2024 09:35,9450,N,-31975,Y,-60300,YES,27450,YES,50450,YES,20425,YES
11-11-2024 09:40,2025,YES,34925,YES,25575,Y,-3000,Y,-29025,Y,28225,N
11-11-2024 09:45,19750,Y,-15450,Y,30400,N,-19075,Y,-13375,N,41850,Y
11-11-2024 09:50,23875,N,28875,N,-20525,YES,42525,YES,17025,YES,-5800,YES
11-11-2024 09:55,-7350,N,9975,N,-48950,N,10175,Y,10100,N,6000,Y
11-11-2024 10:00,39175,Y,6675,N,-110700,YES,43125,YES,33900,YES,-2450,YES
11-11-2024 10:05,51275,Y,-37350,Y,146200,Y,3875,Y,-14550,Y,72625,Y
11-11-2024 10:10,9175,N,2525,N,300,YES,27450,YES,38325,YES,-33900,YES
11-11-2024 10:15,-1850,N,5175,N,2725,N,61975,N,15150,Y,15375,Y
11-11-2024 10:20,5775,N,-8425,Y,50500,Y,-44950,Y,-59725,Y,48850,Y
11-11-2024 10:25,-5650,N,-57925,Y,-55075,N,-253750,Y,-90925,Y,-10350,N
11-11-2024 10:30,22725,Y,-6675,N,-136850,YES,42350,YES,65700,N,9175,Y
11-11-2024 10:35,425,YES,177350,YES,1950,Y,-28400,Y,-32425,Y,44850,Y
11-11-2024 10:40,-4100,N,17900,N,-21725,YES,24625,YES,47100,YES,-22325,YES
11-11-2024 10:45,-6950,YES,43250,YES,17325,Y,16175,N,-9075,Y,26825,Y
11-11-2024 10:50,-50,N,8450,N,7625,N,5975,Y,6800,YES,-3575,YES
11-11-2024 10:55,4900,N,-4500,Y,-1275,N,-32875,Y,-18225,Y,7925,Y
11-11-2024 11:00,2875,N,625,N,-12525,YES,1875,YES,16625,N,18625,Y
11-11-2024 11:05,-16200,YES,23750,YES,4200,Y,-3225,Y,-3775,Y,5325,N
11-11-2024 11:10,-6275,N,-61100,Y,21300,Y,-41850,Y,-72950,Y,12975,N
11-11-2024 11:15,3500,N,48050,N,-72525,YES,-5725,YES,20900,YES,-8925,YES
11-11-2024 11:20,-8075,N,27700,N,7850,Y,23450,N,14450,N,23475,Y
11-11-2024 11:25,-42975,N,12375,N,-30825,N,20125,N,8950,N,-8775,N
11-11-2024 11:30,225,Y,-15025,Y,5950,Y,-10675,Y,-11300,Y,10450,Y
11-11-2024 11:35,7200,N,17275,N,-550,YES,10925,YES,-1825,N,12850,N
11-11-2024 11:40,16975,N,-59825,Y,4475,N,-32650,Y,-34425,Y,24925,Y
11-11-2024 11:45,1250,YES,14925,YES,-14050,YES,15975,YES,20575,YES,-18725,YES
11-11-2024 11:50,34775,Y,15550,N,-2675,Y,-20300,Y,17625,N,-22075,N
11-11-2024 11:55,9650,N,1700,Y,-16400,YES,6325,YES,-19525,Y,-1425,Y
11-11-2024 12:00,-4975,N,4050,N,56825,Y,14375,N,42950,YES,-20775,YES
11-11-2024 12:05,-8200,YES,17400,YES,-45750,N,-975,Y,9725,Y,-19425,N
11-11-2024 12:10,22400,Y,5875,N,450,Y,10575,N,-9350,Y,-48100,N
11-11-2024 12:15,-4125,N,1575,Y,-5775,YES,20800,YES,26550,N,2900,Y
11-11-2024 12:20,-39250,YES,13350,YES,7950,Y,8225,Y,17700,N,-54275,N
11-11-2024 12:25,15025,Y,-4600,Y,15275,N,-3725,Y,6750,Y,47550,Y
11-11-2024 12:30,12600,N,45450,N,-12250,YES,13500,YES,-6900,Y,-5900,N
11-11-2024 12:35,9700,N,-2175,Y,11200,Y,7000,N,-5600,Y,15025,Y
11-11-2024 12:40,1900,YES,46000,YES,-2475,N,-900,Y,24225,YES,5475,YES
11-11-2024 12:45,-8200,N,12075,N,-9725,N,-8425,Y,-19800,Y,2225,N
11-11-2024 12:50,3600,Y,2125,Y,525,Y,19850,N,9975,N,28925,Y
11-11-2024 12:55,52600,Y,-2750,Y,21050,Y,6325,Y,-4375,Y,30825,N
11-11-2024 13:00,275,N,4400,N,18975,N,-15575,Y,8175,YES,-17250,YES
11-11-2024 13:05,-11175,N,4625,N,-18475,YES,11450,YES,16000,N,-9625,N
11-11-2024 13:10,-4050,N,275,Y,11150,Y,175,Y,-14525,Y,-21550,N
11-11-2024 13:15,-16625,N,8550,N,-52500,N,-11250,Y,9450,YES,-93800,YES
11-11-2024 13:20,8550,Y,25475,N,30000,Y,-3800,N,16475,N,41550,Y
11-11-2024 13:25,23875,Y,2250,Y,-1150,YES,9475,YES,-32525,Y,55950,Y
11-11-2024 13:30,0,N,-11225,Y,2050,N,-6475,Y,-16200,N,43875,N
11-11-2024 13:35,-3950,YES,525,YES,8925,N,18550,N,23650,YES,-66975,YES
11-11-2024 13:40,-59325,N,-5675,Y,-13250,N,20500,N,70425,YES,-87750,YES
11-11-2024 13:45,52125,Y,24800,N,23800,Y,27825,N,-13875,Y,70625,Y
11-11-2024 13:50,3600,N,-35850,Y,8525,N,575,Y,44750,YES,-37825,YES
11-11-2024 13:55,20225,Y,43725,N,41950,Y,-11450,Y,-129350,Y,18500,Y
11-11-2024 14:00,11200,N,6700,N,-20375,YES,2175,YES,49800,YES,-30375,YES
11-11-2024 14:05,5525,N,5150,N,-11850,YES,28425,YES,19875,Y,18875,Y
11-11-2024 14:10,-59725,N,4475,N,-29625,N,34975,N,58500,YES,-78775,YES
11-11-2024 14:15,-36225,Y,-7025,Y,75400,Y,36775,N,-5075,Y,-51025,Y
11-11-2024 14:20,36800,Y,13050,N,30250,N,15925,Y,-77075,Y,64050,Y
11-11-2024 14:25,2475,N,-575,Y,8525,N,-42575,Y,3625,YES,-1700,YES
11-11-2024 14:30,59350,Y,-25875,Y,-6750,N,-74850,Y,-35825,Y,51975,Y
