last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
09-12-2024 09:15,14.95,144325,50,125,23.35,21.4,14875,116425,N,97400,N,5.9,3.7,2188775,575,-100,4.55,4.35,23025,424025,N,94975,N,0.59,-24.4,574650,475,50,-25.65,-26,22275,612675,N,59025,N,-8.04,153.4,79155,420,45,152.2,137.25,9240,48045,27270,39.79
09-12-2024 09:20,26.45,126825,0,75,28,24.2,14725,38825,N,19250,N,6.09,7.15,2245625,-550,-1425,7.75,7.6,32100,-1090400,YES,57925,N,1.07,-14.9,532875,225,150,-14.4,-14.5,26525,-528350,Y,21450,N,-5.73,67.85,34470,0,0,67.8,62.9,8565,9555,3120,15.37
09-12-2024 09:25,-36.85,70725,75,0,-35.75,-33.75,12325,9300,N,-5925,Y,2.4,-14.9,2025475,-1425,225,-14.7,-14.6,27925,-120400,Y,135500,YES,0.29,16.45,622025,350,100,17.45,17.6,29675,30375,YES,7600,N,-3.53,-74.15,47145,15,30,-80.2,-75.95,8775,9540,13125,26.4
09-12-2024 09:30,-12.8,77300,-75,150,-12.3,-12.7,13850,7350,N,64750,YES,-1.89,-5.85,1953250,600,-75,-5.6,-5.6,25275,73800,Y,102225,N,-1.81,11.05,912600,500,-75,10.5,10.7,29250,15275,N,-3300,YES,2.14,-33.35,29655,0,135,-19,-28.25,9645,5100,6540,0.83
09-12-2024 09:35,-19.3,128925,275,-100,-17.45,-19.1,19875,2175,YES,3625,N,-7.9,-4.05,1665250,900,-250,-3.7,-3.7,29125,46275,N,70100,N,-2.23,7.15,850800,-350,25,6.7,6.35,30900,-1875,Y,14750,N,3.71,-33.85,27705,90,15,-29.2,-28.6,8505,-2055,4815,-5.33
09-12-2024 09:40,1.05,65425,50,-425,1.05,5.5,18275,12275,N,10450,N,-2.69,0.4,1395050,125,-475,0.5,0.6,28275,62200,N,54800,N,-1.4,2.2,500850,50,-125,1.25,1.25,26225,-9825,Y,26375,N,1.57,-51.5,27285,-15,75,-50.6,-51.5,8295,4920,6450,-7.57
09-12-2024 09:45,7.5,44775,-25,75,5.95,4.05,13275,-46225,YES,8000,N,-0.57,-1.7,1573525,-75,1350,-1.35,-1.35,32175,10875,N,58350,N,-0.85,-0.4,463100,225,0,-0.7,-0.75,28825,3225,N,-1900,YES,0.57,50.05,21810,-30,-75,50,50.45,7215,4905,630,-4.31
09-12-2024 09:50,-33.9,162600,25,-125,-35,-31.6,15575,2250,Y,6050,N,-8.27,-8.55,2056550,-50,225,-8.35,-8.35,25900,-44350,YES,111725,YES,-2.36,16.25,782025,-50,-50,17.5,17.6,19950,29050,YES,-23725,YES,3.58,-109,44295,15,-15,-106,-100.15,8550,-4920,2700,-14.11
09-12-2024 09:55,10.7,53425,150,475,9.65,10.3,15100,9250,N,43625,YES,-2.14,2.85,1127950,-1750,-100,2.7,2.65,24900,150200,Y,41200,N,-1.08,-2.3,374625,-25,225,-2.4,-2.5,23825,-10750,Y,5125,Y,1.72,59.55,14910,60,15,45.5,41.75,7035,-8565,6360,-4.21
09-12-2024 10:00,-22,154425,1475,-1000,-22.5,-23.15,17275,-56375,YES,-1425,Y,-6.99,-7.95,1886150,-4825,400,-8.45,-8.55,31400,-87125,YES,84500,YES,-2.01,12.45,464600,0,75,13.15,13.2,24175,-3700,N,-15825,YES,2.25,-65,31590,-75,-15,-65,-62.5,7875,-4020,9270,-10.56
09-12-2024 10:05,-5.5,102275,1625,0,-5,-2.65,15850,-35275,Y,-8350,Y,-4.27,-0.7,2079475,-350,350,-1.15,-1.15,35675,-7475,Y,-35775,Y,-2.18,2.9,443775,-75,-300,3.15,2.95,26275,-7550,Y,14725,Y,2.3,7.8,31065,-90,-15,10.65,3.7,9150,-2595,-1950,-9.3
09-12-2024 10:10,-11.75,79750,-1575,-50,-9,-8.1,17750,50,Y,-3475,N,-3.06,-2.4,1336925,750,32975,-2.45,-2.45,34225,53325,Y,85050,YES,-1.22,2.8,250600,125,-50,3.1,3.1,20475,-6025,N,-7750,YES,1.22,15.05,15045,15,120,19.3,29.1,8505,30,-1035,-3.44
09-12-2024 10:15,21.5,56700,50,50,18.7,16.8,18025,12775,N,8400,N,-1.47,4.75,1727525,-650,3250,4.7,4.7,35925,31675,N,9000,N,-1.21,-12.6,277750,25,-75,-11.4,-11.35,21700,-13500,Y,16550,Y,0.91,60.35,17265,30,60,54,42.95,7215,1770,11265,-1.21
09-12-2024 10:20,8.8,48375,-150,0,11.8,9.75,15275,11075,N,3800,N,-1.32,2.65,1177875,1000,-100,2.55,2.55,33700,-3500,YES,125,Y,-0.75,-6.45,271350,75,650,-6.55,-6.5,27000,2850,N,-4750,YES,0.97,27.55,12660,15,-105,27.6,38.25,6600,990,75,-0.46
09-12-2024 10:25,13.05,74150,0,-50,12.8,12.65,13300,15775,N,-3150,Y,-0.72,2.4,1387425,1575,-1250,2.55,2.55,33850,49550,Y,13575,N,-0.56,-8.65,237600,-125,275,-7.45,-7.45,26250,-11675,Y,19625,Y,0.36,41.5,22950,885,90,46.8,42.75,9000,1260,-4425,1.52
09-12-2024 10:30,-22.85,41950,-950,0,-21.7,-19.05,14850,-8450,YES,9050,N,-0.45,-6.2,1147625,275,1175,-6.2,-6.15,32750,-8125,YES,42675,YES,-0.48,15.5,238650,25,0,15.25,15.3,22325,7225,N,-19550,YES,0.46,-47.7,26535,-630,-300,-44,-39.15,7545,-4620,11595,2.33
09-12-2024 10:35,7,20850,-200,-175,3.85,4.45,13750,26175,Y,1225,Y,-0.39,1.65,759325,225,2175,1.4,1.5,31800,16325,Y,6925,N,-0.4,-6.05,136650,1375,400,-5.2,-5.5,25775,-5350,Y,3100,Y,0.38,23.5,6240,-210,0,12.65,9.3,6330,2820,-120,0.02
09-12-2024 10:40,8.7,25775,-475,-25,10.6,9.95,13100,-5500,YES,5300,N,-0.19,3.65,1091050,-350,700,3.75,3.75,31625,-12025,YES,23875,N,-0.36,-6.15,197225,-50,0,-6.3,-6.75,24350,23300,YES,7675,N,0.25,23.5,8745,-75,15,20.2,24.1,6510,-3090,1650,0.81
09-12-2024 10:45,25.7,111975,-775,150,25.6,31,18350,13600,N,-6325,Y,0.64,7.7,2869900,1400,1050,7.25,7.35,32250,-23425,YES,-122650,Y,-0.14,-19.85,805575,0,-175,-20.95,-21.05,29350,-41275,Y,-3225,YES,-0.18,35.7,29865,150,105,49.7,44.25,8895,210,-4155,4.83
09-12-2024 10:50,-1.15,39575,-275,-50,0.05,-4.2,15975,-5150,YES,3550,N,0.24,0.7,1557075,-100,-1650,0.65,0.75,33650,28125,Y,108975,YES,-0.07,-0.75,278550,75,25,-0.05,0,24150,2100,YES,2350,N,-0.29,-25.45,5865,-135,-15,-27.7,-30.45,5790,-1575,2805,0.75
09-12-2024 10:55,-14.4,15425,-250,0,-13.4,-14.1,9925,-5700,YES,4675,N,0,-5.9,1340125,-2275,1300,-5.8,-5.8,33300,-32275,YES,53175,N,-0.19,9.15,216575,-75,-75,8.85,8.9,22100,3950,N,-8325,YES,-0.08,-37.05,8235,60,-75,-34.75,-25.2,5070,-2175,2235,0.46
09-12-2024 11:00,3.05,19450,-150,-25,2.5,2.15,11825,-1025,N,6650,N,-0.04,-0.85,1063150,-875,775,-1.3,-1.3,37675,3850,Y,26175,N,-0.22,-4,136550,-125,0,-1.5,-1.85,24200,-2875,Y,-350,N,-0.02,9.05,12930,-75,75,11.15,9.5,7170,1995,1020,0.78
09-12-2024 11:05,5,21450,0,400,0.45,3.4,12025,3275,N,45175,YES,0.07,1.1,827250,1400,-1425,1.25,1.25,35250,18575,N,36825,N,-0.13,-0.95,122225,-75,625,-0.95,-1,19025,-1650,N,10075,N,-0.09,12.55,4050,-75,-60,17.05,22.95,5700,1680,9705,0.34
09-12-2024 11:10,9,23650,-25,-275,15.45,16.7,12850,2675,YES,-5100,Y,0.14,4.2,899850,650,175,4.6,4.65,34900,20700,N,-64400,Y,-0.08,-10.4,139425,25,75,-9.1,-9.2,25575,-9400,Y,-175,YES,-0.17,45.05,10320,15,135,45.45,54,6855,465,705,1.46
09-12-2024 11:15,10.5,34275,100,100,10.25,7.7,13400,12025,N,-1950,N,0.38,4.2,1405125,-200,-250,3.7,3.7,34150,-1475,YES,3750,YES,0.02,-6.3,227025,100,775,-6,-5.95,23025,5225,N,9575,N,-0.46,55.05,42705,0,210,61.6,51,10020,7095,-3915,9.14
09-12-2024 11:20,7.65,67500,-325,-75,7.7,6,13975,-5700,YES,-325,N,1.21,1.1,2018100,875,475,0.85,0.95,29500,32600,Y,30150,YES,0.22,-1.65,301225,-100,50,-1.95,-2,28050,16825,N,500,YES,-0.73,81.05,71355,-75,-15,75.8,81.05,9720,4305,-255,18.98
09-12-2024 11:25,26,175625,-175,225,19.25,19.65,16300,7475,N,-37550,Y,4.51,5.75,2294400,-325,975,5.65,5.65,31900,21900,N,-84150,Y,0.43,-12.35,402300,300,175,-11.55,-11.55,26400,-12050,Y,14375,N,-1.26,-18.35,46200,-4875,570,-9.45,-8.2,10485,-8520,1080,13.35
09-12-2024 11:30,-9.85,50300,-75,-150,-8.6,-9.85,13675,-3675,YES,26925,YES,1.18,-2.25,1714700,575,200,-2.8,-2.65,30975,-26900,YES,39825,YES,0.29,2.75,348600,175,-775,3.6,3.6,29250,37200,YES,18700,N,-1.03,-33.9,15750,7725,-405,-13.15,-19,8865,7890,13560,3.75
09-12-2024 11:35,6.95,35875,-25,-350,3.9,2.95,19900,6500,N,-2525,Y,0.62,0.3,994850,1500,-975,0.2,0.25,32575,53075,Y,7350,N,0.13,-3.2,198225,-300,75,-2.4,-2.4,25975,-16350,Y,20000,N,-0.55,-0.85,10530,-45,-105,2.05,-0.85,6480,690,-525,2.1
