last_traded_time,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price
30-12-2024 09:15,158975,8,4.4,51725,47350,-12.52,3167625,-3.95,-4.15,195225,118725,-8.07,648825,-4.1,-4.3,12825,18975,5.04
30-12-2024 09:20,112525,-28.35,-29.25,53400,18575,-2.58,2052675,-11.1,-11.05,-1672275,191100,-2.09,545100,27.9,27.95,-957000,43200,1.51
30-12-2024 09:25,155750,-15.05,-15.65,3750,28350,-8.17,2004225,-4.55,-4.55,27225,121425,-2.4,831675,14.5,14.4,-14775,-42375,6.64
30-12-2024 09:30,114275,-2.1,-1.6,46825,132850,-5.85,2155950,-1.3,-1.3,84150,69450,-2.16,494475,-0.85,-0.9,-6750,28425,3.81
30-12-2024 09:35,108075,-14.75,-16.3,-1325,20575,-5.38,1673850,-3.4,-3.45,77850,94200,-1.59,488775,11.5,11.65,-4425,-15900,3.34
30-12-2024 09:40,131575,5.1,4.3,27525,4425,-6.02,2075475,2,2,129900,66300,-1.61,485025,-4.25,-4.15,-14775,13875,3.41
30-12-2024 09:45,89550,15.55,19.9,43550,59350,-1.38,1955775,2.6,2.65,8100,43275,-0.76,337800,-13.65,-13.7,27600,15525,0.83
30-12-2024 09:50,81800,27.15,25.1,-725,-21550,0.9,2725500,6.45,6.5,3525,-64050,0.02,358950,-20.95,-21,-10275,23775,-0.73
30-12-2024 09:55,57900,-43.3,-43,48775,85325,0.16,2384250,-10,-10.05,-45075,116925,-0.42,496350,30.8,31.15,13725,-35550,-0.18
30-12-2024 10:00,53500,27.7,26,66850,-1400,0.16,2035875,6.25,6.2,86100,-34950,-0.14,292425,-21.45,-21.6,1050,32400,-0.28
30-12-2024 10:05,47375,0.2,5,-975,-2400,0.1,1685550,0.3,0.25,-30675,50100,-0.2,281625,-0.15,-0.15,-7350,-28650,-0.06
30-12-2024 10:10,47725,19.45,13.25,5525,-45225,0.87,2119350,3.25,3.3,54525,-52650,0.16,350700,-15.1,-15.25,-5625,24675,-1.1
30-12-2024 10:15,43550,-3.95,-5.8,3750,6825,0.96,2223150,-1.5,-1.55,-40950,-29475,0.25,396075,6.35,6.15,29475,0,-1.38
30-12-2024 10:20,35450,0.15,4.75,-2325,-4075,0.48,1483575,0.6,0.6,42600,63225,0,209250,-3.8,-3.95,-4200,8475,-0.35
30-12-2024 10:25,27550,7.8,6,3475,-18400,0.61,1193700,1,1,6375,24000,0.11,194025,-8.15,-8.4,6000,19575,-0.69
30-12-2024 10:30,47850,5.45,7,8300,23250,1.48,1623225,2.85,2.8,-12900,-4950,0.23,341700,-7.55,-7.55,50175,-6375,-1.54
30-12-2024 10:35,20500,-2.5,-2.3,4100,15250,0.57,1318500,-1.65,-1.6,15000,1125,0.22,177450,5.4,5.6,8925,-3450,-0.74
30-12-2024 10:40,22000,9,6.55,4675,-9700,0.51,1132275,2.3,2.3,-31650,21225,0.1,259500,-5.75,-5.75,14250,9975,-0.9
30-12-2024 10:45,171325,50.8,51.2,-2450,-58700,8.13,5940900,21.85,21.85,60375,-383025,2.8,924825,-34.95,-34.95,-19800,33900,-6.16
30-12-2024 10:50,43325,-13.4,-15.65,-4150,28575,2.05,2255175,-6.05,-6.1,2175,155850,1.12,564825,4.05,4.15,11100,19425,-3.56
30-12-2024 10:55,46600,-19.15,-21.65,-8850,-15125,1.47,1927275,-6.45,-6.4,-11100,102750,0.55,547725,17,16.8,-35100,-32175,-2.37
30-12-2024 11:00,54850,-37.1,-34.55,2925,17875,0.77,2406675,-7.8,-7.8,-10275,49050,0.21,613125,28.75,28.8,-2400,-44925,-0.78
30-12-2024 11:05,32125,3.95,2.65,6700,5900,0.18,1427475,0.8,0.8,37575,16875,0.04,399450,-1.6,-1.55,-25650,-225,-0.08
30-12-2024 11:10,11025,4.8,4.85,8600,-7900,0.08,829125,0.65,0.75,59025,-7800,0.04,218475,-5.65,-5.65,-2475,20475,-0.09
30-12-2024 11:15,11100,9.95,11.55,1075,-325,0.11,1001925,1.7,1.75,24375,-5850,0.06,180075,-7.9,-7.85,-6825,-675,-0.15
30-12-2024 11:20,22150,26.6,28.25,3075,-73175,0.48,1896000,8.7,8.7,7200,-62175,0.26,421650,-23.3,-23.35,-1650,15750,-0.9
30-12-2024 11:25,58175,11.5,14.1,4075,-21575,1.8,1872825,3.9,3.85,39675,-14625,0.42,352275,-8.6,-8.65,80025,4650,-1.08
30-12-2024 11:30,131300,28.75,29.75,4800,-200,5.69,4152600,15.4,15.45,-59100,-199500,1.83,736575,-19.65,-19.9,26175,38400,-3.24
