last_traded_time,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price,vol_traded_today,bid_price,ask_price,tot_buy_qty,tot_sell_qty,avg_trade_price
30-12-2024 11:35,67050,-6.05,-6.8,-28075,12475,2.93,2218650,-5.25,-5.25,20925,76050,0.97,640725,6.1,6.2,14475,-2325,-2.74
30-12-2024 11:40,41150,14.7,15.15,-5650,2025,1.78,2214075,6.75,6.8,24225,-14325,0.98,496875,-6.75,-6.95,-64275,-6825,-1.95
30-12-2024 11:45,56575,13.75,13,3875,57175,2.61,2907375,8.7,8.75,74850,-96300,1.46,508725,-8.4,-8.6,1050,31500,-2.16
30-12-2024 11:50,144900,5.25,5.45,475,-57475,7.71,4969350,8.5,8.55,-30525,55050,3.52,1037925,2.85,2.8,67650,5100,-4.61
30-12-2024 11:55,51175,-4.5,-5.4,27625,23725,2.28,2250525,-3.9,-3.8,-15750,-29100,1.36,600525,1.8,1.85,4350,525,-2.18
30-12-2024 12:00,36975,0.5,0.55,17400,14725,1.49,1615800,-1.55,-1.55,4350,64500,0.8,628050,-2.4,-2.5,7725,12450,-2.08
30-12-2024 12:05,42650,-11,-11,15875,406425,1.58,1457325,-6.5,-6.5,9375,38775,0.63,542550,8.7,8.5,1875,-8850,-1.6
30-12-2024 12:10,44700,-1.7,-0.2,18900,-5275,1.65,1487250,1.75,1.75,2925,-10950,0.67,465150,1.1,1.3,-6375,-3150,-1.31
30-12-2024 12:15,42775,-11.85,-16.1,-3700,-10125,1.22,1337250,-2.3,-2.4,-4575,43725,0.49,669450,8.4,8.3,-825,-13275,-1.37
30-12-2024 12:20,34525,-19.2,-21.5,-14900,-6525,0.82,1319175,-4.45,-4.4,-62625,22050,0.45,676350,13.6,13.65,4800,-37275,-0.98
30-12-2024 12:25,151575,-62.8,-58.7,-54900,4150,1.04,2977200,-21.6,-21.7,-154425,44250,0.51,1223775,44.25,44.4,-33075,-70725,0.06
30-12-2024 12:30,182175,-2.6,2.1,1650,13200,-1.58,4049325,-3.05,-3.1,160725,24600,-0.06,1018725,2.15,1.95,-16875,-3825,1.65
30-12-2024 12:35,68800,-3.2,-7,30875,7500,-0.25,1723650,0.2,0.25,41100,76275,0.03,361650,-1,-1.05,6150,36825,0.43
30-12-2024 12:40,57250,11.4,14.95,-825,-3650,-0.19,1226700,4.55,4.6,55575,41700,0.02,236175,-11.05,-11.05,-11250,7275,0.29
30-12-2024 12:45,39225,-2.5,-4.95,-2075,-32300,0.06,1778250,0.4,0.4,72825,29175,0.12,346500,1.2,1.3,-11625,8775,0.22
30-12-2024 12:50,21475,-4.95,-2.05,6475,8525,-0.04,1059600,-1.5,-1.5,64500,51300,0.05,251250,2.25,2.3,825,-24300,0.23
30-12-2024 12:55,34075,-2.55,-2.35,625,5975,-0.14,1268700,-1.9,-1.95,-42525,-150,0.02,288300,1.25,1.35,-5775,-3300,0.32
30-12-2024 13:00,42525,-17.2,-21.75,-2200,-3525,-0.34,1203000,-4.2,-4.15,-53325,103125,-0.02,331275,15.05,15.05,1350,-7500,0.51
30-12-2024 13:05,23200,1,2.8,24575,-1825,-0.21,1143975,0.25,0.2,19275,-14550,-0.02,204600,-3.65,-3.6,3225,10650,0.33
30-12-2024 13:10,18825,8.45,4.65,15225,30875,-0.13,783975,0.15,0.15,18525,3225,-0.01,155475,-1.4,-1.5,975,-75,0.22
30-12-2024 13:15,26000,4,3.15,59150,-1450,-0.19,825525,1.35,1.3,-7650,18675,-0.01,159075,-8.3,-8.15,-3900,16650,0.19
30-12-2024 13:20,26400,-15,-14.25,-6600,2950,-0.27,1122000,-4.3,-4.35,-48150,38625,-0.04,253725,13.9,14,16425,-14775,0.41
30-12-2024 13:25,126800,-29.5,-29.75,-51600,38925,-2.06,2474625,-6.45,-6.55,-169275,-15600,-0.23,545550,25.8,25.75,-14250,-14925,1.31
30-12-2024 13:30,319175,-40.9,-39.25,-11025,-29450,-7.98,2751450,-5,-5.05,89250,7800,-0.43,533250,28.8,28.75,-12900,21600,1.9
30-12-2024 13:35,143300,5.8,7,24250,18075,-3.8,2139075,-1.55,-1.6,15075,47850,-0.39,245250,-4.9,-4.65,-15225,9825,0.99
30-12-2024 13:40,55000,-16.8,-14.1,3350,5550,-1.36,1394850,-2.4,-2.35,-9525,95325,-0.24,210375,8.15,8.3,-14325,21075,0.82
30-12-2024 13:45,174275,-16.5,-16,-950,11275,-5.18,1544400,0.25,0.25,47925,-34575,-0.29,331725,14.1,13.95,3000,-53925,1.5
30-12-2024 13:50,139400,-20.3,-21.6,-46900,-31550,-4.28,1727700,-2.8,-2.75,-1575,93900,-0.34,280950,24.35,24.5,-2700,-11400,1.41
30-12-2024 13:55,62375,17.25,15.65,-48500,900,-1.73,1124250,-0.15,-0.1,9075,-20700,-0.21,144075,-13.65,-13.7,-75,8400,0.69
30-12-2024 14:00,72725,-3.15,0.05,72925,3600,-2.18,1122900,0.7,0.75,154425,15150,-0.23,157200,1.45,1.25,-13800,17475,0.79
30-12-2024 14:05,55900,0,-1.95,46500,3950,-1.49,939075,0.05,0.05,3675,-17175,-0.18,92625,-0.8,-0.95,3300,-75,0.44
30-12-2024 14:10,101650,-16.85,-11.8,12750,-17550,-2.97,811800,-0.5,-0.55,51300,8850,-0.16,138150,9.55,9.55,-11250,225,0.71
30-12-2024 14:15,42925,5.5,0.1,3925,7750,-1.17,819000,0.2,0.2,14625,17775,-0.15,110700,-5,-5.05,8250,11250,0.53
30-12-2024 14:20,69500,0,-1.9,-15525,3575,-2.02,1037700,0.1,0.05,-93825,13125,-0.2,178275,1.85,1.9,33450,-17700,0.92
30-12-2024 14:25,42825,-7.3,-6.6,28175,-300,-1.2,736575,-1.7,-1.7,3150,64800,-0.14,101175,1.55,1.45,-23025,7125,0.51
30-12-2024 14:30,100800,27.2,30.25,1225,16575,-2.26,1186875,2.65,2.7,137400,-33750,-0.2,162750,-24.3,-24.45,7950,19800,0.69
30-12-2024 14:35,55550,14.15,12.85,1575,-8600,-1.1,1039500,-0.3,-0.3,6300,2775,-0.19,141675,-11.95,-12,-12000,-14700,0.56
30-12-2024 14:40,42850,-3,-7.95,-24775,19925,-0.8,1009050,-2.2,-2.2,-205800,90525,-0.18,207675,1.25,1.65,15825,-750,0.76
30-12-2024 14:45,50375,3.1,3.95,3150,-3150,-0.84,1336875,1.15,1.15,117450,-1575,-0.23,158700,-3.45,-3.4,-9900,21825,0.52
30-12-2024 14:50,49900,3.05,3,9200,-2925,-0.79,1071300,-0.55,-0.55,21900,15600,-0.18,145350,-4.4,-4.4,3225,-14925,0.45
30-12-2024 14:55,113250,23.9,25.9,7050,-7900,-1.34,1425150,0.1,0.1,-244500,-32625,-0.23,209700,-20.55,-20.45,-3150,38700,0.52
30-12-2024 15:00,113925,-36.05,-36.05,-9625,7425,-1.74,2924475,-4.65,-4.65,-163875,-23325,-0.56,398325,30.35,30.45,44700,-42000,1.28
30-12-2024 15:05,57775,-11.1,-13.3,29800,-8150,-1.05,2358000,-1.95,-1.95,54000,-39825,-0.47,246450,11.8,11.85,-34650,-23700,0.84
30-12-2024 15:10,160650,-18.9,-15.2,-33425,4000,-3.47,3300900,-3.25,-3.2,145425,-4500,-0.69,263850,17.75,17.7,-7125,9150,1.04
30-12-2024 15:15,117050,35.1,29.25,21425,1000,-1.83,1815825,2.6,2.6,80850,-48750,-0.34,306075,-36.45,-36.45,-5025,3450,0.93
30-12-2024 15:20,74225,4.85,4,11200,6350,-0.9,1797225,0.55,0.55,-282150,-65325,-0.32,168075,-1.25,-0.75,-11250,-2550,0.41
30-12-2024 15:25,118500,-3.55,-5,-56775,-80325,-1.34,1746450,-2.25,-1.9,-669600,-158475,-0.31,156150,3.55,5.7,-170700,-68100,0.39
