last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
11-12-2024 09:15,-0.05,65525,125,75,-1.05,-2.35,14275,58375,N,127650,N,-2.22,-11.9,5653350,1800,1950,-11.8,-11.8,26100,354700,N,574275,N,-8.32,-8.95,1398050,-175,200,-7.6,-7.6,21525,360450,N,102500,N,-4.73,5.85,71610,15,0,21.9,10.65,9000,27330,23055,-39.13
11-12-2024 09:20,3.95,64300,50,125,10.3,7,18975,62825,N,33050,N,4.41,2.65,4675275,-1050,3000,3.15,3.15,26725,-3019075,YES,247300,N,-0.33,-8.95,1402800,-325,150,-8.4,-8.6,25450,-1482625,Y,106925,N,-4.01,-80.2,49485,600,-30,-75.5,-77.2,9675,23565,17070,1.15
11-12-2024 09:25,6.9,47650,-225,-275,10.4,8.25,15550,11275,N,18500,N,1.55,1.8,4274350,-475,-100,1.35,1.35,35225,192475,Y,153425,N,-0.16,-3.65,1612650,-725,550,-3.65,-3.75,27250,69250,YES,60100,N,-3.1,-18.15,32400,1125,0,-21,-16,8685,10800,6825,-10.81
11-12-2024 09:30,14.7,60000,-275,-75,15.7,13.25,21000,25275,N,18800,N,3.11,3.3,3449225,1000,225,3.35,3.3,27450,101200,N,177775,YES,-0.03,-7,1599475,25,200,-7.4,-7.45,23650,-500,Y,73700,N,-2.69,53.75,24885,-75,1440,58.7,53.65,8685,12405,10830,-3.17
11-12-2024 09:35,-5.65,55950,125,-600,-5.65,-3.35,17950,3000,N,13125,N,3.71,-2.85,4512175,-175,-1500,-2.55,-2.6,29925,11050,N,178925,N,0.41,0.85,1688125,-150,800,1.25,1.25,30950,52600,YES,14525,N,-3.18,3.25,24660,585,-1380,6.2,4.8,11565,-1170,825,2.76
11-12-2024 09:40,-10.2,36575,-550,125,-9.7,-9.45,14350,-2825,YES,2600,Y,0.11,-3.55,3680200,-525,1850,-3.2,-3.2,27650,40550,Y,108900,N,-0.51,2.3,1792100,-800,400,2.3,2.15,24375,23875,N,65700,Y,-0.87,-16,22635,-540,45,-15.75,-7.45,9150,3780,8715,0.41
11-12-2024 09:45,-5.8,45375,25,-50,-6.25,-9.5,18025,14450,N,20350,N,-1.57,-6.1,5323825,1950,1075,-6.3,-6.25,26425,-77325,YES,136875,YES,-1.72,7.5,2513100,-50,775,7.4,7.45,26500,29375,N,-16750,YES,0.84,-43.95,27270,255,495,-51.95,-50,8310,6045,-3570,-4.49
11-12-2024 09:50,6,75725,-25,-25,5,6.1,20400,-4175,YES,2975,Y,-2.85,3.8,4495675,2250,3500,3.25,3.35,33475,7050,Y,-9600,Y,-1.27,-7.45,2639650,-25,-275,-5.85,-5.85,27400,-30175,Y,-3800,N,1.04,0,65565,-285,-210,-2,0,7680,-7920,4980,-16.23
11-12-2024 09:55,27.85,133600,175,-100,28.6,27.75,19200,10475,N,20950,N,4.61,5.2,5813600,2775,-300,5.15,5.25,37725,129700,Y,-33425,Y,-0.14,-12.5,2699500,375,600,-13.1,-13,23950,-14325,N,67575,Y,-2.13,44.05,17610,60,-30,33.45,39,7290,375,16335,-0.99
11-12-2024 10:00,-17.05,79025,25,-250,-11.45,-13.75,17475,9875,N,8900,N,2.44,-3.95,3853050,1875,-275,-4,-4.05,30900,99825,N,202525,YES,-0.1,5,1645775,-150,550,4.6,4.5,24200,90700,YES,32575,N,-1.23,-9.1,6450,0,-15,-16.9,-20.1,6990,3750,4920,-0.09
