last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
20-12-2024 09:15,,12.2,235725,-100,-25,5.9,5.15,17775,38775,N,-2425,N,-14.44,-8.6,2921450,25,-1325,-8.95,-9.15,23350,794025,N,128000,N,-9.73,-17.25,2556525,-225,-275,-13.75,-14.25,25625,2875,N,109525,N,4.33,-117,77985,-165,-240,-123.05,-119.7,7890,14490,14655,-105.05
20-12-2024 09:20,,-17.6,150625,-250,250,-17.9,-21.1,18150,16350,N,34550,YES,2.29,-11.2,2739775,-200,150,-9.95,-9.95,22675,14500,N,131725,N,1.4,11.5,1994525,-50,-25,10.4,10.75,24875,64425,Y,22150,N,-3.7,-136.9,67125,255,0,-136.35,-139.95,8985,-9510,23880,-29.95
20-12-2024 09:25,,4.4,84150,0,-400,4.15,4.5,17825,8975,N,103875,YES,-1.09,0.7,1816875,75,-150,0.75,0.75,22400,1404375,Y,86025,N,-1.45,-7.4,1356275,0,250,-8.25,-8.25,23425,2360825,Y,48900,YES,-0.83,67.25,41655,0,0,62.05,67.5,7185,8400,25320,-12.94
20-12-2024 09:30,,19.5,83425,50,250,19.6,22.95,15750,20950,N,97400,N,0.49,5.85,1853650,325,-350,5.3,5.5,22850,47450,N,30650,N,-0.88,-16.6,1369200,-225,350,-16.9,-16.65,20325,-37700,YES,37825,N,-2.19,0.9,25155,0,-30,3.05,7,7710,-3945,13635,-3.84
20-12-2024 09:35,,116.15,213775,75,175,115.7,112.25,18725,2750,YES,-77875,Y,17.36,70.1,6030200,200,-1050,74.35,74.45,21725,5900,N,-258675,Y,13.89,-38.05,2858825,550,-75,-40.25,-40.25,22250,-38925,YES,54150,N,-11.04,188.8,63300,0,345,201.1,195.75,8445,-540,-28545,16
20-12-2024 09:40,,18,217750,-825,0,17.55,19.95,14450,36250,Y,32250,YES,22.62,15.85,4660575,-75,2550,14.15,14.3,14050,6900,N,118975,YES,13.93,-9.95,2971425,100,-100,-8.25,-8.35,20150,79700,Y,85800,YES,-10.19,-14.15,43740,135,60,-15.75,-16.55,6195,34245,-24720,16.16
20-12-2024 09:45,,-184.55,290250,25,-225,-180.55,-184.55,17500,-80975,YES,59425,YES,0.08,-89.25,3987800,175,350,-89.05,-89.1,17950,-172275,YES,110025,N,1.33,94.05,4612375,-25,75,94.1,94.25,22200,61575,N,-320900,Y,1.15,-315.7,61110,30,-30,-267,-267.95,7275,-18135,17700,-8.48
20-12-2024 09:50,,7.65,316225,-75,1350,11.4,7.4,19975,41225,Y,144500,YES,-15.3,8.45,2855125,150,475,7.9,8,20150,155300,Y,99050,N,-3.08,-2.1,2530300,0,300,-1.2,-1.2,23100,-21050,YES,75250,YES,7.78,36.75,55395,0,60,19.2,23,8415,33870,-19440,-22.02
20-12-2024 09:55,,-34.95,176525,1075,-200,-20.65,-23.85,19775,18850,N,15800,N,-7.22,-10.05,1900950,-125,-900,-6.45,-6.6,22450,7925,N,72225,N,-1.82,28.4,1583075,-50,-325,15.15,15.05,24750,-525,Y,67800,N,4.37,-73.55,48390,120,-240,-70.15,-65.5,8835,-27270,-3495,-17.67
20-12-2024 10:00,,7.1,170250,25,-75,7.2,8.8,17525,37350,N,11600,N,-7.27,1.75,1519950,-225,25,2.15,2.1,24800,80900,Y,39000,N,-1.61,-7,1064225,-100,25,-9.35,-9.55,24900,-23675,YES,18175,N,3.2,27.6,45495,-60,15,29.4,33.3,9675,10155,3000,-15.6
20-12-2024 10:05,,-26,171625,0,100,-28,-26,21350,13550,N,-4575,Y,-7.75,-14.3,1692125,-1425,1200,-13.7,-13.85,22250,-99250,YES,78375,YES,-2.1,11.65,965125,150,-275,10.95,11.15,21350,-7800,N,-46650,Y,3.06,-48.35,31560,-135,-30,-65.15,-62.55,8640,26475,-3465,-11.63
20-12-2024 10:10,,33.65,78200,-75,-175,40.6,36.5,15500,27675,N,-5325,Y,-2.85,12.1,1341975,125,-125,12,12.05,22600,67925,Y,-13175,Y,-1.54,-24.4,727075,-25,425,-24.95,-24.95,18150,-16425,YES,26800,YES,1.91,73.55,22605,15,0,64.95,70.05,8715,-5250,1455,-7.7
20-12-2024 10:15,,97.65,219750,25,-450,95,98.05,16550,20575,N,-31025,Y,-0.99,35.8,3231825,-575,-25,36.8,36.75,23000,14350,N,-252425,Y,-1.17,-58.95,1634350,25,225,-59.3,-59.5,19500,1650,N,9350,N,1.26,153,40500,-75,-105,153.75,138.05,8250,4905,4545,-5.73
20-12-2024 10:20,,-40.15,140725,-250,175,-38.55,-38.05,24175,16300,N,47975,YES,0.12,-14.25,2213625,50,400,-14.1,-14,18450,30300,N,142100,YES,-0.29,22.95,1291550,-175,200,23.75,23.75,20950,42650,Y,4100,N,0.46,-112.9,18945,90,45,-107.1,-100.95,7785,21930,8625,-2.31
20-12-2024 10:25,,16.9,57850,0,1725,16.7,12.55,17300,34050,N,1600,Y,-0.42,2.3,1384650,225,-150,1.4,1.15,24275,76150,Y,50625,N,-0.53,-13.95,838975,0,300,-14.1,-14,21400,375,YES,39800,YES,0.59,77.25,17955,-15,-105,60.05,54.75,7020,1005,-32895,-3.25
20-12-2024 10:30,,27.45,74825,50,800,25.35,21.4,12250,17125,N,-16225,Y,0.52,1.4,2014900,-50,300,1.8,1.8,24075,14975,N,-23850,Y,-0.32,-23.15,1167475,825,-25,-22.65,-22.65,17625,-27025,YES,43525,N,-0.27,11.05,18465,0,0,6.55,3.3,6270,6660,-20835,-1.42
20-12-2024 10:35,,20.25,63675,25,-50,17.3,17,17775,9775,N,4050,YES,0.66,7.3,1403850,150,850,7.3,7.25,22225,34200,N,15375,YES,-0.17,-9.85,1142800,50,-50,-9.35,-9.35,20100,11875,Y,39775,N,-0.74,58.6,20565,-105,330,52.25,47.7,5925,15045,480,-0.48
20-12-2024 10:40,,-5.2,73875,-75,175,-5,-5.25,16300,-3975,YES,-8575,Y,1.02,-5,1798850,25,275,-4.95,-4.95,25675,-14150,YES,-425,Y,-0.06,-0.7,1293125,200,375,0.25,0.2,23400,27525,N,10450,N,-1.07,12.9,17865,90,300,6,3,6810,-1110,-8445,-0.01
20-12-2024 10:45,,-9,39725,-25,-175,-9.8,-6.45,13500,12800,N,-10300,Y,0.24,-3.95,1380950,-125,675,-5.45,-5.4,26075,-35425,YES,48950,YES,-0.41,0.3,1188100,550,-675,1.2,1.2,22425,-8825,YES,-21350,Y,-0.53,-24.2,13695,-255,-330,-17.25,-18.1,7560,1140,-15360,-0.69
20-12-2024 10:50,,52.05,152050,25,725,52.05,48.15,14600,-7675,YES,-105875,Y,3.09,22.1,2756850,25,-150,23,23.05,24425,78550,Y,-106475,Y,0.2,-25.65,1639625,425,-175,-26,-26.3,23975,24425,Y,52225,YES,-1.73,137.4,41070,0,-60,126.6,123.25,9705,-4755,14685,3.12
20-12-2024 10:55,,-19.25,49950,125,-600,-21.35,-19.75,14400,-6525,N,8725,YES,0.82,-13.2,1469300,175,-975,-13.6,-13.5,17675,-9425,YES,101750,YES,0.11,7.3,934250,-100,725,7.65,7.75,18825,38325,N,5375,N,-0.96,-77.5,15810,105,15,-75.2,-84.4,5310,3930,11520,1.12
20-12-2024 11:00,,-4.75,43825,50,-25,-4.3,-7.4,11400,15350,Y,-14225,Y,0.62,-9.25,1464975,-925,25,-8.9,-9.1,23950,-1825,N,46350,N,-0.18,-5.2,1150800,-100,-275,-5.35,-5.5,21575,-11325,YES,28475,YES,-1.17,-0.2,9330,0,90,-0.2,0.45,6825,14535,-28935,0.22
20-12-2024 11:05,,11,24400,0,-150,11,12,14750,11525,N,-3225,N,0.35,7.75,1097175,125,-575,8.3,8.35,25225,66900,Y,-18600,Y,-0.13,-6.1,813150,175,175,-6.25,-6,23900,-775,N,10725,N,-0.89,58.55,13185,75,15,41.95,41.55,6645,2640,2310,0.63
20-12-2024 11:10,,-2.5,46725,-125,275,-6.3,-3.2,16150,3525,N,31450,YES,0.86,-2.75,1072925,-150,150,-3.15,-3.15,24875,-46825,YES,17125,YES,-0.01,3,755300,-125,-500,3.2,3.15,25400,11525,N,13625,N,-0.91,-6,29985,-105,-30,3.25,-8.05,8865,2130,960,3
20-12-2024 11:15,,-51.6,100625,-25,-250,-48.15,-47.65,13200,1875,YES,8375,N,0.87,-20.5,1950100,-775,-225,-20.7,-21.05,24650,-92225,YES,78700,YES,-0.61,28.85,1799075,-25,-475,29.35,29.4,22400,-11700,YES,-76875,Y,-1.05,-112.95,28440,-735,45,-104.8,-97.55,7365,-7815,2865,0.48
20-12-2024 11:20,,24.55,23875,-75,75,21.75,18.55,11450,2100,N,11275,N,0.18,9.55,1042925,1450,75,10.2,10.1,23675,57950,Y,9675,N,-0.25,-13.5,880600,450,-25,-14,-13.9,20775,23250,Y,27250,YES,-0.54,53.2,11895,-30,0,61.75,67.5,7230,2820,21600,0.14
20-12-2024 11:25,,-7.75,22125,-50,50,-8.6,-10.55,9800,2125,N,8025,N,0.14,-5,675450,100,300,-5.75,-5.5,20650,8600,N,32700,YES,-0.19,1.8,546800,-225,50,2.3,2.4,19775,-6800,YES,4200,N,-0.32,25.2,7380,-75,90,24.8,27.7,4650,2265,-7215,0.24
