last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
24-12-2024 09:15,13.5,76850,50,-100,8.45,8.6,11725,4275,62800,8.47,-0.3,3774450,1100,75,0.65,0.65,20000,280425,150925,-2.17,-10.6,2563025,850,25,-11.65,-11.75,17325,197450,101325,-13.14,-41.2,28470,-1320,45,-41.7,-33.6,5505,6570,7890,-33.72
24-12-2024 09:20,7.9,66725,0,0,7.65,2.5,17325,20650,15400,5.1,3.55,3582150,1150,475,3.9,3.95,24725,22075,109025,2.5,-2.5,2388750,425,-125,-2.45,-2.3,26000,-2056525,108550,-3.84,-34.5,24690,-1050,105,-33.95,-25.5,12975,9930,16005,-19.68
24-12-2024 09:25,-0.1,44150,-25,75,1,2.9,11825,4625,12075,1.18,2.05,2841575,-1050,-200,2.2,2.05,29275,102725,77075,0.87,-0.35,2495225,125,900,-0.2,-0.05,29050,47575,90800,-0.84,-18.4,31155,-240,15,-18.4,-23.55,9225,8565,3840,-21.07
24-12-2024 09:30,-51.65,98100,575,-25,-52.85,-57.1,15050,-23100,6675,-9.17,-16,4214175,-75,575,-15.85,-15.95,22775,-114550,250225,-1.66,39.15,5889575,-100,-150,39.15,39.25,22000,88850,-215375,8.11,-40.6,24645,-45,30,-41,-43.3,7275,-8205,-930,-14.31
24-12-2024 09:35,7.95,65500,425,-250,4.5,5.7,16300,24550,-5225,-5.54,2.45,2383950,-8450,250,1.6,1.65,25050,52450,88375,-1.14,-8.2,3462425,250,-200,-4.85,-5.05,24750,-50625,95650,4.41,-23.85,13620,195,-45,-18.35,-22.85,7215,1695,600,-7.66
24-12-2024 09:40,11.05,63875,325,350,12,13.5,12375,-6650,21750,-2.85,3.75,2016700,550,175,3.65,3.7,25175,87425,-33150,-0.5,-6.45,1863500,-150,75,-5.85,-5.9,25800,-21625,81475,1.38,13.6,13110,-180,-135,12.1,13.6,8955,-765,-5535,-6.9
24-12-2024 09:45,36.6,86125,-350,-150,40.45,40.3,12725,18575,2100,2.89,18.7,5880975,-700,3150,19.15,19.15,21275,51625,-243850,2.14,-22.05,3132625,1450,0,-22.5,-22.5,22825,-45450,88250,-0.98,47.85,15300,75,0,47.8,50.4,8145,-990,720,-3.39
24-12-2024 09:50,7.05,81675,-125,0,13.1,15.35,11850,12200,-10925,4.93,4.25,5102275,125,100,3.95,3.95,19200,24875,-23500,2.71,-8.35,2974775,50,-625,-8.3,-8.4,24150,12175,41075,-2.19,10.15,15915,45,-30,9.35,20.95,7245,-4110,1860,0.14
24-12-2024 09:55,27.8,76425,50,-125,27.8,27.2,13125,9225,-31500,3.89,16.25,5050300,200,7100,15.9,15.9,23450,121675,-121225,2.11,-14.65,3521825,-1200,25,-13.6,-13.75,25500,-125500,111700,-2.14,34,30735,-105,585,30.75,33,8595,1320,-21975,-5.77
24-12-2024 10:00,5.9,151750,-1075,450,5.8,6.35,14575,5425,16575,9.64,4.45,6511925,25,325,4.9,4.9,24075,-950,56400,3.82,-3.8,3433425,175,725,-3.9,-3.75,24675,115375,167450,-2.93,25.15,24375,360,0,28,27.6,9570,780,4440,5.28
24-12-2024 10:05,18.35,110725,500,-350,18.1,16.95,22850,6400,13575,6.36,9.5,6353650,600,-125,9.55,9.65,27750,116600,-139800,3.48,-8.45,3439250,1900,1050,-8.55,-8.5,27325,-53675,95450,-2.81,5,20175,-315,90,-0.4,4.15,7395,1005,-990,3.19
24-12-2024 10:10,-15.05,97525,-400,50,-18.6,-14.4,15700,-13575,17050,4.85,-8.9,3892950,-50,800,-10.25,-10.2,19850,-39425,167150,1.79,6,3165375,675,-325,7.3,7.45,29100,208050,74975,-2.39,-38.1,20925,0,-60,-34.15,-38.1,7155,-5880,1815,1.78
24-12-2024 10:15,33.3,176000,25,75,35.4,35.1,15800,12100,-16950,9.4,25.3,7427425,550,50,25.1,25.2,29600,-45300,-262325,4.49,-11.25,4455125,725,1025,-11.45,-11.45,28350,-61075,110525,-3.38,23.7,15885,75,-165,23.65,12.5,7170,-4245,2400,0.9
24-12-2024 10:20,-2.8,159825,0,200,-4.6,-3.85,17750,200,24850,8.12,-6.5,3752775,75,750,-5.6,-5.6,24725,-63350,78925,2.34,0,3184575,1150,-25,-0.05,0,34650,34675,114075,-2.38,-7.2,11610,-45,-45,-6.95,-5,6795,3465,4950,1.28
24-12-2024 10:25,15.7,119450,-175,-800,13.6,14,10250,12500,-2800,4.75,10.9,4157250,400,1575,10.65,10.65,21300,20250,15950,2.27,-4.9,3191825,3525,-1925,-5,-4.95,34675,57750,63200,-2.06,22.55,16950,-90,450,22.05,16.75,4665,-2295,-720,1.47
24-12-2024 10:30,-1.7,107725,625,-75,-0.05,0.95,11250,6475,14950,4.2,-2.35,2364450,-900,250,-2.4,-2.3,22925,-20875,-29100,1.31,-1.25,2210425,2175,25,-1.05,-1,32525,-44725,79175,-1.43,-5.4,13170,-15,-540,-6.4,-5.9,5700,3285,930,1.22
24-12-2024 10:35,-7.95,90575,0,25,-7.75,-9.9,10150,-2750,900,2.94,-4.35,2308800,-650,250,-5.3,-5.15,28000,-39525,59775,1.02,3.4,2107300,75,-550,3.45,3.5,32550,73100,5250,-1.2,-13.65,14880,0,60,-17.55,-15.1,6285,-2100,1905,0.72
24-12-2024 10:40,-22.05,81825,125,1575,-22.45,-22.85,14350,5775,8225,1.55,-15.4,2684575,75,1000,-15.6,-15.7,26000,-38700,47500,0.76,6.65,4349175,1100,-2075,6.7,6.75,31300,85925,-91575,-1.73,-43.8,13455,0,60,-41.25,-41,5400,-5130,225,-0.77
24-12-2024 10:45,5.55,67125,25,-1775,4.6,4.75,13325,-10025,7500,0.95,3.65,3053925,300,50,4.55,4.7,20775,-41475,10225,0.71,0.05,4245025,475,800,-0.75,-0.75,28700,98475,-39925,-1.35,4.1,12165,0,-120,5.85,2.8,4830,3675,-3675,-0.8
24-12-2024 10:50,-2.75,53500,25,-150,-1.55,1.1,12050,13825,-6325,0.61,-0.45,2275025,-25,-550,-1.45,-1.4,27150,86900,24425,0.43,-1.8,3494675,-650,-175,-1.3,-1.35,28200,-64825,90900,-0.89,12.6,12780,-45,15,12.6,13.35,5265,3360,3015,-0.57
24-12-2024 10:55,0.85,56650,-100,75,-5,-6.3,11300,225,11275,1.01,-4.55,2740900,125,650,-2.85,-2.8,25800,-52225,30800,0.71,2.6,2990025,1150,-250,1.4,1.45,28600,-65325,37250,-0.91,8.15,16590,0,-60,10.05,11.1,4920,-675,-735,0.16
24-12-2024 11:00,22.25,56500,25,-50,23.1,24.2,9375,15350,-10825,1.11,14.1,2447225,225,-2850,14.35,14.35,25325,65625,-39275,0.72,-9.95,2803775,1425,-1150,-9.75,-9.75,30950,-42050,150100,-0.96,21.1,12150,45,285,24.05,23,5565,-180,-675,0.28
24-12-2024 11:05,-4.8,91050,25,0,-8.65,-5,8925,-12525,11525,1.65,-6.15,1710475,25,-100,-5.65,-5.7,20700,-9350,44325,0.44,2.95,1899800,-1075,550,2.45,2.45,25275,58725,25050,-0.59,3.8,5310,450,-15,5.85,3.9,4215,-2745,-2355,0.22
24-12-2024 11:10,-11,57500,50,200,-12.2,-13.2,10500,-9500,2150,0.82,-9.35,1435900,25,400,-8.6,-8.65,22300,-16225,72375,0.27,3.3,1703575,-250,975,3.1,3.05,28150,136000,-11025,-0.46,-10.9,7185,-450,-210,-10.9,-10.95,6195,2235,75,0.32
24-12-2024 11:15,16.1,75325,-50,0,19.5,21.75,8350,300,-350,1.32,12.1,2256875,150,-25,12.25,12.3,26250,27275,-97975,0.54,-7.6,3173125,2550,-525,-7.7,-7.7,30250,-228050,162700,-1.02,16.2,9285,-15,-45,15.45,15.95,4950,3270,1890,0.4
24-12-2024 11:20,-4.2,43075,0,-75,-7.45,-9.55,7575,1225,-2900,0.72,-5.6,1346150,425,0,-5.45,-5.45,24475,-9925,91000,0.32,1.85,1482850,-5325,2075,1.8,1.8,34050,25975,23250,-0.46,-9.8,14220,165,-30,-10.05,-3.4,5880,-3390,420,1.35
24-12-2024 11:25,1.95,53450,0,25,2,-2.85,10525,4475,-3525,0.72,-0.85,1199775,75,400,-1.25,-1.25,23950,72150,40550,0.2,-0.75,1294925,150,-775,-0.7,-0.65,37850,36375,34800,-0.37,3.6,4950,-105,0,2.75,-6.9,5085,-510,1800,0.22
24-12-2024 11:30,-10.4,47500,-125,100,-9.75,-8.05,8200,-15875,11175,0.45,-6.1,2150900,1025,-2800,-7.9,-7.75,24650,53150,19125,0.26,4,2334075,-175,1225,4.5,4.6,28275,89900,-129350,-0.58,-17.9,17400,-30,0,-28.3,-21.85,5580,-1215,3840,0.2
24-12-2024 11:35,7.9,42675,25,0,5.85,5,9700,7800,-3675,0.38,3.85,1752125,350,-200,3.6,3.6,26100,-43400,-26550,0.18,-1.85,2338575,1325,-150,-1.85,-1.8,33575,137125,-14375,-0.52,-13.8,14355,405,0,-11.8,-11.6,6660,2730,555,-0.66
24-12-2024 11:40,-1.55,36800,0,-325,-2,-1.55,9175,8750,-3750,0.43,-1.1,1497250,375,1225,-1.1,-1.05,29025,-23875,37925,0.22,-0.05,1585025,25,-200,0.05,0,37125,26375,43025,-0.39,0.8,8655,-390,15,8.7,8.45,6420,1305,-3105,-0.28
24-12-2024 11:45,-7.85,44125,100,-750,-6.65,-5.6,10475,-22050,10325,0.47,-5.6,1544175,-550,-50,-5.15,-5.25,28600,-9325,15275,0.18,2.85,1904775,325,600,2.55,2.6,37750,104650,-475,-0.46,8.75,7485,555,-30,9.1,2.8,5880,-1110,90,-0.12
24-12-2024 11:50,1.9,36350,-175,0,2,4.85,11175,11350,-6650,0.27,2.6,1719125,-2850,425,2.3,2.5,25625,68375,-9875,0.14,-2.15,2248725,0,1975,-2.15,-2.1,32650,-51500,98975,-0.45,24.25,7800,-435,-30,24.25,28.55,4755,1050,-315,0.02
24-12-2024 11:55,-0.05,67175,-175,0,4.65,2.9,7675,-8025,10800,0.6,-1.75,1639125,-1150,50,-0.4,-0.5,28675,-8400,33800,0.13,-0.5,1471900,-475,775,-0.65,-0.65,38000,49650,24275,-0.3,-13,7260,45,45,-12.25,-7.75,6990,-9975,7680,0.19
24-12-2024 12:00,-28,103875,0,-25,-26.6,-28.65,10075,-27025,2425,0,-13.6,3645025,2275,400,-13.15,-13.15,28225,-178100,121675,-0.07,11.5,5445050,550,1450,10.9,10.95,42700,-134850,-353650,-0.59,-2.75,18420,-45,-15,-2.35,-3.85,4665,270,-1170,0.43
24-12-2024 12:05,-2.25,46575,0,-50,-3.65,-1.5,9400,6975,175,-0.08,-2.55,2912950,-525,-550,-2.75,-2.85,26100,51350,32200,-0.19,0.8,3815850,2700,125,0.7,0.65,29625,-15425,47450,-0.25,2.45,7740,-60,75,-0.55,-1.75,4005,-1185,90,0.09
24-12-2024 12:10,-9.95,120525,125,-650,-7.45,-7.8,11600,-14125,600,-0.72,-6.2,2892600,-700,-650,-5.9,-6,29650,38900,10675,-0.34,5.25,4822325,75,300,4.85,4.85,34125,14075,-145475,-0.09,-3.05,10275,-120,30,-0.2,2.8,5445,2415,-4110,0.15
24-12-2024 12:15,-6.3,74550,-50,0,-9.25,-8.25,11050,22900,-8525,-0.7,-3.65,3722000,75,1550,-3.9,-3.8,31800,40750,78550,-0.61,3.1,6199075,0,975,3.3,3.35,26975,-47400,-124075,0.25,-2.05,12450,-15,60,-0.4,0.2,5355,-1710,3075,0.13
24-12-2024 12:20,-12.15,49250,-300,25,-5.85,-6.95,8025,18975,-1300,-0.56,-7.2,2855525,550,275,-3.35,-3.35,26550,-44925,18425,-0.56,5.85,4071200,-150,-550,2.95,2.95,28275,-18625,-58525,0.25,2.05,13560,30,-90,1.3,-3,4860,6645,-720,0.12
24-12-2024 12:25,11.15,70650,75,0,11.15,10.25,8925,-1525,-1850,-0.73,3.55,3277525,-2300,-550,4.7,4.7,34625,90725,-53225,-0.6,-5.05,4276375,-275,-800,-5.9,-6,29375,-184900,63150,0.17,6.7,8865,-15,45,5.85,5.2,6120,-2235,-2355,-0.03
24-12-2024 12:30,12.3,101350,0,0,13,13.7,8450,18175,-3375,-0.64,6.6,3275400,325,-175,5.6,5.55,23800,190200,-52875,-0.46,-10,3266950,1525,-225,-9.2,-9.2,24300,-84750,71925,-0.05,24.9,12345,75,-15,19.35,23.6,5310,2655,-495,0.41
24-12-2024 12:35,9.5,91000,75,50,9.5,9.5,10225,4650,-9500,-0.2,5.3,3940125,-25,1575,5.05,5.05,28700,14200,-400,-0.37,-6.3,3105625,-650,-75,-5.8,-5.85,27350,106950,-8075,-0.25,28.3,15120,0,0,33.85,28.3,7365,-14415,-7110,1.16
24-12-2024 12:40,0.35,85400,-75,75,4.05,2,10400,-2025,350,0.01,1,3214325,-100,-100,0.65,0.65,30075,-54200,47350,-0.21,-2.95,2468650,400,1525,-2.35,-2.3,25800,-35800,51375,-0.26,8.85,10920,210,0,5.4,7.95,5745,1845,795,1.05
24-12-2024 12:45,1,85100,-125,150,-0.15,1,10400,2350,6800,0.24,-1.25,4527500,-325,-425,-0.75,-0.8,27400,-134525,-6500,-0.16,0.65,3892525,900,275,0.35,0.4,38000,63400,-8100,-0.51,-12.65,21180,-300,60,-8.1,-10,8340,-405,90,1.9
24-12-2024 12:50,-5,50200,-25,250,-2.1,-5,7875,-6975,700,-0.04,-2.8,2266700,1800,1475,-3.3,-3.15,23775,-4775,80650,-0.19,1.2,2455800,-225,450,1.2,1.25,28425,78850,62500,-0.23,-11,13830,30,-30,-8,-10.2,9645,-165,570,0.92
24-12-2024 12:55,-9.1,55725,0,-275,-6.9,-6.95,9775,12575,-7525,-0.13,-1.85,1876500,-25,-200,-1.1,-1.1,24900,75750,41425,-0.2,1.55,2609425,600,400,1.35,1.5,24200,34025,7025,-0.19,-7.2,14775,105,-75,-6.5,-6.85,8790,-765,3690,0.71
24-12-2024 13:00,-7.9,72675,75,25,-7.25,-5,10075,-1700,0,-0.23,-4.85,2236850,-50,50,-4.15,-4.25,28300,-20225,111075,-0.26,3.75,2264425,75,-75,3.25,3.2,27600,-15925,-58450,-0.15,3.8,14205,-195,375,3.9,-0.9,6960,-270,-495,0.67
24-12-2024 13:05,3.95,78000,-25,75,4.15,3,11125,2475,-1525,-0.37,0.1,1982200,-1025,-250,0.6,0.55,29675,3575,-13625,-0.27,-0.75,3037975,450,850,-1,-0.95,30025,-122000,72975,-0.12,-8.3,13905,0,-345,-8.4,-7.9,6300,-1830,-1980,0.41
24-12-2024 13:10,-1.35,57825,150,-75,-0.3,-0.05,13050,3550,-9325,-0.24,0.75,1426425,-1225,-750,0.55,0.55,27150,49900,-2925,-0.19,-2.35,1735375,-25,-950,-1.95,-1.95,26750,-10375,13600,-0.08,0.95,11130,15,-15,-1.95,-1.5,6840,-765,30,0.36
24-12-2024 13:15,0.6,107625,-75,-175,-3.4,0.3,6725,750,11550,-0.18,-1.3,2500725,-1175,175,-1.35,-1.35,28625,-17525,72450,-0.28,2.35,2487225,-75,-400,2.1,2,31375,40725,-24475,-0.15,4,12525,15,105,4.1,4,4860,-1125,1470,0.44
24-12-2024 13:20,7.75,50325,-125,25,9.5,10.15,10100,825,675,-0.17,3.5,1397000,-775,-400,3.5,3.5,34225,22175,-95500,-0.16,-4.7,1672825,1425,1825,-4.7,-4.6,32425,-90925,97675,-0.1,15,10890,-45,180,15.25,21,6870,2295,-1215,0.48
24-12-2024 13:25,-15.05,85500,0,25,-14.5,-9.85,9950,4150,2425,-0.38,-6.9,2164550,-275,-900,-6.55,-6.55,21800,-104150,208425,-0.28,7.3,1951825,350,875,7.15,7.2,24125,105225,-94850,-0.08,-11.2,9915,15,-150,-11.9,-14.3,5895,630,1740,0.46
24-12-2024 13:30,2,121700,25,0,1.95,-0.55,11675,2025,-6000,-0.62,1.4,1533975,-525,250,0.9,1,37575,59875,-31650,-0.21,-1.1,2113075,-500,50,-0.75,-0.75,27775,17100,-11425,-0.05,-16.8,10215,15,15,-16.75,-17.55,5490,-1305,90,0.24
24-12-2024 13:35,5.05,57350,50,175,0,1.05,7750,-2875,5300,-0.22,-1.5,1389800,2425,225,-1.45,-1.35,30950,6025,16000,-0.18,1,1681125,1125,25,0.85,0.9,29400,-23375,-3650,-0.06,5.85,12825,-45,165,5.8,10.85,5730,-90,-870,0.33
24-12-2024 13:40,-39.95,115275,-25,25,-34.15,-33.5,13025,-30925,7850,-1.1,-14.65,4777725,1300,300,-14.25,-14.25,27950,-184425,2075,-0.9,19.35,6740800,100,-125,18.55,18.65,31000,150450,-408225,0.36,-38.3,22590,15,45,-38,-32.65,8580,-375,150,-0.11
24-12-2024 13:45,-9,77050,600,0,-10.05,-11.25,13850,13700,-6350,-1.05,-3.7,3520950,975,500,-4.1,-4.1,28250,3350,-30625,-0.79,7.55,5207900,250,0,7.95,8.05,23925,-27875,-125700,0.65,1.3,35430,-60,-30,1,-2.45,8055,3480,-225,-0.73
24-12-2024 13:50,18.25,70675,-575,75,18.35,18.2,11975,12275,-1775,-0.79,5.3,2852400,125,-400,5.15,5.1,26150,181575,-23800,-0.6,-14.15,3390125,200,-125,-13.9,-13.85,26675,-144925,143075,0.26,23,17280,135,-630,26.35,23.85,6825,-2400,-240,-0.01
24-12-2024 13:55,-8,60800,0,-50,-3.5,-5.75,8675,6350,-3350,-0.64,-3.3,1556575,650,-400,-2.25,-2.25,25850,-22700,88325,-0.32,5.95,1873900,-50,1325,3.75,3.8,26825,14650,-16700,0.13,-4.5,13230,15,15,-2.5,-2,6465,-4470,-330,0.13
24-12-2024 14:00,2.3,86275,0,-75,0.95,2.95,9775,-9875,1725,-0.97,0.75,1637925,-800,625,0.9,0.9,26775,150250,-13300,-0.34,-1.4,2405925,25,325,-1.65,-1.55,26925,-56300,59725,0.2,-5.95,13980,-90,0,-0.2,0.25,7605,-870,-2700,0.07
24-12-2024 14:05,-13.55,119375,-25,0,-17.5,-17.7,12150,-7800,-2475,-1.49,-6.9,2978075,-50,225,-6.85,-6.85,28750,-124775,95825,-0.67,9.75,3382825,-150,-1325,9.65,9.65,26300,75850,-163850,0.39,-5,15840,210,-135,-5.4,-11.25,5505,555,915,-0.05
24-12-2024 14:10,25.35,140100,0,-25,29,27.15,10275,-6975,6475,-1.52,9.25,4093100,-500,-1800,9.55,9.5,26475,116200,-173775,-0.8,-16.35,3779375,275,850,-17.45,-17.4,18525,-156900,36850,0.2,35.3,29610,-165,-75,34.3,35,8130,-2970,-5625,0.6
24-12-2024 14:15,-36.95,75750,-125,100,-40,-37.8,19150,-11150,-1900,-0.89,-14.65,4262050,1225,525,-14.55,-14.55,32575,-109550,79450,-0.93,23.35,4763200,625,375,22.95,23.1,25850,108200,-106300,0.52,-22,9735,0,0,-28.5,-22.75,6750,-825,1875,0.14
24-12-2024 14:20,8.6,54700,0,25,12,9.2,13775,2600,-4600,-0.75,3.45,2452500,-500,-1525,3.45,3.4,27700,19925,7600,-0.58,-7.9,2387475,100,0,-6.3,-6.3,23950,-70750,37675,0.33,-15.55,12555,0,-405,-7.8,-11,5550,-2055,-1830,-0.02
24-12-2024 14:25,12.1,59725,0,-50,11.75,11.25,11050,-4950,2900,-0.64,4.3,2566175,-1875,-550,4.6,4.55,26075,59975,-14325,-0.52,-6.05,2269700,-950,450,-6.7,-6.7,27100,5325,67050,0.19,14.5,12300,-30,30,9.45,13.2,7035,-3555,-960,0.1
24-12-2024 14:30,-6.15,58875,0,100,-3,-4.25,8650,6850,-3075,-0.55,-2.4,2702300,-700,-2075,-2.35,-2.4,23050,-64825,71875,-0.5,2.75,2503400,475,25,2.4,2.4,19250,41125,-18175,0.16,-15.85,11220,-315,225,-11.1,-11,5835,2955,930,0.16
24-12-2024 14:35,2.2,46825,0,50,1.5,-0.1,10625,350,-1200,-0.48,-0.7,1382350,1100,-750,-0.35,-0.3,24750,178300,29175,-0.27,0.9,1431350,-250,-875,-0.2,-0.25,26925,16400,875,0.11,3.95,16740,-15,-270,2.3,-0.9,5220,-4740,-2715,0.04
24-12-2024 14:40,6.5,72675,-475,200,7.7,6.45,10100,10800,3300,-0.73,1.3,1496175,700,-200,1.7,1.7,24650,-154925,-62075,-0.29,-4,1833500,-150,150,-4.75,-4.8,22400,-111125,47150,0.13,-3.05,23070,30,795,-2.3,0,6705,4185,4680,-0.06
24-12-2024 14:45,-6,89850,50,-25,-6.1,-3.95,9125,-2250,-4600,-0.85,-0.95,1081750,450,475,-1.05,-1.05,20875,3525,2300,-0.2,2.15,1403000,350,-400,2.3,2.35,26475,54150,3875,0.09,-0.05,12090,165,-705,-3.4,-3.1,8460,2895,510,-0.05
