last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
31-12-2024 11:05,40,56500,-50,-775,41.55,40,13825,-12275,5200,1.44,16.25,1752225,-225,-2475,17.85,17.95,42675,39225,-70350,0.89,-20.4,580575,75,-375,-21.8,-21.85,36675,-31350,39525,-1.04
31-12-2024 11:10,17,82400,0,0,18.3,15.95,16700,62400,-31825,2.59,7.9,2701575,150,-1425,7.25,7.2,39825,29325,39825,1.82,-11.6,651150,2175,375,-11.65,-11.85,34875,12975,8100,-1.51
31-12-2024 11:15,-29.3,91550,50,-525,-31.9,-30,19625,-19625,59675,2.34,-15.15,1804575,-375,-375,-15.4,-15.35,44625,-45675,74925,0.94,16.35,764550,75,-75,16.35,16.55,36450,20475,-2550,-1.58
31-12-2024 11:20,12.7,27200,25,25,11,11.25,10875,-1675,22550,0.58,6.6,1137600,-150,600,6.95,7,40275,38175,5700,0.5,-4.5,451500,0,225,-5.6,-5.6,40425,5700,25725,-0.8
31-12-2024 11:25,-5.7,27275,-25,75,-7.85,-7.3,10500,-4525,20475,0.65,-2.15,1303725,-150,-450,-1.4,-1.45,42375,-14325,22275,0.63,3.5,548850,600,-150,3,3,42075,10875,1575,-0.96
31-12-2024 11:30,-11.8,42725,450,1550,-7.5,-9.75,16100,-8725,1275,0.64,-2.7,1463550,-5625,225,-2.2,-2.1,40875,8625,-7500,0.43,3.7,739500,-375,75,3.2,3.4,39750,-12525,-24300,-0.83
31-12-2024 11:35,-0.2,25475,25,-1650,-0.25,0.95,19875,13525,5375,0.38,-0.2,639750,150,1350,-1.7,-1.7,39075,5700,21975,0.18,1,424500,0,150,1.85,1.75,49575,825,14325,-0.42
31-12-2024 11:40,33.2,47275,425,125,32.75,34,15675,3575,-57650,1.09,15.45,1870200,-1275,75,14.95,15.05,41550,6000,-49950,0.86,-15.2,672000,2325,-375,-14.4,-14.55,33675,3375,14625,-1.04
31-12-2024 11:45,-17.7,25125,0,-100,-17.2,-17.8,12675,-36650,24425,0.62,-5.95,1470300,-1425,1050,-6.1,-6.15,37875,-29250,41175,0.7,5.85,438600,375,-75,6,6.3,40125,14925,22050,-0.68
31-12-2024 11:50,-21.8,26225,100,825,-21.3,-19.95,11525,9225,11050,0.45,-9.05,1169475,-450,600,-9.15,-9.2,43500,11175,43650,0.38,11.55,526200,-375,0,11.85,11.8,41775,6000,-26100,-0.57
31-12-2024 11:55,7.6,16425,0,650,7.6,8.15,10875,16525,600,0.23,3,906375,-75,-150,3.3,3.3,41925,38250,-18975,0.24,-3.2,522225,75,150,-2.85,-2.85,41925,-2250,-750,-0.42
31-12-2024 12:00,-3.3,14800,50,-525,-6.9,-5.55,10050,-675,32750,0.27,-4.7,1221375,0,450,-4.8,-4.85,41400,-53400,38850,0.4,5.8,610800,1275,75,6.15,6.1,40350,7950,825,-0.61
31-12-2024 12:05,-17.65,29850,25,75,-15,-12.7,12250,-5050,675,0.32,-2.2,1047075,225,1500,-2.75,-2.7,43725,-8550,36600,0.19,6.5,764250,-1650,600,7.35,7.6,40275,2775,-12975,-0.31
31-12-2024 12:10,13.1,19000,150,-25,15.95,11.85,11575,-1100,-17000,0.27,2.6,861300,75,825,2.15,2.2,37575,13050,2550,0.22,-5,479700,225,-75,-4.6,-4.6,36375,12225,6750,-0.33
31-12-2024 12:15,8.95,8675,25,50,6.85,10.35,9250,62300,-1275,0.13,0.95,635850,-450,750,1.1,1.1,41325,-4425,-17250,0.16,-6.85,331500,300,-150,-7.3,-7.25,42300,1650,-4650,-0.26
31-12-2024 12:20,15,22450,125,-25,19.6,16,10825,1525,-7575,0.47,8.55,1347000,225,-300,8.6,8.7,45375,7500,-41400,0.47,-9.8,548700,750,0,-10.1,-10.05,38775,-12600,29850,-0.63
31-12-2024 12:25,0.85,35575,-175,75,-1,2.05,17375,3725,19800,0.81,3.1,1414425,-1350,-75,2.75,2.6,41175,-5700,1200,0.55,-0.3,419250,-150,375,0,0,36300,8550,20925,-0.5
31-12-2024 12:30,14.35,71875,0,175,18.8,14.3,16925,3950,-44625,1.78,6.3,2201700,-75,1275,5.45,5.5,42075,20550,-41925,0.91,-9.4,714225,-75,375,-8.9,-8.95,41175,-4950,20550,-0.88
31-12-2024 12:35,-24.5,31100,750,-550,-26.95,-24.5,14750,-9350,7475,0.69,-13.1,1546125,-75,-375,-13.25,-13.35,45900,-65250,65925,0.54,13.65,473025,900,-900,13.45,13.5,43050,31050,-16950,-0.55
31-12-2024 12:40,-6.1,51600,-600,100,-6,-5.9,15750,31625,-2900,0.79,1,1300125,-8100,300,1.3,1.35,43575,32700,8625,0.28,2.6,677325,-150,-4050,2.2,2.35,36975,16800,9075,-0.51
31-12-2024 12:45,-1.3,16925,0,50,-3.45,-0.95,11850,9575,2450,0.23,-0.95,804075,1275,-675,-1.3,-1.25,39975,39300,22200,0.16,0.9,435675,-75,-1725,0.8,0.85,38775,-8250,10500,-0.31
31-12-2024 12:50,-2.7,20225,-25,250,-2.9,-6.95,13700,-20725,-1350,0.28,-1.4,1025100,-75,-300,-1.1,-1.15,40575,-23775,12525,0.2,1.35,595875,375,450,1.25,1.3,40275,-10050,2925,-0.42
31-12-2024 12:55,-12.5,34075,50,1000,-15.85,-11.5,14325,-6025,6675,0.36,-6.4,924600,225,-300,-6.3,-6.35,40575,-35175,39075,0.11,7.95,603075,-450,-375,7.55,7.55,42075,11550,-43275,-0.27
31-12-2024 13:00,3,21575,75,0,2.3,3.05,11800,16900,5025,0.18,-1.05,962700,225,375,-0.6,-0.6,41400,5850,61200,0.08,-2.75,554175,0,75,-3,-3.05,42375,-21525,19275,-0.23
31-12-2024 13:05,18.2,22850,25,-25,21.7,19.5,12950,125,-5175,0.27,8.85,1021050,-225,75,9.4,9.4,39000,3450,-50925,0.16,-12.85,429525,525,-75,-13.65,-13.7,36975,12150,15000,-0.3
31-12-2024 13:10,-6.7,23150,-25,200,-5.85,-4.9,10950,6600,-4450,0.29,-2.2,643425,-600,600,-2.25,-2.25,45600,11175,27975,0.09,0.55,238050,225,-450,0.4,0.4,38175,-9825,8400,-0.16
31-12-2024 13:15,-7.05,10450,-200,25,-3.8,-4.95,10825,25050,-1200,0.13,-2.2,778050,-150,825,-2.9,-2.75,42225,34125,16200,0.11,2.4,361275,-225,375,4,3.95,40800,-15750,-8325,-0.25
31-12-2024 13:20,33.9,22225,275,450,32.95,30,13275,10250,50,0.35,12.85,1468125,-150,0,13.65,13.7,43875,11625,-103875,0.3,-17.35,627300,75,-225,-17.7,-17.7,41250,4950,29175,-0.55
31-12-2024 13:25,14.7,42400,225,-700,10,13.65,12800,1250,-4900,0.88,4.1,1480275,-300,-1125,3.2,3.2,38400,12375,7050,0.39,-7.6,759525,225,-600,-6.65,-6.65,38925,-975,32700,-0.85
31-12-2024 13:30,-9.7,21100,-25,0,-10.7,-9.7,11975,-2200,5100,0.4,-4.5,901350,1125,0,-3.8,-3.8,40425,-3375,31050,0.23,5.7,376575,0,300,5.15,5.2,39750,29100,1575,-0.4
31-12-2024 13:35,41,133700,0,25,42.8,41.1,16425,-2925,-78850,3.38,26.3,2534025,-150,-75,24.2,24.3,40125,-2175,-264825,0.99,-21.6,1029975,150,375,-20.45,-20.65,35250,-67950,37800,-1.4
31-12-2024 13:40,-15.85,140350,200,-25,-17.95,-16.55,19225,16725,11800,3.9,-9.5,4020525,-525,450,-10.45,-10.55,38850,-5100,45150,2,7.75,2470875,-150,-75,8.85,8.9,44475,140475,-30150,-3.64
31-12-2024 13:45,-11.9,61225,0,550,-6.35,-11.6,15850,4900,16050,1.39,-5.25,1651050,225,375,-5.3,-5.3,41250,-12000,79650,0.62,4.45,891600,750,-225,5,5.1,39375,48900,-17550,-1.02
31-12-2024 13:50,6,48050,-75,-325,6.35,7.95,19625,10625,-25,1.02,5.25,1818975,1050,450,5.6,5.65,36750,43650,16050,0.66,-3.7,849975,75,75,-4,-3.8,37425,6750,31275,-0.91
31-12-2024 13:55,2,29325,0,-350,3.95,2,15000,11075,-300,0.63,3.15,1480725,450,-300,3.1,3.1,37950,4650,26700,0.53,-2.75,695325,-75,375,-2.15,-2.2,39450,15225,2700,-0.72
31-12-2024 14:00,38.05,88025,600,25,37.55,41.2,17525,-7450,-20550,2.38,21.25,3495675,225,-150,22.25,22.3,40350,48225,-193725,1.75,-16.8,1692825,1350,450,-16.9,-17,38250,-100575,63375,-2.13
31-12-2024 14:05,9.1,156025,0,-100,12.6,10.7,22775,15375,-3125,4.87,5.95,3847050,825,300,6.4,6.5,38775,303150,55350,2.23,-7.5,2403150,825,900,-7.95,-7.85,45225,139800,43800,-3.36
31-12-2024 14:10,-12.35,41100,0,-75,-12.9,-14.1,14600,-100,18100,1.15,-9.6,2128050,0,225,-9.5,-9.6,40575,-45000,57075,1.03,3.9,1581150,-300,0,4,4,41475,53100,85275,-1.98
31-12-2024 14:15,-38.65,62000,375,-525,-38.45,-37.8,14200,-1600,19450,1.33,-21.7,2973300,-450,-600,-21,-21.1,41250,-73050,31050,0.97,19.8,3288450,1500,-150,20.05,19.9,42000,112125,-142350,-2.93
31-12-2024 14:20,-1.45,81150,-300,-875,-6.45,-1.15,15575,-24850,-1075,1.14,-1.1,2792175,-3600,-1050,-1.4,-1.4,41475,27600,-20475,0.46,4.3,2956200,-150,-300,3.8,3.75,43575,-134475,-66150,-1.44
31-12-2024 14:25,-8.75,25275,-175,175,-4.65,-3.65,14775,1975,5025,0.36,-1.2,1339650,825,375,-0.05,0,47325,27525,53850,0.25,1.1,1029825,975,750,0.1,0.1,44625,-12675,33750,-0.51
31-12-2024 14:30,-7.15,33450,0,100,-11.45,-12.1,14550,4250,-725,0.4,-6.65,1355925,675,2250,-7.2,-7.1,45825,34950,38550,0.18,4.75,1229850,-750,0,5.15,5,39150,-12150,-59625,-0.47
31-12-2024 14:35,25.4,27525,0,0,25.2,23.75,11775,-5750,6375,0.39,8.8,1806750,675,825,8.3,8.4,43875,-72375,-52800,0.27,-13.4,1579200,1050,225,-13.6,-13.5,39150,-75450,50100,-0.79
31-12-2024 14:40,-6.15,28450,150,225,-6.05,-10.6,12075,-7725,9600,0.39,-4.95,2268525,75,600,-4.7,-4.7,42600,35700,2625,0.3,0.35,1526550,-75,225,-1.05,-1,43875,-24975,16125,-0.74
31-12-2024 14:45,8.8,34250,-50,-100,7.5,9.25,15475,3700,1075,0.55,6.75,1989375,75,1500,6.15,6.25,46875,30375,1650,0.34,-3.35,1067400,150,-1725,-2.75,-2.85,43500,78000,33300,-0.62
31-12-2024 14:50,-8.8,52300,150,-1425,-6.85,-8,15900,-58775,19000,0.84,-3.2,2284875,375,-75,-2.95,-3,39150,1575,40575,0.42,7.2,1473150,-225,0,4.9,4.95,40650,-6975,-28200,-0.8
31-12-2024 14:55,20.95,40475,25,75,19.65,20.95,14125,375,-1525,0.65,12.25,1724700,-75,375,11.35,11.65,38550,41775,-91725,0.35,-12.25,978450,-150,375,-12.15,-12.15,37050,-40950,97125,-0.55
31-12-2024 15:00,-22.9,43350,0,0,-20.75,-18.25,12650,-5425,775,0.61,-13.45,2063850,0,-3000,-12.05,-12,43575,7425,72900,0.32,11.65,1692375,300,600,10.4,10.45,40125,18450,-79500,-0.79
31-12-2024 15:05,17.9,64425,-375,-25,17.9,17.05,14075,-4750,-6325,1.03,7.1,1623750,525,0,7.9,7.9,41625,-38175,-28500,0.28,-9.5,1342125,0,0,-10.5,-10.55,45825,-525,22575,-0.72
31-12-2024 15:10,8,59325,125,25,7.65,6.55,13350,43150,-2850,1.04,5.1,1464675,450,450,5.4,5.4,40050,-8250,-20700,0.31,-3.5,916875,150,-225,-3.95,-4,40200,-108075,11175,-0.53
31-12-2024 15:15,-12.05,99600,-150,-150,-10.4,-14,15100,-16075,-1825,1.55,-7.1,1741575,75,-150,-6.9,-7,49650,-38250,27825,0.3,4.5,1141125,375,1650,4.8,4.9,41625,-27750,-75600,-0.59
31-12-2024 15:20,2.3,123550,-150,50,2.9,2.55,17625,-11025,-7075,1.8,1.85,1322700,150,-2850,2.15,2.05,42750,-33975,-56025,0.2,0.2,966075,-75,1125,-1.1,-0.95,42825,18525,-28425,-0.49
31-12-2024 15:25,15.2,147175,575,0,14,12,21325,-79950,-94875,2.25,6.85,2101125,3150,-450,5.85,7.2,48825,-323550,-215625,0.38,-8.25,1282200,-300,-7050,-10.2,-8.25,45825,-369750,-104625,-0.67
