last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
31-12-2024 09:15,2,216075,225,-250,12,7.95,16500,66850,29350,3.89,0.35,2280750,-300,1200,1,0.9,36750,249825,63000,-0.08,-2,1276650,150,75,-3.95,-3.75,33000,21000,47925,1.47
31-12-2024 09:20,-9.8,173775,-50,125,-8.85,-12.7,19600,60000,18900,-5.04,-1.55,2033250,150,1125,-1.8,-1.8,46200,-1406100,106275,-1.13,7.9,1572600,75,0,9.2,9,38775,-1728900,37650,5.23
31-12-2024 09:25,-6.15,99200,0,-25,-3.85,-2.4,15900,-33925,25975,-2.13,-1.7,1599600,975,8025,-1.95,-1.9,42900,86700,92550,-0.76,-0.35,866550,0,225,-0.15,-0.1,36450,-1875,33525,1.58
31-12-2024 09:30,20.95,91425,25,575,15.9,15.1,18500,14275,-26850,0.06,5.05,1554150,1125,-150,5.1,5.15,40050,95325,-5550,0.03,-12.8,803175,-225,-75,-12.5,-12.55,43200,-16125,36000,-0.27
31-12-2024 09:35,34.75,105350,125,-750,34.7,36.9,17425,17975,-65775,3.41,17.5,2971050,75,-75,17.3,17.35,39750,-42450,-21300,3.49,-19.35,801900,75,-450,-18.1,-18.2,39450,-11175,43425,-2.28
31-12-2024 09:40,-61.6,169600,325,-100,-65.45,-64.9,16625,-65375,22600,-1.78,-23.7,3532800,-300,750,-23.75,-23.85,43425,-96225,134100,0.06,42.5,1505250,375,-975,42.05,42.35,41850,39825,-94275,0.64
31-12-2024 09:45,-11.25,109075,750,0,-9.8,-10.3,17375,86575,17575,-3.2,-3,1851750,600,75,-2.85,-2.8,45825,84075,104925,-0.88,11.15,1138500,0,1050,11.6,12.15,37725,-62250,2475,2.8
31-12-2024 09:50,7.7,127675,-1025,-350,4.8,6.7,22650,45600,4750,-3.82,-0.05,1896900,-150,-750,-0.1,-0.2,43800,45675,65400,-1.09,-3.4,843375,75,-225,-3.9,-3.85,40875,-26775,15525,2.48
31-12-2024 09:55,23.45,82775,25,-25,21.25,20.05,18075,80200,2350,-1.8,5.45,1509000,600,-675,5.6,5.6,41025,96300,-81600,-0.5,-18.15,735150,0,-150,-17.9,-18,39975,-3150,16125,1.26
31-12-2024 10:00,-5.9,55975,-200,-125,-11.45,-7.9,16550,11675,28825,-0.56,-3.65,1216575,150,1350,-3.55,-3.45,42225,57675,77625,-0.27,6.5,643200,0,300,6.45,6.45,39225,5625,11775,0.36
31-12-2024 10:05,-57.5,198875,-50,-100,-55.5,-54.4,18000,-111825,5075,-6.9,-10.9,2238225,-1425,-1275,-10.25,-10.35,44400,-126300,62250,-1.14,45.3,943800,-75,-450,41.55,41.9,35550,24450,-75750,2.54
31-12-2024 10:10,5.55,105200,25,100,1.6,0.25,19150,29675,14875,-4.14,1,1573800,1125,-300,0.75,0.8,44250,67800,-10425,-0.95,-0.6,681750,-75,-150,-0.65,-0.65,40050,-27075,18975,2.7
31-12-2024 10:15,66.25,103250,-50,-125,61.2,66.2,15450,-28075,-12925,-1.34,14.5,2103300,-225,0,14.4,14.4,41100,5700,-105075,-0.48,-45.75,674325,-225,0,-45.8,-46,36675,-27375,11850,1.02
31-12-2024 10:20,16.6,149775,100,0,20.55,21.1,19400,55775,-1225,1.17,8.1,3104025,-300,1125,7.9,7.9,44700,-165225,-20250,0.65,-12,658275,525,-150,-12.05,-12.2,39450,5925,25200,-0.2
31-12-2024 10:25,-25.4,99900,875,-125,-22.15,-24.35,18050,-59850,49725,1.05,-10.55,3075075,-1125,1425,-9.7,-9.7,43500,-9525,45750,0.64,19.95,797025,-75,0,17.9,18.1,38100,18525,-11400,-0.6
31-12-2024 10:30,14.2,56075,-50,450,10.3,11.6,18450,26575,9575,0.15,6.1,1307250,1800,-1050,6.4,6.45,43950,33525,-24150,0.1,-7.95,306225,150,-75,-8.75,-8.9,39075,4800,39300,-0.03
31-12-2024 10:35,14.1,44425,450,-25,18,15.1,16700,17625,-700,0.41,6.9,1265325,-375,-1875,7,6.95,36600,20325,-13125,0.31,-12.3,365325,-450,75,-12.65,-12.7,36150,16500,19500,-0.27
31-12-2024 10:40,5.55,34675,-250,375,3.5,4.4,15850,-5800,650,0.36,4.7,1107300,900,-1050,3.9,3.9,43800,9525,-375,0.31,-6.1,222675,-375,-75,-5.1,-5.25,44400,4575,-675,-0.18
31-12-2024 10:45,-7.1,51850,-250,-325,-5.8,-1.75,18550,13075,-19525,0.34,-1,1460100,-525,-1350,-0.7,-0.8,39300,-5775,14175,0.35,7.05,430125,600,525,6.2,6.35,35475,-18075,-26025,-0.15
31-12-2024 10:50,62.05,147825,175,325,58.2,62.05,15175,20950,-58900,3.52,25.95,3435225,-1050,75,26.75,26.8,38475,14775,-310425,2.13,-33.75,919350,0,-150,-33.5,-33.55,38475,-53625,16575,-1.24
31-12-2024 10:55,-16.6,104650,-100,75,-16.55,-16.85,19975,22450,51250,2.91,-9,3032250,1800,-375,-8.9,-8.9,44325,-15000,99225,2.1,7.35,867375,-375,-300,6.75,6.65,38850,81900,27000,-1.84
31-12-2024 11:00,-14.75,52850,200,-75,-19.05,-18.1,17125,6300,3475,0.93,-6.95,1743300,-75,300,-7.35,-7.35,37275,5550,41475,0.73,9.35,672825,-75,-675,9.85,9.8,41850,-10575,12600,-0.98
