last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
19-12-2024 09:15,-26.2,476150,-100,75,-37.25,-41.6,15225,27475,34675,-24.94,-5.4,7407750,1500,2150,-5.6,-5.6,22775,3177425,116025,-8.84,27.35,2845200,-25,0,30.05,29.9,12050,3235275,37150,24.83,4.45,183945,-720,120,16.2,12.7,7500,8385,7305,-86.33,23877.15,24000.75,23870.3,23919.55,0
19-12-2024 09:20,1.2,267375,-25,0,-5.15,-4.7,19625,10225,26600,-7.61,1.1,8678400,1075,-25,0.85,0.9,39575,425525,111450,-1.23,19.15,2882600,-425,125,18.3,18.4,24075,-523000,-22150,16.84,-74.2,97620,0,15,-53.5,-56,10395,4740,24510,2.94,23919.5,23938.2,23882.55,23909.55,0
19-12-2024 09:25,-19.85,174000,0,375,-20.2,-22.45,23750,-275,32875,-2.51,-3.5,8074925,1975,1900,-3.5,-3.5,42450,-95250,170600,-0.03,27.45,1151325,-50,25,27.65,27.55,20150,132225,-25100,4.36,-19.95,86295,15,-855,-18.3,-20.4,9360,-3225,4545,-0.67,23910.5,23927.15,23885.7,23885.7,0
19-12-2024 09:30,13.85,147375,0,0,10.65,9.15,14400,30850,481200,-3.2,-0.95,5577625,-2200,1300,-0.75,-0.8,34925,8575,58475,-0.73,-11.95,961850,50,-75,-11.95,-11.9,24050,-503075,1350,4.03,-24.1,55845,-30,0,-5.3,-16.6,7605,-1215,2460,-4.16,23887.25,23917.15,23881.85,23906.7,0
19-12-2024 09:35,46,157575,-300,50,43.3,39.3,23125,13150,16075,0.02,2.45,6509750,1475,-900,1.85,1.9,40725,287075,97025,-0.34,-35.65,885025,-100,100,-36.15,-36.2,23425,-7300,31400,1.14,78.8,39060,45,0,81.15,77.3,8190,15030,-3555,-1.24,23905.75,23941.85,23901.85,23939.3,0
19-12-2024 09:40,40.55,255525,0,25,40.35,38.8,20550,4825,8550,4.75,3.75,10588150,-525,850,2.55,2.6,35100,304200,-149700,-0.04,-42.65,2026675,150,-75,-40.25,-40.35,27300,-46950,6800,-3.7,179.05,84360,45,-15,176.5,185.2,10050,4155,-18900,17.97,23939.3,23999.6,23938.05,23985.1,0
19-12-2024 09:45,-29.8,130775,-375,250,-30.8,-28.75,18675,-8100,30200,2.22,-8.55,8590275,-350,1975,-8.4,-8.45,43900,-89300,317975,-0.7,29.45,1776575,-375,1575,27.95,28,27400,72825,28325,-1.98,-89.9,46785,-30,135,-86.1,-85.35,8730,-15,-3690,8.83,23985.3,23988.7,23935,23957.9,0
19-12-2024 09:50,27.1,105575,-325,-25,30.55,28.15,15975,13800,-1350,2.01,2.75,6650000,-2775,-4375,2.75,2.7,44075,94900,-24625,-0.45,-27.45,1243775,925,800,-26.85,-26.75,29900,-98650,26175,-1.78,60.45,32610,-15,-15,64.1,59.15,7830,6870,-3045,5.7,23956.85,23987.45,23950.8,23981.2,0
19-12-2024 09:55,-10.8,83050,-225,-375,-11.8,-10.6,16075,-10400,-3075,1.67,-3.65,7678625,6050,4300,-3.35,-3.3,50350,126725,144650,-0.39,9.6,1790325,325,50,7,7.3,32250,13650,15100,-3.08,-41.7,30540,30,0,-28.35,-22.65,8670,3615,2325,6.85,23981.2,24004.4,23954.35,23962.95,0
19-12-2024 10:00,7.55,36400,225,-75,8.6,6.05,14675,37725,875,0.38,0.75,6451650,-875,-850,0.8,0.8,57050,-186950,43075,-0.53,-8.45,1259675,125,50,-8.6,-8.35,31700,-11775,12300,-1.09,26.9,12510,-30,-30,31.15,24.8,6645,19440,4620,2.1,23962.1,23966.05,23943.6,23965.7,0
19-12-2024 10:05,-11.05,39475,925,-2925,-11,-14.8,14050,5725,1900,0.64,-2.25,4772350,-3975,-3750,-2.15,-2.2,55950,-15550,82125,-0.31,7.85,995200,675,-775,7.2,7.05,26700,17675,6750,-1.28,-30.1,10485,-285,135,-30.2,-40.85,6885,-6210,4980,1.77,23966.2,23972.8,23955.3,23956.45,0
19-12-2024 10:10,-24,80500,-100,1000,-24.05,-22.1,19550,6100,2325,0.14,-2.05,5116825,-625,3950,-1.95,-1.95,64900,-15850,13575,-0.48,19.9,1441925,175,250,19.75,19.8,24550,-9675,-5025,-0.04,-124.9,43635,0,135,-120.6,-120.4,8235,10710,-5190,0.63,23956.45,23956.95,23919.15,23929.75,0
19-12-2024 10:15,-9.1,42850,-250,-50,-9.1,-7.95,12350,-3625,25,-0.05,-0.85,3156550,-1000,500,-1.3,-1.35,51725,-37300,3600,-0.33,1.5,833900,525,100,4.8,4.9,20525,7300,-15300,0.17,-18.05,31290,0,45,-8.15,-10.65,7665,-9360,8865,-1.61,23929.95,23933.45,23917.4,23924,0
19-12-2024 10:20,23.9,75775,150,-25,24.85,24.15,16775,1750,1500,0.48,0.45,3566625,-9350,6875,0.5,0.5,66900,43000,61300,-0.31,-11.9,681400,150,425,-12.15,-12.1,26600,-4475,7550,-0.24,65.65,28050,-30,-210,73.9,65.1,8175,7470,-6735,0.29,23924.55,23955.3,23923.7,23951.65,0
19-12-2024 10:25,9.8,48275,-1475,-550,7.45,6.4,17250,-6725,5850,0.36,0.45,4081500,-2100,-1725,0.5,0.5,70100,97175,-79650,-0.36,-8.3,557500,100,100,-9.4,-9.4,30850,9650,16525,-0.27,38.3,14925,0,-45,43.15,39.1,7875,19755,-435,0.71,23951.65,23964.05,23944.3,23960.85,0
19-12-2024 10:30,-2.4,69350,1100,0,-2.25,-2.1,18275,5000,3825,0.7,-0.15,3364050,-1425,1400,-0.1,-0.1,57150,42000,71825,-0.25,2.2,653000,-150,300,1.35,1.25,25250,500,-8025,-0.48,15,19560,0,15,9.05,15.55,9510,810,2370,1.87,23960.45,23969.5,23954.95,23959.45,0
