last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
19-12-2024 10:35,-4.6,31750,-1075,125,-0.9,-0.05,14625,7250,1825,0.23,-0.6,3190800,475,325,-0.55,-0.55,68575,97900,6250,-0.24,-3.8,560000,325,275,-3.45,-3.3,31425,6075,15750,-0.28,-31.35,13515,0,180,-30.4,-31.35,7290,5475,-810,1.18,23960.35,23963.8,23950.85,23960.3,0
19-12-2024 10:40,4.35,45700,-25,50,4.8,1.95,23250,-5650,625,0.47,0.15,2567625,2525,7300,0.15,0.2,69100,86825,26550,-0.18,0.35,490350,-200,350,0.15,0.15,29600,1050,250,-0.34,-28.6,12135,90,-135,-21.35,-14.1,6930,1185,-3375,0.52,23959.95,23968.1,23958.45,23963.45,0
19-12-2024 10:45,-20.15,24850,125,-75,-20.65,-18.6,11750,-7875,2450,0.15,-2.7,3460725,19050,10675,-2.5,-2.45,60125,-182550,47100,-0.28,11.45,544850,-125,-50,11,11.25,25075,8475,2900,-0.23,-63.85,15930,-90,0,-75.3,-78.3,5505,-8640,3780,-0.23,23959.85,23965,23942.8,23942.9,0
19-12-2024 10:50,0.85,30025,0,0,0.8,-1.1,14550,-325,-1825,0.06,-0.55,2796825,36200,-12375,-0.5,-0.5,61825,91500,-44725,-0.25,-1.95,694975,-50,1975,-2.65,-2.8,29350,4750,31275,-0.17,32.5,14055,15,0,32.5,33.2,10050,8280,-1185,-0.66,23943,23952.6,23941.2,23947.45,0
19-12-2024 10:55,-1.4,20675,-350,125,-2.35,-0.7,10850,8275,-1200,0.01,0.15,2316200,5975,425,0.1,0.1,66600,312750,-18825,-0.22,0.3,417775,-100,50,1.15,1.1,27600,-4150,-12875,-0.05,28,20265,0,0,13.95,22.55,10260,2880,-2220,-0.44,23947.9,23951.4,23939.45,23946.65,0
19-12-2024 11:00,-9,19725,-50,50,-7.35,-8.9,10400,1650,8825,0.01,-0.25,2339025,11525,-450,-0.15,-0.15,69900,-162250,67475,-0.2,8.2,651200,-300,650,8.4,8.45,30725,-12750,-28900,0.06,9.95,10440,0,60,12.35,10.15,7560,285,10650,-0.06,23946.55,23953.35,23932.85,23938.55,0
19-12-2024 11:05,4.55,19300,0,1175,2.55,2.8,11300,-675,5525,0.01,2.2,1984900,-18900,-43425,1.8,1.75,76825,-18125,-282925,-0.16,2.2,407575,-400,1775,2.5,2.4,28500,10925,-16725,0.01,32.2,11040,-15,-15,41.1,32.6,8220,-3660,-660,0.41,23938.2,23948.9,23936.6,23938.2,0
19-12-2024 11:10,0.4,19000,50,-950,0.5,0.25,16450,3675,-2025,-0.01,-1.95,2771250,-1500,19225,-1.65,-1.65,81400,129050,106725,-0.21,-4.65,491800,825,825,-4.7,-4.75,33200,-4675,28550,0.09,18.8,9315,90,-45,3,4.8,5565,6045,-1680,0.4,23938.8,23944.9,23934.4,23942.25,0
19-12-2024 11:15,10.6,18900,175,-50,9.9,9.1,10900,-1325,1900,0.06,1.05,2110600,-4025,-9025,0.95,0.95,106375,57975,-43750,-0.16,-9,451025,200,-650,-8.15,-8.15,30925,-8150,4650,-0.07,40.2,10815,-45,60,37.75,38.75,6945,-3510,-1260,0.8,23941.5,23954.45,23941.5,23952.05,0
19-12-2024 11:20,-3.2,18675,-325,50,1.75,-0.4,12350,975,1575,0.06,0.2,2803575,10925,10200,0.15,0.2,85650,22900,106525,-0.19,-1.65,343225,175,-425,-2.1,-2.1,30900,5275,-14450,-0.08,12.9,11355,-15,-30,7,10,7545,855,1905,1.15,23951.4,23958.8,23943.65,23955,0
19-12-2024 11:25,3.75,17000,-50,-25,1.15,0.95,10600,-1850,875,0.1,-0.6,3600850,-2625,1750,-0.6,-0.6,77025,-162975,44150,-0.22,3.1,408400,325,650,2.85,2.9,28500,26950,-24250,-0.16,12.2,19050,45,0,18.1,20.85,8370,-1365,315,2.51,23954.05,23961.8,23949.8,23951.6,0
19-12-2024 11:30,1.9,13250,0,25,2.2,1.9,10375,-200,200,0.06,0,2876350,-5650,-1900,0.05,0.05,91750,154325,-49150,-0.19,-5.95,291275,0,200,-5.5,-5.55,30500,-41500,15650,-0.08,29.65,16695,105,-60,29.5,31.3,7410,1140,-990,2.41,23950.85,23957.35,23945.25,23957.35,0
19-12-2024 11:35,30.75,166475,100,-25,30.85,31.55,13625,-7725,-110850,2.91,6.35,15682700,2475,-18250,6.25,6.25,81750,-102050,-266525,-0.2,-29.85,1743550,-275,150,-29,-29.05,27675,-73175,17075,-1.89,132.9,74070,150,615,139.85,138.95,7815,-13890,-28095,16.42,23956.25,24004.9,23952.75,23988.1,0
19-12-2024 11:40,-14.1,42250,-25,-25,-17.05,-14.7,16875,15325,9750,0.48,-6.65,9476100,23150,20150,-6.65,-6.6,83250,88425,255500,-0.4,17.55,1168400,450,400,17.2,17.3,25950,33775,-9300,-1.04,-89.25,30240,-150,-15,-88.05,-93.75,7965,1815,13740,6.32,23986.35,23991.05,23965.15,23969.4,0
19-12-2024 11:45,15.1,44100,375,250,13.05,15.3,14425,4150,900,0.52,2.15,5601550,-6850,-3350,2.1,2.1,91800,266925,126200,-0.21,-13.2,762425,150,50,-13.2,-13.25,26950,37150,9775,-0.67,51,13620,0,-45,51.25,50.5,5400,7860,7875,2.39,23968.6,23982.8,23967.1,23977.35,0
19-12-2024 11:50,-17.85,29575,-250,-25,-18.1,-16,14450,-575,4925,0.33,-1.8,4806500,9875,2150,-1.9,-1.9,66450,-85750,102050,-0.2,10.85,669625,1100,25,11.5,11.6,27875,18525,-3975,-0.5,-96.15,22365,-30,0,-84.95,-80.6,8745,-285,7770,3.47,23976.9,23982.6,23957.35,23960.25,0
19-12-2024 11:55,1.65,18975,-25,50,7.1,5.7,12225,-700,7250,0.18,0.6,3584075,13475,1225,0.6,0.6,107400,-197225,106825,-0.14,-6.55,481700,-50,-1175,-6.5,-6.6,30500,4025,23400,-0.34,11.15,11580,-30,0,10.7,1.1,6015,-5790,-2370,1.35,23959.8,23970.05,23957,23965.25,0
19-12-2024 12:00,0.45,19725,225,-50,0.45,-2.7,12175,-450,825,0.17,-0.7,3472125,-10925,13075,-0.65,-0.65,115800,-114825,86925,-0.14,-1.2,485450,250,25,-1.25,-1.25,30200,5775,1950,-0.38,30,4335,0,0,36.85,29.6,5130,5415,1050,0.53,23964.1,23968.25,23956.2,23963.2,0
19-12-2024 12:05,14.2,15675,-25,-50,12.3,15.05,9925,-2425,-3000,0.17,0.3,4339000,12800,-3225,0.25,0.25,73600,88225,-21300,-0.18,-13.25,647775,-1025,150,-13.3,-13.35,26450,-18775,11575,-0.61,66.55,12930,-75,0,66.85,70,6000,1395,555,2.12,23963.45,23984.05,23959.65,23983.6,0
19-12-2024 12:10,1.15,22225,-25,75,1.9,1.15,13600,1150,15800,0.3,0.2,3960225,24675,-22675,0.4,0.4,117300,-216275,43025,-0.15,3.1,502550,350,750,1.9,1.95,30600,55550,8475,-0.53,-5,7815,-60,75,-9.35,-6.25,6120,-3255,8595,1.37,23983.45,23991.25,23978.2,23988.8,0
19-12-2024 12:15,-11.9,25075,450,100,-10,-9.9,11275,-975,-3725,0.35,-2.1,5958975,-11825,5675,-2,-2.05,116175,-432700,201175,-0.21,2.05,756575,-125,-150,2.45,2.5,31375,-31250,-8050,-0.77,-53.1,14850,0,-60,-49.55,-53.1,5565,-5385,-390,2.46,23988.15,23993,23971.45,23975.2,0
19-12-2024 12:20,7,40550,725,375,6,5,12450,5025,1900,0.44,0.4,3207250,-7750,-14725,0.3,0.3,103575,71050,-45300,-0.13,-2.2,393925,625,775,-1.9,-1.9,28150,-12250,9750,-0.37,10.2,5160,45,0,14.2,14.45,5385,2040,1935,0.7,23974.65,23983.7,23971.65,23981.2,0
19-12-2024 12:25,-4.45,15650,-975,-350,-3.2,-4.15,11425,1300,3425,0.2,0.2,3495550,-1700,-16200,0.25,0.25,110250,-5525,-33150,-0.13,0.9,411375,-75,200,0.95,1.15,27725,-1875,4850,-0.41,-17.2,4845,15,375,-28.7,-23.5,5280,1275,750,0.66,23982.1,23989.4,23974.8,23980.85,0
19-12-2024 12:30,-7.5,16550,-125,125,-6.95,-7.55,8525,375,-750,0.17,-1,3916725,1025,17275,-0.7,-0.7,80375,-7475,65700,-0.14,4.4,514275,-375,-50,3.55,3.55,24575,-7475,-22850,-0.43,0.15,3960,30,-360,8.4,0.55,4260,-585,1140,0.47,23980.3,23983.5,23969.9,23972.05,0
19-12-2024 12:35,7.35,18925,0,-925,1.8,6.6,12875,2175,-1050,0.16,0.45,3638575,2950,-6650,0.45,0.45,86575,-4725,-165400,-0.14,-1.85,564025,450,-575,-2.2,-2.15,31550,-165925,22175,-0.43,17.4,3825,30,150,17,19.15,4245,-4905,-3915,0.46,23971.75,23975.45,23964.95,23972.05,0
19-12-2024 12:40,-9.6,14675,200,50,-4.25,-9.35,9250,1300,4375,0.15,-1.15,4271050,-2750,2350,-1.15,-1.15,125350,140400,45275,-0.17,4.05,624675,350,450,4.15,4.15,35400,20950,-34400,-0.5,0.7,4140,-30,-120,1.85,0.25,4935,1935,2550,0.58,23971.8,23980.25,23959.6,23962.25,0
19-12-2024 12:45,-5.15,20850,150,-50,-5.15,-2.25,13100,8900,3575,0.14,-0.75,3045475,2950,-11000,-0.8,-0.8,82600,-311450,175,-0.13,3.9,670950,300,175,3.65,3.65,28175,3125,-5275,-0.42,-36.3,4035,330,0,-38.05,-41.7,4920,2205,3570,0.44,23962.65,23964.4,23950.05,23954.85,0
19-12-2024 12:50,5.6,22975,-125,0,5.6,3.05,11800,42550,-3025,0.16,0.1,2059500,-4625,9225,0.1,0.1,77975,-42250,119375,-0.08,-4.05,530025,-725,-50,-4.4,-4.45,25400,-41975,8875,-0.35,38.35,4950,-240,0,34.15,36.5,3930,-1155,-1590,0.58,23954.25,23960.15,23952,23955.65,0
19-12-2024 12:55,0.25,42250,0,0,0.25,2.05,11100,2300,-775,0.3,1.1,2293300,-7850,10850,1.15,1.15,91575,196100,-196300,-0.09,-0.6,253350,650,475,-0.55,-0.55,31900,10150,13350,-0.17,20.8,3510,-90,30,21.75,20.8,4575,-1065,-2865,0.44,23955.85,23960.5,23953,23958.55,0
19-12-2024 13:00,3.1,18375,125,-50,3.7,1.05,10175,225,1075,0.18,0.4,3975125,-10650,4950,0.45,0.45,84150,-332300,-98725,-0.13,0.2,731325,1175,350,0.2,0.35,32275,-275025,-22925,-0.53,-20.65,6315,-15,0,-21.4,-21.3,4275,-960,-750,0.84,23959.05,23972.95,23956.05,23967.25,0
19-12-2024 13:05,3.5,9175,0,25,3.65,2.55,9100,5700,-2450,0.07,-1.2,2888500,-1075,3900,-1.1,-1.1,98875,-68025,35550,-0.11,-2.65,270300,1275,-325,-2.5,-2.45,31300,-18375,6950,-0.17,25.15,5685,-15,0,24.45,25.05,5325,285,150,0.78,23966.3,23973.5,23962.1,23972,0
19-12-2024 13:10,-8.5,14350,-75,-900,-8,-6,11550,-5475,2075,0.11,-0.85,2425375,-17275,19625,-0.75,-0.75,71825,116125,32850,-0.09,4.5,404450,-375,-225,4.9,4.9,38100,10275,2350,-0.24,-37.75,7320,0,0,-48.3,-37.6,5340,1575,-525,0.79,23971.4,23972.9,23956.6,23966.05,0
19-12-2024 13:15,-18.9,30925,300,-250,-19.3,-22.4,12075,-14200,550,0.13,-0.95,3476225,-10125,6825,-0.8,-0.8,83150,-189050,41625,-0.13,11.5,796800,-225,-100,12.7,12.75,37300,19300,-36325,-0.33,-105.25,24090,330,45,-101.85,-102.75,7200,-8085,2655,1.38,23966.15,23966.3,23940.35,23942.9,0
19-12-2024 13:20,9.65,27375,-200,-25,4.35,7.05,11875,175,-2900,0.07,-0.5,5498700,5600,15375,-0.5,-0.5,72200,-11175,-46550,-0.23,-3.7,700900,250,-350,-4,-4,29000,-27600,6275,-0.21,33.3,14370,-240,0,24.85,24.15,6570,-2955,945,0.44,23941.45,23954.15,23936.3,23949.85,0
19-12-2024 13:25,4,19525,175,-50,4.25,4,10175,-2750,1625,0.1,-0.95,3780650,-28850,12150,-0.9,-0.9,112775,29750,-1100,-0.17,-2.9,563350,-75,300,-3,-3.05,40300,-10475,-5550,-0.26,-17.15,9825,15,0,-14.8,-16.5,5790,1680,-705,0.45,23949.4,23958.6,23947.3,23951.4,0
19-12-2024 13:30,3.05,20750,-25,-100,4.75,3.55,13075,2800,-1400,0.1,0.1,2533000,-3125,-4600,0.1,0.1,72975,145150,-119175,-0.11,-3.75,484500,-275,-1800,-3.6,-3.6,24850,-66025,1625,-0.21,32.9,12060,75,0,35.05,37.65,5640,90,195,0.48,23951.6,23964.45,23944.3,23959.9,0
19-12-2024 13:35,-3.95,6350,-575,-525,-0.95,-4.4,8200,-1050,3900,0.04,0.25,1839250,27825,5150,0.45,0.45,67275,33100,44650,-0.08,3.45,185250,-175,-25,2.2,2.25,25175,3950,-4000,-0.09,-19.05,5010,-120,0,-7.35,-16.25,4200,3690,270,0.26,23961.4,23962.35,23951.5,23954.85,0
19-12-2024 13:40,1.15,13925,-200,50,1.1,1,10750,-1075,-675,0.06,-0.95,2203925,6450,-8325,-0.9,-0.9,93200,-150600,195125,-0.1,1.95,269850,125,900,1.95,1.9,31175,-3225,-2975,-0.11,-48.95,9345,45,15,-37.05,-48.4,7230,-1620,-735,0.3,23955.4,23957.35,23947.7,23949.6,0
19-12-2024 13:45,-1.55,10400,150,-25,-4.85,-4.55,8950,1150,-825,0.04,0.5,2170275,-7000,4725,0.55,0.55,98250,175175,-154100,-0.09,1.6,274300,300,-75,1.5,1.35,31500,-30500,-7650,-0.09,-32,20190,135,-195,-38.75,-32,8595,-1185,-90,-0.18,23950.9,23951.25,23944.1,23946.45,0
19-12-2024 13:50,3,18075,-100,75,5.35,4.95,10975,750,-500,0.09,0.45,2609775,-12300,-6125,0.45,0.45,94550,-235375,-82125,-0.11,-3.35,304450,-150,275,-3.5,-3.5,28300,-9625,7400,-0.11,30.6,5490,960,-90,32.3,26.4,5385,8700,2115,0.04,23946.5,23959.3,23945.25,23957.4,0
19-12-2024 13:55,0,10750,-125,-50,-0.5,-1.95,11950,2000,17525,0.06,0.1,2888725,21000,-36975,0.05,0.05,112575,-66650,-1825,-0.11,-0.35,261775,0,-375,-0.3,-0.45,30550,-6650,-4950,-0.11,2.25,12330,-690,0,0.1,1.85,5385,-5835,1125,0.05,23956.85,23959.9,23950.1,23955,0
19-12-2024 14:00,10.5,66200,400,400,7.45,9.95,23000,-750,33525,0.53,-0.1,9390250,-1325,14275,-0.05,-0.05,99600,-268200,-78525,-0.3,-5.05,1224100,-1050,-175,-5.05,-5.15,36050,-11400,950,-0.69,25.1,7995,-255,0,31.4,35.5,6120,3405,3060,0.24,23955.8,23976.2,23954.75,23963.8,0
19-12-2024 14:05,-3,11300,-375,-900,0,0.35,6900,1475,725,0.08,0.35,3760375,-17275,-3450,0.35,0.35,78900,-218425,-36350,-0.13,1.35,275025,1300,-75,1.35,1.4,26950,21775,-5075,-0.13,-19.2,4395,-15,30,-20.9,-17.85,4275,-1050,705,0.12,23965,23966.9,23954.9,23962.15,0
19-12-2024 14:10,0.65,12850,50,0,-2.25,-2.8,10800,-3175,-3725,0.07,-1.3,4335350,12900,950,-1.25,-1.25,106250,-88250,185525,-0.15,3.2,425075,-950,475,2.8,2.85,33175,-28100,-2600,-0.17,37.8,7995,4530,390,49.4,38.8,4665,6855,-10035,0.28,23961.85,23965.65,23952.45,23963.15,0
19-12-2024 14:15,2.15,13850,-150,600,5,4.8,9800,1200,400,0.09,0.25,5010125,-20100,-2700,0.3,0.3,84800,31625,-89550,-0.18,-1.25,321275,400,600,-1.35,-1.3,33325,325,-2700,-0.12,-4.75,12600,-3180,-345,0.05,1.45,5175,-1425,-30,0.67,23963.7,23966.7,23955.8,23962.35,0
19-12-2024 14:20,-9.95,18675,975,125,-9.9,-11.6,11400,-5500,5275,0.11,-1.45,5303525,450,30425,-1.4,-1.4,103225,-395525,5250,-0.19,4.9,615275,400,3000,4.85,4.85,41175,575,17275,-0.24,-6.25,11475,675,0,-1,-3.85,5130,-690,-375,0.65,23962.75,23967.15,23939.5,23941.7,0
19-12-2024 14:25,0.3,26300,-875,-50,0.3,3.95,13200,6800,-800,0.11,0.15,4096000,31150,20600,0.15,0.15,98700,-44500,-103750,-0.15,-0.95,450625,25,275,-0.85,-0.7,30300,-30225,-17625,-0.14,2.55,11955,-675,45,7,11.4,6510,-1935,-1185,0.45,23941.9,23951.9,23938.8,23948.3,0
19-12-2024 14:30,-0.25,19725,50,75,3.45,1.75,7350,-1450,1225,0.1,-0.2,3734650,-30800,-26525,-0.15,-0.15,60225,-520800,39400,-0.14,-0.7,276900,350,250,-0.75,-0.7,17025,3775,-3925,-0.09,4,8205,0,45,4,7.2,4050,-4815,2745,0.42,23950.05,23959.9,23943.2,23950.35,0
19-12-2024 14:35,0,0,0,0,0,0,0,0,0,0,0.15,3344875,29950,-13825,0.1,0.1,88975,-137050,-113625,-0.12,0,0,0,0,0,0,0,0,0,0,-24,5730,-285,60,-20.8,-24.95,6615,-2370,1260,0.22,23950.55,23959.35,23946.9,23950.75,0
19-12-2024 14:40,0,0,0,0,0,0,0,0,0,0,-0.45,1645250,46275,51650,-0.45,-0.45,38425,-92475,326650,-0.06,0,0,0,0,0,0,0,0,0,0,-18.4,3135,-30,0,-17.35,-13.75,2040,-945,-510,0.07,23950.2,23953.4,23943.35,23951.15,0
19-12-2024 14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23951.9,23961.9,23948.7,23954.55,0
19-12-2024 14:50,-1.75,17600,375,-50,-2,-1.9,8375,-8650,-925,0.07,-0.1,3625750,21925,6950,-0.05,-0.05,32475,-130025,-21900,-0.13,-1.35,87875,700,875,-0.6,-0.5,13450,-283775,-400,-0.03,19.05,5250,165,0,23.75,22.6,2850,-1335,-615,0.14,23955.1,23956.45,23941.15,23947.4,0
19-12-2024 14:55,-5,50725,-75,0,-5.4,-5.05,15925,-27275,-1700,0.23,0.5,5502850,-321575,-208975,0.5,0.5,82700,-166550,-1003700,-0.19,2.15,387550,550,-1525,2.15,2.1,25775,-823800,-40250,-0.1,-15.05,9270,-45,255,-4.2,-9.9,7065,-2505,-1335,0.38,23947,23950.2,23941.8,23944.65,0
19-12-2024 15:00,13.05,73225,-25,0,14.5,13.6,14900,250,-9625,0.39,-0.7,6786525,400475,204850,-0.65,-0.65,87500,-2612775,809100,-0.23,-5.9,580800,1125,-325,-5.85,-5.8,31250,-366725,6950,-0.17,72.95,32265,-90,-180,71.8,84.15,7200,-8430,-15600,2.24,23944.35,23962.2,23943.25,23958,0
19-12-2024 15:05,3.05,96125,-150,75,3.1,1.95,16075,-8600,-1775,0.73,-0.1,6885550,227400,239900,-0.1,-0.1,83350,-1587750,324650,-0.22,1.5,359950,-350,250,1.7,1.5,29450,-985750,-13400,-0.12,-8.4,26955,30,285,-8.5,-18,8430,7800,1950,2.41,23958,23963.8,23951.45,23953.6,0
19-12-2024 15:10,-2.9,198825,-525,-625,-3.85,-4.45,16600,-6025,-8650,1.24,-0.15,4480825,212500,-66500,-0.15,-0.15,83325,-9675925,-94700,-0.15,3.1,316600,400,375,2.9,3.1,23575,-803375,-21725,-0.08,11.95,18165,60,-90,1.7,10,6795,690,-795,1.33,23953.95,23957.15,23943.45,23945.55,0
19-12-2024 15:15,-14,144700,400,-75,-15.5,-15.2,18550,-13300,-1175,0.69,-0.2,3591150,5101950,1083800,-0.15,-0.15,59825,-8922150,1688575,-0.12,1.9,531925,575,1850,2,1.95,35300,-1605300,8175,-0.12,-19.75,37245,-60,15,-21.95,-26.5,9720,-5025,1065,2.86,23946.65,23949.4,23934.35,23934.65,0
19-12-2024 15:20,14.5,69375,-75,-1000,14.05,15,15675,13825,-5950,0.3,-0.05,2706725,-2316450,-249500,-0.05,-0.05,87675,-6730700,-422000,-0.08,-2.45,436625,200,17450,-2.45,-2.45,35800,-1295725,-34775,-0.1,17,28605,30,-15,15.1,19.3,7950,-4170,-5610,1.7,23934.65,23960,23934.35,23958.05,0
19-12-2024 15:25,2.5,104575,275,-200,-1.85,2.6,15600,-43125,-36275,0.53,-0.05,1968475,-3300800,-1373075,0,0,83575,-3300800,-2789250,-0.07,-0.9,233350,3825,-850,-0.8,-0.5,23225,-6113025,-73875,-0.05,8.4,46125,0,-75,-12.2,6.4,7890,-22455,-31395,3.15,23957.35,23964.85,23953.15,23961.95,0
