last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
26-12-2024 09:15,,36.9,184075,-350,-575,31.75,29.25,16900,-1150,N,45275,N,24.72,29.15,17096075,-250,325,26,26,20425,4887825,N,288600,N,17.63,-7.5,12713625,2150,0,-6.95,-6.95,24275,6824725,N,586075,N,-4.15
26-12-2024 09:20,,-5.1,146025,100,0,-4.1,-4.7,15775,7950,N,50550,N,9.68,-12,11273575,450,900,-11.25,-11.2,28650,617550,N,281825,N,5.7,-3.35,13458875,1175,950,-3.3,-3.3,38975,359500,N,622375,Y,-4.22
26-12-2024 09:25,,-5.8,111425,-3300,-25,-5,-6.8,13325,12975,N,-3200,Y,2.06,-9,15442100,300,1025,-9.05,-8.95,29250,176800,N,156650,N,-1.18,-5.75,20951450,-35975,25,-5.75,-5.75,36225,261475,N,431175,N,-4.14
26-12-2024 09:30,,-12.95,107050,625,2325,-12.1,-12.95,14750,5350,N,18900,YES,-0.85,-11.75,10626175,250,-825,-12.15,-12.25,29200,179625,N,395300,YES,-2.09,0.45,18293025,-1450,-50,0.35,0.3,27325,176175,N,-26975,YES,-1.18
26-12-2024 09:35,,2.8,81225,0,-475,-2.35,-0.6,15575,-18750,YES,17125,N,-1.23,-5.85,12206900,625,250,-3.25,-3.2,26250,-37300,YES,44475,N,-2.71,2.05,18751175,-450,2350,0.65,0.65,33525,288100,YES,363525,Y,-0.74
26-12-2024 09:40,,-10.05,72175,-125,25,-12.75,-13.5,13000,20250,Y,-5675,Y,-1.83,-8,13374150,-22750,1775,-7.55,-7.5,32350,484050,Y,389075,YES,-4,0.4,17079800,-2075,-925,-0.2,-0.25,31475,203675,N,268350,N,-0.22
26-12-2024 09:45,,-11.7,83600,-100,325,-10.55,-9.95,12600,4000,N,12800,N,-2.5,-7.1,11972700,-6225,-50,-6.55,-6.45,33525,493475,N,332925,N,-3.48,5.35,16084100,1725,1600,4.8,4.85,36550,756575,YES,62725,N,-0.1
26-12-2024 09:50,,5,51850,0,-875,4.85,2.95,12700,-1550,YES,41050,YES,-1.76,1.95,12184850,-1000,1675,1.85,1.9,34775,432500,N,241075,N,-3.3,-2.55,15676250,100,1525,-2.4,-2.35,33525,39700,N,255325,Y,0.14
26-12-2024 09:55,,0.9,64075,25,-25,-0.9,-1.85,15450,6025,N,5925,N,-1.89,-3.7,13424825,-925,-900,-4.2,-4.2,37550,308525,N,173725,N,-2.81,1.15,16256325,-850,25,1.25,1.25,34750,-93925,Y,-427775,YES,0.41
26-12-2024 10:00,,-28.15,126175,-100,-125,-28.15,-29.75,16225,-21875,YES,1875,Y,-5.72,-9.45,18921175,4350,2875,-9.4,-9.4,42300,-29325,YES,517350,YES,-3.99,19.2,26168550,-625,-325,18.4,18.45,31500,-185400,Y,-1165975,YES,2.34
26-12-2024 10:05,,-25.45,128050,0,850,-25.9,-27.3,12225,12175,Y,450,Y,-7.36,-3.55,17252775,-4575,4600,-3.55,-3.55,51350,274500,Y,225475,N,-3.51,23.85,21693950,-250,-1275,24.2,24.2,24425,-583050,Y,-328350,Y,3.71
26-12-2024 10:10,,-1.65,103775,3050,-600,-1.65,-2.2,11200,12150,N,10750,N,-5.18,-1.65,9676350,3975,1475,-1.85,-1.8,44650,-200975,YES,220500,N,-1.67,0.6,7845175,-100,575,0.35,0.35,27250,-112950,YES,116775,Y,1.38
26-12-2024 10:15,,-6.4,60075,-2975,0,-6.4,-4,10675,-3150,YES,4050,N,-2.62,-3.9,11187525,5575,5100,-3.95,-3.9,53575,-429375,YES,470225,YES,-1.82,-0.3,7784325,100,300,0.25,0.3,29550,-7650,YES,-10100,YES,1.15
26-12-2024 10:20,,8.15,42750,-200,-150,9.05,9.25,11250,3300,N,725,Y,-2.05,0,11530700,-2175,7775,0,0,63650,278950,Y,140425,N,-1.92,-5.45,7113775,-400,-675,-6.2,-6.05,27000,-176825,Y,166575,Y,1.15
26-12-2024 10:25,,-26.4,50750,175,0,-27.1,-25.2,13275,-1000,YES,175,Y,-2.49,-4.6,10157000,-2825,5425,-4.7,-4.7,56500,-222400,YES,222675,YES,-1.59,17.6,7267475,525,0,19.05,19.2,24750,219700,YES,-327425,YES,1.23
26-12-2024 10:30,,6.45,40600,-100,325,9.25,6.95,12925,24075,Y,925,N,-2.04,0.5,7797750,1700,-1275,0.55,0.55,51225,470325,Y,110150,N,-1.16,-5.8,6720075,1925,200,-5.6,-5.5,23825,-200300,Y,79675,Y,1.2
26-12-2024 10:35,,3.05,33175,475,200,1.95,3.05,11100,-5300,YES,4825,N,-1.52,-0.65,6604025,450,7200,-0.7,-0.7,55225,85950,N,126325,N,-0.94,-2.7,3602350,-300,550,-2.8,-2.75,22150,25150,YES,51500,N,0.59
26-12-2024 10:40,,0.05,37625,-350,-550,3.05,1.6,12225,-6850,YES,2000,Y,-1.55,-1.45,7670775,-3000,3375,-1.5,-1.5,74425,137050,Y,341775,YES,-1.04,-2.75,4580850,950,-450,-3.15,-3.15,28550,-161225,Y,47650,N,0.6
26-12-2024 10:45,,-20.05,59375,0,-100,-19.55,-19.7,14825,12525,N,-15450,Y,-2.96,-3.1,13817075,3975,6675,-3.2,-3.2,64650,78425,N,-339075,Y,-1.92,13.5,7237325,100,-450,13.35,13.4,28400,101100,YES,-134350,YES,1.25
26-12-2024 10:50,,6.9,53500,100,-600,6.65,2,12475,-19100,YES,20650,YES,-2.75,1.2,9942575,-3500,-10175,1.15,1.1,64500,271050,Y,30250,YES,-1.27,0.45,6730325,-50,-575,0.65,0.55,25350,-125150,Y,-161475,YES,1.29
26-12-2024 10:55,,7.2,28900,325,-375,7.2,8.1,15450,11900,Y,-18650,Y,-1.2,1.2,6167600,-4550,-1175,1.35,1.35,70500,299800,Y,63150,YES,-0.7,-9.3,2729325,175,0,-9,-8.95,24450,-34575,YES,125125,Y,0.42
26-12-2024 11:00,,14.55,45900,0,275,12.15,13.8,12750,2950,YES,7625,YES,-1.45,0.2,12076525,24675,-475,-0.1,-0.05,64675,-361600,YES,-69550,Y,-1.2,-10.9,5784300,725,7025,-11.5,-11.5,26025,-101850,Y,52500,N,0.58
26-12-2024 11:05,,3.95,25300,75,150,6.3,5.85,13150,11675,N,-2800,Y,-0.73,1.45,8619150,-3625,10850,1.3,1.35,71875,271850,Y,99675,YES,-0.81,-9.35,4465375,0,450,-8.45,-8.45,25450,-154850,Y,147000,Y,0.36
26-12-2024 11:10,,22.2,64625,75,125,17.95,18.2,13425,3750,N,-3275,Y,-1.17,5,18735850,-4575,-11750,4.95,4.9,56825,283150,N,-259000,Y,-1.36,-13.7,6773675,800,-400,-13.25,-13.3,28700,75850,YES,92975,N,0.21
26-12-2024 11:15,,-14.45,48375,-100,1225,-13.95,-15,10450,-10575,YES,6650,N,-0.81,-4.3,15622925,4900,2300,-3.95,-3.9,52875,-196050,YES,270650,YES,-1.05,11.15,7096050,300,-375,10.7,10.7,29725,178600,YES,-99000,YES,0.15
26-12-2024 11:20,,5.95,52175,75,-975,5.35,9,16425,-3550,N,5875,N,-1.05,0.55,8110325,5950,-6225,0.65,0.65,60750,106000,Y,17550,N,-0.55,-6.1,6265000,-25,650,-6.25,-6.2,31075,-167825,Y,189700,Y,0.28
26-12-2024 11:25,,-6.95,41825,-25,-375,-0.85,-5,8850,4325,N,700,Y,-0.65,-0.6,9811850,1800,-175,-0.6,-0.6,66975,374200,Y,303925,YES,-0.59,0.45,4268700,75,925,0.45,0.45,27950,219825,YES,84450,N,0.09
26-12-2024 11:30,,5.1,66000,0,-100,4.3,7.5,9650,-8425,YES,-5675,Y,-0.81,1.45,13498075,625,6800,1.45,1.5,57275,45075,N,31575,N,-0.69,-3.75,5283600,-750,-250,-3.65,-3.65,34550,60325,N,77550,N,0.06
26-12-2024 11:35,,-13.35,30050,0,25,-13.4,-14.6,10025,-850,N,2025,N,-0.51,-3.9,10791725,6125,10825,-3.95,-3.9,63500,-383100,YES,71600,YES,-0.65,8.75,6061300,800,-1450,9,9.05,32050,-6150,Y,-131550,YES,0.21
26-12-2024 11:40,,8.05,44575,50,275,3.15,3.1,10850,2225,N,1825,Y,-0.75,-0.65,8155025,9375,-10425,-0.65,-0.65,75400,-68350,Y,151550,YES,-0.49,-3.55,4380525,-125,-150,-3.75,-3.8,29225,123025,YES,144600,Y,0.13
26-12-2024 11:45,,11.25,28950,-25,925,9.4,8,9575,-2600,YES,4450,N,-0.34,-0.1,10544975,-1525,1625,0,0,74250,103800,Y,370575,YES,-0.58,-5.05,4839175,-750,-550,-5.35,-5.4,31850,75600,N,101200,N,0.02
