last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
26-12-2024 11:50,,2.7,27275,0,-1225,2.3,2,13950,11250,N,-7250,Y,-0.33,0.3,13299100,2800,-2375,0.3,0.3,75050,228000,Y,-77975,Y,-0.76,-5.05,6851650,-200,-800,-5.15,-5.2,37000,-100325,Y,22250,N,0.02
26-12-2024 11:55,,2.25,82475,0,475,4.05,2.95,11800,-3300,YES,2925,N,-0.86,0.6,9186850,3800,225,0.85,0.85,67225,269725,Y,262000,YES,-0.47,-0.7,3760250,-650,-200,-0.85,-0.85,36600,29500,YES,1125,YES,-0.02
26-12-2024 12:00,,-6.5,50025,175,-350,-8.15,-6.45,13475,-10150,YES,3375,N,-0.45,-2.4,11591600,-10025,3825,-2.3,-2.35,71125,53100,N,327025,YES,-0.56,6.3,4672500,125,725,6.1,6.1,35175,137275,YES,-74000,YES,-0.01
26-12-2024 12:05,,-14.5,41225,100,-425,-14.4,-11.95,12800,-3050,N,-3000,Y,-0.53,-1.65,12228075,8575,5200,-1.65,-1.65,71175,-593625,YES,-85125,Y,-0.62,9.45,6609850,-800,-525,9.3,9.35,38050,16625,N,-212100,YES,0.15
26-12-2024 12:10,,-5.5,50375,-675,-25,-2.95,-3,10175,12025,N,3225,N,-0.89,-0.75,12461675,-31200,10350,-0.7,-0.75,102950,230500,Y,-230225,Y,-0.65,3.95,6945525,-100,725,3.15,3.2,31300,-66400,Y,32800,Y,0.3
26-12-2024 12:15,,8.3,31600,2525,175,5.7,3.2,9325,-14950,YES,4250,N,-0.54,-1,7869700,12025,-30700,-0.95,-0.95,77350,-35275,YES,294300,YES,-0.39,-1.8,4730525,-300,-8325,-2.5,-2.55,33400,-94000,Y,107750,Y,0.16
26-12-2024 12:20,,-2.5,50250,-2125,125,-1,-1.5,12150,4275,N,-4400,Y,-0.82,-0.95,9072500,7775,175,-0.95,-0.95,80000,492575,Y,115525,N,-0.46,-1.5,3126825,-100,-1400,-1.45,-1.45,34075,186575,YES,67625,N,0.12
26-12-2024 12:25,,4,35950,-300,-150,2.35,3,11400,-2425,YES,-3400,N,-0.58,-0.65,9775375,20625,-11575,-0.65,-0.65,80500,-700,YES,12575,N,-0.5,-4,4216400,-300,-1350,-3.9,-3.85,32850,-144950,Y,45450,N,0.14
26-12-2024 12:30,,-3,46325,0,700,-3.3,-3,15575,6400,N,-900,N,-0.72,-0.4,7221950,5650,-14000,-0.35,-0.35,77025,-26700,YES,-177550,Y,-0.36,1.25,3236000,-1675,-225,1.1,1.1,33700,105200,YES,27150,N,0.1
26-12-2024 12:35,,1,36100,-100,-725,-2.4,0.95,9675,2925,YES,4000,N,-0.53,-0.05,4969575,9800,-1675,-0.1,-0.1,73025,303000,Y,128525,YES,-0.24,0.9,2252400,125,-925,0.8,0.8,36750,146500,YES,18075,N,0.06
26-12-2024 12:40,,9,51425,-475,425,9,7.1,7825,2050,YES,-10675,Y,-0.67,0.1,6833575,-24275,12650,0.15,0.15,85775,328950,Y,-148650,Y,-0.33,-7.3,3586625,975,-500,-7.45,-7.45,33100,-119050,Y,116375,Y,0.06
26-12-2024 12:45,,2.85,69000,25,-250,6.9,3,11175,-15450,YES,-2700,N,-0.66,0.45,8892750,-4000,2100,0.5,0.5,87475,164975,N,28350,YES,-0.4,-0.95,4303300,-725,2575,-1.35,-1.3,31125,59800,YES,-62775,YES,0.01
26-12-2024 12:50,,-0.65,59150,50,300,3.05,-0.65,8275,-175,N,-775,N,-0.54,-0.3,7044425,11600,-8600,-0.4,-0.4,94200,150175,N,245775,YES,-0.31,-0.95,2575500,200,2200,-0.45,-0.45,50825,-18400,Y,12200,Y,0.02
26-12-2024 12:55,,-3.95,46325,-50,-125,-3.8,-1.95,8825,-6275,YES,-1275,Y,-0.42,-0.05,6450900,-3175,-8150,0,0,85675,-89500,YES,-48475,Y,-0.27,0.9,2052200,850,-825,0.75,0.8,33050,-46850,Y,4100,N,0
26-12-2024 13:00,,2.95,66000,75,-1700,3,2.9,8450,8450,N,4325,N,-0.61,0.4,7236225,35300,-27025,0.4,0.4,100925,333950,Y,-156725,Y,-0.31,-1.05,2685925,-150,125,-0.95,-0.95,33550,12625,YES,36725,Y,0.02
26-12-2024 13:05,,-5.85,48425,0,-8625,-5.75,-3,10650,-9100,YES,3975,N,-0.46,-0.5,6003600,-62425,9250,-0.45,-0.45,86875,36125,N,270950,YES,-0.24,1.65,2412625,150,-50,1.65,1.7,34575,-105700,Y,-46750,YES,0.02
26-12-2024 13:10,,3.9,51525,0,-1275,1.2,1,14275,-50,N,-725,Y,-0.45,0.3,5156575,-2850,13900,0.3,0.3,83875,156725,Y,-182600,Y,-0.2,-1.85,2244325,-11275,100,-2,-2.05,35325,33575,YES,55750,Y,0
26-12-2024 13:15,,4,75125,25,-1550,2.6,3,14800,1275,N,-13200,Y,-0.58,0.05,8138000,-31375,3750,0.05,0.05,87000,-142800,YES,107525,YES,-0.31,-1.75,3495650,1050,-1600,-1.95,-1.95,33625,-198350,Y,36350,N,-0.01
26-12-2024 13:20,,-3.7,52625,-25,-125,1.05,-1,9125,4575,N,-900,N,-0.35,0.4,10446100,-13875,3525,0.3,0.3,89275,-528250,YES,-127725,Y,-0.38,0.15,3124450,-1000,1175,0.35,0.35,40100,-1925,YES,-7500,YES,-0.02
26-12-2024 13:25,,0.75,62275,0,0,0.6,-1.1,8375,-275,YES,2800,N,-0.41,-0.1,7916275,-34350,24550,0.1,0.1,79875,157150,Y,256275,YES,-0.28,4.5,2677225,1200,900,4.6,4.65,42975,-15675,Y,-261575,YES,0
26-12-2024 13:30,sell,-65.95,115550,-100,-50,-62.8,-62.75,10150,-41825,YES,3250,N,-1.67,1.8,24195625,-16425,-8625,1.7,1.7,80025,-676200,YES,-1350050,Y,-0.77,68.45,12140500,-825,-500,68.15,68.3,37150,-197800,Y,-1011325,YES,0.85
26-12-2024 13:35,,28.55,129400,-150,-50,26.05,29.45,15400,30375,Y,-3825,Y,-2.91,-1.85,38569275,12700,13575,-1.65,-1.65,82350,-272550,Y,121400,YES,-1.04,-25.1,13421725,175,-125,-27.3,-27.9,31625,-443400,Y,156900,Y,1.75
26-12-2024 13:40,,41.2,93500,0,-25,40.6,44.05,11825,10300,N,-6100,Y,-1.02,2.7,34590725,-16550,-18675,2.85,2.8,77850,19025,Y,-1344200,Y,-0.63,-44.9,7861325,200,125,-45.35,-45.45,28750,-95250,YES,249350,Y,0.39
26-12-2024 13:45,,-2.7,86825,100,375,-1.95,-4.35,14200,12325,N,4600,N,-0.35,-3.25,34202075,20575,4850,-3.3,-3.3,69750,-193400,YES,821825,YES,-0.64,-3.25,9640450,400,0,-2.55,-2.5,35500,351975,YES,143950,N,-0.02
26-12-2024 13:50,,0.6,81525,-100,-625,-1.9,-2,13625,-18025,YES,1975,Y,-0.69,-0.35,22463150,16700,-13425,-0.4,-0.4,87375,-72050,Y,692250,N,-0.53,3.2,9679925,-75,-175,3.45,3.4,29275,-60100,Y,148150,N,0.28
26-12-2024 13:55,,-2,109950,100,450,-2.15,-2,15675,-1225,N,-325,Y,-0.83,-1.2,14450625,12775,975,-1.15,-1.15,86600,-276200,YES,323675,N,-0.34,-0.85,4476775,75,-50,-1.45,-1.45,31650,49125,YES,71550,N,0.08
26-12-2024 14:00,,10.05,76775,-175,1725,12.7,14,10950,4825,N,-2375,Y,-0.43,0.6,14186775,15675,-21250,0.65,0.65,95825,405850,Y,-106575,Y,-0.34,-10.25,5625850,-225,175,-10.4,-10.45,34700,-155925,Y,203600,Y,0.02
26-12-2024 14:05,,0.7,75925,-25,-850,1.1,1,14475,-8475,YES,1475,N,-0.31,-1.05,14017625,27075,40575,-1.05,-1.05,109050,173900,N,695425,YES,-0.31,-2.55,4839550,750,100,-3.2,-3.15,34150,107150,YES,15950,N,-0.03
26-12-2024 14:10,,-6.2,67250,150,-900,-7,-6,14625,5925,N,1925,N,-0.3,-1.45,18714425,96075,25050,-1.5,-1.5,99900,-413450,YES,216425,N,-0.44,4.8,3873825,-500,-1125,5,4.95,35325,-3200,Y,33675,N,-0.03
26-12-2024 14:15,,6,61100,-100,-75,2.7,2,13625,500,YES,-2950,Y,-0.26,0.15,11085750,17275,-55425,0.1,0.1,91900,491475,Y,-302725,Y,-0.25,-1.9,3690225,500,-475,-1.45,-1.45,39350,-74700,Y,64825,Y,-0.02
26-12-2024 14:20,,-7.75,84100,75,-75,-4.5,-6.5,13925,-5825,YES,10325,N,-0.37,-1,9780900,-24650,41050,-0.95,-0.95,106850,-1007475,YES,118225,YES,-0.22,2.85,3582850,-800,1050,2.95,3,37275,-13050,YES,-33550,YES,-0.02
26-12-2024 14:25,,3.65,60775,-25,75,3.85,1.4,13750,11700,N,-12600,Y,-0.31,-0.1,13572050,-51600,280300,-0.1,-0.1,103975,636175,Y,-182975,Y,-0.31,-3.55,4531125,525,75,-3.35,-3.35,39300,-226950,Y,30825,Y,0
26-12-2024 14:30,,-1.8,48950,0,-50,-0.8,0.2,11950,-14925,YES,-5275,N,-0.22,-0.85,17712650,279375,-18275,-0.9,-0.9,105400,1204875,Y,1010800,YES,-0.4,2.85,4144950,950,450,2.45,2.5,39625,-223500,N,-30525,YES,-0.02
26-12-2024 14:35,,2,54175,25,125,1.7,0.9,14175,10675,Y,-5275,N,-0.23,0.15,13070025,110300,-108400,0.1,0.1,101625,1136650,N,-636725,Y,-0.29,-4.75,3911025,-500,-325,-5.4,-5.45,42825,-263250,Y,183925,Y,-0.03
26-12-2024 14:40,,4.2,67650,-225,50,4.1,4,17025,1525,YES,-11075,Y,-0.22,0.2,22601325,194475,-38150,0.15,0.15,103550,-153900,YES,57900,YES,-0.47,-3.9,5746450,550,225,-3.9,-3.85,42150,-75375,YES,-34650,YES,-0.1
26-12-2024 14:45,,-1.3,89850,500,475,-1.7,-2.1,16000,-9150,YES,22075,YES,-0.22,-0.7,27395050,153525,500775,-0.7,-0.7,133275,-1123450,YES,1501600,YES,-0.55,1.4,4216425,3825,1175,1.2,1.25,43325,-77800,Y,-17875,N,-0.08
26-12-2024 14:50,,2.15,87525,-600,1125,2.55,2.15,17550,9300,N,-5050,Y,-0.25,0,28292400,159825,-325875,0,0,120225,600925,Y,-637550,Y,-0.54,-2.4,4139475,2225,3050,-2.6,-2.55,44200,-740625,Y,31025,Y,-0.08
26-12-2024 14:55,sell,-1.95,80225,100,-1325,-1.55,-1.65,17600,-2650,YES,2975,N,-0.18,-0.3,30662125,3115575,1326100,-0.35,-0.35,115800,-3474100,YES,2303075,YES,-0.56,1.15,6278375,1625,50,0.95,1,43000,-803675,Y,-188525,YES,-0.13
26-12-2024 15:00,,0.2,79950,0,325,-2.15,-0.2,15900,-1000,N,67300,YES,-0.22,-0.1,19524175,-1690900,1044925,-0.1,-0.1,108050,-9883525,YES,756600,N,-0.34,2.45,7000050,1725,-100,1.9,1.95,30600,-2995025,Y,-28975,Y,-0.11
26-12-2024 15:05,,4.15,116650,-25,-275,4.35,2.9,17200,2775,N,-26550,Y,-0.3,-0.1,11364800,1419950,-1065700,-0.05,-0.05,84375,-7160650,Y,-1679075,Y,-0.19,-4.5,6007775,0,-650,-4.6,-4.55,38900,-2847575,YES,21100,Y,-0.11
26-12-2024 15:10,,-1.2,114575,1150,-725,-0.75,-1.65,15450,6600,N,-10300,N,-0.24,-0.05,10441225,4979075,4808150,-0.05,-0.05,103975,-6348125,Y,4178350,YES,-0.17,0.55,5715025,3600,-1000,0.45,0.45,42825,-2008925,YES,-46775,YES,-0.12
26-12-2024 15:15,,-0.9,120525,-300,-950,-1,-1.25,20450,-8925,YES,-17650,Y,-0.25,-0.1,9100275,1995700,1093200,-0.05,-0.05,80125,-12608675,YES,2340150,N,-0.15,1.15,3638050,-1225,3000,1.15,1.15,54400,-3276450,Y,-388200,YES,-0.07
26-12-2024 15:20,,-0.75,116450,-225,-25,-0.35,0,22725,-17700,YES,-24025,Y,-0.24,2.78E-17,5124325,-10397075,-3622325,-0.05,-0.05,97625,-10397075,Y,-6442250,Y,-0.09,0.3,3634925,3000,400,0.35,0.4,41275,-1629000,YES,-273025,Y,-0.07
26-12-2024 15:25,,0.4,137725,975,-550,0.4,0.05,24775,-40800,YES,-59050,Y,-0.27,0,4633825,0,-1986550,0,0,68200,0,Y,-3735850,YES,-0.07,-0.45,2264125,149875,1400,-0.55,-0.55,59125,-12690425,Y,85100,Y,-0.04
