last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
23-12-2024 10:30,,6.25,58825,-250,125,8.15,6.05,13375,10025,-2925,0.72,6.5,280825,125,-650,5.9,6,25500,175,18450,0.15,-2.1,1386250,-750,275,-2.05,-2.05,34350,45925,28200,-1.02,19.65,12105,15,-165,18.45,14.95,5820,2580,4560,2.23
23-12-2024 10:35,,0.95,35725,-100,-25,-0.05,0.95,11475,1275,-8375,0.64,0.15,177775,75,-25,-0.2,-0.2,23300,-1950,6000,0.27,-1.05,897675,-1650,-1325,-0.95,-1,35250,4400,4350,-0.7,-35,25995,75,-15,-37.7,-34,5970,1725,6300,5.43
23-12-2024 10:40,,-12.25,49900,-50,0,-11.8,-8.6,11600,-4325,5375,0.96,-10.3,158550,0,50,-10.25,-10.2,25150,-8100,-4900,0.27,2.7,798625,-725,-1300,2.7,2.65,33500,30425,-31000,-0.59,-40,11895,-75,-45,-39.9,-46.05,6180,-4485,9945,1.66
23-12-2024 10:45,,6.5,52000,-125,300,9.25,7.8,11825,-8675,6500,0.55,5.6,131725,25,-150,4.95,5,27625,-5575,125,0.03,-1.55,710500,375,1025,-1.3,-1.3,36850,29275,750,-0.46,11.05,11130,-30,-60,12.25,11,5595,5355,4125,1.08
23-12-2024 10:50,,12.1,38025,75,100,12.15,12.3,9700,1050,-6525,0.65,10.15,161125,-150,925,10.45,10.25,22950,575,-7000,0.25,-1.05,642375,-1375,1825,-1.15,-1.15,35700,-2350,16300,-0.44,11.95,7245,0,-105,12.95,11.9,5055,1845,1935,0.89
23-12-2024 10:55,,44.75,133375,100,-150,40.1,39.55,15400,-12525,-51100,3.61,40.75,582325,-325,25,41,41.55,27125,-5850,-57800,2.43,-3,1465550,-400,-2825,-2.8,-2.85,38525,-40025,-34975,-1.03,60.5,13080,0,-135,55.1,52,5805,-3810,-22950,2.05
23-12-2024 11:00,,12.25,142350,100,-350,13.1,11.95,16050,16200,16075,5.26,10.05,316325,475,-100,8.85,8.2,24725,-2800,14900,2.34,-3.9,1578300,-325,2225,-3.55,-3.55,39250,-78450,18775,-1.15,-19.45,20400,-90,120,-25.1,-29.9,6480,-2520,14445,3.98
23-12-2024 11:05,,8.2,92200,25,10475,6.6,7.05,15125,4900,8150,3.07,2.3,208275,25,0,1.2,1.45,25375,-5475,3500,1.44,-1.65,891200,-3400,-4250,-1.5,-1.6,32625,77000,11375,-0.66,9.4,9855,0,-90,8.4,9.95,5655,-4065,-11430,1.39
23-12-2024 11:10,,-8.75,78375,-25,-50,-14.2,-11.45,16225,2100,48050,2.57,-13.15,130850,50,50,-11.6,-12,21625,2500,13425,0.89,0.45,1121600,2825,-1975,0.5,0.5,46825,45225,-4600,-0.82,-20.95,8145,-60,-90,-29.45,-29.6,5475,1320,15330,1.19
23-12-2024 11:15,,4,78425,-275,175,7.9,5.05,18150,-625,-3925,2.52,6.05,146900,25,-700,5.65,5.6,22425,-2050,4625,1.01,-1.4,1082475,-17200,1550,-1.3,-1.3,55275,-55000,24450,-0.79,2.2,10365,0,-30,-0.8,-3,6630,2235,-7545,1.59
23-12-2024 11:20,,-10.8,36350,25,-75,-11.75,-11.9,12800,-10850,10275,1.09,-11.35,120650,0,0,-10.35,-10.4,21800,3050,-5550,0.75,0.55,785175,-8175,1375,0.45,0.4,41525,-325,31700,-0.54,-32.4,11925,0,-90,-21,-29.45,6315,-6870,3135,1.56
23-12-2024 11:25,,18.75,37300,75,250,16.45,18.75,14275,7175,-775,1.13,15.15,95525,25,25,15,15.25,18625,4300,-3825,0.61,-1.7,743750,-1250,150,-1.65,-1.65,48675,43700,45900,-0.51,28.65,12000,15,-45,20.4,17.7,4320,4200,-1245,1.49
23-12-2024 11:30,,-12.8,53150,50,175,-13.9,-15.45,15775,-3175,1775,1.57,-7.65,85425,-50,375,-11.3,-11.15,20250,-3525,11150,0.53,1.05,670775,-450,1050,2.05,2.05,42200,17750,-3125,-0.44,-18.35,9360,-30,60,-25,-28.9,5745,-495,17025,0.98
23-12-2024 11:35,,-15.1,69825,150,0,-16.45,-19.35,18075,-12475,15875,1.7,-17.85,122200,575,-750,-17.95,-17.75,26275,-2425,-2325,0.58,2.15,940400,-4825,2500,2.1,2.1,51100,19575,-34725,-0.58,-20.05,19065,30,30,-20.1,-15.85,5910,-705,5745,1.73
23-12-2024 11:40,,3.55,54025,-125,-50,4.1,3.2,14275,12675,-4000,1.02,4.4,113575,-125,225,3.7,3.7,24950,1975,4625,0.42,-1.7,973150,2100,1825,-1.8,-1.8,46200,-14300,24225,-0.56,9.7,9180,0,90,13.4,12.05,5370,-855,900,0.81
23-12-2024 11:45,,4.5,40025,-75,0,5.1,5.3,13300,79325,23475,0.89,2.05,69975,825,0,2.35,2.05,20900,1225,725,0.32,-0.8,602350,2950,-1350,-0.75,-0.75,41350,-17450,25400,-0.36,1.15,15540,-45,30,5.05,3.35,7575,-1905,15840,1.48
23-12-2024 11:50,,-5.15,44775,-75,250,-4.35,-4.75,12100,35200,-7750,0.92,-5.6,42300,50,1075,-5.75,-5.35,15000,350,3825,0.17,0.5,595450,2325,5400,0.45,0.5,38700,10825,2325,-0.34,5.05,4530,0,-15,0.7,5.95,3900,2070,2205,0.47
23-12-2024 11:55,sell,-48.1,110925,350,175,-48.15,-48.1,18500,-21075,-14750,0.9,-37.95,282325,-100,-225,-38.15,-38.45,24425,12200,4750,0.29,8.95,2402250,-1450,-1700,9.25,9.25,45950,27825,-96600,-1.02,-99.5,35490,-105,-30,-99.95,-102.3,8715,-5415,-8550,0.73
23-12-2024 12:00,,-19.15,83425,-225,-125,-24.95,-22.15,17650,-1575,-5500,0.1,-16.2,337650,-75,-275,-17.15,-17.25,25125,3725,4500,-0.19,5.65,2624500,1325,-250,5.25,5.3,35600,-4550,-26425,-0.81,-13.1,18855,-60,-30,-13.1,-19.1,8100,-1695,1890,0.17
23-12-2024 12:05,,-13.55,82200,-100,0,-7.95,-8.4,22375,-3825,22900,-0.41,-10.2,272225,75,75,-9.1,-9.05,25125,14750,15225,-0.59,-0.45,2123150,1225,-1025,-0.7,-0.7,34900,-6525,8200,-0.44,29.8,15315,-105,-45,26.2,14,7455,-7590,270,-0.24
23-12-2024 12:10,,3.1,80575,25,0,3.1,0.8,15300,-5675,-6550,-0.59,-1.65,364750,425,0,-0.65,-0.75,33975,12125,-7250,-1.03,-1.5,2029900,2225,775,-1.85,-1.8,38975,-10300,-27925,-0.38,3.2,19335,0,-105,12.15,13.5,7305,13230,-10230,-0.13
23-12-2024 12:15,,0.75,49100,-25,-225,4.5,1.9,15250,8950,26475,-0.27,0.05,202725,100,-25,0.9,0.95,26825,-3275,15550,-0.52,-0.65,1357700,-1075,-1950,-0.8,-0.85,41775,25525,33800,-0.28,12.15,9345,30,-105,10.1,3.95,5100,-1560,-1755,0.12
23-12-2024 12:20,,-21.85,52925,50,725,-20.05,-20.95,13225,-19050,6625,-0.44,-15.8,242575,-50,-1025,-16.55,-16.8,22750,-1350,4825,-0.81,6.15,1674275,1100,1025,6.4,6.5,39575,33050,-48650,-0.25,-55.65,16095,60,210,-56.1,-53.95,6555,-3270,-2235,0.01
23-12-2024 12:25,,-15.1,70825,125,-175,-14,-13.45,12175,-3575,3875,-0.93,-11.9,558975,-450,175,-10.4,-10.55,28975,10200,-14300,-2.34,3.5,2281625,450,-925,3,3,39050,14875,-35850,-0.14,-20.9,15735,-90,-30,-16.65,-11.75,5055,-7170,-3225,-0.64
23-12-2024 12:30,,-13.55,103525,75,25,-14.95,-15.45,13425,7650,15100,-1.86,-9.3,464150,450,-325,-9.4,-9.45,22750,5375,25175,-2.28,5.3,2761475,600,400,5.15,5.2,33850,41450,42900,0.11,-20.95,23430,0,30,-12.55,-22.05,7050,75,1995,-1.63
23-12-2024 12:35,,-18.45,75050,0,-100,-17.05,-16.6,11600,-11400,-75,-1.48,-9.45,464775,-175,25,-10.3,-10.3,26075,-50,3300,-2.33,4.75,2231425,-725,-575,5.35,5.35,26725,-10150,-46275,0.18,-22.05,19215,135,0,-26.75,-24.45,5475,4770,11985,-1.53
23-12-2024 12:40,buy,26,50550,50,-25,26,25.4,12200,49925,-2325,-0.84,16.3,432975,-525,-175,16.65,16.65,26725,27025,-13900,-1.82,-8.7,1590275,-1525,-1275,-8.8,-8.9,31575,-70850,41950,0.05,58,9750,-60,-15,65,63.55,6135,6285,1365,-0.5
23-12-2024 12:45,,-30.35,79175,350,0,-34.05,-30.7,12075,-78900,-7250,-1.52,-18,481250,250,-450,-18.1,-18.15,20900,-44875,-5975,-1.98,11.85,2215500,-75,2125,11.8,11.9,38675,17975,-27500,0.16,-86.05,14055,-30,0,-85.85,-85.7,6045,-12840,-1755,-0.8
23-12-2024 12:50,,-18.2,98325,0,-125,-13.8,-16.7,15675,-18850,7600,-2.34,-9.6,561625,300,225,-9.35,-9.35,31800,15275,21875,-2.82,8.15,3131875,1750,-450,7.65,7.65,32700,86250,-67850,0.64,-3.95,9435,0,0,2.25,9.35,5415,-2355,-2295,-0.94
23-12-2024 12:55,,-2.75,58050,0,100,-1.45,-4.1,12775,725,-225,-1.43,-1.3,466300,150,-525,-2.05,-2.1,25700,22725,35325,-2.31,1.75,2465625,-1325,-225,1.75,1.65,28925,3600,49900,0.58,0.1,11115,-15,-105,-3.55,-13.05,6195,7005,-3960,-1.09
23-12-2024 13:00,,24.9,117250,500,25,27.9,26.05,12550,-31000,12425,-2.67,12.75,811175,-100,0,13.6,13.7,24600,12850,-31675,-3.47,-11.25,3244925,-100,-925,-11.85,-11.85,31900,-88250,6150,0.52,55,16035,-30,-225,50.65,58.95,6090,-8055,-1350,-1.47
23-12-2024 13:05,,-39.9,64850,-475,-75,-40.85,-41.25,16900,-15450,19650,-1.4,-23.65,532725,100,125,-23.15,-23.2,25975,-22750,34575,-2.22,17.6,2173575,-475,-2100,17.25,17.25,33150,67500,-11325,0.4,-60.15,9465,-105,105,-67.4,-60.35,5790,-1065,-3345,-0.8
23-12-2024 13:10,,-0.45,42525,0,225,0.75,2.75,13325,2125,28200,-1.05,1.4,388975,-50,-50,1.25,1.3,24300,25550,11600,-1.74,-3.1,1967125,1425,-275,-3.35,-3.35,27800,30725,62625,0.46,5.1,12675,105,0,8.3,11.55,7245,-15285,9975,-1.31
23-12-2024 13:15,,8.6,52275,75,-225,5.6,5.7,15125,11800,-4025,-1.15,2.85,497450,-650,-375,2.2,2.15,23675,-7425,-19700,-1.93,-1.15,1963175,-1350,-125,-0.75,-0.8,32450,-58200,22725,0.34,7.65,8520,-60,-120,20.8,7,6225,2565,720,-0.61
23-12-2024 13:20,,17.95,42025,-100,-50,18.7,15.4,12825,9500,4475,-0.96,8.75,439850,375,25,8.25,8.4,27725,230150,5550,-1.71,-7.15,1822825,-175,900,-6.75,-6.7,36775,-72375,17200,0.34,21.9,6150,-60,-45,16.2,29.65,5610,3630,4860,-0.49
23-12-2024 13:25,,-19.05,66075,-975,-25,-22,-20.5,16025,-20200,1525,-1.62,-13.4,715375,-350,250,-11.9,-11.9,29725,-12225,29875,-2.79,8.15,2616625,-1475,825,7.4,7.45,33175,16875,-69725,0.57,-26.35,7635,0,15,-28.4,-26.35,5700,1095,-930,-0.67
23-12-2024 13:30,,-22.75,52250,200,575,-16.75,-17.3,18200,5425,5100,-1.36,-11.8,756075,0,425,-11.55,-11.6,32625,-3175,16750,-3.06,6.55,2797625,-150,-575,6.4,6.35,28575,59725,-14725,0.7,-8.65,12810,30,45,-2.35,-9,6840,-3825,-5745,-1.16
23-12-2024 13:35,,20,39975,-225,-25,26.85,23.4,12425,30225,-14675,-0.97,14.65,698475,700,300,14.9,15,27075,58425,-25575,-2.46,-10.7,2571900,1325,-875,-10.7,-10.7,31625,-96325,113375,0.5,41,22005,0,30,25.5,35.65,5730,-180,2880,-1.56
23-12-2024 13:40,,28,52175,675,0,31,31.3,13775,5050,-12825,-0.92,16.65,852175,-100,100,18.3,18.4,24700,23550,-31750,-2.12,-10.95,2219875,250,-525,-12.15,-12.2,29800,-25200,-1400,0.17,51.1,18030,30,-30,49.5,52.05,7965,-1755,-2700,-0.54
23-12-2024 13:45,,-2.75,48850,-250,0,-4.95,-3.45,12650,-10125,26450,-0.72,-0.7,683700,125,325,-1.6,-1.5,25875,-1275,28325,-1.35,-0.45,1731750,-1400,1700,-0.05,-0.1,31500,28825,31725,0.04,-23.1,9045,90,15,-9.65,-20,7650,-3735,-1095,-0.11
23-12-2024 13:50,,-19.55,38975,0,75,-19.05,-21.5,11575,-950,-1325,-0.7,-11.05,585000,200,-500,-10.55,-10.65,26625,-16200,-575,-1.36,5.85,1742925,-225,450,5.9,5.95,33075,33225,-28825,0.14,-14.95,8085,-15,30,-18.1,-16.9,7815,690,2265,-0.28
23-12-2024 13:55,,-11.9,36850,-75,0,-11.85,-13.2,14000,-16375,5725,-0.76,-7.4,509275,-575,-250,-7.9,-7.95,28725,1600,20200,-1.34,4.75,1609700,175,1325,5.15,5.2,30175,17425,-6700,0.19,-28.85,10095,-30,240,-28.3,-29.15,13035,-2070,-6540,-0.44
23-12-2024 14:00,,-10.55,39875,325,25,-10.2,-13.5,10675,22975,3475,-0.91,-7.2,582925,650,250,-7.6,-7.55,27925,6475,20900,-1.65,5.25,1761325,-1700,1750,5.95,5.95,35450,59950,-1725,0.29,-24.25,13695,-315,-180,-24.9,-21.85,9825,5205,-570,-0.89
23-12-2024 14:05,,20.1,28125,400,-275,19,18.95,11375,6750,7850,-0.62,12.55,690475,25,275,12.9,12.95,31800,27350,-32075,-1.79,-9.65,1962450,125,-500,-9.9,-10.05,33725,-90550,14675,0.29,25.05,8700,0,-105,25,21.55,5325,420,-1140,-0.55
23-12-2024 14:10,,25.2,43375,-350,-50,24.2,22.05,14300,2300,-15050,-0.78,12.6,725700,1000,75,12.3,12.45,26475,7450,-22325,-1.44,-7.75,1645425,-450,-700,-7.9,-7.95,34950,-24325,73200,0.12,26.1,9600,135,-30,20.4,18.1,6585,-4095,1785,-0.47
23-12-2024 14:15,,39.8,107000,-50,-125,37.55,43,15100,-27375,925,-1.05,30.35,1385075,-275,-100,30.3,30.3,24000,-14800,-78525,-1.18,-11.85,2591425,-275,-1150,-12.2,-12.3,34975,-91075,-20975,-0.08,63.65,21225,-30,-165,66.8,76,6435,-870,-2235,-0.06
23-12-2024 14:20,,-10.95,70300,75,-25,-4.95,-8.75,15325,8875,-3975,-0.36,-5.7,1042225,-25,-325,-6.15,-6.05,28675,6450,6275,-0.24,0.5,2148200,175,3925,0.2,0.25,37325,13775,26350,-0.21,-23.65,15795,-90,60,-30.1,-35.45,8190,8370,6735,0.15
23-12-2024 14:25,,14,48675,-125,-375,10.95,14,10050,24425,10300,-0.29,7.15,679200,0,400,6.7,6.75,22075,-27725,6375,-0.26,-3.75,1759125,-400,1900,-3.95,-3.95,37025,-21500,42100,-0.16,10,11580,285,90,17.05,15,5385,600,4395,-0.1
23-12-2024 14:30,,3.1,57825,50,1550,6.3,7.55,12725,-1875,18000,-0.18,2.75,700950,-75,650,2.6,2.5,27200,4800,9250,-0.05,-3.55,1603350,-325,1925,-3.55,-3.55,40950,1675,37100,-0.22,-24.55,24240,-390,45,-20.85,-12.7,8190,735,8160,-0.09
23-12-2024 14:35,,18.2,46650,50,-1175,17,14.1,12800,-14550,-37550,-0.06,13.45,666075,-500,-100,12.1,12.1,27050,4750,-23950,0.08,-4.2,1380850,2200,925,-3.95,-3.9,40075,-33925,16875,-0.21,29.15,38265,105,90,13.55,19.7,12945,-2535,1920,-0.18
23-12-2024 14:40,,-25.3,62825,125,525,-25.1,-24.65,11850,5475,18500,0,-17.8,575875,-25,-100,-17.55,-17.5,19800,-34675,23475,0.19,6.8,1601550,-1575,2125,7.3,7.35,30550,89375,-92950,-0.24,-29.5,48675,-45,105,-27.5,-25.2,7665,8820,-4020,0.14
23-12-2024 14:45,,-14,36450,0,0,-16,-17,12850,-5175,16025,-0.18,-11,356300,-75,-50,-11.15,-11.2,22500,-19350,14675,-0.09,3.65,1765325,-4300,550,4,3.95,36925,21850,-15125,-0.17,-8.1,15180,60,-15,-9,-11.05,7140,4410,-8565,-0.21
23-12-2024 14:50,,9.2,63300,25,-50,9.7,15.05,13700,-2675,-1425,-0.28,8.45,490375,-150,-525,8.4,8.5,28825,-3950,-35575,-0.05,-1.95,1546625,0,100,-1.95,-1.95,46200,-16600,10525,-0.15,8.9,11895,0,60,9.35,4.05,5385,-1470,3315,-0.19
23-12-2024 14:55,,2.05,31850,0,-25,-1.2,-0.55,8300,-2750,6525,-0.12,-0.1,241575,-50,-525,-0.45,-0.45,23625,400,5775,-0.04,0.6,965825,2575,-3025,0.6,0.6,31700,900,9425,-0.09,6.7,14085,0,-45,8.55,16.35,5625,-2460,-7020,-0.15
23-12-2024 15:00,,5,47450,-25,100,2.9,0.1,11525,8400,4250,-0.21,-1.35,503850,-125,150,-1.65,-1.55,27025,4600,11075,-0.07,-1.05,2063100,275,700,-0.95,-0.95,34650,-18150,11650,-0.18,12.65,10110,435,60,2.85,5.3,5460,-615,20325,-0.01
23-12-2024 15:05,,-1.7,43950,175,200,-1.05,-1.7,10975,-4450,41150,-0.13,-1,235775,150,200,-1.05,-0.95,19100,-17300,-2475,0,0.55,1099200,-325,1175,0.55,0.55,32625,87900,-9925,-0.11,5.45,11325,-60,-30,7.85,0.55,5910,-1365,15480,0.06
23-12-2024 15:10,,8.65,53600,150,25,8.25,9,12175,-2950,-13775,-0.1,5.2,329350,0,-75,5.3,5.3,21950,-10450,13825,0.06,-1.9,1162600,225,-2100,-2.1,-2.1,33375,-4625,-21950,-0.14,-8.45,20385,60,60,-4.6,0.1,8325,-3210,2580,0.22
23-12-2024 15:15,,-1.9,73500,-175,50,-0.25,-2.35,15125,-6225,-4350,-0.17,0.45,290450,-100,2075,-0.05,-0.15,24750,2050,-16700,0.01,-0.9,1123325,2075,2350,-0.95,-0.9,31875,-63650,-18575,-0.12,-11.85,29655,30,-15,-3.35,-11.85,8205,5670,3090,0.07
23-12-2024 15:20,,-2.15,78275,-100,25,-2.2,-2.35,15475,-11000,-5650,-0.09,-4.4,275025,75,-250,-5.25,-5.2,29575,-34550,-26575,0.03,0.2,1197775,0,-1225,0.25,0.25,32825,-43500,-92050,-0.15,0.4,35550,15,15,4,9.9,7515,-5550,-8475,0.28
23-12-2024 15:25,,-4.4,88525,-25,425,-6.4,-4.8,18475,-28675,-33650,-0.23,-3.65,232225,950,1650,-3.65,-3,25150,-441425,-30500,0,-0.1,1214550,4950,-1550,0,0.35,23850,-1342350,-170000,-0.14,-6.3,17445,360,480,0.3,-1.8,11760,-21345,-24765,0.08
