last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
23-12-2024 09:15,,2.8,330175,100,-175,2.1,2.4,16275,24925,69600,8.75,-13.45,688825,100,-175,-13.2,-13.5,18725,478675,27475,-2.48,-14.25,2871150,-125,475,-13.6,-13.75,21425,1332600,69650,-12.49,-24.3,67515,0,360,-36.5,-35,8025,1935,20055,23.62
23-12-2024 09:20,,-0.15,211475,50,-25,0.35,2.8,16200,9625,33650,4.79,-0.8,535625,25,-250,-2.6,-2.6,20750,299875,8050,0.01,-2.6,1945575,-100,1325,-1.75,-1.75,22200,815775,35550,-4.68,65,70530,-60,-210,59.05,57,8370,810,-9825,28.92
23-12-2024 09:25,,-33.45,130825,50,-500,-29.65,-32.4,15250,8050,18375,-3.05,-18.8,463875,-50,50,-19.25,-19.2,22550,12150,8950,-4.94,11.95,2701675,-2400,2025,12.65,12.7,23725,25425,-5350,0.48,8.3,54630,0,-105,14.35,14.4,9210,8805,3840,16.93
23-12-2024 09:30,,33.85,158275,0,-175,33.6,31.95,17075,-6525,25,2.98,15.55,613200,150,-525,16.65,16.75,24450,-4375,650,0.72,-17.5,2746225,750,175,-18,-18.05,24600,4725,53625,-4.16,104.65,77685,0,75,96.95,89.8,8625,6465,1320,36.99
23-12-2024 09:35,,-42,136225,-50,0,-42.35,-42.5,15850,100700,13700,-3.62,-28.75,531950,-1750,50,-27.15,-27.15,25050,2525,16850,-4.5,12.95,3033375,100,225,12.15,12.15,28625,77950,24575,-0.12,-19.35,43500,15,-15,-18.65,-11.8,8400,-4365,6120,10.17
23-12-2024 09:40,,10.45,86475,50,0,8.65,9.4,12300,7150,7250,-1.59,1.6,469275,-400,0,1.1,1.1,24375,2125,14050,-3.36,-5.85,3147050,-775,500,-5.7,-5.7,25325,-71525,23000,-0.28,-48.05,51645,75,-135,-59.65,-51.4,9090,165,13290,10.29
23-12-2024 09:45,,13.25,60250,75,-1025,13.25,9.9,13125,-1600,8700,-0.27,3.05,228400,-50,0,1.35,1.35,21550,12150,11350,-1.09,-8.8,1661625,2125,-600,-8.3,-8.25,19375,45475,42925,-1.12,72.75,40455,-60,105,60.75,61.55,7890,-360,5820,6.29
23-12-2024 09:50,,-11.9,51100,0,-75,-9.6,-8.35,12400,-68400,18450,0.1,-7.55,257275,75,-125,-5.9,-5.95,23325,-4025,-3225,-0.86,2.6,1502750,-425,-375,1.2,1.2,21300,-26100,16950,-1.26,-30.5,20805,0,30,-33.95,-40.55,6090,270,3960,3.41
23-12-2024 09:55,,-13.45,75225,-75,0,-19.1,-15.85,12400,4000,4975,-1.99,-14.3,430975,-75,175,-13.5,-13.65,21750,-7475,17150,-3.98,0.4,2479400,375,-675,0.1,0.05,22500,43275,42875,-0.45,-68.25,37755,0,-30,-74.1,-69.35,7485,4665,3540,-2.22
23-12-2024 10:00,,50.5,113750,-200,975,58.5,56.35,14525,13150,-13950,0.55,41.45,572050,150,125,40.6,40.85,24150,17450,-39100,-1.98,-17.05,2814250,-875,-625,-17.05,-17.1,24550,-73625,74725,-2.07,172.55,50715,210,30,172.15,164.7,7590,6570,-8460,8.56
23-12-2024 10:05,,12.4,120800,75,350,17.05,15,18250,30400,-39250,2.4,12.1,457400,-50,-375,10.9,10.8,22300,-4475,9375,0.56,-3.2,1644150,-500,225,-3.15,-3.15,24950,-19450,41250,-1.47,12.7,34635,2580,45,9.95,13.15,7635,10185,-17355,7.59
23-12-2024 10:10,,-19.45,108325,-425,0,-24.4,-24.85,11300,4275,1400,2.05,-20.4,365200,50,75,-22.15,-22.2,18050,-8200,21700,0.58,4.35,1657675,1600,500,4.95,5,22050,37475,-15150,-1.36,4.6,35115,-30,15,-14.3,-1.4,7785,-3990,-3855,8.05
23-12-2024 10:15,,-11.15,53350,75,1200,-11.15,-14.3,12475,-850,6300,0.39,-5,229200,450,-75,-9.65,-9.35,20725,3625,1125,-0.17,-0.6,1231825,-125,375,0.3,0.3,23775,6050,34500,-0.84,5.85,23460,-105,75,10.65,10.1,7650,3045,2085,4.48
23-12-2024 10:20,,-4.15,38225,-50,50,-3.95,-4.85,13125,-11175,17050,0.2,-6.35,137000,0,200,-5.95,-6.05,19300,4150,10150,-0.16,0.5,946425,-5475,-1125,0.7,0.65,25525,30775,47250,-0.62,-20,18585,-30,-45,-14.2,-18.1,7275,3570,16275,3.47
23-12-2024 10:25,,19.4,97625,-150,0,18.5,16.15,12775,7075,-9900,0.2,13.15,353825,525,50,13.45,13.55,24750,19575,-4900,-0.51,-7.4,2082200,425,-1175,-7.55,-7.6,35900,-84500,-10925,-1.32,28.1,22650,-45,315,25.35,28.1,7755,-540,2625,3.07
