last_traded_time,,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
18-12-2024 09:15,,16.85,126750,100,0,19.7,15.55,16650,10825,39850,-2.47,8.1,3344200,-175,575,6.2,6.15,18825,106575,77100,0.39,-4.45,2709275,1075,125,-1.45,-1.3,19000,22475,43525,3.65,110.3,94695,150,60,108.75,115.05,8040,32370,-22035,-13.55
18-12-2024 09:20,,-13.8,128150,25,-400,-14,-15,15200,7400,68725,9.1,-4.75,6810000,-9850,-125,-5.05,-4.95,19325,-2310925,267950,8.38,13.7,3414775,75,500,13.75,13.85,18575,-2438050,40975,-3.45,-129.8,55665,1245,-45,-127.3,-126.3,8205,-4470,33195,25.09
18-12-2024 09:25,,-19.95,139075,850,50,-20.9,-17.75,15375,40025,-375,-10.67,-6.7,3867525,100,950,-5.6,-5.55,27600,33500,170550,-2.84,11.2,3526050,25,-225,11.4,11.2,21900,-34000,58100,6.93,-49.9,64215,-1065,-45,-50,-46.45,8940,-1125,28845,-32.23
18-12-2024 09:30,,19.85,89125,-1175,-300,21.05,21.4,19475,7450,3700,0.57,1.6,4527625,250,-100,2.4,2.35,23825,61525,26350,-0.25,-15,2317875,425,75,-16.45,-16.4,24550,-45475,64725,-0.45,93.9,45795,105,210,94.9,97.85,9510,-8235,5910,1.16
18-12-2024 09:35,,38.95,67825,-525,-50,36.75,37.2,15400,-17775,22775,2.39,13.25,4785075,250,-250,12.8,12.8,27100,148850,40975,0.11,-26.15,2416750,-150,425,-26.45,-26.7,24975,-2175,60075,-2.94,63,27780,-60,30,59.4,61.4,9120,31470,-15345,1.86
18-12-2024 09:40,,48,194425,-775,125,46.2,48.9,20125,19350,-43225,14.74,14.4,8328975,175,750,13.85,13.95,23575,158625,-34775,3.52,-32.6,3967275,250,-75,-32.2,-32.3,20950,-58800,76875,-8.66,113.9,52095,345,270,121.85,114.3,7860,21270,-6960,16.01
18-12-2024 09:45,,-1.15,119700,0,-175,-1.75,0.9,16525,32550,17400,8.05,-5.1,8440525,400,-1250,-5.25,-5.25,25100,-110300,295850,2.4,-4.65,4879125,50,-700,-4.55,-4.65,21500,160400,10250,-9.35,-61.8,43665,-165,0,-73.1,-63.9,8085,3900,12915,13.4
18-12-2024 09:50,,-52.15,116575,100,-100,-49.05,-50.65,20600,26500,22450,2.51,-21.8,9266100,-400,150,-22.1,-22.05,25100,-117750,82025,-1.77,29.6,5969450,575,875,29.05,29.25,22500,39025,-36250,-4.45,-143.45,35925,15,0,-125.85,-135.9,8505,-3585,16965,-2.43
18-12-2024 09:55,,-62.75,214600,-100,-150,-65.7,-68.25,23825,-23150,16500,-6.25,-22.9,7112850,-325,100,-22.4,-22.4,24850,-131300,61975,-3.15,41.85,5402475,-150,75,42.05,42,21150,30225,-135875,2.19,-153.55,60555,0,15,-140.3,-138.3,8595,3315,-4185,-18.85
18-12-2024 10:00,,1.3,186650,525,150,2.7,0.3,23425,27700,-5375,-6.96,-0.9,4904775,-375,1175,-0.25,-0.3,30275,141250,51225,-2.44,3.5,3431350,25,-100,2.45,2.35,23075,-39600,-25950,2.71,-17.9,59535,-105,-105,-26.35,-36.75,8775,26190,90,-20.36
18-12-2024 10:05,,-8.1,83500,-525,-75,-10,-7,22925,13300,15100,-2.87,-2.85,3016975,-625,-850,-2.85,-2.9,31075,131700,13850,-1.43,3.45,1923875,150,-150,2.2,2.2,24225,-1125,9950,1.46,-10.4,97305,75,15,-5.05,-4.5,16095,4125,6375,-24.06
18-12-2024 10:10,,-12.4,87375,325,-75,-11.25,-11.25,12525,-31600,105425,-3.31,-6.15,4376075,0,775,-6,-6,25775,-27375,99250,-2.29,4.55,1728300,300,0,4.8,4.8,18750,-29625,11450,1.47,-28.9,38010,0,0,-35.05,-29.05,6870,9960,5175,-10.27
