last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
22-01-2025 09:15,7.5,158100,0,575,7.55,5.9,15625,91675,N,383075,N,3.29,6.1,8147850,975,-300,5.95,6,37875,707775,N,201450,N,-0.96,-1.4,7840425,-750,-525,-1.85,-2,35850,734325,N,377850,N,-0.71,-7.7,46140,105,0,-16.25,-19.8,7305,19785,N,-600,N,-44.06,23099.15,23119.4,23070,23109.2,0
22-01-2025 09:20,-8.65,185750,75,1300,-6.7,-8.65,19400,47750,N,-3300,Y,5.66,-3.6,7307775,2925,150,-3.85,-3.85,41325,-1460550,YES,200700,N,3.26,-1.75,7649925,-75,1050,-1.4,-1.4,46050,198225,N,316425,N,-1.58,-51.7,33150,-45,75,-51.95,-51.3,9315,8985,N,-660,Y,-13.93,23108.25,23127.7,23074.9,23080.75,0
22-01-2025 09:25,4.95,123925,-175,-100,4.4,4.9,20225,12400,N,6675,N,0.22,1,4793175,150,1650,1.75,1.8,45300,144750,Y,190125,N,0.09,-4.85,6881175,-825,600,-5.85,-5.9,43575,-107400,Y,274950,N,-1.4,25,18240,-15,15,25.25,24.05,8415,6900,N,2850,N,-4.73,23080.15,23091.55,23069.7,23082.6,0
22-01-2025 09:30,24.1,151775,50,0,24.1,24.45,21175,46475,Y,-7875,Y,1.85,10.75,6142950,-75,-150,11.65,11.65,43575,39150,N,-163950,Y,0.63,-13.2,7471575,150,1200,-13.75,-13.7,43650,-96600,N,154875,N,-2.91,79,32475,-105,0,80.7,75.35,7860,-13965,YES,16590,N,6.84,23083,23104.3,23074.9,23100.95,0
22-01-2025 09:35,-1.65,114125,-4700,0,1.7,1.75,19175,3525,N,24175,YES,3.13,-5.8,7913025,675,525,-3.2,-3.1,45375,83475,Y,99225,YES,1.58,-1.15,6579525,225,1725,-3.15,-3.15,55725,193425,YES,102750,N,-3.14,-5.2,18600,-75,30,7.85,-0.3,7680,6585,Y,6030,N,7.56,23100.4,23122.45,23084.75,23115.85,0
22-01-2025 09:40,-43.55,111175,100,0,-43,-44.3,13525,-119200,YES,21850,N,-0.2,-26.4,8635125,300,-300,-23.85,-23.85,41250,-446850,YES,219375,YES,-0.94,24.8,8696625,300,75,21.75,21.85,43575,91800,N,-265200,YES,-1.01,-160.45,21645,0,75,-150.45,-149.25,7020,-18420,YES,540,Y,-4.51,23115.3,23125.75,23067.75,23069.05,0
22-01-2025 09:45,-7.05,140450,100,0,-7.05,-6.5,18650,74725,Y,-24475,Y,-4.79,-2.3,6909000,225,1650,-2.35,-2.35,39900,465075,Y,193425,N,-3.3,1,11661525,-225,375,1,0.9,38775,-32550,Y,184575,Y,2.5,-32,26070,-15,15,-26,-22.15,8895,4215,Y,8160,N,-12.66,23067.45,23082.4,23052.35,23060.55,0
22-01-2025 09:50,20.65,73125,-225,150,23.95,27.15,15050,1800,YES,-6925,N,-1.54,10.2,5201550,-450,0,9.4,9.45,47325,97200,N,-71775,Y,-1.65,-15.85,7082100,225,2025,-15.2,-15.1,42975,-172275,Y,199350,N,0.38,34.95,35715,-345,0,34.85,30.75,8160,-825,YES,-2160,Y,-18.3,23061.3,23085.6,23050.55,23083.25,0
22-01-2025 09:55,20.85,18900,-75,400,18.15,15.6,2075,16925,N,-28050,Y,-0.02,6.9,1757400,-750,675,6.8,6.9,7575,28950,N,-78525,Y,-0.21,-12.2,8024475,375,450,-11.75,-11.8,44400,160575,YES,173925,N,-1.75,9.05,5445,75,0,14.1,19.2,1530,-4140,YES,-2610,Y,-1.12,23083.25,23124.65,23077.65,23103.25,0
22-01-2025 10:00,4.25,37500,25,-175,5.05,3.3,16925,10750,N,-225,YES,0.31,-2.15,4184325,150,0,-1.35,-1.35,32325,76125,Y,122925,YES,-0.15,-2.3,5805825,-1125,-225,-2.85,-2.9,48150,120000,N,321750,Y,-1.19,35.5,11115,0,-105,37.15,29.45,6810,-3825,N,-720,N,0.6,23102.05,23107.05,23084.35,23090.6,0
