last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9
28-01-2025 09:15:00,66.75,102525.0,-150.0,0.0,85.5,77.0,9345.0,7710.0,N,20715.0,N,59.15999999999622,48542.8,48609.55,48637.5,48526.6
28-01-2025 09:20:00,-27.89999999999418,51240.0,-15.0,-435.0,-17.94999999999709,-21.599999999998545,9210.0,3975.0,N,26145.0,N,10.940000000002328,48624.95,48597.05,48630.05,48563.25
28-01-2025 09:25:00,-45.0,39375.0,15.0,0.0,-38.25,-31.599999999998545,8850.0,24225.0,Y,-525.0,Y,-0.5200000000040745,48603.3,48558.3,48621.0,48532.0
28-01-2025 09:30:00,-16.5,29850.0,30.0,90.0,-27.44999999999709,-29.75,10680.0,-5790.0,YES,2415.0,N,-1.3300000000017462,48552.75,48536.25,48584.6,48530.0
28-01-2025 09:35:00,18.400000000001455,19260.0,15.0,30.0,5.400000000001455,17.05000000000291,9600.0,11655.0,N,510.0,Y,-1.9400000000023283,48541.0,48559.4,48564.4,48510.0
28-01-2025 09:40:00,-9.849999999998545,22425.0,60.0,330.0,5.200000000004366,-2.0,9195.0,-4575.0,YES,525.0,N,0.31999999999970896,48559.4,48549.55,48610.0,48536.6
28-01-2025 09:45:00,119.5,66285.0,45.0,-15.0,131.5500000000029,131.04999999999563,10230.0,-14595.0,YES,6615.0,N,13.950000000004366,48555.5,48675.0,48694.95,48555.5
28-01-2025 09:50:00,-10.099999999998545,30450.0,15.0,45.0,-15.94999999999709,-9.19999999999709,9300.0,-795.0,N,4110.0,N,4.450000000004366,48670.1,48660.0,48688.0,48594.3
28-01-2025 09:55:00,21.599999999998545,30555.0,0.0,-75.0,24.650000000001455,20.400000000001455,8565.0,10230.0,N,-25590.0,Y,4.290000000000873,48655.4,48677.0,48680.0,48620.85
28-01-2025 10:00:00,57.44999999999709,74730.0,-45.0,120.0,65.90000000000146,57.44999999999709,8940.0,14430.0,N,17790.0,YES,21.979999999995925,48690.0,48747.45,48792.75,48690.0
28-01-2025 10:05:00,1.5500000000029104,28155.0,-45.0,-30.0,-4.950000000004366,-1.0,9345.0,1965.0,YES,31680.0,N,7.0900000000037835,48747.45,48749.0,48770.0,48727.55
28-01-2025 10:10:00,-27.0,26985.0,0.0,-15.0,-18.0,-26.099999999998545,7605.0,16650.0,N,6765.0,N,5.849999999998545,48749.0,48722.0,48771.0,48712.45
28-01-2025 10:15:00,30.44999999999709,30780.0,0.0,30.0,21.0,30.049999999995634,7770.0,-29805.0,YES,4650.0,N,5.260000000002037,48722.65,48753.1,48755.95,48710.0
28-01-2025 10:20:00,21.900000000001455,20220.0,0.0,-75.0,23.099999999998545,21.900000000001455,8235.0,17625.0,Y,-17100.0,Y,4.190000000002328,48753.1,48775.0,48785.1,48742.35
28-01-2025 10:25:00,62.0,54510.0,30.0,120.0,59.94999999999709,58.05000000000291,10395.0,6690.0,N,-37725.0,Y,14.339999999996508,48775.0,48837.0,48848.85,48767.55
28-01-2025 10:30:00,-60.0,32070.0,0.0,645.0,-59.75,-60.0,9765.0,7035.0,N,5700.0,YES,6.299999999995634,48830.0,48770.0,48845.0,48743.25
28-01-2025 10:35:00,6.400000000001455,22845.0,15.0,15.0,12.150000000001455,21.0,7695.0,480.0,YES,3615.0,N,3.0799999999944703,48770.0,48776.4,48795.0,48728.7
28-01-2025 10:40:00,-22.799999999995634,12450.0,0.0,-240.0,-21.69999999999709,-8.94999999999709,6750.0,345.0,YES,3150.0,N,1.8300000000017462,48778.2,48755.4,48806.0,48737.85
28-01-2025 10:45:00,-15.44999999999709,15855.0,105.0,-45.0,-11.849999999998545,-15.299999999995634,7530.0,-810.0,YES,17265.0,N,2.1199999999953434,48773.85,48758.4,48796.35,48740.15
28-01-2025 10:50:00,5.099999999998545,8445.0,60.0,-105.0,17.599999999998545,6.099999999998545,6570.0,-1485.0,YES,795.0,Y,1.1000000000058208,48758.4,48763.5,48795.95,48741.1
28-01-2025 10:55:00,38.25,13710.0,120.0,90.0,38.349999999998545,50.64999999999418,5940.0,-5160.0,YES,-2685.0,Y,2.1999999999970896,48763.5,48801.75,48820.0,48757.1
28-01-2025 11:00:00,56.30000000000291,45540.0,-90.0,0.0,43.049999999995634,42.25,8445.0,-5055.0,N,8325.0,N,10.279999999998836,48801.75,48858.05,48880.05,48801.75
28-01-2025 11:05:00,-8.400000000001455,13440.0,15.0,-735.0,-10.400000000001455,-5.599999999998545,7770.0,23085.0,Y,1080.0,Y,2.7699999999967986,48858.4,48850.0,48868.0,48833.75
28-01-2025 11:10:00,39.900000000001455,16725.0,-90.0,-45.0,31.400000000001455,24.69999999999709,7635.0,7785.0,N,-19605.0,Y,3.290000000000873,48840.1,48880.0,48880.0,48830.0
28-01-2025 11:15:00,-37.44999999999709,43125.0,45.0,375.0,-31.05000000000291,-27.5,8745.0,23430.0,N,-3825.0,N,9.369999999995343,48877.5,48840.05,48906.75,48831.0
28-01-2025 11:20:00,40.0,10650.0,0.0,-960.0,41.69999999999709,35.94999999999709,9600.0,-3540.0,YES,1680.0,N,1.9199999999982538,48840.0,48880.0,48895.55,48840.0
28-01-2025 11:25:00,57.150000000001455,32265.0,1110.0,0.0,58.75,50.099999999998545,11475.0,-390.0,N,-225.0,Y,7.4099999999962165,48880.0,48937.15,48943.15,48879.0
28-01-2025 11:30:00,-24.400000000001455,17340.0,-225.0,420.0,-21.55000000000291,-22.0,8775.0,-450.0,YES,4785.0,N,4.060000000004948,48940.0,48915.6,48948.0,48908.0
28-01-2025 11:35:00,59.650000000001455,32235.0,-405.0,15.0,46.80000000000291,57.44999999999709,9435.0,180.0,N,-870.0,Y,7.419999999998254,48915.6,48975.25,48975.25,48899.85
28-01-2025 11:40:00,-2.599999999998545,55830.0,-60.0,285.0,8.14999999999418,2.75,8595.0,1665.0,N,-17220.0,Y,14.979999999995925,48975.25,48972.65,49031.6,48962.05
28-01-2025 11:45:00,6.400000000001455,28560.0,75.0,-30.0,4.549999999995634,10.69999999999709,8190.0,12720.0,N,15375.0,YES,5.649999999994179,48971.45,48977.85,48985.4,48902.0
28-01-2025 11:50:00,26.900000000001455,27750.0,-15.0,0.0,34.69999999999709,26.0,10830.0,495.0,YES,13050.0,N,6.709999999999127,48986.9,49013.8,49030.05,48968.35
28-01-2025 11:55:00,-2.900000000001455,32580.0,45.0,-240.0,5.0,7.900000000001455,9390.0,35145.0,Y,-14250.0,Y,7.580000000001746,49012.9,49010.0,49048.9,48973.35
28-01-2025 12:00:00,87.0,46230.0,-30.0,-60.0,86.0,81.0,9675.0,-180.0,YES,-1560.0,N,11.900000000001455,49010.0,49097.0,49107.35,48973.45
28-01-2025 12:05:00,-52.94999999999709,24315.0,15.0,-825.0,-52.799999999995634,-44.0,8790.0,-2355.0,YES,8805.0,N,6.459999999999127,49098.0,49045.05,49111.5,49043.95
28-01-2025 12:10:00,51.549999999995634,14340.0,45.0,-30.0,52.400000000001455,42.849999999998545,7860.0,-5310.0,YES,8385.0,N,3.5900000000037835,49045.05,49096.6,49100.0,49045.05
