last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
31-01-2025 09:25,23460.65,57600,0,450,19200,-113475,N,18075,N,2.71,23464,23460.65,23470,23452.75,261.65,781050,225,-525,33000,9225,N,50700,N,3.26,373.75,171825,-150,-75,35925,-8850,N,9525,N,-3.56,49490,30180,90,-270,11670,10980,N,8490,N,0.05
31-01-2025 09:30,23453.4,82425,0,-525,33825,20400,Y,319950,YES,2.07,23460.65,23453.4,23465.95,23445,259.15,651975,-450,0,36825,74250,Y,35100,N,1.31,377.65,170550,-150,75,33900,900,N,4950,N,-1.22,49430,31770,-30,-180,11130,-4530,YES,9600,N,-6.44
31-01-2025 09:35,23451.65,97650,0,525,34050,1800,YES,13425,N,-0.27,23451,23451.65,23459,23431,261.4,882825,0,6225,38400,-3975,YES,-2475,Y,0.3,377.45,288525,-75,75,41925,-6000,Y,-18375,YES,0.33,49383.3,54840,30,30,14520,7500,N,7080,N,-19.61
31-01-2025 09:40,23476,120300,4425,2025,30825,7575,N,-17700,Y,3.65,23452.15,23476,23484.35,23435.8,267.25,1006575,-225,-225,38400,9975,N,-16500,Y,1.87,365,250275,150,300,36000,9375,N,9450,Y,-2,49486.85,32310,270,0,13380,3120,N,6000,N,-4.9
31-01-2025 09:45,23490,137025,225,-2025,36075,12225,N,8400,YES,5.74,23476,23490,23492.35,23471.1,270.3,1164825,300,-225,38850,6525,N,44400,YES,2.43,352.3,273225,75,-2100,37500,19800,N,9675,N,-3.6,49521.05,31680,30,0,12780,9090,N,-2730,Y,1.21
31-01-2025 09:50,23471,104700,75,450,39675,3075,N,25950,N,2.99,23490.5,23471,23494,23465.35,260.55,887475,0,-75,37950,-13575,YES,-11250,Y,0.76,360.45,363525,-75,375,41625,525000,YES,1425,YES,-3.46,49446.65,24750,60,60,11820,810,YES,6180,N,-0.06
31-01-2025 09:55,23496.15,112575,-225,-375,30300,19950,N,64425,YES,3.87,23472,23496.15,23505.7,23471.15,269.65,823200,-375,1050,37800,30225,Y,42600,YES,1.03,342.9,329850,225,-75,35850,1950,Y,20175,N,-3.67,49460.05,18480,30,0,11070,8610,N,14460,N,-0.41
31-01-2025 10:00,23495,84525,0,-450,29775,3375,N,130650,YES,2.99,23503,23495,23510.85,23494.25,267.55,664125,300,0,36225,-11625,YES,20025,N,0.8,345.6,354300,225,2175,36150,29925,YES,10800,N,-3.76,49444,20610,-90,90,9660,-4740,YES,4770,N,-0.49
31-01-2025 10:05,23468.75,87000,0,-75,37875,19500,N,19275,N,0.95,23497.6,23468.75,23497.6,23465.35,255.4,884775,-1575,600,37950,-7800,N,-7725,Y,-0.3,354.4,418800,375,-1425,40650,-6900,Y,11850,N,-1.87,49390,31860,-720,0,11640,-2220,N,-3210,Y,-5.33
31-01-2025 10:10,23479.3,132825,-75,375,31200,3750,N,-15525,Y,0.56,23468.9,23479.3,23488.95,23450,257.25,962325,150,375,36375,-22950,YES,24825,YES,-0.6,347.4,339075,0,-1650,36075,-9150,Y,-15300,YES,-0.89,49425.05,16440,90,0,11520,-3960,YES,-1350,N,-1.75
