last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-01-20 09:15:00,24.549999999999983,2486175.0,0.0,375.0,24.400000000000006,24.350000000000023,32025,105150.0,N,36675.0,N,11.02000000000001
2025-01-20 09:20:00,17.349999999999994,1788525.0,-300.0,-75.0,14.600000000000023,14.650000000000006,38250,-412200.0,Y,6525.0,N,8.27000000000001
2025-01-20 09:25:00,0.05000000000001137,1899450.0,75.0,-225.0,-1.3499999999999943,-1.3499999999999943,43950,-27150.0,YES,54900.0,Y,8.150000000000006
2025-01-20 09:30:00,22.55000000000001,1847175.0,0.0,75.0,20.0,20.0,41625,12375.0,YES,-7050.0,YES,5.329999999999984
2025-01-20 09:35:00,-1.950000000000017,1220550.0,-375.0,375.0,-1.549999999999983,-1.700000000000017,39300,-4425.0,Y,6300.0,N,3.8799999999999955
2025-01-20 09:40:00,-25.799999999999983,1220625.0,-150.0,150.0,-25.299999999999983,-25.44999999999999,37725,-29925.0,Y,54075.0,Y,1.8100000000000023
2025-01-20 09:45:00,2.75,877800.0,0.0,-75.0,1.950000000000017,1.9000000000000057,38250,39525.0,YES,15900.0,N,0.25
2025-01-20 09:50:00,5.849999999999994,1008150.0,675.0,675.0,5.900000000000006,5.949999999999989,36225,6225.0,N,-9675.0,YES,1.0
2025-01-20 09:55:00,-18.5,1137600.0,150.0,225.0,-17.44999999999999,-17.25,37200,-8550.0,Y,56025.0,Y,-0.6100000000000136
2025-01-20 10:00:00,-5.400000000000006,974400.0,0.0,75.0,-4.649999999999977,-4.550000000000011,37350,-9000.0,Y,-9375.0,YES,-0.5199999999999818
2025-01-20 10:05:00,9.0,1168875.0,225.0,225.0,8.950000000000017,9.150000000000006,40050,55425.0,YES,2025.0,N,-0.960000000000008
2025-01-20 10:10:00,-12.099999999999994,1005825.0,750.0,-1500.0,-12.400000000000006,-12.549999999999983,42975,14025.0,N,22200.0,Y,-0.5599999999999739
2025-01-20 10:15:00,-3.3000000000000114,943425.0,225.0,-900.0,-4.299999999999983,-4.350000000000023,41550,10050.0,N,39750.0,N,-1.1800000000000068
2025-01-20 10:20:00,-8.699999999999989,947775.0,-300.0,300.0,-8.599999999999994,-8.650000000000006,41025,-32400.0,Y,35925.0,N,-1.1199999999999761
2025-01-20 10:25:00,-1.9000000000000057,1269000.0,450.0,750.0,-1.5500000000000114,-1.5500000000000114,41250,35250.0,YES,53475.0,N,-1.8100000000000023
2025-01-20 10:30:00,-7.299999999999983,1179525.0,-1275.0,-225.0,-7.150000000000006,-7.150000000000006,42225,-3600.0,Y,79650.0,Y,-1.7699999999999818
2025-01-20 10:35:00,-0.44999999999998863,1270725.0,0.0,0.0,-0.29999999999998295,-0.35000000000002274,41700,63000.0,YES,63825.0,N,-1.9499999999999886
2025-01-20 10:40:00,0.6999999999999886,1666275.0,1950.0,1050.0,0.6500000000000057,0.75,43500,18450.0,N,-375.0,YES,-2.1999999999999886
2025-01-20 10:45:00,5.0,1820100.0,1050.0,675.0,6.300000000000011,6.25,38100,-5325.0,Y,-46275.0,YES,-1.6399999999999864
2025-01-20 10:50:00,-6.5,1317825.0,-75.0,1500.0,-7.050000000000011,-7.050000000000011,39600,20325.0,YES,64350.0,Y,-1.460000000000008
2025-01-20 10:55:00,-6.350000000000023,1175475.0,2250.0,0.0,-6.550000000000011,-6.650000000000006,40500,-56175.0,Y,80475.0,N,-1.2799999999999727
2025-01-20 11:00:00,3.450000000000017,1484025.0,5475.0,-525.0,3.6999999999999886,3.6999999999999886,43050,51825.0,YES,-9825.0,YES,-1.6100000000000136
2025-01-20 11:05:00,0.5500000000000114,1148700.0,0.0,-525.0,1.0,1.0,47100,8475.0,N,9675.0,N,-1.0999999999999943
2025-01-20 11:10:00,-4.800000000000011,1851900.0,-75.0,150.0,-3.75,-3.6999999999999886,46050,2775.0,Y,16950.0,N,-1.3400000000000034
2025-01-20 11:15:00,-18.19999999999999,4444125.0,525.0,-675.0,-17.200000000000017,-17.19999999999999,40800,-51075.0,Y,85425.0,Y,-5.110000000000014
2025-01-20 11:20:00,-6.949999999999989,3193275.0,-375.0,-525.0,-6.449999999999989,-6.349999999999994,41700,-20925.0,YES,107400.0,Y,-3.3700000000000045
2025-01-20 11:25:00,-6.700000000000003,2258175.0,-150.0,225.0,-5.849999999999994,-5.799999999999997,46500,61275.0,YES,90900.0,N,-2.539999999999992
2025-01-20 11:30:00,-6.700000000000003,3179475.0,-600.0,0.0,-6.400000000000006,-6.450000000000003,43950,57000.0,N,41925.0,N,-3.7200000000000273
2025-01-20 11:35:00,-3.450000000000003,1813425.0,-525.0,225.0,-2.8000000000000114,-2.8499999999999943,48075,50100.0,N,80325.0,Y,-2.0299999999999727
2025-01-20 11:40:00,2.0,1268700.0,1200.0,-600.0,1.8499999999999943,1.8500000000000085,41400,64650.0,N,6000.0,N,-1.3199999999999932
2025-01-20 11:45:00,6.450000000000003,1659075.0,0.0,1125.0,6.299999999999997,6.349999999999994,43200,39975.0,N,-21450.0,YES,-1.5300000000000011
2025-01-20 11:50:00,-2.0999999999999943,1534050.0,75.0,675.0,-2.700000000000003,-2.700000000000003,40275,-34275.0,Y,-1725.0,N,-1.2700000000000102
2025-01-20 11:55:00,0.4000000000000057,1007025.0,-600.0,-300.0,0.09999999999999432,0.09999999999999432,45150,27825.0,YES,56700.0,Y,-0.8400000000000034
2025-01-20 12:00:00,0.7999999999999972,1582650.0,-750.0,-150.0,1.5,1.5,41100,11325.0,N,3600.0,N,-1.1900000000000261
2025-01-20 12:05:00,1.0999999999999943,2234325.0,-150.0,975.0,1.5999999999999943,1.7999999999999972,43950,1147500.0,YES,26025.0,Y,-1.4699999999999989
2025-01-20 12:10:00,-1.3500000000000085,1320750.0,-150.0,375.0,-1.3999999999999915,-1.3999999999999915,41775,4800.0,N,54600.0,Y,-0.8899999999999864
2025-01-20 12:15:00,-3.25,1261275.0,-450.0,-225.0,-2.549999999999997,-2.549999999999997,42600,-912300.0,Y,42600.0,N,-0.8299999999999841
2025-01-20 12:20:00,-1.9500000000000028,1837650.0,0.0,-75.0,-2.0500000000000114,-2.0999999999999943,45825,57675.0,YES,-5550.0,YES,-1.3199999999999932
2025-01-20 12:25:00,9.799999999999997,1464375.0,-525.0,-75.0,9.849999999999994,9.849999999999994,49500,-75150.0,Y,-125475.0,YES,-0.8499999999999943
2025-01-20 12:30:00,2.4499999999999886,2672250.0,825.0,-825.0,2.6499999999999915,2.5999999999999943,46725,39825.0,YES,-21075.0,Y,-1.240000000000009
2025-01-20 12:35:00,-7.6000000000000085,1602900.0,150.0,-525.0,-7.5,-7.549999999999997,45375,-47025.0,Y,81825.0,Y,-0.7599999999999909
2025-01-20 12:40:00,3.0500000000000114,1677600.0,-75.0,0.0,2.8999999999999915,2.8999999999999915,43800,44400.0,YES,47775.0,N,-0.8300000000000125
2025-01-20 12:45:00,-7.799999999999997,1417425.0,-300.0,975.0,-7.549999999999997,-7.5,40950,-44100.0,Y,23025.0,N,-0.6800000000000068
2025-01-20 12:50:00,3.1499999999999915,1523625.0,-2625.0,-1725.0,3.5,3.4499999999999886,45675,7275.0,YES,225.0,YES,-0.789999999999992
2025-01-20 12:55:00,1.9500000000000028,1065300.0,-600.0,-900.0,1.75,1.5500000000000114,43200,25800.0,N,26325.0,Y,-0.4900000000000091
2025-01-20 13:00:00,-0.25,1327125.0,1800.0,-75.0,0.25,0.25,48825,26400.0,N,24900.0,N,-0.549999999999983
2025-01-20 13:05:00,-7.799999999999997,1479225.0,1275.0,-75.0,-7.5,-7.450000000000003,42450,-38325.0,Y,30675.0,N,-0.700000000000017
2025-01-20 13:10:00,4.950000000000003,1080600.0,825.0,675.0,4.599999999999994,4.799999999999997,42075,114300.0,YES,-4125.0,YES,-0.5100000000000193
2025-01-20 13:15:00,-6.849999999999994,2721675.0,1650.0,675.0,-6.700000000000003,-6.650000000000006,42600,-91800.0,Y,-53100.0,YES,-1.4599999999999795
2025-01-20 13:20:00,5.0,1373175.0,375.0,-1200.0,5.150000000000006,5.150000000000006,50175,4125.0,YES,-40875.0,N,-0.6299999999999955
2025-01-20 13:25:00,-0.8499999999999943,1636425.0,-750.0,-3000.0,-0.7000000000000028,-0.5499999999999972,49725,25800.0,YES,35625.0,Y,-0.6399999999999864
2025-01-20 13:30:00,-1.2000000000000028,1500750.0,150.0,-1050.0,-1.2000000000000028,-1.1500000000000057,44100,9900.0,N,54525.0,N,-0.5599999999999739
2025-01-20 13:35:00,5.5,1232550.0,1575.0,-1575.0,5.6499999999999915,5.6499999999999915,48225,48375.0,YES,-92850.0,YES,-0.45000000000001705
2025-01-20 13:40:00,-0.5,1232475.0,75.0,-150.0,-0.29999999999999716,-0.29999999999999716,47250,-1950.0,Y,24000.0,Y,-0.4000000000000057
2025-01-20 13:45:00,-2.4000000000000057,2147550.0,2775.0,750.0,-1.7999999999999972,-1.7000000000000028,55650,18375.0,YES,-41550.0,YES,-0.6200000000000045
2025-01-20 13:50:00,3.950000000000003,789675.0,1050.0,-3300.0,4.25,4.200000000000003,45675,13725.0,N,-30975.0,N,-0.2400000000000091
2025-01-20 13:55:00,1.8500000000000085,1227525.0,150.0,525.0,1.9000000000000057,2.0,45375,16500.0,N,-38475.0,YES,-0.3199999999999932
2025-01-20 14:00:00,-1.25,1783050.0,600.0,2925.0,-1.4500000000000028,-1.4500000000000028,51000,-21300.0,Y,31050.0,Y,-0.4199999999999875
2025-01-20 14:05:00,-2.450000000000003,1364175.0,750.0,-300.0,-1.7000000000000028,-1.75,54675,-42900.0,Y,36075.0,N,-0.3900000000000148
2025-01-20 14:10:00,-7.6000000000000085,1485300.0,-375.0,-225.0,-7.25,-7.25,46875,-56700.0,Y,22800.0,N,-0.45999999999997954
2025-01-20 14:15:00,2.0,1298475.0,-75.0,675.0,1.8000000000000114,1.75,43050,79950.0,YES,-7575.0,YES,-0.4399999999999977
2025-01-20 14:20:00,0.7000000000000028,973275.0,-375.0,150.0,1.2999999999999972,1.2999999999999972,45825,-16650.0,Y,32400.0,Y,-0.3299999999999841
2025-01-20 14:25:00,4.849999999999994,1285125.0,3525.0,375.0,5.299999999999997,5.400000000000006,47400,24075.0,YES,-33750.0,YES,-0.37000000000000455
2025-01-20 14:30:00,-3.0,1846725.0,75.0,-750.0,-2.3000000000000114,-2.3000000000000114,52350,-26475.0,Y,18600.0,Y,-0.4399999999999977
2025-01-20 14:35:00,-2.200000000000003,1402500.0,1125.0,750.0,-2.25,-2.200000000000003,42675,55650.0,YES,-33225.0,YES,-0.4199999999999875
2025-01-20 14:40:00,-2.700000000000003,967050.0,150.0,1575.0,-2.9499999999999886,-2.950000000000003,42750,-9675.0,Y,2400.0,Y,-0.30000000000001137
2025-01-20 14:45:00,-2.25,888525.0,75.0,1350.0,-1.9499999999999886,-1.8499999999999943,46425,872850.0,YES,28875.0,Y,-0.28000000000000114
2025-01-20 14:50:00,-1.4500000000000028,1222800.0,0.0,1500.0,-1.5499999999999972,-1.5499999999999972,49275,-9075.0,Y,-25575.0,YES,-0.4099999999999966
2025-01-20 14:55:00,1.1500000000000057,1009050.0,-750.0,-375.0,1.0499999999999972,1.0,51075,-38100.0,Y,-17850.0,N,-0.3300000000000125
2025-01-20 15:00:00,-1.25,1503150.0,75.0,-300.0,-0.75,-0.7999999999999972,54075,32250.0,YES,48675.0,Y,-0.46000000000000796
2025-01-20 15:05:00,-3.3499999999999943,1392075.0,1200.0,-150.0,-3.5,-3.549999999999997,55050,-79725.0,Y,11175.0,N,-0.4399999999999977
2025-01-20 15:10:00,4.5,1305975.0,225.0,4050.0,4.5,4.549999999999997,51375,1275.0,YES,-164775.0,YES,-0.38999999999998636
2025-01-20 15:15:00,5.8999999999999915,1213800.0,0.0,300.0,6.1000000000000085,6.1499999999999915,20925,-14925.0,Y,-174675.0,YES,-0.28999999999999204
2025-01-20 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,N,0.0,Y,0.0
2025-01-20 15:25:00,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,N,0.0,N,0.0
