last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
24-01-2025 09:15,18.1,216900,25,25,20,16.55,16125,54400,N,121700,N,12.13,8.45,2660150,-200,75,12.5,11.95,19625,363350,N,155925,N,10.69,-6,1637925,-525,-200,-3.6,-4.05,19050,238000,N,69050,N,-3.73,121.55,51090,-45,-60,132,121.35,8955,23445,N,35220,N,83.4,23183.9,23281,23177.8,23276.4,0
24-01-2025 09:20,-1.6,145675,25,25,1.95,-1.7,23050,-1025,YES,20850,N,3.87,-3.05,3147725,975,75,-2,-1.95,21100,-802650,YES,160550,N,3.23,2.25,2245600,175,-250,1.15,1.2,21175,39775,N,62475,N,-0.69,-58.7,25140,870,-90,-55.8,-61.9,9030,-12990,YES,34905,N,1.83,23275.8,23292.05,23274,23281.15,0
24-01-2025 09:25,-26.95,101175,-150,0,-24.65,-26.2,18200,-18225,YES,15075,N,-1.66,-10.45,2633550,-475,50,-10.25,-10.3,22600,-70850,Y,153050,N,-1.5,15,2865000,-875,325,16.1,15.75,24325,44750,N,-1050,YES,3.84,-50.05,26430,-270,105,-58.95,-53.1,7290,8595,Y,5055,N,-21.79,23280.55,23285.35,23234.2,23235.55,0
24-01-2025 09:30,-14.3,123375,400,1025,-13.95,-12.35,19200,5100,Y,-33925,Y,-6.47,-4.15,2041800,350,300,-5.4,-5.15,20525,24975,Y,38675,N,-2.75,6,1896800,-275,125,7.15,7.2,18675,-34325,Y,32925,Y,4,55,24900,90,-75,45.95,48.6,8085,3765,N,-21105,Y,-12.53,23235.25,23246.1,23217.95,23225.45,0
24-01-2025 09:35,-30,121850,25,-1050,-28.7,-29.8,15875,-13300,YES,1350,YES,-7.24,-16.3,2068200,75,350,-16.1,-15.95,22775,-71400,YES,84350,YES,-3.14,20.7,1774350,75,-125,19.9,19.95,24125,12625,YES,-45500,YES,3.97,-129.1,41160,-30,-75,-125.7,-133.05,7680,-4455,YES,4365,YES,-23.28,23225.25,23232.25,23194.2,23194.2,0
24-01-2025 09:40,26.05,65125,0,25,25.15,25.8,15850,31825,Y,-3575,Y,-3.22,12.05,1612850,-175,75,11.6,11.75,20325,99875,Y,45975,N,-2.08,-15.1,1055500,-450,250,-14.15,-14.15,19250,-34100,Y,43050,Y,2.16,40.25,21540,0,-45,39.9,40.85,7635,8190,N,14415,N,-10.51,23195.3,23230.25,23192.55,23230.25,0
24-01-2025 09:45,-52.05,141050,50,25,-55,-52.85,17350,-66050,YES,15500,N,-6.69,-19.8,2769900,-425,125,-18.15,-18,23125,-139675,YES,64225,N,-2.18,32.85,1900550,-50,-100,32.55,32.8,22050,31100,YES,-82100,YES,3.39,-149.75,54150,15,0,-139.95,-139.55,7335,-23550,YES,5760,N,-34.3,23230.05,23247.9,23182.75,23182.75,0
24-01-2025 09:50,-24.6,180550,-50,0,-22.15,-21.95,22825,43075,Y,9200,N,-13.68,-10.4,2505125,225,100,-10.2,-10.1,26050,81525,Y,10450,N,-4.55,7.95,1566425,-50,350,8.35,8.2,25425,-43100,Y,35525,Y,5.35,-17.75,76440,30,120,-19.35,-11.9,10545,46785,Y,-5490,Y,-48.62,23182.45,23183.2,23153.2,23158.25,0
24-01-2025 09:55,-4.6,97925,0,0,-5.4,-6.15,17650,4550,N,114300,YES,-6.34,-0.55,1385325,75,900,-0.4,-0.4,25250,37850,N,15275,N,-2.16,4.5,750700,275,-125,4.75,4.7,21925,-20925,YES,-13375,YES,2.31,19.6,18165,-15,0,7.45,2,7605,-7350,YES,33015,YES,-7.74,23158.3,23178.3,23144.25,23145.85,0
24-01-2025 10:00,-0.4,144950,-1150,25,3.8,3.25,17425,35750,Y,-4425,Y,-9.24,-0.85,1476900,200,-50,-1.25,-1.2,27550,7575,N,37150,YES,-2.36,-4.45,700150,-225,-1425,-3.1,-3.05,20425,-17200,N,3600,N,2.33,49.95,19860,30,180,50.05,50,8910,28245,Y,-19890,Y,-6.08,23144.25,23154,23127.55,23135.15,0
24-01-2025 10:05,8.1,97500,-25,0,3.6,4.95,15475,20775,N,15700,YES,-4.33,0.75,1304025,250,325,0.55,0.45,24400,18525,N,-3575,Y,-1.64,-1.85,478850,150,-325,-0.8,-0.8,20475,4300,YES,1575,YES,1.25,39.85,19740,0,75,14.95,14.25,7635,-12420,YES,18330,YES,-3.57,23137.1,23165.25,23133.15,23149.75,0
24-01-2025 10:10,3.05,60875,250,-75,5.7,9.9,13200,-3625,YES,33225,N,-1.77,1.95,1094025,-50,700,1.5,1.55,24650,25150,N,59225,YES,-1.11,-7.95,451675,50,-50,-8.1,-7.8,19850,20200,N,6000,N,0.87,-20.8,9630,0,-60,-16.35,-11.5,6705,18960,Y,6780,N,-1.36,23149.75,23174.8,23147.65,23156.35,0
24-01-2025 10:15,-19.95,62075,175,-50,-19.95,-16.45,16225,10850,N,1850,Y,-2.26,-5.05,987500,-75,-125,-5.2,-5.15,23975,-42275,YES,79250,YES,-1.13,13.55,389300,-50,-475,13.7,13.65,21475,-7500,Y,-6475,YES,0.94,-38.7,21825,-45,-30,-32.3,-38.4,5445,2190,YES,-3225,Y,-4.68,23155.25,23157.2,23131.85,23135.9,0
24-01-2025 10:20,25.3,151900,300,0,21.9,21.25,17700,-15500,YES,-9675,Y,-7.51,5.6,1957400,100,200,5.65,5.65,24400,-6950,Y,-10475,Y,-2.49,-15.5,827450,-375,-25,-15.6,-15.55,22100,-6550,N,-13025,YES,2.55,106.9,24405,75,930,103.85,94.45,7710,11325,N,-16155,Y,-4.93,23135.05,23161.1,23102.9,23156.9,0
24-01-2025 10:25,25.65,152550,200,-450,23.55,25.75,19325,15875,Y,21700,YES,-0.57,4.5,2802650,-475,400,5.55,5.55,25275,-16375,YES,-181325,Y,-1.11,-21,904200,150,200,-20.3,-20.35,20050,-13275,Y,21625,Y,0.35,31.4,47985,30,-210,37.3,43.4,8820,-7380,YES,28605,YES,6.17,23157.1,23210.8,23157.1,23183.05,0
24-01-2025 10:30,-10,58275,-175,100,-11.7,-12.25,16925,53025,Y,-28225,Y,-0.4,-4.95,1643750,-25,-100,-5.05,-5.15,22475,24025,Y,46575,YES,-0.87,4.55,549950,-350,175,4.4,4.45,21100,11475,YES,12475,N,0.25,-54.25,20415,75,15,-41.7,-52.65,8370,5580,N,14520,N,1.93,23182,23193.25,23170,23173,0
24-01-2025 10:35,53.35,104475,-100,-300,53.6,51.75,16300,-6675,YES,-34025,Y,1.17,20.95,2218925,-575,250,20.75,20.75,20750,36425,N,-49375,Y,-0.3,-34.8,850950,0,225,-34.25,-34.25,21875,-11600,Y,23050,N,-0.48,95,27105,-180,0,102.9,113,10410,18990,N,-9690,Y,3.98,23172.45,23227.1,23172.25,23217,0
24-01-2025 10:40,-12.6,40650,-225,-200,-8.3,-10.1,15475,44925,Y,10300,YES,0.39,-3.8,1357950,-125,-350,-3.95,-4,21050,26275,N,81150,YES,-0.1,5.2,528050,275,75,5.2,5.25,20600,33825,YES,30875,N,-0.35,5.5,25005,-225,45,-1.65,2.2,10200,9585,N,23535,YES,4.39,23216.9,23226.85,23208.15,23213.5,0
24-01-2025 10:45,3.1,27475,-25,175,-3.65,-4.95,13750,13075,N,8600,N,0.17,-1.75,978975,275,25,-1.9,-1.85,22500,9675,N,46250,N,-0.19,0.35,432475,0,550,-0.2,-0.05,21425,-11100,Y,18025,N,-0.21,-25.75,13725,-45,105,-18.05,-19.85,6690,9810,N,2565,Y,1.76,23213.3,23219.6,23207.7,23215.35,0
24-01-2025 10:50,-10.95,30500,0,150,1,-2.15,11775,-475,YES,9450,N,0.06,-2.1,1053950,-25,75,-2.3,-2.35,22725,-10475,YES,4525,N,-0.34,-0.1,579550,175,-225,0.15,0.2,24600,13575,YES,15275,N,-0.22,2.15,11190,165,120,6.5,5,8700,-17235,YES,3990,N,1.07,23214,23216.05,23195.55,23213.2,0
24-01-2025 10:55,14.15,25825,25,75,9,9.6,14600,3175,N,-1475,Y,0.16,3.75,765150,25,-25,3.85,3.8,26525,10650,Y,16150,N,-0.19,-4.7,352300,-50,525,-4.95,-4.95,20975,-18000,Y,20700,N,-0.16,40.4,8580,-150,30,31,36.4,7365,-4830,N,-285,Y,1.01,23212.65,23221.2,23199.5,23221.2,0
24-01-2025 11:00,20.95,110250,75,0,23.55,22.55,16675,-28100,YES,-41375,Y,1.71,10.4,1860400,-200,-600,10.8,10.65,24450,9575,N,-71975,Y,0.09,-13.05,819750,-25,-150,-12.65,-12.85,22100,19275,YES,-5350,YES,-0.8,45.4,39375,30,15,61.3,63.05,7905,2400,N,-15330,Y,8.77,23220.4,23246.75,23214.9,23244.5,0
24-01-2025 11:05,3.6,91725,-3100,1100,0.15,1,17300,950,Y,-50650,Y,1.58,-1.7,1463550,-5225,225,-2.6,-2.5,25650,30425,Y,45250,YES,0.07,-5.6,766150,175,1125,-5.45,-5.4,25650,3725,N,41550,Y,-0.91,6,25560,0,0,5.25,2.05,10365,2400,N,21510,YES,5.89,23242.8,23249.55,23233.65,23243.85,0
24-01-2025 11:10,52.5,265150,25,-775,54.25,53.95,17450,14075,N,-53875,Y,7.56,22.65,3216575,300,150,21.8,21.9,25075,24525,N,-317500,Y,1.18,-27.95,1527500,-200,125,-27.5,-27.55,24400,-21600,Y,21425,N,-2.95,123.95,63210,0,0,116.9,117.75,9240,24690,Y,-33060,Y,20.35,23242.9,23289.2,23240.15,23279.2,0
24-01-2025 11:15,-17.55,103550,-50,-25,-15.05,-16.95,17050,675,YES,12400,YES,2.82,-7.7,1945450,450,-1250,-7.45,-7.35,23475,8400,N,84975,YES,0.76,8.2,1788325,-50,-50,9.05,9,23600,78250,YES,37725,N,-3.29,-108.4,29970,-60,375,-103.25,-110,8820,8010,N,47505,YES,7.67,23277.95,23284.8,23257.1,23266.6,0
