last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
06-01-2025 09:15,-7.45,1056975,0,75,-7.55,-7.55,34425,27900,N,65475,N,-2.02,06-01-2025 09:15,-0.65,2377425,1500,300,-0.35,-0.25,35175,100425,N,175725,N,0.7
06-01-2025 09:20,-15.9,1802400,-300,0,-16.95,-16.9,37725,-1349025,Y,53550,N,-2.68,06-01-2025 09:20,16.5,4876425,-450,150,18.05,18.15,39375,-1999575,YES,375,Y,3.7
06-01-2025 09:25,26.2,2313300,0,75,27.8,27.85,41475,80175,YES,-21225,YES,-0.69,06-01-2025 09:25,-15.4,5483550,150,825,-15.7,-15.7,43425,-142125,Y,246600,YES,1.45
06-01-2025 09:30,25.5,2648925,-75,0,22.95,22.95,39975,-2700,Y,-18375,N,6.6,06-01-2025 09:30,-12.55,4336125,0,600,-11.5,-11.55,41250,-34350,Y,221400,N,-2.58
06-01-2025 09:35,26.15,2499600,75,0,24.75,24.9,40800,-88575,Y,-25800,YES,15.9,06-01-2025 09:35,-4.35,5140725,-600,-75,-3.75,-3.75,39825,167025,Y,22500,N,-6.49
06-01-2025 09:40,-1.45,1314825,150,0,-4.1,-4.3,47400,825,YES,24225,Y,5.42,06-01-2025 09:40,1.95,3467100,-75,-525,2.65,2.6,46575,45375,N,1275,Y,-2.07
06-01-2025 09:45,-25.3,958800,-75,-150,-23.95,-23.8,41175,-13125,Y,38250,N,2.81,06-01-2025 09:45,7.8,2986350,-1575,0,6.55,6.6,47025,99900,Y,-9600,Y,-1.28
06-01-2025 09:50,4.6,626925,-450,75,3.75,3.55,42750,13275,YES,15825,N,0.93,06-01-2025 09:50,-1.35,2520975,1275,-375,-1.3,-1.35,37275,100800,N,38850,YES,-0.53
06-01-2025 09:55,-2.9,810975,-150,-525,1.05,0.9,42825,-8475,Y,2100,YES,0.75,06-01-2025 09:55,-0.8,3094950,600,-150,-2.15,-2.15,41550,-77850,YES,-44475,Y,-0.37
06-01-2025 10:00,-16.45,945750,-75,-75,-16.9,-16.95,42900,18000,YES,15975,N,-0.27,06-01-2025 10:00,10.5,3797925,3075,450,10.95,11,43500,102300,Y,12525,YES,0.51
06-01-2025 10:05,-20.5,915525,300,-75,-18.75,-18.4,41325,-15525,Y,32100,N,-0.56,06-01-2025 10:05,5.85,3402300,75,-75,5.05,5.05,39825,-44925,YES,-17400,Y,0.49
06-01-2025 10:10,-3.9,733350,675,-225,-4.45,-4.35,43125,22050,YES,3075,N,-0.84,06-01-2025 10:10,-2.5,2730450,-450,-75,-2.35,-2.4,37125,30975,Y,125025,YES,0.54
06-01-2025 10:15,3.95,1230975,0,1125,4.35,4.2,38100,24375,N,18150,N,-2.08,06-01-2025 10:15,-2.1,3880500,600,75,-1.9,-1.75,38475,-55500,YES,-68475,Y,1
06-01-2025 10:20,23.55,1130400,75,-150,22,22.15,39675,-5175,Y,-29925,YES,-0.32,06-01-2025 10:20,-13.55,2746275,-5400,150,-13.45,-13.5,39975,-99150,YES,53625,YES,-0.12
06-01-2025 10:25,18.35,816375,150,0,13,13.05,38100,19725,YES,-35325,YES,0.34,06-01-2025 10:25,-10.7,1898475,525,450,-9.35,-9.3,42975,-27375,Y,67650,N,-0.38
06-01-2025 10:30,11.8,762000,-375,-75,12.4,12.2,39225,-14625,Y,-10125,Y,0.99,06-01-2025 10:30,-7.9,2105325,1275,2700,-7.35,-7.25,42000,112650,Y,27375,N,-0.85
