last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-01-30 09:15:00,-19.849999999999994,5853550.0,150.0,625.0,-20.75,-20.799999999999997,25900,7456300.0,N,199075.0,N,-7.740000000000009
2025-01-30 09:20:00,-5.75,4081625.0,0.0,350.0,-5.25,-5.25,23650,1269450.0,N,174825.0,N,-0.6700000000000017
2025-01-30 09:25:00,-1.75,3048750.0,50.0,-25.0,-2.200000000000003,-2.200000000000003,19600,1211800.0,N,126575.0,N,-2.3400000000000034
2025-01-30 09:30:00,-14.5,3878075.0,50.0,725.0,-15.150000000000006,-15.099999999999994,19675,155850.0,N,122325.0,N,-4.060000000000002
2025-01-30 09:35:00,-13.050000000000011,3061625.0,1250.0,200.0,-12.950000000000003,-12.950000000000003,21750,-60275.0,Y,131000.0,N,-3.469999999999999
2025-01-30 09:40:00,-2.3999999999999915,3312700.0,-875.0,175.0,-2.299999999999997,-2.299999999999997,24925,-28425.0,YES,8575.0,N,-3.289999999999992
2025-01-30 09:45:00,-0.25,3132875.0,-150.0,-950.0,0.0,-0.04999999999999716,24850,72100.0,YES,-36625.0,YES,-3.0
2025-01-30 09:50:00,-13.699999999999996,3287475.0,450.0,1125.0,-14.199999999999996,-14.149999999999999,26725,-40000.0,Y,93375.0,Y,-3.260000000000005
2025-01-30 09:55:00,-1.25,2362600.0,275.0,-825.0,-0.8500000000000014,-0.8500000000000014,27300,71475.0,YES,450.0,YES,-1.8499999999999943
2025-01-30 10:00:00,-5.449999999999996,2722375.0,-575.0,125.0,-5.699999999999996,-5.800000000000004,32050,-44700.0,Y,59825.0,Y,-2.5400000000000063
2025-01-30 10:05:00,1.3999999999999986,3396950.0,-125.0,-1050.0,1.5499999999999972,1.6499999999999986,37075,101350.0,YES,-54250.0,YES,-3.1499999999999915
2025-01-30 10:10:00,-9.799999999999997,4211100.0,-600.0,2225.0,-9.850000000000001,-9.75,32250,-10125.0,Y,74750.0,Y,-3.5
