last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9
31-01-2025 09:25:00,49490.0,30180.0,90.0,-270.0,11670.0,10980.0,N,8490.0,N,0.05000000000291038,49503.95,49490.0,49533.65,49480.0
31-01-2025 09:30:00,49430.0,31770.0,-30.0,-180.0,11130.0,-4530.0,YES,9600.0,N,-6.440000000002328,49491.35,49430.0,49491.35,49430.0
31-01-2025 09:35:00,49383.3,54840.0,30.0,30.0,14520.0,7500.0,N,7080.0,N,-19.610000000000582,49438.1,49383.3,49438.1,49364.5
31-01-2025 09:40:00,49486.85,32310.0,270.0,0.0,13380.0,3120.0,N,6000.0,N,-4.899999999994179,49383.5,49486.85,49490.0,49370.0
31-01-2025 09:45:00,49521.05,31680.0,30.0,0.0,12780.0,9090.0,N,-2730.0,Y,1.2099999999991269,49477.5,49521.05,49525.0,49452.0
31-01-2025 09:50:00,49446.65,24750.0,60.0,60.0,11820.0,810.0,YES,6180.0,N,-0.06000000000494765,49514.0,49446.65,49520.0,49421.0
31-01-2025 09:55:00,49460.05,18480.0,30.0,0.0,11070.0,8610.0,N,14460.0,N,-0.41000000000349246,49450.0,49460.05,49495.0,49441.15
31-01-2025 10:00:00,49444.0,20610.0,-90.0,90.0,9660.0,-4740.0,YES,4770.0,N,-0.4900000000052387,49460.05,49444.0,49497.85,49430.05
31-01-2025 10:05:00,49390.0,31860.0,-720.0,0.0,11640.0,-2220.0,N,-3210.0,Y,-5.330000000001746,49440.0,49390.0,49440.0,49375.05
31-01-2025 10:10:00,49425.05,16440.0,90.0,0.0,11520.0,-3960.0,YES,-1350.0,N,-1.75,49402.85,49425.05,49451.9,49385.0
31-01-2025 10:15:00,49493.9,13710.0,0.0,-90.0,10710.0,9150.0,N,480.0,N,-0.4099999999962165,49433.95,49493.9,49493.9,49408.1
31-01-2025 10:20:00,49566.85,45000.0,-150.0,90.0,13080.0,3720.0,N,-7740.0,Y,5.80000000000291,49493.9,49566.85,49592.75,49475.3
31-01-2025 10:25:00,49545.0,21630.0,0.0,270.0,11880.0,-900.0,YES,-15000.0,Y,3.039999999993597,49573.95,49545.0,49578.7,49537.0
31-01-2025 10:30:00,49583.6,37830.0,-30.0,-180.0,12810.0,4920.0,N,-4800.0,N,6.950000000004366,49545.0,49583.6,49618.35,49540.25
31-01-2025 10:35:00,49573.3,30570.0,0.0,60.0,12330.0,-1410.0,YES,6120.0,N,5.540000000000873,49595.65,49573.3,49625.0,49565.05
31-01-2025 10:40:00,49663.85,24360.0,270.0,0.0,11880.0,7860.0,N,-38850.0,Y,5.080000000001746,49573.0,49663.85,49663.85,49568.0
31-01-2025 10:45:00,49655.15,25890.0,120.0,-690.0,12750.0,-8190.0,YES,2490.0,YES,5.919999999998254,49665.0,49655.15,49670.0,49610.15
31-01-2025 10:50:00,49664.35,20340.0,60.0,0.0,12150.0,4440.0,N,-4980.0,Y,4.279999999998836,49655.15,49664.35,49673.9,49615.8
31-01-2025 10:55:00,49651.85,16470.0,120.0,-30.0,13800.0,4770.0,N,1980.0,N,3.2699999999967986,49664.35,49651.85,49672.5,49625.15
31-01-2025 11:00:00,49650.0,15960.0,-60.0,-390.0,12960.0,2280.0,YES,8250.0,N,2.470000000001164,49648.4,49650.0,49665.2,49581.35
31-01-2025 11:05:00,49582.0,12810.0,150.0,-60.0,11340.0,27630.0,Y,5370.0,N,1.860000000000582,49650.0,49582.0,49650.0,49582.0
31-01-2025 11:10:00,49580.3,15690.0,-210.0,-420.0,10800.0,3930.0,N,-1230.0,Y,1.5599999999976717,49582.0,49580.3,49619.95,49573.6
31-01-2025 11:15:00,49603.5,9300.0,30.0,210.0,10500.0,2160.0,YES,330.0,N,0.9700000000011642,49586.75,49603.5,49616.6,49575.05
31-01-2025 11:20:00,49634.5,6750.0,270.0,0.0,8880.0,-3780.0,YES,3000.0,N,0.8899999999994179,49603.5,49634.5,49634.65,49597.15
31-01-2025 11:25:00,49525.5,15750.0,-240.0,-120.0,14850.0,21210.0,Y,1500.0,Y,1.3000000000029104,49621.25,49525.5,49634.65,49524.4
31-01-2025 11:30:00,49600.1,16560.0,30.0,-90.0,10290.0,31500.0,N,-3180.0,Y,0.4099999999962165,49525.0,49600.1,49610.85,49504.3
31-01-2025 11:35:00,49603.7,8730.0,0.0,-60.0,8790.0,29070.0,N,1380.0,N,0.8700000000026193,49600.1,49603.7,49628.05,49572.3
31-01-2025 11:40:00,49607.35,3990.0,-30.0,-60.0,8310.0,-2250.0,YES,1200.0,Y,0.41999999999825377,49598.0,49607.35,49617.1,49590.0
31-01-2025 11:45:00,49650.0,13380.0,-30.0,120.0,10410.0,-120.0,N,-630.0,Y,1.930000000000291,49607.35,49650.0,49660.0,49607.35
31-01-2025 11:50:00,49687.5,27990.0,90.0,30.0,15180.0,-5250.0,YES,-12360.0,Y,5.120000000002619,49650.0,49687.5,49699.0,49650.0
31-01-2025 11:55:00,49697.2,17130.0,-60.0,120.0,11580.0,30.0,N,2400.0,N,3.209999999999127,49687.9,49697.2,49700.0,49672.45
31-01-2025 12:00:00,49711.2,21090.0,-60.0,30.0,10800.0,990.0,N,39570.0,YES,4.360000000000582,49703.0,49711.2,49725.0,49687.8
31-01-2025 12:05:00,49710.45,15270.0,90.0,30.0,11940.0,720.0,YES,-3930.0,Y,2.5899999999965075,49711.2,49710.45,49715.95,49666.25
31-01-2025 12:10:00,49748.9,27000.0,-30.0,-30.0,10350.0,2130.0,N,-5400.0,Y,5.80000000000291,49710.45,49748.9,49759.9,49710.0
31-01-2025 12:15:00,49725.8,14520.0,30.0,0.0,10500.0,1620.0,YES,5160.0,N,3.069999999999709,49748.9,49725.8,49767.0,49725.8
31-01-2025 12:20:00,49742.8,13290.0,-210.0,30.0,10410.0,12390.0,N,3210.0,N,2.220000000001164,49736.6,49742.8,49742.8,49695.0
31-01-2025 12:25:00,49720.85,10620.0,0.0,540.0,10170.0,1980.0,YES,2190.0,Y,1.9500000000043656,49742.05,49720.85,49755.05,49710.45
31-01-2025 12:30:00,49797.55,22680.0,30.0,90.0,12840.0,-15090.0,YES,-4530.0,Y,4.859999999993306,49720.85,49797.55,49798.0,49720.85
31-01-2025 12:35:00,49841.0,33570.0,0.0,-90.0,13020.0,-1200.0,N,-24510.0,Y,8.480000000003201,49782.95,49841.0,49850.0,49782.15
