last_traded_time,final_signal,result
2025-07-23 13:15:00,BUY,open_loss
2025-07-23 13:20:00,SELL,reverse
2025-07-23 13:50:00,BUY,win
2025-07-23 14:20:00,BUY,reverse
2025-07-23 14:25:00,SELL,reverse
2025-07-23 14:35:00,SELL,reverse
2025-07-23 15:00:00,SELL,reverse
2025-07-24 10:10:00,BUY,exc_loss
2025-07-24 10:20:00,SELL,reverse
2025-07-24 10:55:00,SELL,win
2025-07-24 11:10:00,SELL,win
2025-07-24 12:45:00,SELL,win
2025-07-24 13:05:00,BUY,reverse
2025-07-24 13:15:00,SELL,exc_loss
2025-07-24 13:20:00,BUY,reverse
2025-07-24 13:40:00,BUY,reverse
2025-07-24 14:00:00,BUY,reverse
2025-07-25 10:55:00,BUY,exc_loss
2025-07-25 12:15:00,SELL,win
2025-07-25 12:30:00,SELL,reverse
2025-07-25 12:55:00,BUY,im_loss
2025-07-25 13:00:00,SELL,reverse
2025-07-25 13:15:00,BUY,exc_loss
2025-07-29 10:05:00,SELL,win
2025-07-29 11:00:00,SELL,reverse
2025-07-29 11:05:00,BUY,win
2025-07-29 12:05:00,BUY,exc_loss
2025-07-29 14:10:00,SELL,reverse
2025-07-29 14:20:00,BUY,exc_loss
2025-07-29 14:35:00,BUY,reverse
2025-07-29 15:05:00,SELL,reverse
2025-07-29 15:15:00,BUY,exc_loss
2025-07-30 11:00:00,BUY,win
2025-07-30 11:10:00,BUY,win
2025-07-30 11:55:00,SELL,win
2025-07-30 12:20:00,SELL,exc_loss
2025-07-30 13:30:00,BUY,exc_loss
2025-07-30 13:50:00,BUY,exc_loss
2025-07-30 14:05:00,BUY,open_win
2025-07-30 15:10:00,BUY,exc_loss
2025-07-31 09:35:00,SELL,reverse
2025-07-31 09:55:00,SELL,exc_loss
2025-07-31 10:35:00,BUY,win
2025-07-31 11:15:00,BUY,win
2025-07-31 11:30:00,BUY,open_loss
2025-07-31 11:35:00,SELL,reverse
2025-07-31 12:55:00,BUY,exc_loss
2025-07-31 13:10:00,BUY,im_loss
2025-07-31 13:15:00,SELL,not_triggered
2025-07-31 14:10:00,SELL,reverse
2025-07-31 14:15:00,SELL,reverse
2025-07-31 15:20:00,BUY,not_triggered
