last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-12-19 09:15:00,-5.399999999999999,-5.599999999999998,-5.600000000000001,107800,-23.900000000000546,22775,3177425.0,N,116025.0,N,28.65,23.25,33.1,17.9,-8.84
2024-12-19 09:20:00,1.1000000000000014,0.8499999999999979,0.8999999999999986,120125,-35.25,39575,425525.0,N,111450.0,N,24.4,25.5,28.25,20.25,-1.2300000000000004
2024-12-19 09:25:00,-3.5,-3.5,-3.5,127700,-36.10000000000218,42450,-95250.0,YES,170600.0,YES,25.6,22.1,30.0,21.8,-0.030000000000001137
2024-12-19 09:30:00,-0.9499999999999993,-0.75,-0.8000000000000007,103100,-29.5,34925,8575.0,Y,58475.0,N,22.15,21.2,22.95,18.8,-0.7299999999999969
2024-12-19 09:35:00,2.4499999999999993,1.8499999999999979,1.8999999999999986,77825,-36.19999999999709,40725,287075.0,Y,97025.0,YES,20.85,23.3,25.75,20.1,-0.3400000000000034
2024-12-19 09:40:00,3.75,2.5500000000000007,2.599999999999998,66200,-36.85000000000218,35100,304200.0,N,-149700.0,Y,23.3,27.05,29.3,20.6,-0.03999999999999915
2024-12-19 09:45:00,-8.55,-8.399999999999999,-8.450000000000003,346050,-31.69999999999891,43900,-89300.0,YES,317975.0,YES,26.8,18.25,27.1,16.6,-0.7000000000000028
2024-12-19 09:50:00,2.75,2.75,2.6999999999999993,99525,-34.600000000000364,44075,94900.0,Y,-24625.0,Y,18.2,20.95,22.9,16.75,-0.4499999999999993
2024-12-19 09:55:00,-3.6499999999999986,-3.3500000000000014,-3.3000000000000007,-74225,-34.599999999999454,50350,126725.0,Y,144650.0,YES,20.75,17.1,26.65,16.5,-0.39000000000000057
2024-12-19 10:00:00,0.75,0.7999999999999972,0.8000000000000007,315225,-32.95000000000073,57050,-186950.0,YES,43075.0,N,17.45,18.2,19.4,14.15,-0.5300000000000011
2024-12-19 10:05:00,-2.25,-2.1499999999999986,-2.1999999999999993,467775,-31.75,55950,-15550.0,Y,82125.0,YES,17.7,15.45,19.05,15.35,-0.3100000000000023
