last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-03-07 09:15:00,-1.9000000000000057,2.0999999999999943,2.0500000000000114,-75,-35.49999999999818,10275,92250.0,N,-2550.0,N,1.5
2025-03-07 09:20:00,-21.35000000000001,-23.549999999999997,-23.599999999999994,44325,-105.15000000000146,39750,-705150.0,YES,194400.0,YES,-5.170000000000016
2025-03-07 09:25:00,0.7000000000000028,1.2000000000000028,1.25,-3075,-102.24999999999272,39975,58575.0,Y,90225.0,N,-2.670000000000016
2025-03-07 09:30:00,25.0,24.500000000000014,24.5,-24225,-101.84999999999854,39150,153600.0,Y,-98550.0,Y,-0.5
2025-03-07 09:35:00,-41.14999999999999,-40.150000000000006,-40.349999999999994,-600,-108.14999999999418,43200,-237375.0,YES,308400.0,YES,-1.1800000000000068
2025-03-07 09:40:00,8.400000000000006,8.149999999999991,8.149999999999991,-39600,-94.10000000000582,43800,233400.0,Y,133950.0,N,-2.0
2025-03-07 09:45:00,-1.0999999999999943,0.4000000000000057,0.4000000000000057,31950,-90.90000000000146,41250,-7950.0,YES,72750.0,N,-1.1499999999999915
2025-03-07 09:50:00,4.349999999999994,4.3999999999999915,4.549999999999997,11400,-104.0,42450,29325.0,Y,-7050.0,Y,-0.6799999999999926
2025-03-07 09:55:00,7.200000000000003,8.149999999999991,8.299999999999997,22275,-94.09999999999127,39150,97275.0,Y,-85875.0,Y,-0.27000000000001023
2025-03-07 10:00:00,4.799999999999997,5.150000000000006,5.1499999999999915,-17100,-102.35000000000582,37950,25425.0,N,-38625.0,YES,0.6400000000000006
2025-03-07 10:05:00,19.650000000000006,18.80000000000001,18.900000000000006,11850,-110.34999999999854,34125,201300.0,Y,-201000.0,Y,2.3799999999999955
2025-03-07 10:10:00,14.850000000000023,12.150000000000006,12.050000000000011,97575,-115.55000000000291,42150,-1425.0,YES,-191850.0,N,2.8100000000000165
2025-03-07 10:15:00,-0.14999999999997726,0.05000000000001137,-0.15000000000000568,47100,-128.70000000000437,41100,-96075.0,YES,121125.0,YES,4.289999999999992
2025-03-07 10:20:00,-14.700000000000017,-14.599999999999994,-14.600000000000023,5325,-117.95000000000437,38925,-73200.0,Y,118500.0,N,1.2699999999999818
2025-03-07 10:25:00,9.0,9.25,9.25,38400,-119.69999999999709,47175,175425.0,Y,52125.0,N,0.8499999999999943
2025-03-07 10:30:00,-5.300000000000011,-5.599999999999994,-5.699999999999989,-18300,-117.15000000000146,43650,-17175.0,YES,159675.0,YES,0.6599999999999966
2025-03-07 10:35:00,5.200000000000017,4.75,4.849999999999994,-72450,-117.09999999999854,44025,15000.0,Y,18900.0,N,0.8700000000000045
2025-03-07 10:40:00,-4.5,-4.25,-4.300000000000011,3150,-121.70000000000437,45675,-23925.0,YES,105750.0,YES,0.6700000000000159
2025-03-07 10:45:00,14.0,13.75,13.800000000000011,24225,-121.25,47400,191100.0,Y,-276600.0,Y,0.9000000000000057
2025-03-07 10:50:00,-28.650000000000006,-28.75,-28.900000000000006,-40425,-115.65000000000146,45450,-415125.0,YES,188175.0,YES,0.6800000000000068
2025-03-07 10:55:00,0.05000000000001137,1.75,1.799999999999983,44175,-112.20000000000437,46725,128700.0,Y,126300.0,N,0.1599999999999966
2025-03-07 11:00:00,13.349999999999994,13.5,13.599999999999994,93825,-114.55000000000291,46500,128250.0,N,3300.0,N,0.3199999999999932
2025-03-07 11:05:00,5.300000000000011,4.199999999999989,4.099999999999994,-13800,-114.60000000000582,42000,52275.0,N,6975.0,N,0.3400000000000034
2025-03-07 11:10:00,7.5,7.550000000000011,7.599999999999994,-54525,-122.54999999999563,44175,-62475.0,YES,-178800.0,Y,1.1200000000000045
2025-03-07 11:15:00,-0.9000000000000057,-1.4499999999999886,-1.3499999999999943,38250,-132.95000000001164,48450,-26325.0,Y,-51000.0,YES,1.6500000000000057
2025-03-07 11:20:00,1.3499999999999943,0.9499999999999886,1.0,-54600,-115.19999999999709,43575,44400.0,Y,61575.0,YES,0.47999999999998977
2025-03-07 11:25:00,-9.700000000000017,-10.100000000000023,-9.949999999999989,39600,-118.45000000000437,44850,-23175.0,YES,69825.0,N,0.28000000000000114
2025-03-07 11:30:00,2.9000000000000057,2.9499999999999886,2.9000000000000057,67575,-123.09999999999854,44325,70350.0,Y,79725.0,N,0.2400000000000091
2025-03-07 11:35:00,-8.200000000000017,-8.349999999999994,-8.349999999999994,-27975,-120.54999999998836,45675,-72900.0,YES,69675.0,N,0.18999999999999773
2025-03-07 11:40:00,2.1500000000000057,2.0999999999999943,2.1499999999999773,4950,-112.70000000000437,42750,62175.0,Y,59175.0,N,0.12000000000000455
2025-03-07 11:45:00,-28.10000000000001,-27.5,-27.44999999999999,-2625,-108.80000000000291,43875,-324825.0,YES,49575.0,N,-0.2400000000000091
2025-03-07 11:50:00,7.650000000000006,6.849999999999994,6.950000000000003,-14850,-105.70000000000437,48000,150600.0,Y,117450.0,YES,-0.36000000000001364
2025-03-07 11:55:00,-2.6500000000000057,-2.1500000000000057,-2.0999999999999943,-825,-102.10000000000582,39675,35775.0,N,81300.0,N,-0.1599999999999966
2025-03-07 12:00:00,-11.200000000000017,-11.350000000000009,-11.299999999999997,-16650,-103.5,47475,-136125.0,YES,-2025.0,Y,-0.5800000000000125
2025-03-07 12:05:00,-2.0,-2.0999999999999943,-2.0999999999999943,-1200,-88.30000000000291,40575,30825.0,Y,22575.0,YES,-0.3199999999999932
2025-03-07 12:10:00,-1.25,-1.75,-1.7000000000000028,61350,-90.19999999999709,43950,51600.0,Y,65625.0,YES,-0.46999999999999886
2025-03-07 12:15:00,-5.75,-6.299999999999997,-6.3500000000000085,34125,-85.80000000000291,43125,-33900.0,YES,22200.0,N,-0.4099999999999966
2025-03-07 12:20:00,6.1499999999999915,6.599999999999994,6.549999999999997,-8700,-89.54999999999563,44025,121500.0,Y,12075.0,N,-0.4300000000000068
2025-03-07 12:25:00,7.049999999999997,7.150000000000006,7.150000000000006,-78075,-100.65000000000146,45225,53475.0,N,-27300.0,Y,-0.4000000000000057
2025-03-07 12:30:00,9.349999999999994,9.200000000000003,9.200000000000017,-62250,-103.09999999999854,46650,6675.0,N,9675.0,YES,-0.2400000000000091
2025-03-07 12:35:00,3.9000000000000057,5.0,4.950000000000017,26100,-107.60000000000582,41850,-825.0,YES,-63975.0,Y,-0.060000000000002274
2025-03-07 12:40:00,2.8000000000000114,2.5,2.549999999999983,32250,-105.00000000000728,41775,-20400.0,YES,54225.0,YES,-0.0800000000000125
2025-03-07 12:45:00,-13.999999999999986,-14.25,-14.300000000000011,-9375,-102.75,41100,-74775.0,YES,54750.0,N,-0.23999999999998067
2025-03-07 12:50:00,-5.450000000000003,-5.200000000000003,-5.349999999999994,-30450,-94.94999999999709,44175,-19950.0,Y,20475.0,N,-0.20000000000001705
2025-03-07 12:55:00,7.700000000000003,8.999999999999986,8.999999999999986,9450,-94.34999999999854,43500,71925.0,Y,27825.0,N,-0.19999999999998863
2025-03-07 13:00:00,-4.5,-5.049999999999997,-5.0,-60900,-88.45000000001164,46125,18300.0,N,38025.0,N,-0.25
2025-03-07 13:05:00,-3.700000000000003,-2.549999999999997,-2.5,3075,-83.69999999999709,44025,-9150.0,YES,95925.0,YES,-0.15000000000000568
