last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,percentage
06-05-2025 09:15,0.6927873522470582,-0.4185267529720929,-0.287326378846361,-0.09353810039493911,-0.6835755134534778,0.7019843834037184,0.20324468204709872,0.13822632466300241,0.8541584903614146,19950.0,140475.0,2712375.0,618375.0,2455125.0,274950.0,45.259644204324026
06-05-2025 09:20,0.21243635785466358,-0.4682818828163647,0.10790958989371421,0.2698513514677662,-0.832820361067045,-0.2857756392223163,0.08788992268800419,-0.675787794834024,-0.25459061792291554,29475.0,18975.0,-6148575.0,420075.0,-3084000.0,277800.0,35.50381686407571
06-05-2025 09:25,0.2367492712224042,-0.6908315700441592,-0.009048679383983108,0.3032189659657006,-0.4848396188106763,0.5535214487886206,0.57784934234849,-0.4659523888061236,0.20006127928923073,35250.0,675.0,246975.0,387600.0,134325.0,205050.0,39.13413960732653
06-05-2025 09:30,0.9172104754529548,0.06499960349821245,0.04795970303316797,0.8535766236012056,-0.5544544103918801,-0.5033223349097706,0.9147141939177472,-0.9093912212389272,-0.8504119866557858,33750.0,11475.0,176400.0,-63600.0,-240600.0,246675.0,62.400450585551695
06-05-2025 09:35,-0.2358689722505072,-0.7527498345788292,0.1509045136646801,0.7741035373654976,-0.929599516424654,-0.6727326273117742,0.7359902385204101,0.17477918027655526,0.5819849476072412,11325.0,18150.0,-71850.0,343350.0,218175.0,199875.0,55.652370755557214
06-05-2025 09:40,0.7310793512389288,-0.21621828885990846,-0.016095458190887115,0.6971444297931192,-0.7335040153007385,-0.6752338930733888,0.8887832229612423,-0.788879883108396,-0.6773129236926789,13650.0,8475.0,-44925.0,100125.0,-5775.0,63450.0,60.269460735769854
06-05-2025 09:45,0.4792763108894871,0.1076186024152137,0.6485100566571216,0.41256109175281735,-0.5305866246263987,0.35022459926371124,0.8372252119185245,-0.6624279154075842,-0.7607368334341987,4500.0,120225.0,163950.0,126300.0,14775.0,68550.0,53.21296940405619
06-05-2025 09:50,0.8962214827701898,-0.16585122885836337,-0.1575624840560059,0.9076050197860674,-0.8389565567523729,-0.7305559529172935,0.7081585185074113,-0.9315756904934012,-0.668674095378641,-22500.0,-2925.0,-268425.0,156000.0,62025.0,-482250.0,66.7240114391083
06-05-2025 09:55,-0.5842825930895124,-0.019557477167808906,0.19717084742040902,0.8405120311225238,-0.8355324273814987,-0.5611439785313814,0.6168969070955365,-0.6880809927244675,-0.27774164915592703,41850.0,8400.0,-235725.0,132750.0,-18750.0,-119625.0,51.343543374322955
06-05-2025 10:00,0.7585489820164804,0.09176606782094024,0.14082438503555986,0.8231415522297617,-0.6221783784410528,-0.42630406907899165,0.8002837986716435,-0.7759820383410222,-0.4733466657845728,18825.0,-2625.0,288300.0,22050.0,-55875.0,86400.0,54.5819548602225
06-05-2025 10:05,-0.35534590672250466,-0.4026743822933484,-0.2299418881835171,0.718888164273636,-0.9064803804100925,-0.6054096473623313,0.909519475931556,-0.6014562232712901,-0.5391269336529322,6450.0,11550.0,-8700.0,57600.0,-16500.0,13425.0,58.54270002334676
06-05-2025 10:10,0.5371608874938371,-0.5342558054061486,-0.5632793995267263,0.5420040569296668,-0.5797552324615804,-0.294550996529856,0.7613784710739698,-0.8062425307459191,-0.7147166215097672,8175.0,-75.0,94200.0,65175.0,22575.0,-60975.0,59.25937779641636
