last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,open_4,high_4,low_4,close_4
29-07-2025 09:15,-15.1,-10.1,-15,-675,-233.1,6150,-3600,N,-15825,N,-2.46,24680,24664.9,29-07-2025 09:15,-5.15,-6.75,-6.85,8475,-13.35,3675,790500,N,23925,N,145.65,140.5,146.9,134.8,-1.53,29-07-2025 09:15,4.25,5.55,5.6,-1725,-7.7,4200,-1094325,N,27300,N,70.85,75.1,79.1,70.85,3.04,24614.2,24691.25,24608.3,24685.7
29-07-2025 09:20,8.7,1.1,0.4,15075,-744.5,20250,-1350,N,6675,YES,5.74,24680.9,24689.6,29-07-2025 09:20,-15.25,-15.2,-15.2,3150,-68.6,19500,-38325,YES,111075,YES,166.5,151.25,176.05,149.8,4.49,29-07-2025 09:20,1.7,2.2,2.2,119175,-30.9,25725,1425,YES,243825,Y,64.25,65.95,69,56.75,-3.17,24684.5,24692.15,24653.7,24663.65
29-07-2025 09:25,51.6,51.9,48.2,-165225,-1019.9,27375,12600,N,-13800,Y,7.68,24684.4,24736,29-07-2025 09:25,35,34.15,34.25,33825,-114,34050,-142125,YES,-48600,Y,152.4,187.4,187.9,151.9,4.14,29-07-2025 09:25,-16.05,-15.8,-15.85,88500,-41.4,38025,-146100,Y,278625,Y,65,48.95,65.2,48.95,-2.96,24663.05,24712.15,24662.8,24710.4
29-07-2025 09:30,-13.9,-13.2,-13,-321375,-1383,46425,11100,N,38400,YES,5.23,24735.3,24721.4,29-07-2025 09:30,-7.35,-7.65,-7.55,26625,-151.7,37725,-40050,Y,186975,YES,185.75,178.4,186.3,165.85,3.56,29-07-2025 09:30,4.1,4.35,4.35,351300,-47.8,44250,170400,YES,27900,N,49.2,53.3,57.55,48.7,-2.4,24710,24712.6,24683.15,24696.4
29-07-2025 09:35,-10.1,-10.1,-10.4,-310800,-1648,44775,-8325,YES,8025,N,1.63,24721.4,24711.3,29-07-2025 09:35,-9.45,-10.05,-10.1,32175,-140.55,44700,-18225,Y,-8550,Y,179.3,169.85,179.3,157.85,0.72,29-07-2025 09:35,3.9,4.2,4.2,45375,-54.2,54525,117675,N,-17850,YES,53.15,57.05,64,53.15,-0.84,24695.9,24698,24668.8,24684.65
29-07-2025 09:40,10.2,13.5,12.7,-83325,-1487.2,45525,12825,Y,10800,N,1.52,24710.4,24720.6,29-07-2025 09:40,9.2,9.55,9.55,42225,-164.9,49575,19125,Y,-43125,Y,168.2,177.4,181.65,165.4,0.84,29-07-2025 09:40,-4.8,-4.85,-4.8,169500,-59.9,64350,-46125,Y,166050,Y,57.9,53.1,58.35,51.3,-0.59,24684.95,24702.9,24680.35,24694.2
29-07-2025 09:45,-7,-9.8,-11.1,-27675,-1859,60975,14775,N,-27825,Y,1.82,24722.5,24715.5,29-07-2025 09:45,-11,-12,-11.9,30825,-180.75,51075,-46200,YES,62475,YES,177.65,166.65,189.6,163.2,1.32,29-07-2025 09:45,2.95,3.85,3.85,121800,-63.75,69525,33450,YES,-125475,YES,53.15,56.1,57.55,48.65,-0.79,24694.85,24711.9,24682.9,24688.15
29-07-2025 09:50,38.5,37.5,32,17550,-1596.1,46800,3375,N,-37425,Y,5.07,24711.5,24750,29-07-2025 09:50,32.2,31.7,31.8,11400,-181.65,50325,73650,Y,-173550,Y,166.05,198.25,198.25,166.05,1.24,29-07-2025 09:50,-10.2,-10.5,-10.55,200325,-61.4,65475,-216600,Y,154275,Y,56,45.8,56.25,45.8,-0.76,24687.8,24723.1,24687.5,24722.85
29-07-2025 09:55,-27.3,-29.2,-27.8,-24300,-1116,44850,-60675,YES,46575,YES,1.79,24749.8,24722.5,29-07-2025 09:55,-26.35,-26.05,-25.95,-25275,-177.2,46275,-89550,YES,129450,YES,198.6,172.25,198.7,171.5,1.74,29-07-2025 09:55,7.4,7.65,7.7,567150,-54.5,67275,162375,YES,-85725,YES,45.6,53,53.5,45.55,-1.13,24722.9,24727.15,24697.25,24697.25
29-07-2025 10:00,19,14,18.3,16800,-1509.1,33975,20850,Y,16050,N,0.75,24721,24740,29-07-2025 10:00,12.35,11.65,11.7,14700,-175.6,48075,55950,Y,36825,N,172.3,184.65,187,172.3,0.59,29-07-2025 10:00,-5.2,-5.25,-5.25,-24075,-54.9,63600,33000,N,90450,Y,52.9,47.7,53,47,-0.39,24694.7,24713.55,24694.65,24709.25
29-07-2025 10:05,-10,-9.7,-11.1,54075,-1413.6,43200,4200,N,6375,N,0.73,24735,24725,29-07-2025 10:05,-6.05,-6.25,-6.15,-14850,-162.15,44475,-20775,YES,36750,N,184.65,178.6,189.45,176.6,0.44,29-07-2025 10:05,2.85,2.75,2.65,73050,-52.35,57075,77325,YES,-17250,YES,47.4,50.25,51.1,46.1,-0.32,24709.6,24717.25,24699.9,24701.7
29-07-2025 10:10,-35.5,-39.4,-38.4,68025,-1085.5,36975,-29775,YES,2775,Y,-0.56,24725.7,24690.2,29-07-2025 10:10,-26.65,-27.35,-27.45,-55725,-138.15,42975,-91200,YES,-1350,Y,178.3,151.65,178.7,150.45,-0.4,29-07-2025 10:10,12.8,13.5,13.5,27675,-59.75,59400,53775,N,-278400,YES,50.25,63.05,64.15,50.25,-0.12,24701.7,24702.65,24663.85,24664.55
29-07-2025 10:15,-12.6,-10.8,-11.2,-8025,-1434.3,38700,29475,Y,8250,N,-2.03,24687.9,24675.3,29-07-2025 10:15,-9.05,-8.05,-8.25,-20100,-116.5,43500,17475,Y,17850,N,151.05,142,154.05,139.75,-1.09,29-07-2025 10:15,2.75,2.5,2.5,-130125,-65.65,62175,72750,N,-11700,Y,63.75,66.5,68,60.15,0.47,24665.15,24670.9,24654.45,24658.05
29-07-2025 10:20,-0.9,-0.8,0.2,-25425,-749.3,30525,17250,N,12450,N,-1.33,24675.9,24675,29-07-2025 10:20,-0.2,-0.2,-0.15,-59775,-116.2,40800,23325,N,10650,N,142.65,142.45,147.15,138.5,-0.77,29-07-2025 10:20,-0.45,-0.35,-0.35,-134625,-65.95,61725,-17925,Y,136800,Y,66.1,65.65,68.9,62.9,0.36,24657.55,24659.95,24649.8,24653.8
