last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,open_4,high_4,low_4,close_4
29-07-2025 10:25,-15,-19.9,-19.5,531900,-1045.2,38700,14625,N,2850,Y,-3.04,24675,24660,29-07-2025 10:25,-12.15,-11.45,-11.7,46875,-111.8,42450,40500,N,22800,N,142.8,130.65,146.1,125.95,-1.79,29-07-2025 10:25,9.55,9,9.05,148050,-68.35,58200,43350,YES,-300600,YES,65.75,75.3,80.8,63.25,1.46,24653.5,24659,24628.05,24632.9
29-07-2025 10:30,5.1,9.9,4.6,110550,-1441.7,43125,9450,N,-10800,Y,-1.73,24660,24665.1,29-07-2025 10:30,4.3,4.3,4.35,9300,-114.35,46800,21900,N,51975,YES,130.7,135,139.3,130.25,-1.2,29-07-2025 10:30,-3.6,-3.45,-3.45,53625,-67.8,59100,104850,YES,75900,Y,74.95,71.35,75.05,66.8,0.49,24633.1,24647.65,24631.85,24639.2
29-07-2025 10:35,-2.9,-5.2,-6.5,-126825,-1098.6,57150,-9825,YES,29475,YES,-1.28,24665.1,24662.2,29-07-2025 10:35,-1.85,-1.9,-2,43950,-119.5,47625,-2100,YES,14550,N,135.15,133.3,141.25,132.25,-0.83,29-07-2025 10:35,2.05,2.1,2.1,12450,-71.15,55050,58425,N,-16200,YES,71.05,73.1,74.7,66.85,0.58,24639.8,24649.8,24634.25,24637.75
29-07-2025 10:40,-0.2,2.8,5.8,-58575,-1401,38250,16800,Y,-2100,Y,-0.98,24662.2,24662,29-07-2025 10:40,2.4,1.9,1.85,47175,-122.55,50625,32025,Y,12675,N,133.55,135.95,137.8,131.45,-0.68,29-07-2025 10:40,-1.6,-1.05,-1,-224775,-73,56400,7425,N,77550,Y,72.6,71,74.75,69.05,0.29,24637.75,24644.2,24635.35,24642.6
29-07-2025 10:45,-14.2,-15.2,-17.8,-37350,-1270.2,36600,-13650,YES,225,N,-2.08,24662,24647.8,29-07-2025 10:45,-9.9,-10.8,-10.75,14400,-115.8,51000,-33675,YES,26025,N,136.3,126.4,136.3,120,-1.78,29-07-2025 10:45,5.75,6.15,6.15,-209475,-84.9,64350,-68850,Y,-256800,YES,71.05,76.8,85.25,71.05,1.55,24642.2,24642.5,24614.3,24621.4
29-07-2025 10:50,13.5,11.7,10.5,-5100,-1053.7,27150,1425,N,-18675,Y,-0.94,24649.5,24663,29-07-2025 10:50,8.45,8.15,8.15,85350,-121.7,51975,33225,Y,10500,N,125.95,134.4,136.15,125.95,-1.27,29-07-2025 10:50,-4.8,-4.7,-4.7,-288150,-81.3,70275,55500,YES,149025,Y,76.95,72.15,76.95,70.6,0.5,24621.9,24639.7,24621.9,24637.45
29-07-2025 10:55,6,5.4,5.5,-32625,-870.5,36000,45750,Y,-20550,Y,-0.83,24663,24669,29-07-2025 10:55,2.3,2.4,2.4,39825,-124.6,51375,29025,N,44025,YES,134.55,136.85,138.7,128.75,-0.92,29-07-2025 10:55,-3.65,-3.75,-3.8,-169425,-75.45,63900,-107400,Y,136800,N,71.8,68.15,78.55,68,0.36,24637.6,24645.65,24616.45,24645.25
29-07-2025 11:00,0,2.2,-0.1,177750,-932.3,44700,-12525,YES,15975,YES,-1.23,24669,24669,29-07-2025 11:00,-0.55,-0.8,-0.8,38850,-129.05,53550,-25200,YES,-3750,Y,136.95,136.4,142.35,132.35,-0.77,29-07-2025 11:00,-1.65,-1.5,-1.5,200175,-69.5,71550,13425,YES,-26625,YES,68.15,66.5,71.75,63.9,0.11,24645.05,24653.9,24638.45,24647.15
29-07-2025 11:05,4.6,4.6,5.5,-81600,-1098.3,45900,-2250,N,-5775,Y,-1.06,24669,24673.6,29-07-2025 11:05,2.45,2.1,2.15,-46350,-134.35,50550,-51600,YES,-8175,Y,136.35,138.8,141,129.2,-0.62,29-07-2025 11:05,-0.65,-0.45,-0.5,128550,-80.15,70425,-128775,Y,44475,Y,66.5,65.85,72.35,64.2,0.12,24647.05,24652.7,24635.45,24650.75
29-07-2025 11:10,1.7,5.9,5,-3375,-927.1,32850,16275,N,30750,YES,-0.49,24676.2,24677.9,29-07-2025 11:10,4.35,4.55,4.6,-17550,-134.3,52725,-7275,Y,-23625,Y,138.9,143.25,143.5,135.75,-0.42,29-07-2025 11:10,-4.05,-3.9,-3.9,326475,-70.55,63375,-128025,N,36525,N,66,61.95,67.95,61.95,-0.01,24650.8,24660.25,24646.2,24658.6
29-07-2025 11:15,31.6,30.1,30,84675,-813.4,39225,11850,N,-22125,Y,0.19,24680,24711.6,29-07-2025 11:15,18.05,18.25,18.4,-125100,-153.1,46875,1092900,Y,-106650,Y,143.6,161.65,165.55,141.45,0,29-07-2025 11:15,-8.5,-8.6,-8.65,112575,-64.1,65700,-47100,YES,-77100,YES,61.9,53.4,63.2,52,-0.44,24658.65,24693.7,24658.65,24687.6
29-07-2025 11:20,7.8,8.9,7.1,34650,-750.3,34275,-11925,YES,-20700,N,0.37,24711.6,24719.4,29-07-2025 11:20,5.9,6.6,6.7,-21675,-156.15,49800,-9975,YES,-40575,YES,162.35,168.25,169.55,153.7,0.15,29-07-2025 11:20,-4.3,-4.3,-4.35,-81300,-62.2,68550,-117000,Y,60825,Y,53.2,48.9,57.45,48.85,-0.29,24688.1,24697.55,24673.3,24697.5
29-07-2025 11:25,-11,-14.2,-12.1,12450,-1010.6,29925,-16950,YES,28800,YES,0.54,24719.4,24708.4,29-07-2025 11:25,-11.95,-10.8,-10.6,-64125,-154.5,49425,-30450,YES,59175,YES,169.25,157.3,169.6,157.3,0.17,29-07-2025 11:25,4.4,4.3,4.2,-142500,-57.9,70425,221100,YES,2550,YES,49,53.4,53.4,48.5,-0.19,24697.85,24698.45,24683.65,24683.65
29-07-2025 11:30,15.6,19,19.5,21525,-899.4,27075,9525,Y,-12075,Y,0.53,24708.4,24724,29-07-2025 11:30,13.85,14.15,14.25,-43125,-161.95,49875,-1036500,YES,-9825,Y,157.3,171.15,173.75,157.15,0.26,29-07-2025 11:30,-6.1,-6.05,-6.05,269250,-58.55,79425,-156075,Y,106800,Y,53.35,47.25,53.8,46.9,-0.29,24683.95,24703.35,24682.65,24701.75
29-07-2025 11:35,-13.9,-13.9,-14.8,-67500,-801.8,35550,-3075,YES,-5400,N,0.49,24724,24710.1,29-07-2025 11:35,-9.4,-9.4,-9.45,-97125,-154.65,48450,1056450,Y,-20250,Y,171.3,161.9,176,160.15,0.22,29-07-2025 11:35,3.3,3.4,3.4,127050,-56.05,63375,79575,YES,-5625,YES,47.4,50.7,51.3,45.85,-0.22,24700.8,24705.45,24691.6,24692.2
29-07-2025 11:40,-15.1,-14.2,-12.4,108150,-1186.3,29100,-58125,YES,7200,N,0.07,24711,24695.9,29-07-2025 11:40,-8.45,-8.5,-8.55,-54975,-147.35,48225,-33975,YES,-3675,N,162.2,153.75,163.2,149.15,-0.04,29-07-2025 11:40,3.75,3.75,3.75,-78075,-57,68475,42000,N,1650,N,50.55,54.3,56.3,50.4,-0.25,24692.7,24693.05,24672.1,24675.3
29-07-2025 11:45,-2.8,3,2.3,22575,-1227.6,32775,-9975,Y,22725,N,-0.01,24698.4,24695.6,29-07-2025 11:45,-0.1,-0.1,-0.05,-23550,-142.55,51900,3675,Y,-2400,N,153,152.9,158.75,145.75,-0.1,29-07-2025 11:45,-1.3,-1.3,-1.25,-303375,-60.4,76275,-56475,Y,50775,Y,54.5,53.2,57,52.05,-0.19,24676.95,24682.85,24665.8,24675.6
29-07-2025 11:50,2.9,-2.7,-5.3,170400,-1222.4,28200,-16650,YES,11475,N,0.23,24695.6,24698.5,29-07-2025 11:50,-3.95,-4.1,-4.1,79650,-140.65,47250,-12675,YES,900,N,152.5,148.55,161.35,146.9,-0.03,29-07-2025 11:50,-0.45,-0.35,-0.4,-16050,-56.8,65550,-6225,YES,36300,N,53.4,52.95,55.3,48.65,-0.21,24674.95,24688.8,24669.55,24674.35
29-07-2025 11:55,6.5,4.4,1.5,8625,-1317.7,35400,38025,Y,-19725,Y,-0.04,24696.1,24702.6,29-07-2025 11:55,2.3,2.35,2.35,-52275,-130.2,48675,27525,Y,-900,Y,148.7,151,152.3,144.7,-0.09,29-07-2025 11:55,-2.3,-2.1,-2.15,78075,-58.6,71325,-1950,N,164625,Y,53.1,50.8,54.75,50.8,-0.13,24674.65,24676.55,24667.2,24673.25
29-07-2025 12:00,-13.6,-8.6,-9.9,3225,-1365.3,34425,-18150,YES,-10725,N,-0.04,24702.6,24689,29-07-2025 12:00,-6.7,-6.25,-6.25,6075,-139.35,53100,-1125,YES,37725,YES,151.05,144.35,152.7,143,-0.09,29-07-2025 12:00,1.85,1.7,1.7,170925,-62.4,80025,62925,YES,-4800,YES,51.1,52.95,53.5,49.75,-0.14,24672.9,24676.8,24664.7,24664.9
29-07-2025 12:05,23.6,17.6,20.4,-8250,-1418.9,33675,42450,Y,-17250,Y,0.08,24689,24712.6,29-07-2025 12:05,11.85,11.9,11.95,50625,-143.25,50400,-3225,YES,-42225,Y,144.5,156.35,159.7,142.8,-0.07,29-07-2025 12:05,-4.9,-4.8,-4.85,-45075,-61.9,80475,-68325,Y,-20175,YES,52.95,48.05,53.8,46.6,-0.21,24665.25,24689.1,24662.95,24687.5
29-07-2025 12:10,6.4,10.8,6.9,-144600,-1192.4,25950,9675,N,6225,YES,0.31,24712.6,24719,29-07-2025 12:10,6.65,7.15,7.1,-1125,-163.35,52500,-3975,YES,15900,YES,157.15,163.8,169.9,156.65,0.15,29-07-2025 12:10,-4.1,-3.9,-3.9,-111450,-54.8,67875,-62325,N,53625,Y,48.1,44,48.2,43.1,-0.31,24687.6,24702.15,24686.75,24695.05
29-07-2025 12:15,8,6.3,8,-280575,-1051,36375,-47775,YES,12075,N,0.39,24719,24727,29-07-2025 12:15,4.75,4.75,4.75,16650,-168.25,51375,25575,Y,-14925,Y,164,168.75,171.65,160.25,0.17,29-07-2025 12:15,-0.85,-0.7,-0.7,52050,-55.85,71700,127575,YES,-48000,YES,43.9,43.05,45.7,42.15,-0.19,24696.1,24705.4,24690.1,24701.9
29-07-2025 12:20,-5.4,-11,-8.4,-267450,-970,29550,27375,Y,9075,N,0.4,24725,24719.6,29-07-2025 12:20,-7.65,-8.35,-8.3,-74775,-172.75,51525,-40650,YES,40725,YES,168.35,160.7,171.9,158.45,0.15,29-07-2025 12:20,1.05,1.2,1.15,-216900,-53.85,74400,43950,N,-5400,Y,43.2,44.25,44.8,41.7,-0.22,24702.7,24707.4,24691.85,24692.05
29-07-2025 12:25,4.6,3.9,0.5,-51375,-1051.4,27525,37125,N,-525,Y,0.17,24719.6,24724.2,29-07-2025 12:25,2.1,1.25,1.25,-26625,-156.5,46875,15975,Y,-13875,Y,160.7,162.8,166.2,155.85,0.03,29-07-2025 12:25,-0.4,0,0,23100,-55.45,71550,-8250,Y,-31125,YES,44.2,43.8,46,42.4,-0.19,24691.85,24699.85,24685.65,24696.65
29-07-2025 12:30,-6.7,-1.6,0.6,16725,-1578.8,54075,-14925,YES,14625,N,0.19,24724.2,24717.5,29-07-2025 12:30,-0.4,-0.45,-0.4,2925,-145.75,46125,-567825,YES,4125,N,163,162.6,167.25,158.75,0.08,29-07-2025 12:30,-1.5,-1.4,-1.45,-94500,-52.75,72900,4200,N,48000,Y,43.85,42.35,44,41.25,-0.14,24696.55,24703.25,24694.45,24697.2
29-07-2025 12:35,12.7,9.7,6.8,-107325,-1311.1,33225,-11925,N,-17625,Y,0.39,24718.6,24731.3,29-07-2025 12:35,4.9,5.7,5.75,-28500,-166.25,50325,76950,Y,-23925,Y,163.6,168.5,172.55,161.65,0.12,29-07-2025 12:35,-1.7,-1.65,-1.65,295950,-54.95,76275,-11325,Y,36225,N,42.15,40.45,42.85,39.25,-0.21,24697.75,24709,24695.45,24704.4
29-07-2025 12:40,-9.1,-6.1,-7.1,361350,-1163.7,36075,-1125,N,-13950,N,0.64,24731.1,24722,29-07-2025 12:40,-2.5,-3.1,-3.2,35250,-176.25,54225,-561675,YES,-19425,N,168.65,166.15,177.4,161.5,0.3,29-07-2025 12:40,0.7,0.95,0.9,-181425,-52.5,79500,-93300,Y,-68925,YES,40.5,41.2,43.1,37.7,-0.32,24703.15,24715.9,24683.7,24697.95
29-07-2025 12:45,-2,-4.3,-4,-78000,-853.2,28725,19800,Y,-8250,N,0.25,24722,24720,29-07-2025 12:45,-3.55,-2.95,-3,-2025,-108.55,34575,11700,Y,19650,YES,166.05,162.5,168,160.2,0.05,29-07-2025 12:45,0.55,0.55,0.6,-168675,-37.4,52050,30450,YES,15075,Y,41.3,41.85,42.7,40.4,-0.12,24698.15,24705.7,24694.9,24701.85
29-07-2025 12:50,7.9,9.3,8.8,-97275,-622.5,34575,1650,YES,-15750,Y,0.35,24720,24727.9,29-07-2025 12:50,7.95,5.75,5.8,26250,-148.8,52875,-1125,YES,92625,YES,163,170.95,170.95,160.25,0.06,29-07-2025 12:50,-2.4,-1.75,-1.75,-305025,-51.8,70350,61800,YES,675,YES,41.9,39.5,43,39.5,-0.11,24701,24710.9,24698.15,24710.6
29-07-2025 12:55,-2.9,-4.8,-4.8,-73650,-1129.9,34200,32700,Y,-6750,N,0.45,24727.9,24725,29-07-2025 12:55,-3.4,-3.35,-3.35,-1950,-160.1,49575,-7875,YES,-47925,Y,169.9,166.5,173.7,163.6,0.1,29-07-2025 12:55,0.75,0.65,0.7,478725,-45.55,71325,8625,N,4350,N,39.75,40.5,41.4,39.35,-0.1,24711.6,24714.45,24705.05,24708.55
29-07-2025 13:00,-3.2,-1.7,2.4,16725,-1572.2,31725,-6000,YES,29700,YES,0.24,24725,24721.8,29-07-2025 13:00,-1.55,-1.05,-1.1,-23325,-157.45,51075,-600,N,-5325,YES,166.6,165.05,169,161.9,0.04,29-07-2025 13:00,0.1,-0.05,0,-149775,-52.4,76500,26775,N,-6000,YES,40.5,40.6,42.2,39.5,-0.1,24709.05,24711.85,24702.95,24708.25
29-07-2025 13:05,25.3,25.3,22.5,-24000,-1578.1,40500,-12900,YES,19575,N,0.96,24721.8,24747.1,29-07-2025 13:05,17.15,17.4,17.4,-11925,-172.7,45825,6375,N,24675,YES,165.3,182.45,185.8,164.15,0.47,29-07-2025 13:05,-5.45,-5.4,-5.4,110025,-48.7,72525,-225750,Y,8400,N,40.4,34.95,40.9,34.85,-0.37,24708.2,24729.8,24707.5,24728
29-07-2025 13:10,6.2,4.9,6.2,24675,-1245.4,40425,5100,N,2475,Y,1.47,24750,24756.2,29-07-2025 13:10,3.3,3.8,3.65,30600,-176.3,46950,509550,Y,-72525,Y,183,186.3,191.4,176,0.54,29-07-2025 13:10,-0.4,-0.45,-0.4,-114300,-46,74175,62100,YES,-63600,YES,34.95,34.55,36.45,33.45,-0.27,24727.8,24738,24721.5,24734.7
29-07-2025 13:15,-6.1,-2,-4.1,87450,-1329.6,40350,-5700,YES,-32400,Y,0.61,24756.1,24750,29-07-2025 13:15,-3.2,-3.7,-3.7,-52950,-174.75,43275,-1800,YES,81150,YES,186.55,183.35,191,181.25,0.37,29-07-2025 13:15,-0.25,-0.1,-0.1,164025,-41.95,68400,24900,N,-20850,Y,34.5,34.25,35.5,32.85,-0.2,24734.75,24742.7,24729.8,24733.65
29-07-2025 13:20,-7,-10.1,-9,39225,-1524.5,43275,13575,N,29100,YES,0.64,24750,24743,29-07-2025 13:20,-6.1,-6.05,-6.2,-14175,-179.3,50475,-57225,YES,-14550,Y,182.95,176.85,189.2,174.3,0.24,29-07-2025 13:20,0.9,0.9,0.9,-819450,-45.45,81450,22800,N,-21825,YES,34.35,35.25,35.85,32.8,-0.25,24733.7,24742.15,24727.2,24728.8
29-07-2025 13:25,1.5,1.5,1.9,-104100,-964.8,46650,16875,N,1950,Y,0.53,24743,24744.5,29-07-2025 13:25,1.45,1.5,1.55,-10950,-163.85,45525,28275,Y,3000,N,177.95,179.4,182.2,176.4,0.11,29-07-2025 13:25,-0.05,0,0,-19725,-43.95,81225,39000,N,-44625,YES,35,34.95,35.95,34.3,-0.14,24728.3,24739.1,24728.25,24734.95
29-07-2025 13:30,34.9,37.6,35.9,-172050,-796.9,46275,-21675,YES,-7275,Y,1.71,24744.9,24779.8,29-07-2025 13:30,31.05,32.75,32.8,-3525,-176.7,45675,-9600,YES,-198975,Y,179.4,210.45,216.7,179.25,1.1,29-07-2025 13:30,-5.65,-5.6,-5.6,-59625,-35.15,77850,-128625,Y,21375,Y,34.8,29.15,35,28.65,-0.49,24735,24765.45,24734.45,24760.05
29-07-2025 13:35,1.3,0.4,4.8,-42375,-1268.4,39225,26850,Y,-7425,Y,1.39,24779.2,24780.5,29-07-2025 13:35,-0.4,-0.55,-0.55,-58575,-190.25,47400,-497625,YES,58725,YES,208.4,208,214.2,199.35,0.55,29-07-2025 13:35,-1.4,-1.3,-1.3,-513975,-32.15,73350,60075,YES,-60300,YES,29.15,27.75,31.3,27.6,-0.43,24760,24763.45,24736.6,24758.4
29-07-2025 13:40,-4.1,-6.5,-4.8,-30300,-939.5,40800,-3075,YES,9525,N,0.99,24784.5,24780.4,29-07-2025 13:40,-4,-4.9,-4.95,-39450,-187.05,41550,-27600,Y,-35025,Y,208.25,204.25,209,199,0.26,29-07-2025 13:40,0.2,0.25,0.25,459375,-34.9,79950,66075,N,-73350,YES,27.6,27.8,29.1,27.55,-0.27,24758.65,24760.75,24750.65,24758.85
29-07-2025 13:45,14.2,11.1,14.4,-164400,-1203.8,38625,40500,Y,-9450,Y,2.63,24780.2,24794.4,29-07-2025 13:45,13.55,13.1,13.1,-58875,-202.05,47250,5925,Y,19725,YES,203.45,217,218.9,203.45,0.62,29-07-2025 13:45,-1.25,-1.25,-1.2,506700,-37.1,80400,7650,N,-62850,N,27.85,26.6,28.15,25.7,-0.36,24758.5,24778.15,24757.75,24774.7
29-07-2025 13:50,21.1,23.7,20.1,27600,-645.7,42975,17100,N,-3300,N,2.62,24794.4,24815.5,29-07-2025 13:50,19.35,19.9,20,20400,-220.4,48150,-40725,YES,-129150,Y,217.65,237,239.65,210.3,0.96,29-07-2025 13:50,-2.4,-2.45,-2.45,503850,-37.65,86100,27900,YES,30675,Y,26.3,23.9,27.05,23.8,-0.48,24775.05,24796.1,24768.6,24794.95
29-07-2025 13:55,-6,-7.4,-6.1,41025,-897,45600,-8175,YES,9900,N,2.4,24815.9,24809.9,29-07-2025 13:55,-4.25,-4.3,-4.4,-18900,-212.15,44925,7875,Y,40875,YES,237.55,233.3,238.95,228.65,0.47,29-07-2025 13:55,-1.15,-1.05,-1.1,-37200,-31.25,70650,-41625,Y,4875,N,23.85,22.7,24.4,22.7,-0.4,24795.65,24795.65,24780.3,24785
29-07-2025 14:00,18.5,19.1,20.5,-359025,-743.9,45825,-41550,YES,-28500,Y,3.27,24812,24830.5,29-07-2025 14:00,15.55,15.45,15.4,-87450,-216.2,44400,-23025,YES,-21750,Y,233.45,249,257.85,230.95,0.91,29-07-2025 14:00,-2.3,-2.15,-2.15,-709875,-31.6,82275,13575,YES,-120150,YES,22.75,20.45,22.95,20.25,-0.53,24785.2,24810.3,24784.95,24802.75
29-07-2025 14:05,-10.7,-9.8,-10.1,21525,-448.4,47100,8400,Y,22425,YES,1.98,24830.5,24819.8,29-07-2025 14:05,-6.75,-8,-8,21600,-204.15,40875,-4800,N,-24075,Y,249.95,243.2,251.35,238.1,0.32,29-07-2025 14:05,0.7,0.65,0.7,-933750,-30.45,83175,41250,YES,39300,Y,20.4,21.1,21.5,20.3,-0.29,24802.95,24805.25,24793.9,24796.85
29-07-2025 14:10,1.7,1.1,2.2,-750,-793.3,35325,-20850,YES,9000,N,0.87,24818.3,24820,29-07-2025 14:10,-0.45,-0.5,-0.5,-30000,-207.6,49125,-5100,YES,14925,YES,242.4,241.95,246.4,234.35,0.3,29-07-2025 14:10,-0.4,-0.5,-0.45,-1047675,-37.25,96975,31650,N,-36450,YES,21.05,20.65,22.05,20.4,-0.25,24796.95,24803.15,24790.35,24798.35
29-07-2025 14:15,5,6.7,3.3,35175,-1315.9,41550,2325,Y,36000,YES,1.77,24820,24825,29-07-2025 14:15,2.5,2.25,2.45,2250,-211.45,45525,-2550,N,7425,N,241.8,244.3,257.55,241.05,0.55,29-07-2025 14:15,-0.7,-0.75,-0.75,-1466550,-32.3,82200,-18975,Y,-20100,N,20.7,20,21.05,18.9,-0.3,24799.15,24814.6,24798.25,24802.9
