last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-02-2025 09:15,-21,-18.55,-25.05,-86400,-565.05,42150,29625,N,183825,N,-22.83,23376,23355,03-02-2025 09:15,-1.8,-2.1,-2.25,12825,-50.65,28425,323475,N,83475,N,-4.88,03-02-2025 09:15,-0.1,-0.25,-0.25,-11550,-101.9,26700,41400,N,66450,N,5.17
03-02-2025 09:20,-1.35,-3.8,-2.45,-48525,-1011.2,35250,10875,N,42600,N,-5.7,23355.05,23353.7,03-02-2025 09:20,-1.9,-2.05,-2,-141600,-74.45,44175,61500,N,139800,YES,-2.9,03-02-2025 09:20,0.1,0.25,0.05,9000,-141.6,42000,-656550,Y,-34500,YES,3.41
03-02-2025 09:25,45.5,45.3,44.35,-41625,-659.25,35175,9900,N,157950,YES,3.95,23351,23396.5,03-02-2025 09:25,11.8,12.45,12.45,-163950,-84.9,46575,59625,N,-41700,Y,0.74,03-02-2025 09:25,-30,-31.4,-31.4,11775,-145.65,43575,-35925,YES,93675,Y,-3.74
03-02-2025 09:30,-26.6,-29.5,-27.95,-32850,-690.25,34575,-28050,YES,122475,N,2.65,23396.5,23369.9,03-02-2025 09:30,-14.95,-13.65,-13.8,-11925,-84.6,42000,-144975,YES,150075,YES,0.82,03-02-2025 09:30,8.45,7,7.05,-2625,-130.55,40500,57900,YES,26100,N,-4.45
03-02-2025 09:35,-21.7,-18.95,-21.65,98250,-875.75,37950,41925,Y,76125,N,-2.05,23369.9,23348.2,03-02-2025 09:35,-8.6,-8.75,-8.75,-21600,-71.4,41850,89325,Y,41400,N,-2.77,03-02-2025 09:35,14.05,13.75,14,-57075,-136.85,39750,-5025,Y,32100,N,0.17
03-02-2025 09:40,-22.3,-22.1,-21.95,-3375,-964.9,37425,-63150,YES,42675,N,-1.75,23350,23327.7,03-02-2025 09:40,-8.55,-8.15,-8.15,-34125,-69.45,40500,-97425,YES,148875,YES,-2.13,03-02-2025 09:40,17.8,17.9,17.95,-5475,-146.6,42375,13125,N,-146325,YES,0.76
03-02-2025 09:45,-14.65,-15.95,-11.35,67650,-1101,40575,17625,Y,22950,N,-4.97,23324.1,23309.45,03-02-2025 09:45,-3.95,-4.05,-4,-17325,-62.05,43125,136875,Y,98400,N,-2.76,03-02-2025 09:45,5.35,5.15,5.35,-4350,-161.9,41400,6450,N,29625,Y,3.08
03-02-2025 09:50,8.05,7.5,6.3,6300,-774.1,34050,-8775,YES,58125,YES,-1.89,23309.45,23317.5,03-02-2025 09:50,1.15,2.05,2.1,-80100,-64.5,47775,39900,N,26175,N,-1.4,03-02-2025 09:50,-4.45,-5.55,-5.85,10725,-161.4,41400,-35250,Y,-12000,YES,1.43
03-02-2025 09:55,20.85,18.75,16.75,9825,-678.95,38400,675,N,-3375,Y,-1.57,23315,23335.85,03-02-2025 09:55,4.3,4,4.05,103125,-65.3,48150,42525,N,30825,N,-1.02,03-02-2025 09:55,-12.6,-14.8,-14.85,-37725,-158.8,40725,-1875,YES,60000,Y,0.37
03-02-2025 10:00,-7.85,-5.55,-5.6,-6750,-677,31275,8175,N,10725,N,-0.7,23335.85,23328,03-02-2025 10:00,-1.25,-1.05,-1.05,10875,-63.45,45525,4950,N,70500,YES,-0.89,03-02-2025 10:00,2.85,2.65,2.7,-27900,-144.6,41175,7500,N,22800,N,0.17
03-02-2025 10:05,15.6,15.45,14.05,41550,-527.1,31725,-1950,YES,5175,N,-0.57,23326.4,23342,03-02-2025 10:05,5.2,4.95,4.95,16500,-68.35,47325,16575,N,11850,N,-0.64,03-02-2025 10:05,-10.25,-9.9,-9.9,-41325,-145.8,41175,8175,N,19200,N,-0.1
03-02-2025 10:10,-0.4,-0.05,0.9,82275,-505.15,30075,-26100,YES,81000,YES,-0.29,23344.05,23343.65,03-02-2025 10:10,-2.2,-2.1,-2.15,47775,-67.2,42825,-39450,YES,25425,N,-0.52,03-02-2025 10:10,-1.25,-1.25,-1.2,-91950,-141.9,43500,26550,N,-7875,YES,-0.33
03-02-2025 10:15,1.85,0.8,-1.6,54000,-954.05,29325,-3750,Y,107850,YES,-0.35,23341.35,23343.2,03-02-2025 10:15,-0.85,-0.6,-0.55,93525,-71.55,50475,80550,Y,57300,YES,-0.42,03-02-2025 10:15,1.45,0.65,0.75,-40875,-151.4,45000,-8325,Y,35850,Y,-0.04
03-02-2025 10:20,23.1,24,20.95,-33600,-811.1,29625,12450,N,-5775,Y,0.01,23340.9,23364,03-02-2025 10:20,7.75,7.85,7.8,53550,-69.75,42525,22725,N,-109725,Y,-0.29,03-02-2025 10:20,-15.75,-15.7,-15.75,-36675,-131.25,40950,-26925,Y,33300,N,-0.56
03-02-2025 10:25,1,-2.85,0.55,-49125,-844.05,28950,-17175,YES,4050,N,0.09,23364,23365,03-02-2025 10:25,-2.6,-2.45,-2.45,5700,-69,48375,-56550,YES,26100,YES,-0.24,03-02-2025 10:25,0.65,-0.45,-0.45,-13125,-124.5,38550,3300,YES,13800,N,-0.62
03-02-2025 10:30,-4,-0.95,-1.95,32925,-966.2,29775,5775,Y,24300,YES,0.11,23364,23360,03-02-2025 10:30,-0.4,0.3,0.3,-40800,-69.1,44550,36900,Y,18750,N,-0.19,03-02-2025 10:30,0.15,-0.1,-0.1,-22125,-122.45,39000,11100,N,37050,Y,-0.38
03-02-2025 10:35,-6.05,-3.55,-1.85,21975,-843.4,28125,3375,N,675,Y,0.13,23362.05,23356,03-02-2025 10:35,1.4,1.65,1.55,-59325,-68.2,46425,27150,N,-2925,Y,-0.11,03-02-2025 10:35,3.3,2.7,2.65,-63300,-125.25,44850,20475,N,-1125,YES,-0.4
03-02-2025 10:40,35.4,35.4,32.6,-30525,-1014.95,26850,-104775,YES,-35625,Y,1.09,23355.6,23391,03-02-2025 10:40,14.25,13.9,13.9,-41550,-69.45,41850,29550,N,-216975,Y,0.84,03-02-2025 10:40,-21.65,-21.8,-22.05,-91575,-109.45,36825,-32250,Y,24000,Y,-1.84
03-02-2025 10:45,5.9,5.9,2.7,-53400,-1010.4,33375,2175,Y,-6300,YES,0.95,23391,23396.9,03-02-2025 10:45,-3.45,-3.45,-3.45,-45750,-77.35,41325,-25575,YES,115875,YES,0.52,03-02-2025 10:45,-2.85,-2.5,-2.5,34950,-108.35,43050,20400,YES,60750,Y,-1.67
03-02-2025 10:50,-6.1,-13.2,-10.9,-19425,-807.1,27525,-1275,YES,80625,YES,0.5,23396.05,23389.95,03-02-2025 10:50,-3.4,-3.15,-3.2,-35475,-72.05,39225,115350,Y,-1350,Y,0.08,03-02-2025 10:50,4.65,4.3,4.3,-76125,-107.75,37425,-12075,Y,1650,YES,-1.17
03-02-2025 10:55,12.6,12.15,13.1,-37500,-846.1,25650,76650,Y,-1050,Y,0.33,23385.4,23398,03-02-2025 10:55,5.55,5.95,5.95,-13050,-73.15,48225,18300,N,-4575,Y,0.13,03-02-2025 10:55,-8,-9.05,-9.05,-81600,-109.5,39450,12600,YES,41625,Y,-0.81
03-02-2025 11:00,-2.25,-1.9,-2.05,-99150,-698.45,33150,3450,N,12375,N,0.79,23398,23395.75,03-02-2025 11:00,-1.15,-0.95,-0.95,-52050,-75.2,47025,-51825,YES,27900,YES,0.27,03-02-2025 11:00,0.5,0.65,0.65,-25800,-109.1,45225,22125,N,34350,N,-1.27
03-02-2025 11:05,-0.75,-4.65,-2.95,-72075,-910.45,30825,4650,N,4575,N,0.35,23395.75,23395,03-02-2025 11:05,-2,-2.25,-2.2,-28050,-74.55,42900,-27825,Y,41325,N,0.11,03-02-2025 11:05,2.5,2.9,2.75,-43350,-101.5,40875,34500,N,2775,YES,-0.51
03-02-2025 11:10,11,12.8,12,-23550,-693.45,42300,3825,N,-16575,Y,0.62,23395,23406,03-02-2025 11:10,4.55,4.25,4.25,304725,-74.4,49725,63000,Y,-45675,Y,0.23,03-02-2025 11:10,-6.8,-6.15,-6.2,-57375,-106.25,43875,-13575,Y,20250,N,-0.84
03-02-2025 11:15,3.95,3.95,6.95,-11025,-1076.45,29700,8175,N,-16725,Y,1.12,23406,23409.95,03-02-2025 11:15,5.35,4.5,4.65,44250,-80.95,45600,-20175,YES,-60075,Y,0.89,03-02-2025 11:15,-3.75,-3.2,-3.25,-46725,-89,39825,31650,YES,26850,N,-1.51
03-02-2025 11:20,-21.95,-21.95,-23.7,-230550,-629.4,38400,-750,YES,12900,YES,0.6,23409.95,23388,03-02-2025 11:20,-11.75,-12.05,-11.85,-79575,-73.75,43200,-153975,YES,113025,YES,0.27,03-02-2025 11:20,10.65,10.85,10.9,-73575,-99.1,41400,35475,N,-57375,YES,-1.03
