last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-04-03 09:15:00,-2.8000000000000043,28709325.0,161,-2.6000000000000014,-2.700000000000003,-42375,-57.700000000004366,40875,7069725.0,N,545175.0,N,62.95,60.15,66.25,42.6,56.67
2025-04-03 09:20:00,11.899999999999991,29090175.0,180,12.549999999999997,12.550000000000004,6600,-72.49999999999636,41400,18654750.0,Y,99450.0,N,59.45,71.35,86.6,56.75,64.77
2025-04-03 09:25:00,2.450000000000003,15136950.0,178,3.450000000000003,3.450000000000003,-36825,-71.39999999999782,41475,263925.0,N,213225.0,YES,73.0,75.45,85.7,70.15,67.36
2025-04-03 09:30:00,9.650000000000006,19576800.0,179,9.5,9.549999999999997,14100,-72.14999999999782,43125,-18750.0,YES,-274200.0,Y,75.05,84.7,88.6,56.5,68.39
2025-04-03 09:35:00,-8.200000000000003,14981925.0,180,-7.450000000000003,-7.400000000000006,22725,-73.20000000000073,43050,327525.0,Y,341550.0,YES,82.15,73.95,92.55,66.55,69.97
2025-04-03 09:40:00,-14.900000000000006,10849950.0,180,-13.199999999999996,-13.349999999999994,27375,-69.29999999999563,40875,-141150.0,YES,330075.0,N,74.15,59.25,79.8,56.55,69.75
2025-04-03 09:45:00,-4.600000000000001,16338825.0,180,-4.049999999999997,-4.050000000000004,80775,-58.95000000000073,49275,285375.0,Y,190200.0,N,59.4,54.8,61.8,46.3,67.96
2025-04-03 09:50:00,11.349999999999994,12396075.0,180,10.550000000000004,10.600000000000009,43500,-64.6500000000051,51375,255300.0,N,-23475.0,Y,54.0,65.35,68.8,51.5,67.41
2025-04-03 09:55:00,-7.200000000000003,9040275.0,180,-7.5,-7.549999999999997,46200,-62.45000000000073,48900,87000.0,N,148200.0,YES,65.45,58.25,67.6,54.35,67.08
2025-04-03 10:00:00,7.700000000000003,12865050.0,180,7.5,7.449999999999996,18600,-58.04999999999927,50850,-157875.0,YES,-187125.0,Y,58.5,66.2,67.7,49.65,66.4
2025-04-03 10:05:00,6.549999999999997,13907850.0,182,5.5,5.599999999999994,24225,-75.5,47550,-282600.0,YES,-180375.0,N,67.7,74.25,80.35,64.75,66.92
2025-04-03 10:10:00,18.39999999999999,10786650.0,180,16.950000000000003,16.950000000000003,6975,-71.9000000000051,44025,-102975.0,Y,-461475.0,Y,73.9,92.3,94.25,72.1,67.82
2025-04-03 10:15:00,-13.950000000000003,9828225.0,180,-13.700000000000003,-13.75,-52350,-72.44999999999709,46950,41550.0,Y,178500.0,YES,92.25,78.3,92.6,69.35,68.33
2025-04-03 10:20:00,31.5,11688675.0,181,31.049999999999997,31.19999999999999,-97575,-82.10000000000582,52575,-107550.0,YES,-640200.0,Y,77.85,109.35,110.55,75.4,69.58
2025-04-03 10:25:00,-10.75,7192050.0,180,-10.099999999999994,-10.149999999999991,-82875,-90.55000000000291,39225,-186825.0,YES,272100.0,YES,110.75,100.0,110.75,98.15,70.7
2025-04-03 10:30:00,-1.0999999999999943,5265975.0,180,-1.1499999999999915,-1.1499999999999915,-3525,-85.30000000000291,45150,11850.0,Y,50625.0,N,100.25,99.15,103.4,91.1,71.29
2025-04-03 10:35:00,-5.349999999999994,4125525.0,181,-5.1499999999999915,-5.200000000000003,-27600,-86.39999999999418,51375,-121050.0,YES,87900.0,YES,100.6,95.25,100.6,90.2,71.71
2025-04-03 10:40:00,-2.1000000000000085,4605225.0,182,-0.5499999999999972,-0.5500000000000114,155400,-86.75,51375,54675.0,Y,67125.0,N,93.95,91.85,101.7,87.5,72.15
