last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low
30-01-2025 09:25:00,19.599999999998545,286950.0,505,674825.0,335375.0,21.349999999998545,16.799999999999272,339450.0,-3094.099999997765,66475.0,8400.0,N,125400.0,N,23153.88,23136.4,23156.0,23183.0,23127.15
30-01-2025 09:30:00,19.099999999998545,431475.0,523,416000.0,360650.0,27.299999999999272,25.650000000001455,55350.0,-3221.89999999851,64600.0,10075.0,N,67650.0,N,23165.57,23156.15,23175.25,23205.0,23130.0
30-01-2025 09:35:00,34.75,432600.0,526,289600.0,275975.0,35.54999999999927,32.20000000000073,13625.0,-3169.35000000149,56525.0,18325.0,N,75700.0,N,23168.94,23162.0,23196.75,23205.0,23151.7
30-01-2025 09:40:00,44.69999999999709,416075.0,519,274175.0,236900.0,41.20000000000073,41.39999999999782,37275.0,-3188.150000002235,54375.0,12700.0,N,22800.0,N,23171.29,23152.4,23197.1,23205.0,23152.4
30-01-2025 09:45:00,17.0,302800.0,520,122550.0,356500.0,22.25,19.5,-233950.0,-2730.4500000029802,55125.0,12075.0,N,40050.0,N,23177.0,23181.0,23198.0,23224.0,23164.05
30-01-2025 09:50:00,21.849999999998545,307550.0,523,127475.0,393100.0,19.650000000001455,21.25,-265625.0,-2496.9500000029802,55100.0,18175.0,N,15950.0,N,23180.47,23196.15,23218.0,23227.95,23164.05
30-01-2025 09:55:00,27.350000000002183,276250.0,516,125150.0,406950.0,25.049999999999272,27.950000000000728,-281800.0,-2386.0499999970198,51950.0,8900.0,N,28375.0,N,23182.54,23197.1,23224.45,23229.8,23193.95
30-01-2025 10:00:00,33.0,237525.0,511,199025.0,408175.0,33.14999999999782,37.04999999999927,-209150.0,-2401.1999999955297,51200.0,15025.0,N,-2050.0,Y,23186.37,23195.2,23228.2,23233.65,23195.2
30-01-2025 10:05:00,56.349999999998545,323750.0,511,203775.0,506675.0,56.04999999999927,57.0,-302900.0,-2296.8000000044703,49350.0,33800.0,N,-61925.0,Y,23194.95,23218.0,23274.35,23275.0,23211.4
30-01-2025 10:10:00,35.45000000000073,442450.0,525,222100.0,531025.0,42.849999999998545,41.849999999998545,-308925.0,-1927.0000000037253,50350.0,2475.0,YES,-77050.0,Y,23205.07,23224.45,23259.9,23296.65,23213.45
30-01-2025 10:15:00,36.900000000001455,413950.0,521,130850.0,372425.0,35.20000000000073,33.400000000001455,-241575.0,-1930.1999999955297,44875.0,-15075.0,YES,-37200.0,YES,23207.69,23228.0,23264.9,23296.65,23228.0
30-01-2025 10:20:00,11.75,356025.0,522,131650.0,343275.0,12.099999999998545,11.450000000000728,-211625.0,-2038.8499999977648,49675.0,-8375.0,N,6650.0,YES,23213.09,23272.25,23284.0,23300.0,23256.0
30-01-2025 10:25:00,41.75,276750.0,514,121300.0,445825.0,42.0,37.650000000001455,-324525.0,-2015.25,53950.0,20625.0,Y,-4075.0,Y,23217.29,23258.25,23300.0,23308.25,23256.5
30-01-2025 10:30:00,31.349999999998545,294525.0,510,115500.0,468200.0,32.099999999998545,33.0,-352700.0,-1711.1000000014901,56975.0,15575.0,N,1425.0,N,23221.12,23265.0,23296.35,23310.0,23263.65
