last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-09-24 09:15:00,-3.0999999999999943,4050825.0,177,631575,276975,-2.3500000000000227,-2.25,354600,-96.99999999999272,39825,1329225.0,N,237075.0,N,140.25,137.15,151.4,137.15,146.0
2025-09-24 09:20:00,-4.0,6581700.0,345,712500,548100,-3.75,-3.75,164400,-147.59999999999127,66450,-854250.0,YES,314025.0,YES,138.15,134.15,138.5,126.6,139.83
2025-09-24 09:25:00,-5.800000000000011,5561175.0,360,669675,697275,-5.849999999999994,-5.949999999999989,-27600,-145.65000000000873,73050,-64725.0,Y,211425.0,N,133.55,127.75,136.4,122.65,137.06
2025-09-24 09:30:00,-2.1999999999999886,5637750.0,345,752925,603000,-2.0,-2.049999999999997,149925,-138.9499999999971,67875,114150.0,Y,221100.0,N,127.85,125.65,133.85,120.55,134.86
2025-09-24 09:35:00,-0.5499999999999972,3502125.0,305,648300,634050,0.6500000000000057,0.6500000000000057,14250,-132.75,67725,89250.0,N,98775.0,N,125.5,124.95,131.4,122.75,133.94
2025-09-24 09:40:00,-4.950000000000003,4458900.0,340,840225,785850,-4.450000000000003,-4.299999999999997,54375,-131.85000000000582,70800,23250.0,N,215625.0,YES,125.3,120.35,125.85,117.0,132.14
2025-09-24 09:45:00,6.5,4055475.0,354,922650,851175,7.299999999999997,7.099999999999994,71475,-131.64999999999418,74775,103875.0,Y,-42975.0,Y,120.75,127.25,129.45,117.1,131.23
2025-09-24 09:50:00,-0.6499999999999915,3749325.0,344,774000,828525,-0.5,-0.5500000000000114,-54525,-143.00000000001455,73575,-21300.0,YES,99525.0,YES,127.1,126.45,131.25,124.85,130.98
2025-09-24 09:55:00,7.349999999999994,4882800.0,279,858525,942075,7.0,7.150000000000006,-83550,-143.60000000002037,78000,160725.0,Y,-72825.0,Y,126.4,133.75,134.0,126.4,131.0
2025-09-24 10:00:00,2.1999999999999886,6362025.0,262,818625,861150,2.75,2.6499999999999773,-42525,-143.25,74625,-77025.0,YES,-119475.0,Y,133.8,136.0,138.4,127.8,131.35
2025-09-24 10:05:00,1.4499999999999886,4526250.0,290,622350,698475,1.9000000000000057,1.9000000000000057,-76125,-143.40000000000873,67200,51375.0,Y,83550.0,YES,136.5,137.95,139.75,135.25,131.85
2025-09-24 10:10:00,-4.149999999999977,5438475.0,295,653400,997200,-4.449999999999989,-4.449999999999989,-343800,-142.80000000001746,74325,-66750.0,YES,-18525.0,Y,137.7,133.55,142.5,131.7,132.3
2025-09-24 10:15:00,8.150000000000006,5602125.0,325,820050,820500,7.949999999999989,7.850000000000023,-450,-147.24999999998545,70125,37875.0,Y,-155925.0,Y,133.15,141.3,147.6,132.75,133.1
2025-09-24 10:20:00,-5.599999999999994,3100050.0,298,660600,867525,-5.300000000000011,-5.300000000000011,-206925,-152.6999999999971,74775,-72375.0,YES,160050.0,YES,141.65,136.05,144.0,136.05,133.45
2025-09-24 10:25:00,-0.44999999999998863,2496000.0,319,645900,759975,-0.45000000000001705,-0.45000000000001705,-114075,-148.1999999999971,71700,663900.0,Y,27150.0,N,135.45,135.0,141.05,134.4,133.6
2025-09-24 10:30:00,0.4000000000000057,2665350.0,261,627225,684000,1.049999999999983,1.0,-56775,-138.09999999999127,78000,-635175.0,YES,-16200.0,Y,135.15,135.55,140.9,133.1,133.74
2025-09-24 10:35:00,0.09999999999999432,1505475.0,262,654450,740250,0.3499999999999943,0.4000000000000057,-85800,-131.65000000000873,67500,78525.0,Y,37500.0,YES,135.25,135.35,137.55,132.45,133.76
2025-09-24 10:40:00,-11.349999999999994,3710700.0,248,669525,795675,-11.450000000000003,-11.5,-126150,-135.04999999998836,77025,-148575.0,YES,-11250.0,Y,135.2,123.85,136.5,123.45,133.52
2025-09-24 10:45:00,-1.1500000000000057,2703600.0,206,857550,711375,-0.7999999999999972,-0.8499999999999943,146175,-124.30000000000291,74925,117750.0,Y,21300.0,YES,123.25,122.1,124.65,121.1,133.17
2025-09-24 10:50:00,-0.5,2340450.0,256,1013850,698400,-0.8999999999999915,-0.9000000000000057,315450,-119.05000000000291,75300,17400.0,N,75000.0,YES,122.05,121.55,125.85,120.9,132.9
2025-09-24 10:55:00,4.5,2253525.0,244,830475,770250,4.349999999999994,4.450000000000003,60225,-119.39999999999418,73425,99075.0,Y,45825.0,N,121.05,125.55,125.6,119.95,132.64
2025-09-24 11:00:00,-15.450000000000003,5126325.0,278,789225,761025,-15.400000000000006,-15.449999999999989,28200,-106.65000000000873,76725,-382950.0,YES,170400.0,YES,125.7,110.25,125.9,109.65,131.71
2025-09-24 11:05:00,-4.700000000000003,4437750.0,332,1165200,857400,-4.799999999999997,-4.799999999999997,307800,-110.40000000000873,74400,104325.0,Y,118500.0,N,110.2,105.5,111.65,104.1,130.61
2025-09-24 11:10:00,7.25,3653850.0,336,1036950,1250775,6.949999999999989,7.0,-213825,-117.20000000001164,84675,196500.0,Y,59475.0,N,105.2,112.45,113.25,105.0,129.85
2025-09-24 11:15:00,1.1500000000000057,2747100.0,321,889275,1230900,1.1999999999999886,1.2000000000000028,-341625,-115.5,79950,-1575.0,YES,97650.0,YES,112.1,113.25,114.4,111.25,129.4
2025-09-24 11:20:00,0.6000000000000085,1635300.0,324,1015350,961050,0.5,0.5499999999999972,54300,-113.05000000000291,75225,21825.0,Y,-52200.0,Y,113.1,113.7,114.25,111.1,129.15
2025-09-24 11:25:00,3.3999999999999915,2293425.0,232,1059675,1338975,3.5,3.549999999999997,-279300,-118.05000000001746,79650,55875.0,Y,-89325.0,Y,113.95,117.35,117.65,113.1,128.86
2025-09-24 11:30:00,-0.09999999999999432,3143775.0,239,869175,1348950,0.05000000000001137,0.0,-479775,-115.25,76050,-89925.0,YES,24600.0,YES,117.5,117.4,120.5,116.6,128.57
2025-09-24 11:35:00,2.5,1870275.0,247,962475,1040550,2.3499999999999943,2.299999999999997,-78075,-116.0,70875,15075.0,Y,-33150.0,Y,117.7,120.2,120.2,116.05,128.4
2025-09-24 11:40:00,-1.3499999999999943,3314325.0,232,1025175,1300875,-1.5999999999999943,-1.3999999999999915,-275700,-125.99999999998545,77625,-2325.0,YES,49875.0,YES,120.35,119.0,124.25,116.8,128.18
2025-09-24 11:45:00,3.549999999999997,2311275.0,245,995925,1036950,3.3999999999999915,3.4499999999999886,-41025,-127.39999999999418,74250,22350.0,Y,48375.0,N,119.05,122.6,123.9,118.5,128.06
2025-09-24 11:50:00,1.7000000000000028,2880525.0,306,759750,981375,1.8499999999999943,1.9000000000000057,-221625,-124.90000000000873,74325,-26625.0,YES,-58125.0,Y,122.2,123.9,124.3,119.05,127.93
2025-09-24 11:55:00,-1.0999999999999943,2389650.0,288,794775,1089900,-0.6499999999999915,-0.5,-295125,-128.20000000001164,82950,-15675.0,N,14625.0,YES,123.6,122.5,125.5,119.65,127.82
2025-09-24 12:00:00,-6.1499999999999915,2658150.0,270,778350,717300,-5.950000000000003,-5.849999999999994,61050,-118.95000000001164,71625,-48675.0,YES,33525.0,N,122.55,116.4,124.05,115.6,127.64
2025-09-24 12:05:00,3.9000000000000057,1971900.0,345,681375,832425,4.049999999999997,3.9499999999999886,-151050,-117.44999999999709,75300,178425.0,Y,33975.0,N,116.3,120.2,123.65,115.5,127.52
