last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
25-04-2025 09:15,-19,255075,114,-15.3,-14,-252150,-612.2,28050,16125,N,64200,N,24471.13,24479.7,24460.7,24486.6,24459.8,25-04-2025 09:15,-9.05,2690550,107,-9.05,-8.9,2250,-73.75,21750,249600,N,158100,N,160.85,151.8,165.4,150.9,160.11,25-04-2025 09:15,7.4,1383975,96,7.15,7.15,15675,-77.4,23100,184200,N,48675,N,190.9,198.3,201.55,186.5,195.8,25-04-2025 09:15,24289,24365.45,24264.8,24325.7,0
25-04-2025 09:20,-17.1,251475,178,-14.6,-17.3,-3000,-1015.1,39675,28125,N,65025,N,24467.4,24463.1,24446,24480.7,24440,25-04-2025 09:20,-9.55,4762050,180,-9.8,-9.65,-24300,-112.3,39525,-15825,YES,188700,YES,150.95,141.4,164.5,138.4,154.77,25-04-2025 09:20,-0.05,2416275,180,1.2,1.4,4875,-154.55,42600,-34500,Y,37500,N,199.5,199.45,212.5,185.95,197.49,25-04-2025 09:20,24327.35,24339.75,24296.25,24303.6,0
25-04-2025 09:25,0,162900,174,-2.6,-3.8,-42150,-1113.3,37275,-5400,YES,10350,N,24464.48,24446.4,24446.4,24469,24429.1,25-04-2025 09:25,1.05,3753300,181,0.2,0.3,-23100,-112.35,38175,54300,Y,96150,N,142,143.05,157.15,139.4,152.92,25-04-2025 09:25,9.5,1983375,181,9.35,9.45,16350,-165.7,37500,75450,YES,2100,YES,197.8,207.3,217,191.3,199.29,25-04-2025 09:25,24304.75,24346.8,24295.35,24319.35,0
25-04-2025 09:30,-35.4,202800,179,-37.3,-35,98625,-1128.7,34575,-22125,YES,24675,N,24457.13,24445.4,24410,24455,24401.1,25-04-2025 09:30,-15.5,3139575,180,-14.8,-14.85,13800,-105.6,36600,-42525,YES,144450,YES,144.45,128.95,147.6,127.65,149.65,25-04-2025 09:30,24.85,2186400,180,21.75,21.95,-6300,-173.3,41475,7125,N,-9900,YES,205.15,230,232.9,200.95,204.3,25-04-2025 09:30,24319,24327.85,24271.9,24280.05,0
25-04-2025 09:35,-32.2,247125,179,-33.1,-32.6,134475,-1085.7,37500,42225,Y,-2925,Y,24445.25,24408.2,24376,24419.1,24375,25-04-2025 09:35,-10.35,3040425,176,-10.15,-10.05,166500,-98.5,41850,-27975,N,100425,N,128.9,118.55,134.3,117.2,145.85,25-04-2025 09:35,16.75,1876275,176,16.8,17,-4125,-179.7,36075,-53475,Y,-19275,YES,229.65,246.4,248.6,223.2,209.95,25-04-2025 09:35,24280.5,24282.2,24229.5,24231.25,0
25-04-2025 09:40,-33.6,346200,179,-33.1,-27.7,486150,-1162.4,42225,-25650,YES,36075,YES,24428.16,24375,24341.4,24383.7,24331.6,25-04-2025 09:40,-7.65,3081150,179,-8.05,-8.05,-85800,-87.4,40425,14625,Y,16425,N,118.35,110.7,122.45,107.1,141.58,25-04-2025 09:40,19.85,1578825,179,21.95,21.95,-3300,-209.5,36750,-13575,YES,-50175,YES,247.65,267.5,278.1,239.85,216.08,25-04-2025 09:40,24230.85,24237.15,24188.6,24208.15,0
25-04-2025 09:45,-43.7,301050,180,-40.1,-45.4,52350,-1545.1,38625,24675,Y,63750,YES,24412.58,24348.7,24305,24355.1,24300,25-04-2025 09:45,-11.6,3438225,180,-12.45,-12.55,85575,-87.05,44625,-17700,YES,102225,YES,110.4,98.8,115.85,96.3,136.74,25-04-2025 09:45,27.3,1487775,180,28.2,28.3,-6075,-245.35,45450,17775,YES,-14625,Y,268.45,295.75,301.4,259.25,223.33,25-04-2025 09:45,24208.75,24215.85,24165.55,24168.8,0
25-04-2025 09:50,-37.8,463575,177,-40.8,-37.4,579975,-1236.5,38025,17175,N,-41325,Y,24388.84,24300,24262.2,24306.3,24260,25-04-2025 09:50,-10.95,2865750,180,-12.35,-12.4,14625,-75.85,46875,-29250,YES,29475,N,97.55,86.6,99.65,85.25,132.41,25-04-2025 09:50,21.45,1057425,180,25.15,25.1,8325,-246.2,38475,-10800,Y,-9300,N,298,319.45,322.3,292.2,229,25-04-2025 09:50,24166.65,24171.45,24127.4,24129,0
25-04-2025 09:55,-46.1,448650,179,-51.4,-49.2,71175,-1588.9,42000,17325,N,31800,YES,24364.79,24264.8,24218.7,24270,24200.3,25-04-2025 09:55,-10.25,3434925,180,-9.85,-9.9,-67500,-67.85,41625,21600,Y,123450,YES,87.4,77.15,87.5,73.4,126.86,25-04-2025 09:55,43,1127100,180,43.2,43.45,18750,-302.05,37650,-10275,N,-18450,YES,317.85,360.85,373.65,317.25,237.41,25-04-2025 09:55,24127.1,24131.95,24067,24080.3,0
25-04-2025 10:00,-114.9,658800,180,-114.2,-111.9,677100,-1405.3,46500,-37650,YES,2250,Y,24325.71,24218.7,24103.8,24218.7,24101,25-04-2025 10:00,-13.1,3300075,180,-13.1,-13.2,-9150,-60.85,49725,-35250,YES,-22575,Y,77.35,64.25,77.35,62.05,121.54,25-04-2025 10:00,100.9,799125,179,99.15,99.55,-10350,-381.55,36525,-29175,Y,-17850,N,360.85,461.75,469.1,360.85,245.67,25-04-2025 10:00,24080.65,24080.65,23960.05,23961,0
25-04-2025 10:05,8,472875,180,9.9,13.5,16425,-1492.3,39300,93450,Y,37275,YES,24301,24104.1,24112.1,24158.2,24080.1,25-04-2025 10:05,3.75,2826150,180,3.45,3.55,-21450,-57.95,40125,56475,Y,-55575,Y,64.6,68.35,72.6,59.3,117.5,25-04-2025 10:05,-9.9,382950,179,-9.65,-10.3,-16425,-457.5,38625,-7500,YES,24600,Y,466.4,456.5,482.6,417.1,250.21,25-04-2025 10:05,23960.75,24028.6,23950.15,23992.9,0
25-04-2025 10:10,43.8,325650,179,44,43.2,-16950,-1505,39600,27075,N,5325,N,24289.82,24115,24158.8,24165.8,24112.1,25-04-2025 10:10,4.75,2136150,179,4.6,4.65,-80250,-62.45,42975,27900,N,24375,YES,68.25,73,76.4,68.25,115.17,25-04-2025 10:10,-40.45,259875,175,-42.7,-42.85,8625,-362.35,32700,-8925,Y,10875,N,457.15,416.7,457.15,409.75,252.77,25-04-2025 10:10,23993.35,24044.25,23990.15,24033.65,0
25-04-2025 10:15,11.2,235650,178,9.4,11.8,29775,-1457.7,40350,25050,N,-17775,Y,24283.09,24160,24171.2,24174.7,24138,25-04-2025 10:15,-0.8,1583175,180,-1,-0.9,27225,-67.15,44250,14925,N,8325,N,73.05,72.25,76.6,67.4,113.55,25-04-2025 10:15,-9.55,249000,179,-9.7,-9.45,7725,-354.3,46875,-3900,N,1275,YES,416.05,406.5,434.25,400.35,255.04,25-04-2025 10:15,24032.6,24043.65,24003,24032.95,0
