last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
25-04-2025 10:20,-18.4,130050,173,-12.1,-13.2,16200,-2455.8,64950,18450,N,16125,YES,24279.58,24168.4,24150,24177.4,24131.1,25-04-2025 10:20,-4.75,1361025,176,-5.15,-5.1,-13875,-62.2,42375,7800,N,32175,YES,71.75,67,73.3,65.6,112.18,25-04-2025 10:20,9.25,157800,173,7.7,7.6,16800,-348.8,40350,-5025,Y,450,YES,408.3,417.55,433.65,395,256.43,25-04-2025 10:20,24032.65,24043.5,23997.55,24024,0
25-04-2025 10:25,-79.6,260700,171,-90,-88.7,111825,-1411.7,41175,-76050,YES,2025,Y,24270.08,24150,24070.4,24159,24056.6,25-04-2025 10:25,-16.8,2512350,180,-17.85,-17.85,148800,-56.95,46275,-178725,YES,8925,N,67,50.2,68.6,49.15,109.22,25-04-2025 10:25,69.1,221625,167,73.3,73.8,9825,-385.6,33900,-14475,Y,-30150,YES,416.6,485.7,493.3,410,258.85,25-04-2025 10:25,24023.95,24027.95,23923.45,23927.5,0
25-04-2025 10:30,4.4,308625,179,6.1,3.6,-17175,-1656.7,37875,51900,Y,-66675,Y,24258.36,24065.9,24070.3,24105.8,24043,25-04-2025 10:30,0.6,2376075,180,0.55,0.5,-124650,-55.7,46275,148800,Y,12525,N,50.7,51.3,55.65,47.75,106.38,25-04-2025 10:30,-3.75,192825,169,-1.25,-0.8,-2250,-427.4,34575,1425,N,7800,Y,486.8,483.05,508.5,457.7,261.21,25-04-2025 10:30,23928.95,23969.75,23908.6,23938.15,0
25-04-2025 10:35,29,107775,171,29.9,25.3,33000,-1407,31725,53925,N,24975,YES,24255.06,24069.7,24098.7,24110,24068.8,25-04-2025 10:35,2.95,997275,179,2.7,2.75,-675,-50.8,39225,67725,N,24900,N,51.3,54.25,56.9,51.05,105.33,25-04-2025 10:35,-21.15,74100,135,-22.35,-22.35,3075,-345.6,30225,-3300,Y,5925,N,483.05,461.9,483.05,452.9,262.03,25-04-2025 10:35,23939.35,23984.05,23939.35,23966.25,0
25-04-2025 10:40,-1.5,95100,166,-1.4,-2.1,18375,-1166.4,34125,-3375,YES,-3075,Y,24252.55,24098.7,24097.2,24126,24082,25-04-2025 10:40,-1,1466550,180,-1,-1.05,-21150,-55.3,44250,-66375,YES,12300,N,54.5,53.5,57,50.2,103.87,25-04-2025 10:40,8.15,110625,141,4.7,5.15,-5175,-367.9,29550,2925,N,-1425,YES,461.9,470.05,479,439.95,263.17,25-04-2025 10:40,23968.45,23997.65,23950.8,23965.5,0
25-04-2025 10:45,12,60675,150,15,11.8,64050,-1100.7,31050,2100,N,900,N,24250.86,24090,24102,24118,24085,25-04-2025 10:45,1.05,775575,179,1.1,1.1,-24900,-51.75,47250,30525,Y,6600,N,53.4,54.45,57.15,51.45,103.13,25-04-2025 10:45,-13.5,57825,137,-12.85,-13.15,-225,-347.9,36225,-1200,Y,7200,N,470.05,456.55,477,443.4,263.77,25-04-2025 10:45,23963.7,23987.8,23954.55,23976.35,0
25-04-2025 10:50,-25.1,109875,162,-27,-29.3,86850,-1470.6,32100,-2400,YES,6075,N,24247.63,24102,24076.9,24106.4,24066.4,25-04-2025 10:50,-3.9,943575,180,-3.8,-3.8,-48075,-55.55,50250,57525,Y,33900,YES,54.6,50.7,54.6,49.4,102.22,25-04-2025 10:50,22.5,64875,129,20.45,20.55,2850,-365.8,36000,-4500,Y,3450,N,458.5,481,486,456.9,264.49,25-04-2025 10:50,23976.5,23976.5,23937.75,23942.9,0
25-04-2025 10:55,-4.9,97275,165,-3,-3.4,72600,-966,29850,28125,Y,23850,N,24244.6,24076.9,24072,24087,24052.3,25-04-2025 10:55,-2.35,1232250,180,-2.45,-2.5,-74475,-48.85,47625,-114975,YES,17325,N,51.05,48.7,51.2,45.9,101,25-04-2025 10:55,2.05,103500,145,2.8,3.05,14250,-389.6,40050,-3300,N,-1425,YES,478.15,480.2,500.2,469,265.69,25-04-2025 10:55,23943.5,23949.75,23923.55,23939.1,0
25-04-2025 11:00,-40.8,162525,162,-39.4,-38.3,64275,-1054.5,32100,-45975,YES,-13425,Y,24239.39,24073.7,24032.9,24077.1,24031,25-04-2025 11:00,-5.2,1397925,180,-5.5,-5.5,-131175,-44.35,48150,-51450,Y,16275,N,48.6,43.4,49.45,42.8,99.62,25-04-2025 11:00,31.45,110775,148,30.5,30.75,22950,-376.75,30525,3150,N,-8325,YES,480.2,511.65,514.25,478,267.06,25-04-2025 11:00,23939.65,23942.4,23900.5,23904.5,0
25-04-2025 11:05,26.6,100500,163,22.1,25.6,24225,-1513.3,34425,6075,Y,106125,YES,24236.29,24033.9,24060.5,24075,24030,25-04-2025 11:05,3.25,894150,180,3.1,3.15,32775,-48.45,45675,56775,Y,-15300,Y,43.1,46.35,48,42.85,98.76,25-04-2025 11:05,-23.65,108150,143,-23.55,-24.25,1650,-372.75,36300,-3375,Y,9600,N,511.65,488,512.3,474.2,268.33,25-04-2025 11:05,23905.65,23950.1,23902.95,23937.7,0
25-04-2025 11:10,-2.2,67800,148,-1,-5.5,975,-1155.9,30000,23925,N,-26325,Y,24234.27,24058.2,24056,24068.8,24037,25-04-2025 11:10,-1.4,939600,181,-1.5,-1.5,-81600,-47.85,51225,7650,N,7800,YES,46.55,45.15,47.55,42.2,97.87,25-04-2025 11:10,0.15,46275,130,-0.05,0.05,-1725,-348.45,33225,-1425,N,-1500,YES,488,488.15,507.15,480.45,268.87,25-04-2025 11:10,23938.3,23944.8,23920.25,23940.35,0
25-04-2025 11:15,-34,148350,161,-29.6,-30.5,87975,-934,30600,-13575,YES,-675,YES,24229.4,24060,24026,24064.3,24009.8,25-04-2025 11:15,-6.15,1593750,178,-6,-6.05,-74775,-42.2,46800,-93225,YES,-14550,Y,45,38.85,46,37.65,96.32,25-04-2025 11:15,28.65,72750,110,25.85,26.35,3675,-349.6,28875,225,N,-16050,YES,488.15,516.8,528.9,484,269.79,25-04-2025 11:15,23941.3,23945.9,23891.2,23898.8,0
25-04-2025 11:20,0.6,128250,171,0,-0.2,25200,-982.5,35775,25200,Y,18375,N,24225.22,24026,24026.6,24037,24005,25-04-2025 11:20,-1.85,2225025,180,-1.8,-1.8,-317025,-37,54750,28950,Y,12975,YES,39.4,37.55,40.2,34.6,94.17,25-04-2025 11:20,-4.8,61800,125,-5.25,-5.05,6450,-345.25,33375,-1125,Y,300,N,516.8,512,529.6,504,270.58,25-04-2025 11:20,23899.35,23906.9,23879.2,23901.15,0
25-04-2025 11:25,10.5,87450,156,15.9,13.4,30525,-888.7,34275,11400,N,-1800,Y,24222.64,24029.5,24040,24044,24015.6,25-04-2025 11:25,1.85,1348950,181,2,2,-268575,-36.9,57825,55875,Y,-3450,Y,37.6,39.45,40.1,36.6,92.97,25-04-2025 11:25,-7.7,38100,90,-9.5,-9.35,22350,-333.3,30600,-1125,N,1875,N,512,504.3,522,498.05,271.05,25-04-2025 11:25,23901.3,23917.6,23889.85,23912.05,0
25-04-2025 11:30,-25,51825,140,-27.9,-27.7,18525,-730.9,30225,-2475,YES,10575,N,24221.12,24040,24015,24047,24011.1,25-04-2025 11:30,-2.55,1666875,181,-2.95,-2.9,3075,-37.5,55725,-50475,YES,53925,YES,39.5,36.95,40.35,36.3,91.56,25-04-2025 11:30,22,70050,114,22.45,22.15,19800,-300,32475,2475,N,-8025,YES,500,522,526.6,499.7,271.93,25-04-2025 11:30,23911.95,23918.55,23890.2,23890.7,0
25-04-2025 11:35,31,70200,138,26.2,28.8,58725,-779.4,30450,10500,N,70800,YES,24219.09,24015.5,24046.5,24047,24010.1,25-04-2025 11:35,4.2,1028400,181,4.15,4.15,-287550,-37.4,51825,48825,Y,-25725,Y,36.9,41.1,41.4,36.25,90.73,25-04-2025 11:35,-21.2,40950,121,-20.25,-20.35,-8025,-319.3,27300,-4800,Y,9975,N,522,500.8,526.05,500,272.43,25-04-2025 11:35,23891.35,23923.2,23886.1,23922.25,0
25-04-2025 11:40,-19.8,66150,144,-23,-19.1,-24000,-996.2,31650,1425,YES,-4275,Y,24217.33,24047,24027.2,24050,24022,25-04-2025 11:40,-2.3,745875,180,-2.35,-2.35,-198900,-37.45,47025,-14325,YES,49950,YES,41.05,38.75,41.9,37.85,90.16,25-04-2025 11:40,15.55,39300,112,17.2,17.3,11625,-304.5,29775,-75,N,-5100,YES,500,515.55,520.95,496.6,272.9,25-04-2025 11:40,23922.4,23927.25,23901.7,23903.4,0
25-04-2025 11:45,-37.6,167025,150,-34,-36.3,212475,-1082.2,35250,-48900,YES,13425,N,24212.1,24027.6,23990,24033.7,23990,25-04-2025 11:45,-2.55,1294125,180,-2.8,-2.85,-27525,-38.65,60600,52275,Y,-1500,Y,38.55,36,39.1,34.45,89.13,25-04-2025 11:45,40.05,102225,131,37.35,37.7,-1500,-370.45,29475,1275,N,-15450,YES,515.55,555.6,555.6,512.65,274.29,25-04-2025 11:45,23904.75,23904.85,23862.25,23864.35,0
25-04-2025 11:50,8,172875,174,3.6,6.6,312225,-975.1,40800,30525,Y,5175,N,24206.5,23990,23998,24000,23975,25-04-2025 11:50,0.25,1010400,180,0.3,0.25,119250,-36.5,55725,63600,N,16650,N,35.85,36.1,36.45,35.1,88.33,25-04-2025 11:50,-8.65,74925,122,-8.5,-9,-32025,-423.25,28275,225,Y,20025,Y,558,549.35,570.6,546.4,275.37,25-04-2025 11:50,23864.8,23874.1,23847.85,23869.85,0
25-04-2025 11:55,0.8,83025,159,-0.6,-1.9,20250,-1093.6,38175,12150,N,14175,N,24204.06,23998,23998.8,24006.9,23985.2,25-04-2025 11:55,0.05,562125,181,0.05,0,-15750,-35.85,55575,16575,N,-5925,Y,36.15,36.2,36.95,35.5,87.9,25-04-2025 11:55,1.25,23025,80,-1.1,-1.1,6150,-369.25,25800,-2025,Y,2625,YES,546.45,547.7,555.25,537.5,275.69,25-04-2025 11:55,23871.2,23880.8,23864.9,23872.5,0
25-04-2025 12:00,7.6,79575,149,6.2,6.4,87900,-931.4,36900,-600,YES,-9525,Y,24201.72,23998.8,24006.4,24006.4,23977.6,25-04-2025 12:00,-0.5,901425,179,-0.5,-0.45,-215025,-33.5,50775,-59625,YES,10500,N,36.2,35.7,36.85,34.1,87.22,25-04-2025 12:00,-8.25,29325,95,-8.15,-8.05,1125,-398.4,24825,-3375,Y,-1200,YES,544.25,536,564.8,536,276.09,25-04-2025 12:00,23871.55,23882.5,23859.25,23881.8,0
25-04-2025 12:05,16,113325,157,10.9,14.9,-92850,-888.1,38325,-31575,YES,-19650,Y,24198.74,24006.4,24022.4,24022.4,24001.5,25-04-2025 12:05,1.9,866700,181,1.9,1.95,-209400,-34.65,51975,12975,Y,44925,YES,35.8,37.7,37.8,35.3,86.61,25-04-2025 12:05,-13.4,23025,81,-13.3,-13.45,1650,-349.4,23850,9600,N,4350,N,536.55,523.15,542,521,276.39,25-04-2025 12:05,23881.3,23898.1,23881.2,23894.65,0
25-04-2025 12:10,42.2,172800,175,38.6,39,-55875,-1200.9,38775,4875,Y,-12525,N,24195.24,24017.8,24060,24072.7,24015,25-04-2025 12:10,4.6,1656750,180,5,5.05,-257250,-42.05,48450,-14250,YES,-162300,Y,37.7,42.3,46.55,36.55,85.59,25-04-2025 12:10,-33.9,51975,122,-34.85,-35.15,-6600,-374.75,27075,-4725,Y,300,YES,523.15,489.25,527.85,481.5,276.97,25-04-2025 12:10,23897.65,23946.65,23891.3,23938.15,0
25-04-2025 12:15,9.2,137175,158,8.5,8.2,-35925,-1344.7,37200,-9300,YES,31350,YES,24192.92,24058.8,24068,24089.5,24035.9,25-04-2025 12:15,1.85,1622250,181,1.8,1.75,46725,-45.35,47400,43050,Y,53100,YES,42.7,44.55,48.9,39.5,84.67,25-04-2025 12:15,-9.2,47400,126,-7.7,-7.95,675,-353.15,28650,-300,N,1800,N,491.9,482.7,508.4,465.8,277.47,25-04-2025 12:15,23939.25,23962.65,23922,23950.6,0
25-04-2025 12:20,-13,75900,149,-10.7,-8.1,-3300,-1101.3,32550,1425,N,30075,N,24191.59,24068,24055,24073.8,24045.7,25-04-2025 12:20,-1.2,885750,180,-1.25,-1.3,-23625,-42.25,41025,33075,N,11550,N,44.6,43.4,45.65,41,84.16,25-04-2025 12:20,11.7,31200,99,12,11.4,2550,-316.15,25950,1725,N,5400,N,481.9,493.6,502.8,478.35,277.81,25-04-2025 12:20,23950.65,23953.4,23931.4,23939,0
25-04-2025 12:25,4.2,60975,145,5.8,3.8,-169650,-876.4,30000,4275,N,19050,N,24190.54,24055,24059.2,24070.9,24041,25-04-2025 12:25,1,851400,177,0.9,0.9,-25200,-43.7,48075,48675,N,-38025,Y,42.7,43.7,45.95,40.95,83.7,25-04-2025 12:25,-8.35,36600,80,-8,-8.55,-1725,-293.7,24675,-6075,Y,375,YES,493.6,485.25,502.7,476.4,278.2,25-04-2025 12:25,23938.95,23952.55,23922.5,23943.55,0
25-04-2025 12:30,1.4,75450,124,2.1,1.3,-93075,-955.3,29625,27225,Y,25275,N,24189.28,24060,24061.4,24070,24047.6,25-04-2025 12:30,-0.05,716175,175,0.05,0.05,102450,-43.1,42150,-21600,YES,21825,YES,43.35,43.3,45.35,41.75,83.33,25-04-2025 12:30,2.8,89400,90,1.95,2.25,0,-289.6,26850,-75,N,-450,YES,485.3,488.1,496.75,476.2,279.1,25-04-2025 12:30,23942.6,23955.7,23935.85,23951.2,0
25-04-2025 12:35,29.1,108900,148,29.7,32.7,450,-877.6,28275,7500,N,-41100,Y,24187.73,24061.4,24090.5,24094,24054.3,25-04-2025 12:35,3.25,902775,176,3,3,2925,-45.4,45000,40425,Y,-44850,Y,43.25,46.5,47.05,42.4,82.89,25-04-2025 12:35,-29.65,37500,85,-30.6,-30.6,-2400,-289.6,26700,-14475,Y,375,N,488.4,458.75,495.25,457,279.46,25-04-2025 12:35,23951,23984.8,23943.5,23984.25,0
25-04-2025 12:40,-31.6,148200,158,-34.5,-34.9,31275,-756.5,33450,-26475,YES,-26250,N,24185.75,24090.6,24059,24093.8,24046,25-04-2025 12:40,-5.5,1471050,180,-5.55,-5.55,-144375,-45.45,53025,-140700,YES,12900,YES,46.35,40.85,46.35,39.1,82.14,25-04-2025 12:40,30.75,78675,115,27.15,27.4,1725,-318.5,32625,13275,YES,-2550,YES,459.25,490,499.35,458.6,280.23,25-04-2025 12:40,23984.05,23984.7,23943.2,23951.05,0
25-04-2025 12:45,15.7,46950,130,17.6,19,-38400,-739.1,31500,-4575,Y,-1950,YES,24185.11,24057.1,24072.8,24084.3,24056.3,25-04-2025 12:45,2.25,667875,181,2.05,1.95,51450,-46.7,44100,23850,Y,10650,N,40.85,43.1,44.55,40.85,81.82,25-04-2025 12:45,-8.65,45975,83,-9.7,-9.5,3975,-272.65,25800,-675,Y,9150,N,485.65,477,485.65,465.8,280.67,25-04-2025 12:45,23950.9,23980.4,23950.4,23973.6,0
25-04-2025 12:50,23.8,46575,125,22.2,20.4,-28200,-645.8,26550,7650,N,-4800,Y,24184.53,24072.8,24096.6,24096.6,24070,25-04-2025 12:50,1.7,642675,180,1.8,1.75,-53175,-44.2,54900,35400,N,-33825,Y,42.95,44.65,45.4,41.6,81.51,25-04-2025 12:50,-19.1,20550,67,-18.5,-18.55,7125,-252.95,20700,-3825,Y,-1875,YES,477,457.9,478,454.25,280.85,25-04-2025 12:50,23973.1,23985,23962.6,23982.85,0
25-04-2025 12:55,37.7,229875,168,43.6,47.4,-132525,-1071.5,33450,5775,N,-115050,Y,24182.9,24096.6,24134.3,24150,24085,25-04-2025 12:55,9.45,2904075,179,9.6,9.65,-78825,-49.75,49650,-23700,YES,-59625,Y,44.8,54.25,58.15,43.6,80.46,25-04-2025 12:55,-38.1,109125,133,-39.15,-39.3,-750,-333.05,33525,-8700,Y,-7125,YES,457.9,419.8,465,408.25,281.67,25-04-2025 12:55,23982.3,24033,23975.15,24026.45,0
25-04-2025 13:00,7.7,170700,171,6.9,3,-91425,-1262.2,34050,10800,N,63450,YES,24182.13,24134.3,24142,24167.8,24125.4,25-04-2025 13:00,1.75,3991650,181,1.8,1.75,130650,-53.1,45300,141525,Y,-39300,YES,53.75,55.5,60.45,52.6,79.34,25-04-2025 13:00,-6.65,134475,159,-6.55,-6.65,8850,-332.1,39375,-450,N,24225,Y,420.6,413.95,424.9,397.25,282.54,25-04-2025 13:00,24024.65,24047.95,24013.05,24026.95,0
25-04-2025 13:05,9.2,178725,170,9.5,12,-55725,-931.9,34950,13200,N,3375,N,24181.78,24141.9,24151.1,24183.5,24135.3,25-04-2025 13:05,3.25,2250525,180,3.3,3.3,136875,-54.8,48375,-79275,YES,-20025,N,55.3,58.55,65.2,54.4,78.84,25-04-2025 13:05,-6.2,109200,150,-5.35,-5.45,-16875,-302.75,31650,-1350,Y,-13725,YES,413.95,407.75,417.05,379.4,283.15,25-04-2025 13:05,24027.45,24060.8,24022,24042,0
25-04-2025 13:10,13.8,73725,148,7.7,9.1,-10875,-882.2,32700,-6300,YES,37050,YES,24181.51,24151.2,24165,24165.2,24137,25-04-2025 13:10,2.4,2067000,180,2.15,2.15,188175,-52.35,48750,12600,Y,34575,YES,58.5,60.9,61.5,55.9,78.37,25-04-2025 13:10,-6.3,79500,124,-7.25,-7.5,-3600,-266.05,35475,-12675,Y,-9075,N,407.5,401.2,419.5,397.5,283.64,25-04-2025 13:10,24042.75,24051.4,24026.3,24047.15,0
25-04-2025 13:15,4.9,98625,154,9.6,5.1,-87600,-942.3,36675,-10650,YES,-16575,Y,24181.39,24165,24169.9,24185,24154.9,25-04-2025 13:15,2.65,1680600,181,2.95,2.95,-50175,-61.45,51900,-11700,YES,-5775,Y,61.05,63.7,67.65,59.4,78.1,25-04-2025 13:15,-5.8,63450,126,-6.3,-5.8,-21525,-289.55,31575,11550,YES,-4200,N,400,394.2,405.1,383.55,284.01,25-04-2025 13:15,24045.75,24066.65,24039.9,24061.4,0
25-04-2025 13:20,-7,80250,161,-6.9,-6,-28725,-983.6,32625,-27000,YES,23250,YES,24181.31,24170,24163,24185,24162.4,25-04-2025 13:20,-0.9,1501950,180,-1.15,-1.2,11700,-57.9,49650,-9225,N,34350,YES,63.35,62.45,67.85,61.8,77.87,25-04-2025 13:20,4.55,40875,121,5.75,5.7,-8775,-259.5,27150,-5100,Y,450,N,395.8,400.35,401.1,382.85,284.22,25-04-2025 13:20,24059.3,24071.15,24055.1,24059.35,0
25-04-2025 13:25,-12.4,84825,156,-13.7,-12,-25200,-1074,28950,3300,Y,-4200,Y,24181.09,24163,24150.6,24179,24140.1,25-04-2025 13:25,-4,2051625,181,-4.5,-4.4,67500,-59.45,56475,-37425,YES,-12900,Y,62,58,64.25,54.65,77.47,25-04-2025 13:25,2.5,83775,149,5.85,5.55,-10650,-286.15,39375,2400,N,-5400,YES,401.4,403.9,414.25,387.75,284.69,25-04-2025 13:25,24058.2,24063.6,24029.5,24036.75,0
25-04-2025 13:30,42.8,175050,154,39.3,39,-226275,-770,31125,33675,Y,-81000,Y,24181.22,24151.2,24194,24205,24151.2,25-04-2025 13:30,9.7,1940100,179,10.15,10.15,-147525,-59,48525,55575,Y,-134850,Y,57.85,67.55,70,57.8,77.2,25-04-2025 13:30,-28.45,107100,113,-29.5,-29.55,-1500,-266,39525,4650,N,12000,N,403.65,375.2,407.4,365,285.21,25-04-2025 13:30,24035.65,24084.1,24034.6,24075.5,0
