last_traded_time,date,ltp_1,bid_price_1,ask_price_1,volume_1,bid_ask_diff_1,bid_ask_pr_diff_1,last_traded_qty_1,tot_buy_qty_1,tot_buy_sig_1,tot_sell_qty_1,tot_sell_sig_1,avg_trade_price_1,ch_1,chp_1,high_1,low_1,ltp_2,bid_price_2,ask_price_2,volume_2,bid_ask_diff_2,bid_ask_pr_diff_2,last_traded_qty_2,tot_buy_qty_2,tot_buy_sig_2,tot_sell_qty_2,tot_sell_sig_2,avg_trade_price_2,ch_2,chp_2,high_2,low_2,ltp_3,bid_price_3,ask_price_3,volume_3,bid_ask_diff_3,bid_ask_pr_diff_3,last_traded_qty_3,tot_buy_qty_3,tot_buy_sig_3,tot_sell_qty_3,tot_sell_sig_3,avg_trade_price_3,ch_3,chp_3,high_3,low_3,final_signal
30-06-2025 09:15,30-06-2025,-31,-25,-23.6,225825,118950,-1258.1,46350,128475,N,62625,N,-20.99,-31,-0.1203,25769.9,25723.2,-11.95,-12,-11.95,5193900,31125,-123.85,44400,-2892675,N,141825,N,-17.67,-11.95,-7.0006,174.9,150.45,10.05,10.25,10.2,10289025,-6600,-96.5,45600,-3108375,N,484950,N,13.75,10.05,8.9175,129,97.45,no signal
30-06-2025 09:20,30-06-2025,26.1,25.9,21.4,148275,119700,-1464.5,54750,35475,N,27900,N,-1.41,26.1,0.1013,25765.5,25728.4,10.65,11.05,11.05,7299225,-126675,-139.35,49275,61425,Y,180900,YES,0.69,10.65,6.2391,171.65,151.75,-10.8,-11.15,-11.15,6448200,-4875,-105.7,50475,8325,YES,327375,N,0.04,-10.8,-9.583,122.7,107.8,no signal
30-06-2025 09:25,30-06-2025,-12.7,-10.2,-6.7,120900,34500,-1515,42750,8550,N,58650,YES,3.74,-12.7,-0.0493,25775,25749.5,-5.25,-4.4,-4.35,6844500,-43275,-144.15,43800,-148800,YES,230700,YES,3.43,-5.25,-3.0756,178.05,160.95,3.6,2.95,2.7,5847975,19875,-93.3,52125,157575,YES,56700,N,-2.28,3.6,3.1943,113.25,100.25,SELL
30-06-2025 09:30,30-06-2025,-30,-28.3,-25.8,142500,64725,-1544.5,40950,55950,Y,15075,N,-4.54,-30,-0.1165,25750,25712,-14,-13.95,-13.95,5840475,63600,-129.75,49050,130725,Y,179100,N,-2.53,-14,-8.2015,164.35,144.05,10.4,10.2,10.3,8847150,-36075,-117.15,51300,36075,N,-1200,YES,2.03,10.4,9.2281,127.4,112.4,no signal
30-06-2025 09:35,30-06-2025,-3.4,-3.1,-4.4,118425,50850,-1155.8,36975,37950,N,-7125,Y,-4.41,-3.4,-0.0132,25730,25704,-1.55,-2.3,-2.3,4534275,25350,-105.55,45450,-4575,YES,123525,N,-1.96,-1.55,-0.908,154.3,143.35,2.6,3.2,3.25,9742950,13875,-107.45,45225,71400,YES,98025,Y,2.9,2.6,2.307,134.1,118.65,no signal
30-06-2025 09:40,30-06-2025,-0.1,-0.8,-2.8,76800,18225,-1164,32250,9825,N,3750,N,-2.65,-0.1,-0.0004,25725,25700.2,-3,-2.75,-2.65,3736650,-22125,-120.75,49425,58800,Y,154050,YES,-1.7,-3,-1.7575,150.85,138.3,1.05,1.35,1.3,7418025,-8100,-120.95,53400,75225,N,127125,Y,1.73,1.05,0.9317,136.9,120.65,no signal
30-06-2025 09:45,30-06-2025,-16.2,-15,-12.3,98175,75750,-840.7,35250,34725,Y,32925,YES,-3.57,-16.2,-0.0629,25716.2,25694.4,-5.95,-6.7,-6.7,3719400,61875,-126.35,55650,1725,YES,107625,N,-1.59,-5.95,-3.4856,146.95,136.85,5.95,6.85,6.8,6700725,-17850,-126.75,49800,72675,N,127725,N,1.39,5.95,5.2795,137.3,123.45,no signal
30-06-2025 09:50,30-06-2025,-6.7,-7,-10.8,79875,66525,-790.7,36225,-2475,YES,10125,N,-2.71,-6.7,-0.0261,25710,25693,-4.15,-4.3,-4.35,3532125,97725,-124,52725,14250,N,141975,YES,-1.63,-4.15,-2.4311,142.6,134.3,4.25,4.5,4.6,5885175,-51750,-126.25,52050,100050,YES,-167175,YES,1.25,4.25,3.771,137.95,128.3,SELL
30-06-2025 09:55,30-06-2025,-2.4,-1.7,-2.3,92400,92250,-1215.8,41925,9450,N,41925,YES,-2.65,-2.4,-0.0093,25713.9,25690,-2.35,-2.95,-2.9,4237350,-37125,-132.9,53925,-44925,YES,60525,N,-1.45,-2.35,-1.3766,144.15,132.5,0.45,0.7,0.85,5923425,-30600,-132.7,56625,-73950,Y,-52275,Y,0.92,0.45,0.3993,139.25,125.1,no signal
30-06-2025 10:00,30-06-2025,20.8,15,20.4,129000,-1650,-1515.4,45900,20400,N,57750,N,-3.79,20.8,0.0808,25711.8,25681,10.4,9.75,9.9,4934550,-189825,-124.3,56325,276225,Y,-69900,Y,-1.89,10.4,6.0925,143.35,128.25,-9.6,-9,-9,6478650,-101925,-134.6,55200,-174975,Y,-82725,YES,1.17,-9.6,-8.5182,142.95,127.5,BUY
