last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
31-07-2025 09:15:00,-22.299999999999272,-27.099999999998545,-25.200000000000728,39075.0,-1362.2000000029802,37650.0,-11700.0,N,-14850.0,N,24664.96,24690.3,24668.0
31-07-2025 09:20:00,40.0,38.79999999999927,41.70000000000073,22425.0,-1476.8999999985099,40950.0,43350.0,Y,-6525.0,N,24673.39,24665.0,24705.0
31-07-2025 09:25:00,-3.2000000000007276,-5.5,-7.0,-4350.0,-1552.8999999985099,37500.0,8100.0,N,17250.0,YES,24677.19,24705.0,24701.8
31-07-2025 09:30:00,13.80000000000291,15.299999999999272,14.399999999997817,-54975.0,-1493.0,39000.0,-11025.0,YES,2700.0,Y,24680.61,24699.6,24713.4
31-07-2025 09:35:00,-34.29999999999927,-30.299999999999272,-33.599999999998545,18600.0,-1694.3999999985099,48675.0,14475.0,Y,11175.0,N,24681.44,24714.3,24680.0
31-07-2025 09:40:00,19.400000000001455,18.099999999998545,18.5,-159525.0,-1024.2000000011176,47325.0,13725.0,N,6525.0,N,24682.53,24680.0,24699.4
31-07-2025 09:45:00,-13.399999999997817,-17.30000000000291,-13.700000000000728,-190425.0,-1002.5,36900.0,19275.0,N,12750.0,N,24682.94,24698.1,24684.7
31-07-2025 09:50:00,11.700000000000728,15.700000000000728,15.0,-106950.0,-1396.4000000003725,34350.0,-7500.0,YES,75.0,Y,24683.67,24685.0,24696.7
31-07-2025 09:55:00,-15.0,-14.299999999999272,-14.299999999999272,-243675.0,-856.3000000007451,31500.0,-10125.0,YES,8175.0,N,24684.1,24700.0,24685.0
31-07-2025 10:00:00,-31.299999999999272,-32.20000000000073,-32.099999999998545,-57150.0,-1599.5,40950.0,-18675.0,YES,9300.0,N,24681.64,24682.3,24651.0
31-07-2025 10:05:00,15.5,19.30000000000291,17.099999999998545,-74025.0,-1203.5,37575.0,9225.0,Y,6450.0,N,24680.49,24653.9,24669.4
31-07-2025 10:10:00,-8.5,-7.700000000000728,-5.900000000001455,-51525.0,-1025.5999999996275,34275.0,36525.0,Y,13875.0,N,24679.49,24669.5,24661.0
31-07-2025 10:15:00,3.0,3.100000000002183,1.0,1650.0,-771.8999999985099,34200.0,-4650.0,YES,-15525.0,Y,24678.78,24660.4,24663.4
31-07-2025 10:20:00,9.799999999999272,10.099999999998545,9.0,-18375.0,-936.5,31725.0,22650.0,Y,-19050.0,Y,24678.32,24663.4,24673.2
31-07-2025 10:25:00,-9.0,-11.400000000001455,-8.0,-51600.0,-1206.5999999996275,30300.0,-18225.0,YES,26925.0,YES,24678.14,24675.0,24666.0
31-07-2025 10:30:00,-6.899999999997817,-0.5,-6.299999999999272,-42225.0,-1031.2000000011176,34500.0,-13350.0,N,-3675.0,Y,24677.62,24666.6,24659.7
31-07-2025 10:35:00,6.399999999997817,7.19999999999709,7.30000000000291,-46425.0,-997.5,38025.0,6375.0,N,-3675.0,N,24676.92,24659.7,24666.1
31-07-2025 10:40:00,15.400000000001455,16.0,14.599999999998545,40425.0,-1246.300000000745,50475.0,20100.0,N,-19800.0,Y,24676.27,24666.1,24681.5
31-07-2025 10:45:00,32.20000000000073,32.89999999999782,30.099999999998545,-4350.0,-1209.300000000745,38250.0,34350.0,N,-54375.0,Y,24678.16,24680.8,24713.0
31-07-2025 10:50:00,8.0,4.599999999998545,7.0,-32850.0,-1292.699999999255,41625.0,-1875.0,YES,12450.0,YES,24680.26,24713.0,24721.0
31-07-2025 10:55:00,-7.599999999998545,-8.799999999999272,-11.0,-85275.0,-1426.2999999988824,37275.0,14625.0,N,4875.0,N,24680.9,24721.0,24713.4
31-07-2025 11:00:00,42.599999999998545,47.599999999998545,45.79999999999927,-125625.0,-1148.0,37875.0,14250.0,N,-37725.0,Y,24684.37,24713.4,24756.0
31-07-2025 11:05:00,-2.0,-5.200000000000728,-4.0,-23925.0,-1364.9999999981374,37125.0,7350.0,N,-18150.0,N,24686.28,24756.0,24754.0
31-07-2025 11:10:00,-10.0,-9.5,-9.799999999999272,-102900.0,-1488.5999999996275,36300.0,5925.0,N,14550.0,YES,24687.56,24750.0,24740.0
31-07-2025 11:15:00,14.0,13.0,13.400000000001455,-25575.0,-1201.1000000014901,36900.0,3000.0,N,-15300.0,Y,24688.6,24740.0,24754.0
31-07-2025 11:20:00,40.0,37.20000000000073,34.89999999999782,-43575.0,-1068.5999999996275,31350.0,12900.0,N,-10500.0,N,24690.98,24754.0,24794.0
31-07-2025 11:25:00,-14.0,-12.099999999998545,-12.0,-55950.0,-1177.7000000011176,34800.0,675.0,YES,-9750.0,N,24694.14,24794.0,24780.0
31-07-2025 11:30:00,32.0,30.299999999999272,30.0,-78675.0,-1065.9000000003725,41925.0,20625.0,N,-5400.0,N,24697.47,24780.0,24812.0
31-07-2025 11:35:00,-12.0,-11.200000000000728,-12.0,349800.0,-1611.300000000745,45225.0,24825.0,N,3825.0,N,24699.42,24812.0,24800.0
31-07-2025 11:40:00,15.900000000001455,14.600000000002183,13.900000000001455,-84450.0,-1306.5999999977648,39525.0,-31200.0,YES,5625.0,N,24702.69,24800.0,24815.9
31-07-2025 11:45:00,-3.8000000000029104,-4.200000000000728,-1.2999999999992724,24000.0,-1315.0,40875.0,4500.0,Y,-225.0,Y,24705.77,24815.9,24812.1
31-07-2025 11:50:00,-0.5,-3.900000000001455,-3.099999999998545,41625.0,-1158.2999999988824,36300.0,-1125.0,YES,8925.0,N,24707.87,24810.2,24809.7
31-07-2025 11:55:00,-4.5,-4.0,-1.3000000000029104,76200.0,-1074.2000000029802,36825.0,21450.0,Y,7050.0,N,24709.36,24806.5,24802.0
31-07-2025 12:00:00,-28.099999999998545,-22.700000000000728,-28.200000000000728,-43050.0,-1170.2000000011176,41925.0,-16800.0,YES,12825.0,N,24710.85,24802.0,24773.9
31-07-2025 12:05:00,-13.80000000000291,-16.099999999998545,-16.099999999998545,-189825.0,-1661.4000000003725,64875.0,-6000.0,N,675.0,Y,24712.13,24773.9,24760.1
31-07-2025 12:10:00,63.0,61.79999999999927,64.70000000000073,-7350.0,-1103.8999999985099,41850.0,-5850.0,N,-18750.0,Y,24713.72,24760.0,24823.0
31-07-2025 12:15:00,21.5,20.700000000000728,21.100000000002183,65850.0,-1215.4000000003725,45525.0,16275.0,Y,-525.0,N,24718.25,24822.7,24844.2
31-07-2025 12:20:00,-0.4000000000014552,-0.4000000000014552,2.0,791100.0,-1049.5,38925.0,900.0,YES,-8025.0,Y,24721.89,24845.0,24844.6
31-07-2025 12:25:00,-16.19999999999709,-20.299999999999272,-18.100000000002183,-34275.0,-1170.0999999996275,39000.0,3225.0,N,15525.0,YES,24723.65,24844.6,24828.4
31-07-2025 12:30:00,30.0,29.299999999999272,29.599999999998545,-32250.0,-1117.5999999996275,36300.0,14925.0,N,-18150.0,Y,24726.44,24830.0,24860.0
31-07-2025 12:35:00,2.0,0.7000000000007276,1.5,40200.0,-1171.2000000011176,40725.0,-14325.0,YES,28725.0,YES,24729.33,24863.0,24865.0
31-07-2025 12:40:00,-9.5,-12.400000000001455,-13.0,4200.0,-1344.9000000003725,43425.0,15825.0,Y,-4950.0,Y,24731.15,24861.9,24852.4
31-07-2025 12:45:00,26.600000000002183,27.19999999999709,27.700000000000728,10350.0,-1279.3999999985099,43350.0,-6675.0,YES,-3375.0,N,24732.32,24850.3,24876.9
