last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-03-07 09:15:00,3.8499999999999943,1.9000000000000057,1.75,22050,-36.85000000000218,10950,51375.0,N,44400.0,N,-3.109999999999985
2025-03-07 09:20:00,15.400000000000006,17.650000000000006,17.75,23175,-154.95000000001164,44175,2400.0,Y,40500.0,N,4.069999999999993
2025-03-07 09:25:00,0.6500000000000057,0.09999999999999432,0.10000000000002274,28275,-155.65000000000873,39900,4500.0,N,32175.0,N,1.7399999999999807
2025-03-07 09:30:00,-29.5,-29.450000000000017,-29.5,-7500,-144.40000000000873,43800,-65925.0,Y,69675.0,Y,-1.8100000000000023
2025-03-07 09:35:00,47.20000000000002,45.5,45.5,-10650,-149.84999999999127,42000,107400.0,YES,-107775.0,YES,-0.3199999999999932
2025-03-07 09:40:00,-13.900000000000006,-13.549999999999983,-13.5,-15600,-163.55000000001746,37500,-46275.0,Y,95550.0,Y,2.1999999999999886
2025-03-07 09:45:00,-1.3000000000000114,-2.6500000000000057,-2.6999999999999886,-12150,-164.09999999999127,37725,-6075.0,YES,3975.0,N,0.8800000000000239
2025-03-07 09:50:00,-8.5,-9.199999999999989,-9.25,25800,-158.35000000000582,41775,40500.0,YES,35700.0,Y,-0.46000000000000796
2025-03-07 09:55:00,-12.150000000000006,-13.349999999999994,-13.400000000000006,7800,-136.75,39750,-24600.0,Y,24825.0,N,-0.8199999999999932
2025-03-07 10:00:00,-5.650000000000006,-5.449999999999989,-5.450000000000017,-3075,-131.65000000000873,35925,34425.0,YES,41100.0,N,-1.5999999999999943
2025-03-07 10:05:00,-16.5,-16.0,-16.149999999999977,-27075,-118.75000000000728,39975,1200.0,Y,80550.0,Y,-3.5600000000000023
2025-03-07 10:10:00,-10.25,-10.150000000000006,-10.199999999999989,54225,-103.0,42825,-37650.0,Y,81900.0,N,-3.539999999999992
2025-03-07 10:15:00,0.9000000000000057,1.0,1.0,-10500,-99.85000000000582,47100,135900.0,YES,93975.0,N,-5.890000000000015
2025-03-07 10:20:00,12.049999999999983,11.699999999999989,11.599999999999994,-83475,-104.65000000000146,47550,105975.0,N,12975.0,N,-3.3300000000000125
2025-03-07 10:25:00,-10.300000000000011,-10.25,-10.450000000000017,-74850,-110.05000000000291,42300,-44550.0,Y,119400.0,Y,-1.9400000000000261
2025-03-07 10:30:00,6.550000000000011,6.199999999999989,6.199999999999989,95025,-104.85000000000582,40425,38025.0,YES,41850.0,N,-1.4099999999999966
2025-03-07 10:35:00,-4.75,-4.049999999999983,-4.150000000000006,-60225,-107.40000000000146,39225,28650.0,N,45675.0,N,-1.2199999999999989
2025-03-07 10:40:00,4.699999999999989,4.900000000000006,4.900000000000006,-24150,-100.05000000000291,41550,57750.0,YES,-20475.0,YES,-0.7700000000000102
2025-03-07 10:45:00,-11.099999999999994,-11.400000000000006,-11.400000000000006,-14025,-105.95000000001164,45375,-114600.0,Y,45075.0,Y,-1.3000000000000114
2025-03-07 10:50:00,23.400000000000006,22.950000000000017,23.0,-8475,-104.49999999999272,42000,89550.0,YES,-237075.0,YES,-1.1499999999999773
2025-03-07 10:55:00,3.0500000000000114,0.5999999999999943,0.6000000000000227,-81600,-117.84999999999127,39375,35925.0,N,61875.0,Y,-0.46000000000000796
2025-03-07 11:00:00,-18.19999999999999,-17.5,-17.650000000000006,-127425,-108.15000000000146,39150,39300.0,N,121875.0,Y,-0.7299999999999898
2025-03-07 11:05:00,-4.199999999999989,-4.049999999999983,-4.099999999999994,27675,-102.75000000000728,42225,-24675.0,Y,43425.0,N,-0.5800000000000125
2025-03-07 11:10:00,-6.849999999999994,-7.450000000000003,-7.3999999999999915,154350,-96.25,43875,-55350.0,Y,67800.0,Y,-1.3499999999999943
2025-03-07 11:15:00,-0.75,-0.44999999999998863,-0.3999999999999915,-42375,-94.40000000000146,47925,25500.0,YES,53550.0,N,-1.710000000000008
2025-03-07 11:20:00,-1.4500000000000028,-1.5,-1.4500000000000028,15225,-89.09999999999854,43875,-31500.0,Y,29325.0,N,-0.8499999999999943
2025-03-07 11:25:00,6.199999999999989,6.749999999999986,6.950000000000003,-10500,-102.49999999999272,47400,78375.0,YES,-34875.0,YES,-0.7599999999999909
2025-03-07 11:30:00,-2.4499999999999886,-2.1499999999999773,-2.1500000000000057,7575,-99.19999999999709,44100,10650.0,N,38325.0,Y,-0.5199999999999818
2025-03-07 11:35:00,6.0,6.0,6.0,-13350,-104.30000000000291,42750,54825.0,YES,-26325.0,YES,-0.6500000000000057
2025-03-07 11:40:00,-1.6999999999999886,-1.450000000000017,-1.5,-81975,-102.80000000000291,43125,22500.0,N,22200.0,Y,-0.4300000000000068
2025-03-07 11:45:00,31.30000000000001,31.150000000000006,31.400000000000006,-30000,-110.84999999999854,44100,1425.0,Y,-427725.0,YES,0.12000000000000455
2025-03-07 11:50:00,-8.100000000000023,-7.5,-7.650000000000006,21900,-123.25,42000,-50325.0,Y,73800.0,Y,0.29999999999998295
2025-03-07 11:55:00,1.1999999999999886,0.15000000000000568,0.30000000000001137,14475,-118.70000000000437,47400,-8550.0,YES,39675.0,N,0.09000000000000341
