datetime,timestamp,open,high,low,close,volume
2025-09-18 09:15:00,1758167100,10.25,10.25,9.49,9.99,0
2025-09-18 09:20:00,1758167400,9.97,10.05,9.96,10.03,0
2025-09-18 09:25:00,1758167700,10.04,10.04,9.96,9.99,0
2025-09-18 09:30:00,1758168000,10.0,10.01,9.97,10.0,0
2025-09-18 09:35:00,1758168300,10.0,10.02,9.97,10.01,0
2025-09-18 09:40:00,1758168600,10.01,10.04,9.99,10.02,0
2025-09-18 09:45:00,1758168900,10.01,10.01,9.97,9.98,0
2025-09-18 09:50:00,1758169200,9.97,10.01,9.96,10.0,0
2025-09-18 09:55:00,1758169500,9.99,10.02,9.97,9.99,0
2025-09-18 10:00:00,1758169800,9.98,10.0,9.94,9.96,0
2025-09-18 10:05:00,1758170100,9.97,10.01,9.96,10.01,0
2025-09-18 10:10:00,1758170400,10.01,10.08,9.99,10.07,0
2025-09-18 10:15:00,1758170700,10.07,10.08,10.05,10.07,0
2025-09-18 10:20:00,1758171000,10.07,10.07,10.01,10.01,0
2025-09-18 10:25:00,1758171300,10.01,10.03,10.0,10.03,0
2025-09-18 10:30:00,1758171600,10.03,10.06,10.02,10.03,0
2025-09-18 10:35:00,1758171900,10.03,10.05,10.02,10.02,0
2025-09-18 10:40:00,1758172200,10.02,10.04,10.0,10.01,0
2025-09-18 10:45:00,1758172500,10.01,10.07,9.99,10.02,0
2025-09-18 10:50:00,1758172800,10.01,10.04,10.01,10.02,0
2025-09-18 10:55:00,1758173100,10.03,10.04,10.0,10.03,0
2025-09-18 11:00:00,1758173400,10.04,10.05,9.98,9.98,0
2025-09-18 11:05:00,1758173700,9.98,10.01,9.96,10.0,0
2025-09-18 11:10:00,1758174000,10.0,10.01,9.95,9.95,0
2025-09-18 11:15:00,1758174300,9.96,9.98,9.95,9.96,0
2025-09-18 11:20:00,1758174600,9.96,9.98,9.96,9.96,0
2025-09-18 11:25:00,1758174900,9.96,9.98,9.95,9.96,0
2025-09-18 11:30:00,1758175200,9.96,9.98,9.96,9.98,0
2025-09-18 11:35:00,1758175500,9.97,9.98,9.95,9.97,0
2025-09-18 11:40:00,1758175800,9.97,9.98,9.95,9.96,0
2025-09-18 11:45:00,1758176100,9.97,9.98,9.95,9.97,0
2025-09-18 11:50:00,1758176400,9.97,9.98,9.95,9.98,0
2025-09-18 11:55:00,1758176700,9.98,9.99,9.97,9.97,0
2025-09-18 12:00:00,1758177000,9.97,10.0,9.97,9.97,0
2025-09-18 12:05:00,1758177300,9.97,9.98,9.95,9.98,0
2025-09-18 12:10:00,1758177600,9.98,9.98,9.95,9.95,0
2025-09-18 12:15:00,1758177900,9.95,9.97,9.94,9.96,0
2025-09-18 12:20:00,1758178200,9.96,9.98,9.94,9.96,0
2025-09-18 12:25:00,1758178500,9.96,10.0,9.96,9.99,0
2025-09-18 12:30:00,1758178800,9.99,10.0,9.97,9.98,0
2025-09-18 12:35:00,1758179100,9.97,10.01,9.97,10.0,0
2025-09-18 12:40:00,1758179400,10.0,10.06,10.0,10.02,0
2025-09-18 12:45:00,1758179700,10.02,10.08,10.0,10.07,0
2025-09-18 12:50:00,1758180000,10.07,10.09,10.03,10.03,0
2025-09-18 12:55:00,1758180300,10.04,10.07,10.02,10.03,0
2025-09-18 13:00:00,1758180600,10.02,10.12,10.02,10.06,0
2025-09-18 13:05:00,1758180900,10.06,10.09,10.05,10.07,0
2025-09-18 13:10:00,1758181200,10.08,10.1,10.07,10.09,0
2025-09-18 13:15:00,1758181500,10.12,10.12,10.07,10.07,0
2025-09-18 13:20:00,1758181800,10.08,10.11,10.06,10.06,0
2025-09-18 13:25:00,1758182100,10.06,10.08,10.02,10.06,0
2025-09-18 13:30:00,1758182400,10.05,10.09,10.05,10.05,0
2025-09-18 13:35:00,1758182700,10.06,10.06,10.04,10.06,0
2025-09-18 13:40:00,1758183000,10.06,10.08,10.05,10.05,0
2025-09-18 13:45:00,1758183300,10.05,10.06,10.01,10.05,0
2025-09-18 13:50:00,1758183600,10.06,10.12,10.05,10.11,0
2025-09-18 13:55:00,1758183900,10.11,10.12,10.09,10.1,0
2025-09-18 14:00:00,1758184200,10.11,10.11,10.07,10.1,0
2025-09-18 14:05:00,1758184500,10.08,10.1,10.06,10.06,0
2025-09-18 14:10:00,1758184800,10.06,10.08,10.03,10.04,0
2025-09-18 14:15:00,1758185100,10.04,10.07,10.03,10.07,0
2025-09-18 14:20:00,1758185400,10.07,10.08,10.05,10.06,0
2025-09-18 14:25:00,1758185700,10.06,10.1,10.05,10.05,0
2025-09-18 14:30:00,1758186000,10.06,10.07,10.04,10.06,0
2025-09-18 14:35:00,1758186300,10.07,10.08,10.04,10.06,0
2025-09-18 14:40:00,1758186600,10.05,10.07,10.04,10.05,0
2025-09-18 14:45:00,1758186900,10.06,10.07,10.03,10.04,0
2025-09-18 14:50:00,1758187200,10.02,10.04,9.97,9.99,0
2025-09-18 14:55:00,1758187500,9.98,9.99,9.91,9.93,0
2025-09-18 15:00:00,1758187800,9.94,9.94,9.9,9.9,0
2025-09-18 15:05:00,1758188100,9.9,9.92,9.87,9.9,0
2025-09-18 15:10:00,1758188400,9.89,9.92,9.86,9.88,0
2025-09-18 15:15:00,1758188700,9.89,9.9,9.87,9.89,0
2025-09-18 15:20:00,1758189000,9.89,9.9,9.83,9.84,0
2025-09-18 15:25:00,1758189300,9.85,9.88,9.84,9.88,0
