last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
30-05-2025 09:15,6,1.7,-0.3,64125,-871.9,34425,51825,N,69600,N,-11.33,24923,24929,-6.4,-5.5,-5.6,-14325,-155,51375,215850,N,252750,N,-12.01,-2.5,-2.05,-2.25,37050,-138.25,38400,172725,N,293250,N,6.45,2.8,1.8,-7.4,1110,-2910.6,18090,17820,N,34080,N,-0.85,55879.8,55882.6
30-05-2025 09:20,53.9,58.9,57.9,-227550,-936.4,52500,89025,Y,27150,N,16.53,24926.1,24980,43.05,42.15,42.35,9600,-232.2,53625,1198200,Y,-59850,Y,13.03,-17.25,-18.3,-18.2,17400,-166.8,58275,1193700,YES,241800,N,-5.95,107.2,102.6,106,-124740,-2077.2,19380,7560,N,-1530,Y,25.18,55880.4,55987.6
30-05-2025 09:25,-10,-16,-14.3,-2100,-900,39300,23100,N,140925,YES,6.37,24980,24970,-6.6,-6.5,-6.8,-55800,-233.95,54075,-10575,YES,163425,YES,6,7.15,8.1,7.05,-46650,-137.95,56175,167775,N,23325,N,-1.68,-15.6,-10.8,-15.8,-11640,-1836.4,17220,9030,N,12060,N,8.3,55987.6,55972
30-05-2025 09:30,-11.8,-19.2,-17.4,-49575,-787.4,36975,-43050,YES,22200,N,2.97,24966,24954.2,-14.6,-14.45,-14.5,-1650,-232.4,48975,-56550,YES,71400,N,2.7,7.45,7.8,7.8,66150,-153.85,47775,35250,N,4725,N,-0.74,-39.6,-39.6,-37.4,-15840,-2416,18930,6930,N,9870,N,6,55972.4,55932.8
30-05-2025 09:35,-6.5,-8.9,-9.1,-142275,-1462.1,68850,74400,Y,14175,N,-2.14,24946.4,24939.9,-3.05,-1.9,-1.9,-65625,-204.55,45450,104100,Y,91725,YES,-0.63,-0.9,-0.75,-0.8,-20850,-170.05,51375,-60225,Y,41925,Y,0.74,-13.6,-8.2,-10,40320,-2412.4,46830,570,YES,5010,N,-1.24,55930.6,55917
30-05-2025 09:40,6,7.7,9.1,81675,-1064.5,43725,22725,N,7200,N,-1.31,24939,24945,3.6,3.25,3.45,-50325,-198.85,70125,66600,N,62625,N,-0.51,-1.75,-1.85,-1.85,16425,-161.35,56025,30375,YES,80850,Y,0.16,3,-3,-5,5310,-1696.2,29370,-10500,YES,7500,N,-0.72,55917,55920
30-05-2025 09:45,-20.5,-17,-17.6,-20625,-775.2,46725,26850,N,18600,N,-2.36,24945,24924.5,-10.7,-11.25,-11.35,-63900,-227.1,57225,-40200,YES,101475,YES,-1.01,9,9.75,9.65,29625,-167.8,61500,47700,N,-43800,YES,0.26,-60.4,-54.6,-60.4,-3720,-1976,31770,-1800,N,9150,N,-6.26,55924.6,55864.2
30-05-2025 09:50,2.3,2.5,-0.9,-29775,-1093.2,49275,-1200,YES,-10350,Y,-0.62,24922.7,24925,-3.05,-2.4,-2.3,-50775,-178.3,47850,7950,Y,60525,N,-0.57,-0.45,-0.65,-0.5,-22575,-156.9,57750,87900,YES,34950,Y,0.14,-4.8,-9.2,-6.8,17190,-1818.8,26070,21720,Y,5610,N,-1.4,55864.2,55859.4
30-05-2025 09:55,3.8,-1.8,3,-82275,-850.5,64500,11175,N,-3150,N,-0.86,24925,24928,0,0,0.15,-28500,-184.55,54750,41400,Y,54975,N,-0.53,-0.3,-0.45,-0.3,56175,-141.45,54450,83325,N,16500,N,0.3,0.2,4,0,30750,-1914.2,34230,-8940,YES,-1620,Y,-1.89,55859.4,55859.6
30-05-2025 10:00,-5.8,-9.1,-5.7,0,-1102.8,36075,12900,N,13650,N,-1.54,24928,24920.8,-1.35,-1.5,-1.45,-34050,-169.65,48300,34425,N,81225,YES,-1.26,6.15,6.2,6.2,-7500,-168.25,52200,46125,N,-113700,YES,1.28,40.8,34,39.4,8160,-2106.8,11130,3030,N,-1290,N,-2.92,55859.2,55900
30-05-2025 10:05,-8.8,-6.9,-8.5,25125,-801.7,42450,-6975,YES,10350,N,-1.24,24920.8,24912,-2.4,-2.9,-2.85,-146025,-182.95,61125,-20400,YES,57000,N,-0.89,5.25,4.65,4.95,-39675,-179.45,56025,92925,YES,-33525,Y,1.18,-2.8,-2.8,-6.8,-11610,-2294.2,11190,-1230,YES,3810,N,-0.75,55900,55897.2
30-05-2025 10:10,-1.3,-4.4,-4.1,-4875,-943.6,51225,13125,Y,-8625,Y,-1.31,24912,24906.2,0.95,1.2,1.2,18900,-177.6,50775,108150,Y,51225,N,-0.53,4.2,4.2,4.1,-102450,-162.3,64050,53175,N,46800,Y,0.64,-2.2,0,-2.8,10200,-2493.6,11130,-7290,YES,-2520,Y,-0.22,55897.2,55895
30-05-2025 10:15,-27,-26.2,-27.5,87450,-1231.8,43950,-48225,YES,20400,YES,-5.88,24908.5,24876,-10.65,-11.1,-11.05,-142500,-167.35,53850,-35100,YES,92400,YES,-1.85,19,19.1,19.05,-54225,-184.95,51825,-255075,Y,-232350,YES,2.97,-33.2,-28.2,-25.8,35040,-1811.2,12480,8310,N,-810,N,-0.88,55895,55861.8
30-05-2025 10:20,-15.9,-13,-15.3,141975,-588.8,60975,10050,Y,11775,N,-4.81,24878.9,24863,-2.65,-2,-1.95,74850,-164.05,47400,55425,Y,104700,N,-1.47,10.25,8.95,8.95,-34350,-190.4,52275,-48900,YES,-48600,Y,2.6,-6.8,-6.2,-5.2,8850,-1633,20460,4980,N,6630,N,-1.62,55861.8,55855
30-05-2025 10:25,15.2,15.2,20,108825,-889.1,42525,83925,Y,15000,N,-2.38,24863,24876,4.75,5.05,5.15,-181800,-162.3,52575,23925,N,31200,N,-1.03,-12.25,-11.7,-12,77325,-174.05,53625,-72600,Y,54900,Y,1.37,5,12.4,7.6,-9450,-1683.2,17820,3000,N,3180,N,-0.89,55855,55860
