datetime,open,high,low,close,volume
2025-09-11 09:25:00,10.54,10.78,10.31,10.62,0
2025-09-11 09:30:00,10.56,10.66,10.55,10.62,0
2025-09-11 09:35:00,10.61,10.66,10.59,10.66,0
2025-09-11 09:40:00,10.63,10.66,10.57,10.62,0
2025-09-11 09:45:00,10.63,10.66,10.57,10.6,0
2025-09-11 09:50:00,10.65,10.65,10.57,10.61,0
2025-09-11 09:55:00,10.62,10.65,10.59,10.6,0
2025-09-11 10:00:00,10.61,10.64,10.59,10.6,0
2025-09-11 10:05:00,10.62,10.65,10.59,10.62,0
2025-09-11 10:10:00,10.61,10.65,10.59,10.61,0
2025-09-11 10:15:00,10.61,10.65,10.57,10.57,0
2025-09-11 10:20:00,10.63,10.63,10.57,10.59,0
2025-09-11 10:25:00,10.61,10.62,10.57,10.6,0
2025-09-11 10:30:00,10.58,10.61,10.54,10.55,0
2025-09-11 10:35:00,10.6,10.61,10.52,10.53,0
2025-09-11 10:40:00,10.59,10.6,10.52,10.56,0
2025-09-11 10:45:00,10.54,10.57,10.52,10.54,0
2025-09-11 10:50:00,10.53,10.57,10.52,10.54,0
2025-09-11 10:55:00,10.56,10.57,10.51,10.51,0
2025-09-11 11:00:00,10.53,10.55,10.51,10.53,0
2025-09-11 11:05:00,10.53,10.55,10.51,10.52,0
2025-09-11 11:10:00,10.52,10.53,10.51,10.52,0
2025-09-11 11:15:00,10.53,10.53,10.51,10.52,0
2025-09-11 11:20:00,10.52,10.54,10.51,10.52,0
2025-09-11 11:25:00,10.51,10.54,10.51,10.52,0
2025-09-11 11:30:00,10.52,10.54,10.48,10.49,0
2025-09-11 11:35:00,10.52,10.53,10.47,10.49,0
2025-09-11 11:40:00,10.52,10.53,10.47,10.51,0
2025-09-11 11:45:00,10.5,10.53,10.47,10.52,0
2025-09-11 11:50:00,10.48,10.53,10.47,10.53,0
2025-09-11 11:55:00,10.5,10.54,10.49,10.5,0
2025-09-11 12:00:00,10.51,10.54,10.45,10.46,0
2025-09-11 12:05:00,10.52,10.54,10.45,10.5,0
2025-09-11 12:10:00,10.5,10.53,10.45,10.51,0
2025-09-11 12:15:00,10.47,10.53,10.46,10.51,0
2025-09-11 12:20:00,10.51,10.54,10.5,10.54,0
2025-09-11 12:25:00,10.51,10.57,10.5,10.54,0
2025-09-11 12:30:00,10.5,10.57,10.5,10.54,0
2025-09-11 12:35:00,10.53,10.57,10.52,10.56,0
2025-09-11 12:40:00,10.54,10.57,10.52,10.55,0
2025-09-11 12:45:00,10.54,10.57,10.5,10.51,0
2025-09-11 12:50:00,10.57,10.57,10.5,10.56,0
2025-09-11 12:55:00,10.54,10.57,10.5,10.56,0
2025-09-11 13:00:00,10.51,10.57,10.51,10.56,0
2025-09-11 13:05:00,10.56,10.57,10.54,10.55,0
2025-09-11 13:10:00,10.56,10.58,10.54,10.56,0
2025-09-11 13:15:00,10.56,10.58,10.54,10.54,0
2025-09-11 13:20:00,10.55,10.58,10.53,10.55,0
2025-09-11 13:25:00,10.56,10.58,10.52,10.53,0
2025-09-11 13:30:00,10.55,10.56,10.51,10.52,0
2025-09-11 13:35:00,10.54,10.56,10.51,10.52,0
2025-09-11 13:40:00,10.54,10.55,10.51,10.54,0
2025-09-11 13:45:00,10.52,10.55,10.51,10.54,0
2025-09-11 13:50:00,10.52,10.55,10.5,10.5,0
2025-09-11 13:55:00,10.54,10.55,10.49,10.49,0
2025-09-11 14:00:00,10.53,10.54,10.44,10.44,0
2025-09-11 14:05:00,10.51,10.51,10.42,10.43,0
2025-09-11 14:10:00,10.49,10.49,10.36,10.41,0
2025-09-11 14:15:00,10.46,10.46,10.35,10.37,0
2025-09-11 14:20:00,10.42,10.43,10.35,10.38,0
2025-09-11 14:25:00,10.41,10.44,10.35,10.44,0
2025-09-11 14:30:00,10.37,10.44,10.35,10.39,0
2025-09-11 14:35:00,10.39,10.44,10.35,10.41,0
2025-09-11 14:40:00,10.43,10.44,10.35,10.41,0
2025-09-11 14:45:00,10.38,10.43,10.36,10.4,0
2025-09-11 14:50:00,10.39,10.43,10.36,10.41,0
2025-09-11 14:55:00,10.42,10.43,10.35,10.37,0
2025-09-11 15:00:00,10.41,10.41,10.34,10.4,0
2025-09-11 15:05:00,10.41,10.41,10.34,10.38,0
2025-09-11 15:10:00,10.37,10.41,10.32,10.39,0
2025-09-11 15:15:00,10.39,10.42,10.32,10.39,0
2025-09-11 15:20:00,10.37,10.42,10.27,10.33,0
2025-09-11 15:25:00,10.4,10.42,10.18,10.23,0
