last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-11-07 09:30:00,-14.550000000000011,-13.5,-13.5,11100,-224.40000000000873,18550,-725.0,N,975.0,N,275.95,261.4,280.2,258.45,4.1200000000000045
2024-11-07 09:35:00,20.19999999999999,21.149999999999977,21.19999999999999,13875,-285.65000000000873,27375,5200.0,N,-7875.0,YES,261.05,281.25,284.5,259.25,3.4499999999999886
2024-11-07 09:40:00,-22.350000000000023,-19.69999999999999,-20.0,5350,-293.34999999999127,26125,-58100.0,Y,9075.0,N,280.35,258.0,292.1,252.65,3.740000000000009
2024-11-07 09:45:00,3.8999999999999773,2.4500000000000455,2.3500000000000227,5375,-282.0,27025,-311850.0,Y,-3475.0,YES,256.1,260.0,271.0,241.25,1.6599999999999966
2024-11-07 09:50:00,17.25,16.94999999999999,16.80000000000001,-1575,-267.3000000000029,26350,15025.0,YES,725.0,N,263.75,281.0,283.55,261.45,2.170000000000016
2024-11-07 09:55:00,56.0,57.19999999999999,57.64999999999998,4075,-323.75,20875,-9875.0,Y,-18925.0,YES,282.8,338.8,341.8,275.35,6.609999999999985
2024-11-07 10:00:00,55.049999999999955,56.80000000000001,57.10000000000002,-12600,-462.3500000000058,25600,-708950.0,Y,-11975.0,N,343.1,398.15,404.65,338.15,9.509999999999991
2024-11-07 10:05:00,-6.949999999999989,-6.75,-6.949999999999989,0,-412.55000000001746,21575,-344675.0,YES,8550.0,Y,397.75,390.8,411.5,377.55,3.6999999999999886
2024-11-07 10:10:00,0.5500000000000114,0.39999999999997726,0.19999999999998863,6900,-358.54999999998836,21300,-3600.0,YES,-7125.0,YES,393.3,393.85,413.5,389.0,1.75
2024-11-07 10:15:00,1.349999999999966,1.1499999999999773,1.3000000000000114,-4075,-333.15000000000873,24300,-4200.0,Y,4600.0,N,393.85,395.2,400.0,378.35,1.3100000000000023
2024-11-07 10:20:00,-14.0,-15.349999999999966,-15.5,4050,-320.3999999999942,22150,1775.0,N,3375.0,N,395.2,381.2,397.25,376.45,1.25
2024-11-07 10:25:00,30.75,29.650000000000034,29.75,200,-287.0500000000029,17125,2825.0,N,-7600.0,YES,381.2,411.95,418.55,373.1,1.9700000000000273
2024-11-07 10:30:00,6.149999999999977,6.25,6.199999999999989,2600,-358.5,18025,-117125.0,Y,4500.0,N,410.8,416.95,423.8,407.5,1.6099999999999568
2024-11-07 10:35:00,-12.75,-14.449999999999989,-14.449999999999989,5650,-304.20000000001164,20875,-53125.0,YES,-2600.0,YES,416.3,403.55,417.45,397.0,1.009999999999991
2024-11-07 10:40:00,-4.350000000000023,-4.599999999999966,-4.75,1300,-290.70000000001164,15000,-1275.0,YES,3250.0,N,404.35,400.0,409.0,387.3,0.5299999999999727
2024-11-07 10:45:00,-3.8999999999999773,-2.4499999999999886,-2.5499999999999545,13000,-278.75,16125,-2001925.0,Y,-1575.0,YES,400.0,396.1,401.45,383.65,0.3900000000000432
2024-11-07 10:50:00,-15.550000000000011,-16.149999999999977,-16.30000000000001,15400,-292.3999999999942,19025,-1950.0,YES,3300.0,N,396.1,380.55,397.7,379.35,0.67999999999995
2024-11-07 10:55:00,-23.400000000000034,-23.5,-23.5,5050,-304.8999999999942,19625,-4375.0,Y,1675.0,YES,380.55,357.15,381.9,355.6,1.0100000000000477
2024-11-07 11:00:00,5.199999999999989,6.0,6.149999999999977,-1325,-266.75,28075,3125.0,N,3275.0,N,356.85,362.05,367.0,351.15,0.44999999999998863
2024-11-07 11:05:00,24.350000000000023,24.200000000000045,24.399999999999977,4950,-300.90000000000873,19950,-43650.0,Y,25.0,YES,361.25,385.6,390.8,355.6,0.7199999999999704
2024-11-07 11:10:00,-5.400000000000034,-4.349999999999966,-4.300000000000011,22550,-262.6000000000058,15950,-54000.0,Y,-2600.0,YES,385.6,380.2,386.7,375.25,0.3300000000000409
2024-11-07 11:15:00,38.75,38.35000000000002,38.69999999999999,12750,-303.54999999998836,20600,-86025.0,Y,-4150.0,YES,380.2,418.95,420.85,380.1,1.25
2024-11-07 11:20:00,-8.300000000000011,-8.550000000000011,-8.899999999999977,10075,-347.44999999998254,22425,-358675.0,Y,-450.0,N,419.3,411.0,429.25,403.4,1.3100000000000023
2024-11-07 11:25:00,-15.149999999999977,-15.149999999999977,-15.350000000000023,6625,-289.6499999999942,14250,-1700.0,YES,3425.0,N,410.15,395.0,415.0,391.65,0.34000000000003183
2024-11-07 11:30:00,-7.5,-6.800000000000011,-6.75,8925,-209.7999999999738,10475,150.0,N,-625.0,YES,395.0,387.5,395.0,381.0,0.3299999999999841
2024-11-07 11:35:00,-4.800000000000011,-3.3999999999999773,-3.2000000000000455,23750,-243.74999999998545,20075,-3100.0,Y,3000.0,N,387.5,382.7,397.5,382.0,0.3499999999999659
2024-11-07 11:40:00,5.849999999999966,7.300000000000011,7.099999999999966,15375,-234.40000000000873,19925,3400.0,N,-1700.0,YES,383.8,389.65,390.0,377.35,0.22000000000002728
2024-11-07 11:45:00,4.75,5.150000000000034,5.099999999999966,875,-244.84999999997672,14200,-4650.0,Y,2850.0,N,389.65,394.4,400.2,387.45,0.1500000000000341
2024-11-07 11:50:00,1.6000000000000227,0.5999999999999659,0.5,7575,-214.29999999998836,19475,1200.0,N,-2025.0,YES,394.4,396.0,396.35,387.0,0.15999999999996817
2024-11-07 11:55:00,0.0,-0.05000000000001137,-0.10000000000002274,37700,-225.9499999999971,13900,-125.0,Y,-450.0,N,396.0,396.0,403.0,392.8,0.2599999999999909
2024-11-07 12:00:00,9.800000000000011,9.400000000000034,9.599999999999966,3400,-224.94999999998254,12825,-1125.0,Y,2150.0,N,396.0,405.8,405.8,390.6,0.32000000000005
2024-11-07 12:05:00,-8.949999999999989,-7.400000000000034,-7.449999999999989,4975,-266.1499999999942,21450,-56850.0,Y,-2900.0,YES,405.8,396.85,411.25,396.8,0.2899999999999636
2024-11-07 12:10:00,5.649999999999977,5.5,5.25,13575,-213.39999999999418,11200,1150.0,YES,1850.0,N,396.85,402.5,403.0,393.1,0.25
2024-11-07 12:15:00,1.75,3.8999999999999773,3.8500000000000227,22300,-243.74999999998545,22100,-360675.0,Y,-1400.0,YES,402.5,404.25,407.7,399.3,0.18000000000000682
2024-11-07 12:20:00,-17.55000000000001,-16.849999999999966,-17.549999999999955,4850,-221.35000000000582,18075,-200975.0,YES,3625.0,N,407.0,389.45,409.15,388.55,0.7699999999999818
2024-11-07 12:25:00,0.19999999999998863,-1.1000000000000227,-1.1999999999999886,8325,-248.75,16325,3425.0,YES,-5325.0,YES,389.0,389.2,390.0,380.0,0.32000000000005
2024-11-07 12:30:00,4.25,4.4500000000000455,4.25,7875,-210.3000000000029,32200,-2175.0,Y,3450.0,N,389.2,393.45,393.8,384.0,0.23999999999995225
2024-11-07 12:35:00,-5.699999999999989,-6.25,-6.25,11075,-215.0,8650,925.0,N,-1125.0,YES,390.3,384.6,394.35,382.6,0.10000000000002274
2024-11-07 12:40:00,-7.600000000000023,-6.100000000000023,-6.050000000000011,7550,-214.70000000001164,13775,600.0,Y,-1550.0,YES,384.6,377.0,384.6,374.2,0.21999999999997044
2024-11-07 12:45:00,1.1000000000000227,1.349999999999966,1.150000000000034,725,-192.89999999996508,9975,-2425.0,Y,-3200.0,YES,377.0,378.1,382.55,376.0,0.060000000000002274
2024-11-07 12:50:00,8.649999999999977,7.600000000000023,7.800000000000011,-51600,-224.25,22275,1650.0,N,350.0,N,377.6,386.25,387.1,371.0,0.8199999999999932
2024-11-07 12:55:00,-1.8500000000000227,-0.4000000000000341,-0.35000000000002274,12025,-175.64999999999418,17925,1000.0,Y,-1475.0,YES,386.25,384.4,388.6,381.6,0.18000000000000682
2024-11-07 13:00:00,2.900000000000034,2.25,2.599999999999966,6250,-194.0,19675,1825.0,N,-50.0,N,384.4,387.3,390.0,380.85,0.11000000000001364
2024-11-07 13:05:00,-1.6000000000000227,-1.400000000000034,-1.5,4100,-204.64999999999418,25925,-725.0,Y,-875.0,YES,387.3,385.7,390.65,382.85,0.339999999999975
2024-11-07 13:10:00,-6.0,-6.800000000000011,-6.949999999999989,19250,-202.29999999998836,22800,1375.0,N,-975.0,YES,385.7,379.7,385.7,378.0,0.37000000000000455
2024-11-07 13:15:00,12.75,12.25,12.399999999999977,1825,-262.5,20050,3175.0,N,-2175.0,YES,379.7,392.45,394.95,378.1,0.339999999999975
2024-11-07 13:20:00,-0.8500000000000227,-0.5999999999999659,-0.9499999999999886,4000,-210.70000000001164,29125,-91150.0,Y,1100.0,N,392.85,392.0,396.0,389.8,0.22000000000002728
2024-11-07 13:25:00,5.850000000000023,4.699999999999989,5.199999999999989,8525,-241.60000000000582,18625,-400.0,YES,-500.0,YES,392.0,397.85,398.55,389.15,0.1400000000000432
2024-11-07 13:30:00,-2.8500000000000227,-1.6000000000000227,-2.4499999999999886,21050,-209.79999999998836,13725,-200025.0,Y,1775.0,N,397.85,395.0,398.75,393.2,0.19999999999998863
2024-11-07 13:35:00,0.5500000000000114,1.0500000000000114,0.5500000000000114,10850,-203.34999999999127,11025,-1325.0,YES,2625.0,N,395.0,395.55,397.35,392.1,0.06999999999999318
2024-11-07 13:40:00,15.899999999999977,14.599999999999966,15.100000000000023,17650,-199.39999999999418,12900,-241075.0,Y,1525.0,YES,395.55,411.45,411.45,394.9,0.6399999999999864
2024-11-07 13:45:00,-10.350000000000023,-8.850000000000023,-9.099999999999966,9200,-237.25,15925,-295600.0,Y,1500.0,YES,410.35,400.0,410.35,398.0,0.2300000000000182
2024-11-07 13:50:00,-7.25,-7.149999999999977,-7.0,25050,-221.69999999998254,16325,-560125.0,Y,-1150.0,YES,400.0,392.75,401.65,392.75,0.18000000000000682
2024-11-07 13:55:00,2.7000000000000455,1.8000000000000114,1.2999999999999545,3850,-220.24999999998545,17750,-15850.0,YES,5625.0,N,392.9,395.6,397.25,389.0,0.4800000000000182
