last_traded_time,,ltp,bid_price,ask_price,bid_ask_pr_diff_1,bid_size1,ask_size1,volume_1,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_1,low_1,open_1,close_1,ltp,bid_price,ask_price,bid_ask_pr_diff_2,bid_size2,ask_size2,volume_2,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_2,low_2,open_2,close_2,ltp,bid_price,ask_price,bid_ask_pr_diff_3,bid_size3,ask_size3,volume_3,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_3,low_3,open_3,close_3,ltp,bid_price,ask_price,bid_ask_pr_diff_4,bid_size4,ask_size4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_4,low_4,open_4,close_4,open,high,low,close,final_signal,result
03-03-2025 09:50,FALSE,-26.5,-26.3,-26.15,0.15,137700,79650,216675,31950,N,14475,N,22228,22200.1,22226.6,22200.1,-9.4,-9.55,-9.55,7.11E-15,354600,421575,3581925,39375,Y,18300,N,62.2,52.5,62.2,52.8,17.35,15.85,15.95,0.1,101475,131475,1237050,7800,YES,-63825,Y,250.7,233.35,233.35,250.7,1.2,1.15,-4.9,6.05,7620,5520,1860,25770,N,-19770,N,48259.8,48240.5,48244.45,48245.65,22088.4,22088.4,22052.5,22053.65,no signal,win
03-03-2025 09:55,FALSE,5.4,5.15,5.4,0.25,138450,120750,134250,68175,Y,54150,YES,22214.9,22199.8,22200.95,22206.35,0.85,0.75,0.8,0.05,418575,511725,2762175,49575,N,90825,YES,54.95,50.4,52.35,53.2,-5.95,-5.3,-5.05,0.25,105075,116925,699075,-27975,Y,30750,Y,251.25,239.1,250.35,244.4,-24.3,-19.1,-23.3,4.2,44490,33930,20760,-3210,N,30330,N,48280,48225.6,48260,48235.7,22053.8,22075.7,22050.55,22067.5,BUY,reverse
03-03-2025 10:00,FALSE,-26.6,-25.9,-26.9,1,220725,97200,185325,-49050,YES,18000,N,22212.25,22171,22206.6,22180,-3.75,-3.45,-3.5,0.05,497550,475200,3369525,1650,YES,-21825,Y,54.4,46.45,53.15,49.4,23.3,22.75,22.8,0.05,93825,95100,886800,-29175,Y,-12075,YES,277.35,241,244.35,267.65,-71.7,-81.25,-75.75,5.5,210870,39630,66300,-12000,N,810,N,48249.8,48126.15,48240.95,48169.25,22068.1,22072.2,22029.65,22041.2,no signal,exc_loss
03-03-2025 10:05,FALSE,-14,-15.8,-16.85,1.05,197025,159225,162300,-12525,Y,-1350,Y,22184,22158,22180,22166,-1.6,-1.8,-1.8,0,593475,627825,2172375,-3300,YES,73275,YES,50.05,45.55,49.2,47.6,7.2,7.4,7.55,0.15,126750,102825,495525,-16800,N,-10575,N,284.2,265,268.4,275.6,-4.8,-3.3,2.1,5.4,74790,44520,22050,22710,N,-21660,N,48190.2,48150,48161.5,48156.7,22040.75,22043.45,22012.25,22018.8,no signal,reverse
03-03-2025 10:10,FALSE,12.15,10.5,11.8,1.3,111075,99300,135600,47925,Y,97725,YES,22187.35,22162.35,22165.05,22177.2,2.2,2.7,2.8,0.1,620625,707625,1932375,33225,Y,3375,N,51.95,46.75,47,49.2,-9.3,-11.45,-11.45,0,124800,180375,481500,-14100,N,24300,Y,280.85,261,277.3,268,22.9,15.65,31.2,15.55,60360,41850,33690,1740,N,10260,N,48225,48116.7,48156.7,48179.6,22018.85,22035.6,22013.45,22024.9,BUY,win
03-03-2025 10:15,FALSE,39.15,38.45,38.15,0.3,169425,79125,154050,10275,N,22650,N,22216.35,22174.35,22177.2,22216.35,6.7,7.1,7.15,0.05,503625,647250,1809900,119025,Y,-99150,Y,56.6,49.25,49.3,56,-29.7,-29.5,-29.95,0.45,156825,139950,434100,-15000,Y,8700,N,268,236.7,268,238.3,108,126.65,126.95,0.3,67380,39570,28110,-1260,N,-1260,N,48317.7,48166.45,48188.2,48296.2,22025.55,22061.95,22022.8,22058.45,BUY,exc_loss
03-03-2025 10:20,FALSE,-19,-17,-15.85,1.15,129825,69525,177225,-41775,YES,31800,N,22218,22191.15,22214,22195,-5.05,-4.6,-4.65,0.05,580875,625875,2127300,-84525,YES,85575,YES,57.1,50.15,55.75,50.7,13.95,12.5,12.5,0,119775,114675,623175,17475,YES,14250,N,256.5,233,240.05,254,-71.5,-70,-71.45,1.45,46320,42180,26910,30510,N,-11730,N,48304.95,48217.65,48304.95,48233.45,22056.2,22061.5,22035,22051.35,SELL,im_loss
03-03-2025 10:25,FALSE,43.4,47.9,48.5,0.6,117300,109275,137400,-58800,YES,-18900,Y,22250.5,22190.35,22196.6,22240,12.9,13.45,13.5,0.05,698775,732375,3224100,13800,Y,-154050,Y,66.6,50.1,51.05,63.95,-34.4,-35.2,-35.25,0.05,104400,109125,563625,-33525,Y,7275,N,258.7,213.8,254.15,219.75,105.95,100.7,104.8,4.1,36780,19830,29400,-23190,N,4140,N,48347.6,48211.65,48233.45,48339.4,22050.7,22104.2,22045.2,22100.2,BUY,reverse
03-03-2025 10:30,FALSE,-27.85,-25,-28.3,3.3,167475,79725,140700,3825,Y,65775,YES,22246,22199.15,22242.85,22215,-9,-8.7,-8.75,0.05,563100,609000,2897400,29550,N,148950,YES,63.65,51.4,62.85,53.85,19.05,17.65,17.85,0.2,119775,109275,533550,32775,YES,-6600,YES,247.35,217.9,220.55,239.6,-76.95,-68.3,-57.1,11.2,36030,25560,16350,2190,N,9780,N,48336.8,48250,48330,48253.05,22097.15,22100.9,22052.1,22059.35,SELL,open_win
03-03-2025 10:35,TRUE,15.45,15,14.55,0.45,104400,63600,75075,15675,N,1725,Y,22235,22200,22215,22230.45,4,4.45,4.45,0,625725,543225,1613925,17175,N,-9525,Y,61,51.2,53.9,57.9,-9.3,-9.5,-9.55,0.05,144975,150450,364425,-7875,Y,8175,N,249.65,223.9,239.15,229.85,48.7,45.25,30.5,14.75,27960,16830,13800,-28980,N,9420,N,48312.55,48227.7,48253.05,48301.75,22059.4,22081.45,22046.75,22075.4,BUY,reverse
