last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,,open,close,,
21-05-2025 10:05,34.6,161700,178,158250,272100,34.1,33.1,-113850,-823.1,43425,-52875,YES,-22275,Y,24831.11,24889.9,24924.5,24924.5,24881.1,21-05-2025 10:05,26.1,2378250,249,207450,196875,26.1,26.15,10575,-225,55200,-41250,YES,-158925,Y,214.05,240.15,242.3,210.15,163.35,21-05-2025 10:05,-7.2,5567925,266,652200,826125,-7.45,-7.45,-173925,-69.45,83700,-98775,Y,16500,N,66.45,59.25,68.95,58,87.06,21-05-2025 10:05,24833.15,24861.85,24827.4,24860.15
21-05-2025 10:10,12,177300,181,216525,148125,11.5,10.5,68400,-776.8,41325,14325,Y,14550,YES,24838.96,24923,24935,24938,24915.1,21-05-2025 10:10,9.9,1509900,256,189300,188850,9.75,9.35,450,-241.9,59400,-28950,N,-37725,YES,240.85,250.75,253.3,234,165.32,21-05-2025 10:10,-0.25,3649950,254,669150,806250,-0.35,-0.3,-137100,-61.75,78225,63300,YES,38250,Y,58.65,58.4,60.55,57.1,86,21-05-2025 10:10,24860.05,24870.2,24852.25,24869.2
21-05-2025 10:15,25.9,298800,234,191400,206175,27.4,27,-14775,-980.7,50850,11400,N,52050,YES,24853.11,24935,24960.9,24974.7,24934.7,21-05-2025 10:15,23.65,1771425,262,168225,196725,22.75,22.7,-28500,-255.9,67275,-70950,YES,-21900,N,251.4,275.05,283.9,251.05,168.23,21-05-2025 10:15,-5.75,5568300,269,831150,921750,-5.85,-5.8,-90600,-58.55,75825,-99975,Y,-27375,YES,58.4,52.65,58.4,51.6,84.21,21-05-2025 10:15,24869.85,24905.6,24869.85,24892.8
21-05-2025 10:20,9,194175,160,244650,132975,12,10.8,111675,-747.9,68550,-33225,YES,22950,N,24861.94,24961,24970,24983,24960,21-05-2025 10:20,16,956100,259,167700,138600,14.55,14.6,29100,-272.85,54225,-62925,N,-27075,Y,274,290,295.1,274,169.95,21-05-2025 10:20,-1.7,4350525,248,895875,912150,-1.8,-1.75,-16275,-61.6,79725,-157650,Y,46350,Y,52.75,51.05,53.15,49.55,82.88,21-05-2025 10:20,24893.1,24911.9,24892.9,24905.95
21-05-2025 10:25,-5,100950,153,150825,105825,-10.7,-11.4,45000,-872.4,46275,11250,Y,-26925,Y,24865.98,24970,24965,24985,24951,21-05-2025 10:25,-12.6,949950,267,156825,125925,-12.95,-12.75,30900,-276.9,56100,-50625,N,36675,YES,288.9,276.3,297,265,171.61,21-05-2025 10:25,1.9,3431550,249,925650,995925,2,2,-70275,-62.1,87975,164025,YES,12450,N,51.4,53.3,54.05,49.65,81.89,21-05-2025 10:25,24906.35,24914.2,24884,24893.65
21-05-2025 10:30,9,99225,139,213000,112500,12.5,7.8,100500,-708.6,62325,17850,N,3225,YES,24869.67,24965,24974,24977.9,24962.1,21-05-2025 10:30,10,405750,253,124800,120600,10,9.7,4200,-271.85,52125,2475,Y,-3525,Y,277.15,287.15,287.45,275.9,172.29,21-05-2025 10:30,-3.1,1986975,262,932625,938625,-2.95,-2.9,-6000,-55.15,87000,2250,Y,164025,Y,53.2,50.1,53.3,50.05,81.35,21-05-2025 10:30,24893.6,24905.05,24892.85,24904.25
21-05-2025 10:35,34.7,218250,141,90000,254850,33.3,31.5,-164850,-962.4,44700,-2025,YES,-44700,Y,24878.97,24973.8,25008.5,25018.9,24973.8,21-05-2025 10:35,18.5,1128750,247,178500,147525,17.75,18.15,30975,-264.1,60900,27375,Y,-18450,Y,288.15,306.65,317.9,286.6,174.54,21-05-2025 10:35,-8.85,7963350,254,1280100,1044825,-8.85,-8.9,235275,-51.7,80550,-152925,Y,-117750,YES,50.2,41.35,50.2,37.85,78.73,21-05-2025 10:35,24904.3,24946.2,24904.3,24933.35
21-05-2025 10:40,-17.9,86625,120,85650,83850,-15.3,-22.9,1800,-600.1,32250,8400,N,13725,YES,24882.44,25005.9,24988,25014,24980.2,21-05-2025 10:40,-13.2,589200,259,188850,165150,-13.25,-13.2,23700,-256.7,58200,-32850,YES,7125,YES,306.45,293.25,315.7,289.3,175.68,21-05-2025 10:40,1,3320025,259,1228425,1418175,1.1,1,-189750,-51.7,76950,27300,YES,-83550,Y,41.3,42.3,43.5,39.35,77.71,21-05-2025 10:40,24933.35,24943.95,24914.1,24916.1
21-05-2025 10:45,7.9,76275,111,176175,84900,1.7,0.1,91275,-815.2,46350,23550,N,-28875,Y,24884.88,24985.1,24993,24995.9,24976,21-05-2025 10:45,2.8,474825,248,165000,258000,2.65,2.3,-93000,-240.6,52500,23025,Y,1275,Y,293.1,295.9,297,281.35,176.48,21-05-2025 10:45,0.2,2781075,258,1072725,1166175,-0.05,-0.05,-93450,-52.8,74625,52350,YES,47475,Y,42.4,42.6,45.4,42.4,76.97,21-05-2025 10:45,24916.2,24923.4,24905.95,24923.15
21-05-2025 10:50,-19.5,58650,104,112350,117825,-14.8,-18.9,-5475,-963.1,66675,9075,N,37875,YES,24886.73,24993,24973.5,25000,24968.9,21-05-2025 10:50,-13,490500,254,135975,157575,-14.75,-15,-21600,-262.85,60375,-7725,YES,16125,N,296.2,283.2,302.15,277.2,177.32,21-05-2025 10:50,3.85,2452575,254,1174125,1211325,3.7,3.65,-37200,-53.9,71700,90750,YES,-54150,YES,42.35,46.2,47.2,41.3,76.36,21-05-2025 10:50,24923.55,24936.05,24912.9,24915.85
21-05-2025 10:55,-5.1,41475,91,78525,41100,-4.9,-1.4,37425,-941.4,31875,-5550,YES,-15900,Y,24887.81,24975,24969.9,24982.1,24965,21-05-2025 10:55,-7.15,371550,250,135450,136275,-8.35,-8.35,-825,-253.7,54000,375,N,15975,N,282.5,275.35,290.1,271.7,177.87,21-05-2025 10:55,0.4,2403525,270,1069950,1334850,0.1,0.15,-264900,-60.9,79500,82500,N,58500,Y,45.85,46.25,47.05,43.15,75.75,21-05-2025 10:55,24915.85,24928.65,24909.05,24914.8
21-05-2025 11:00,-32.5,118875,137,82500,113025,-32.5,-37,-30525,-888.6,40950,-9000,YES,8100,YES,24890.22,24969.9,24937.4,24975.9,24937.4,21-05-2025 11:00,-26.35,696000,250,176400,143850,-27.85,-27.95,32550,-262.55,57450,-40350,YES,1725,Y,275.7,249.35,279.65,246.65,178.72,21-05-2025 11:00,4.95,4160850,263,1124400,1460775,5.35,5.4,-336375,-60.3,73875,80475,N,-51300,YES,46,50.95,51.65,44.75,74.89,21-05-2025 11:00,24915.05,24921.45,24878.8,24878.8
21-05-2025 11:05,24.9,144975,212,172050,145425,25.4,29,26625,-999.5,81375,-34125,YES,22875,N,24891.94,24937.4,24962.3,24967.3,24915.4,21-05-2025 11:05,17,1265325,271,161625,209325,18.85,19.1,-47700,-246.7,59700,2100,Y,-38400,Y,248.85,265.85,268.6,231,179.94,21-05-2025 11:05,-6.25,7917900,266,1030350,1156800,-6.8,-6.7,-126450,-63.6,76275,-125475,Y,79725,Y,51.05,44.8,56.75,43.4,73.57,21-05-2025 11:05,24878.6,24903.4,24858.05,24902.6
21-05-2025 11:10,-9.4,58875,134,107775,118200,-12.9,-12.6,-10425,-857.7,38550,8100,Y,25725,N,24893.14,24964.4,24955,24981.7,24946.5,21-05-2025 11:10,-10.9,841050,240,144975,142200,-11.1,-11.1,2775,-246,53550,-14475,YES,17700,YES,266.95,256.05,282.2,252.05,180.96,21-05-2025 11:10,1.25,4110150,252,1123875,1401150,0.85,0.9,-277275,-56,89175,125250,YES,56775,N,44.95,46.2,48.15,40.5,72.75,21-05-2025 11:10,24902.6,24917,24894.55,24896.95
21-05-2025 11:15,9.8,45450,92,71850,109500,17,15,-37650,-1008.9,40800,6450,N,-14550,Y,24893.96,24955,24964.8,24969,24947.2,21-05-2025 11:15,11.5,366075,228,169425,124500,10.75,10.65,44925,-238.7,62475,37200,Y,-5475,Y,254.75,266.25,269.75,252.85,181.36,21-05-2025 11:15,-1.2,2347950,253,1327875,1111350,-1.15,-1.1,216525,-54.35,88575,90975,N,52650,N,46,44.8,47.55,43.45,72.32,21-05-2025 11:15,24896.3,24912.55,24893.8,24909.4
21-05-2025 11:20,-35.7,38550,93,60825,59925,-34.9,-36.7,900,-827.1,51375,-5400,YES,11100,YES,24894.53,24964.8,24929.1,24972,24929,21-05-2025 11:20,-24.9,720150,222,154500,171300,-27.6,-27.65,-16800,-225.75,57150,-37200,YES,37650,YES,265.85,240.95,275.15,237.35,182.1,21-05-2025 11:20,7.65,3512100,237,1192350,1254375,8.05,8.05,-62025,-53.9,86175,-65100,Y,-140175,YES,44.75,52.4,53.8,43.45,71.81,21-05-2025 11:20,24909.45,24914.4,24869,24869.9
21-05-2025 11:25,9.4,43875,114,78300,90225,6,8.8,-11925,-1091.1,42525,7125,N,12075,N,24895,24929.1,24938.5,24950.9,24925.8,21-05-2025 11:25,4.1,412800,226,129000,152325,5.4,5.3,-23325,-210.2,53700,4275,Y,6825,N,240.5,244.6,253.9,239.5,182.47,21-05-2025 11:25,-1,3196650,238,1143600,1148775,-1.4,-1.35,-5175,-63.65,72075,67800,YES,19425,Y,52.55,51.55,53.85,47.85,71.35,21-05-2025 11:25,24869.75,24886.15,24865.8,24871
21-05-2025 11:30,-23.5,76575,139,81150,65850,-20.4,-24.1,15300,-1374.8,31125,-42000,YES,19125,N,24895.52,24938.5,24915,24944.8,24906,21-05-2025 11:30,-17.3,755025,216,152025,133125,-18.35,-18.3,18900,-238.7,51000,-22950,YES,14850,N,245.3,228,250.95,223.45,183,21-05-2025 11:30,5.95,5013375,236,1211550,1013400,6.1,6.05,198150,-67.1,80475,65325,N,-146700,YES,51.25,57.2,60.05,49.85,70.86,21-05-2025 11:30,24871.3,24875.2,24845.8,24851.55
21-05-2025 11:35,-0.9,104250,172,83775,82800,0.4,3,975,-1317.1,42300,8550,Y,975,Y,24895.82,24915,24914.1,24923.8,24890.3,21-05-2025 11:35,0.05,1031475,230,123150,123975,0.3,0.35,-825,-224.6,49050,51975,Y,17325,N,227.95,228,230.85,210.45,183.49,21-05-2025 11:35,-2.35,6343575,236,896400,794025,-2.25,-2.3,102375,-63,76350,-78675,Y,61650,Y,57.35,55,63.05,53.2,70.37,21-05-2025 11:35,24851.65,24866.45,24833.6,24863.5
21-05-2025 11:40,-6.1,49725,127,85800,88350,-10,-13,-2550,-1043.6,33375,12075,N,-40425,Y,24896.11,24915.1,24909,24934.5,24901.3,21-05-2025 11:40,-10.6,611250,225,125400,140850,-8.75,-8.7,-15450,-240.85,58725,-26475,YES,675,Y,229,218.4,238,218.25,183.89,21-05-2025 11:40,2.05,3415650,260,996000,1277175,1.8,1.8,-281175,-69.5,77775,-51825,YES,23775,N,55.1,57.15,57.5,49.9,70.03,21-05-2025 11:40,24863.5,24878.85,24852.3,24853.05
21-05-2025 11:45,-31,110025,158,282750,103875,-29,-24.7,178875,-1061.4,43425,-8850,YES,-3075,YES,24895.8,24909,24878,24909,24869.3,21-05-2025 11:45,-25.75,1271925,266,154425,163125,-25.9,-26.15,-8700,-222.15,63150,-54225,YES,29175,YES,220,194.25,222,191.4,184.22,21-05-2025 11:45,6.65,6959625,255,902700,942000,6.75,6.75,-39300,-79,81825,204750,YES,-179100,YES,57,63.65,66.45,55.7,69.73,21-05-2025 11:45,24853.15,24854.85,24819,24823.7
21-05-2025 11:50,1.5,94875,178,216525,203475,0.8,4.1,13050,-1197.6,45150,4275,N,25275,YES,24895.49,24876,24877.5,24896.8,24862,21-05-2025 11:50,3.35,1027500,266,154500,170325,2.4,2.3,-15825,-198.4,55350,44025,Y,18150,N,195,198.35,204.4,186.4,184.38,21-05-2025 11:50,-1.95,5750025,275,844950,995250,-1.55,-1.55,-150300,-70.1,74100,-54075,Y,15600,Y,63.65,61.7,67.65,55.75,69.46,21-05-2025 11:50,24823.6,24834.3,24812.4,24826.85
21-05-2025 11:55,5.5,49950,108,208350,176325,4,1.2,32025,-791.9,34650,9000,N,5925,N,24895.36,24877.5,24883,24894,24877.3,21-05-2025 11:55,2.3,563250,240,171075,162375,2.2,2.3,8700,-184.35,57750,8100,N,-3375,Y,197.15,199.45,206,195.7,184.51,21-05-2025 11:55,-2,2919150,259,960450,864075,-1.65,-1.7,96375,-66.6,73275,57300,YES,101925,Y,61.2,59.2,61.45,57.45,69.31,21-05-2025 11:55,24826.7,24834.8,24825.4,24827.85
21-05-2025 12:00,-48,162825,184,468150,86250,-48,-47.4,381900,-976.5,45750,-33825,YES,-5625,Y,24893.74,24883,24835,24885.9,24833.3,21-05-2025 12:00,-37.35,1994775,259,217875,184650,-37.85,-37.9,33225,-183.5,55725,-53250,YES,79200,YES,199.45,162.1,202,159.4,184.29,21-05-2025 12:00,12.95,9069225,266,758475,701775,12.95,12.9,56700,-80.2,72300,218775,YES,-419925,YES,59.05,72,73.05,58.55,69.25,21-05-2025 12:00,24828.55,24829.35,24780.45,24781.55
21-05-2025 12:05,-4,81525,147,291075,114975,-3,-3.7,176100,-933.3,44550,54150,Y,-19725,Y,24892.84,24835,24831,24857.9,24831,21-05-2025 12:05,2.9,1570050,270,200850,249150,2.7,2.6,-48300,-164.6,73575,40050,Y,11625,N,161.2,164.1,175.3,160.2,183.96,21-05-2025 12:05,6.2,8058075,273,712950,732000,6.6,6.6,-19050,-86.45,74250,-151500,Y,-203775,Y,72.1,78.3,79.55,66.8,69.36,21-05-2025 12:05,24780.15,24794.4,24777.35,24778.55
21-05-2025 12:10,-50.7,351225,193,243375,112050,-54.5,-56.3,131325,-1177.4,53400,-89550,YES,9825,YES,24885.86,24830.9,24780.2,24836.9,24771,21-05-2025 12:10,-24.35,3492375,267,218325,228525,-25.05,-25.3,-10200,-150.3,60000,67125,Y,121200,YES,164.95,140.6,168.5,136.95,182.49,21-05-2025 12:10,28.3,18198075,261,453750,477750,28.4,28.4,-24000,-118.45,67125,46500,YES,-507375,YES,77.8,106.1,112.35,75.3,71.65,21-05-2025 12:10,24779.15,24781,24727.1,24733.45
21-05-2025 12:15,-22.3,443100,215,193125,183900,-23.2,-18,9225,-1372.3,59400,-15750,Y,-2475,Y,24874.57,24782.3,24760,24784,24723.6,21-05-2025 12:15,-14.6,7387500,214,218400,258975,-14.95,-14.95,-40575,-120.25,66000,166125,Y,165750,YES,140.3,125.7,141,114.8,177.85,21-05-2025 12:15,13.25,17628450,213,373575,278400,13.05,13,95175,-119.15,56175,-125925,Y,16800,Y,104.55,117.8,137.6,104.55,75.41,21-05-2025 12:15,24735.45,24736.55,24685.35,24713.25
21-05-2025 12:20,50.6,190125,196,157350,116550,52,48.4,40800,-1461.9,44400,43425,Y,21300,YES,24872.02,24756,24806.6,24827.9,24755,21-05-2025 12:20,25.85,7217025,203,168600,193350,26.1,26.2,-24750,-151.3,53475,12525,N,-75450,Y,123.3,149.15,157.7,123.3,175.51,21-05-2025 12:20,-29.75,10682550,201,319800,348750,-29.45,-29.5,-28950,-107.8,63225,41100,YES,135450,Y,120.8,91.05,120.95,81.3,76.27,21-05-2025 12:20,24713.7,24767.4,24710.15,24760.25
21-05-2025 12:25,-17,122550,185,125475,126750,-10.9,-17.5,-1275,-1006.3,40650,-27000,YES,20550,N,24870.16,24807.5,24790.5,24807.9,24758,21-05-2025 12:25,-3.4,4244100,211,226200,239700,-4.3,-4.15,-13500,-147.85,60525,41850,Y,-23550,YES,148,144.6,153.45,122,174.02,21-05-2025 12:25,6.75,10043325,222,431250,449775,6.45,6.45,-18525,-115.15,60600,-111375,Y,195900,Y,92.15,98.9,114.5,89,77.26,21-05-2025 12:25,24760.3,24762,24717,24743.05
21-05-2025 12:30,19.5,125250,152,72600,210675,20,23.7,-138075,-1290.9,47025,9600,Y,-26400,Y,24868.79,24790.5,24810,24828,24790,21-05-2025 12:30,10.1,3694575,248,218175,278775,10.3,10.3,-60600,-161.35,58950,30300,N,-5175,N,144.2,154.3,167.05,144.1,173.37,21-05-2025 12:30,-6.55,6219900,254,371775,384375,-6.25,-6.3,-12600,-91.05,62550,5700,YES,130800,N,98.95,92.4,98.95,83.1,77.59,21-05-2025 12:30,24744.15,24775,24742.5,24766.55
21-05-2025 12:35,35.6,118725,173,111075,133500,35.6,36.1,-22425,-1075.5,54975,26550,N,-26925,Y,24868.28,24810,24845.6,24865,24809,21-05-2025 12:35,25.55,4691925,248,182550,224025,25.05,25.1,-41475,-185.75,58425,-79875,YES,-208200,Y,153.45,179,192.35,152.3,173.45,21-05-2025 12:35,-13.6,7601100,247,415650,451500,-13.35,-13.4,-35850,-91.65,65400,-127725,Y,-11775,YES,93.6,80,93.7,71.65,77.67,21-05-2025 12:35,24766.15,24808.5,24763,24795.7
21-05-2025 12:40,-17.6,46200,138,62775,105300,-15.1,-15.9,-42525,-877.1,54000,4425,N,10950,YES,24868.04,24845.6,24828,24850.5,24820,21-05-2025 12:40,-11.25,2023950,281,168900,194400,-11.8,-11.65,-25500,-187.75,55275,15675,Y,125550,YES,178.8,167.55,185,164.05,173.48,21-05-2025 12:40,8.3,3987000,281,604500,573750,9,9.1,30750,-89.9,68925,101400,YES,-31950,YES,80.4,88.7,90.3,79,77.77,21-05-2025 12:40,24796.1,24803.4,24776.75,24780.3
21-05-2025 12:45,-9.6,70275,116,62775,68325,-9.8,-12.3,-5550,-1222.5,34125,-11100,YES,-7425,Y,24867.39,24828,24818.4,24835,24794.1,21-05-2025 12:45,-7.1,2178750,256,186000,204975,-6.65,-6.9,-18975,-169.8,52050,10950,N,33225,N,168.3,161.2,172.7,147,173.23,21-05-2025 12:45,3.9,6239175,248,437250,400200,3.7,3.75,37050,-90.6,61725,31875,N,9525,Y,88.35,92.25,102.15,85.45,78.12,21-05-2025 12:45,24780.15,24785.55,24751.55,24771.7
21-05-2025 12:50,-27,55350,116,48675,98700,-29.4,-26.4,-50025,-1068.4,59175,-21225,YES,-25350,Y,24866.87,24818.9,24791.9,24823,24790,21-05-2025 12:50,-15.9,1671975,264,216900,211050,-16.1,-16.15,5850,-150.45,53400,-45600,YES,51375,N,160.7,144.8,165.2,143.2,172.98,21-05-2025 12:50,11.8,4862700,258,488400,431175,11.4,11.5,57225,-102.9,64800,46425,N,-188925,YES,92.5,104.3,105.35,89.6,78.42,21-05-2025 12:50,24773.2,24774.75,24737.3,24737.35
21-05-2025 12:55,44.5,39375,113,63000,75000,38.1,38.2,-12000,-1151.9,30150,27375,Y,33375,YES,24866.49,24787.5,24832,24837,24787.5,21-05-2025 12:55,20.85,2272875,271,251175,233325,20.4,20.55,17850,-168.65,62250,92625,Y,-79125,Y,145.25,166.1,170.25,145.2,172.7,21-05-2025 12:55,-18.45,6521550,268,471225,583275,-18.75,-18.85,-112050,-102.4,67500,-94200,Y,291975,Y,103.95,85.5,104,80.9,78.73,21-05-2025 12:55,24737.25,24780.4,24736.3,24776.6
21-05-2025 13:00,8,32625,93,70200,93375,9.2,6.3,-23175,-1026.3,34425,-3900,YES,-12450,Y,24866.3,24832,24840,24841,24821.2,21-05-2025 13:00,8.05,1516500,262,225975,186750,7.8,7.85,39225,-159.6,56025,3375,N,-32625,YES,166.5,174.55,175.65,162.15,172.66,21-05-2025 13:00,-0.2,3153750,252,444225,494475,-0.05,0,-50250,-79.2,56550,-22500,YES,42750,N,84.75,84.55,89.85,82.1,78.82,21-05-2025 13:00,24775.6,24790.05,24767.35,24789.2
21-05-2025 13:05,-9.1,46200,101,58950,90825,-9.2,-11,-31875,-1024.3,31575,21675,Y,-14550,Y,24866.1,24838,24828.9,24855.6,24822.6,21-05-2025 13:05,-4.5,2003925,263,177225,202350,-4.55,-4.65,-25125,-169.9,57750,-23625,YES,53175,YES,173.65,169.15,187.1,165.75,172.72,21-05-2025 13:05,3.4,4041000,270,569250,465000,3.25,3.2,104250,-90.4,69525,14250,YES,-46575,YES,84.55,87.95,90.4,77.75,78.91,21-05-2025 13:05,24789.25,24802.35,24778.15,24783.65
21-05-2025 13:10,13.7,31575,108,62250,107100,18.9,19.7,-44850,-1014.3,49725,-3225,YES,-3975,N,24865.97,24828.9,24842.6,24849.9,24824.9,21-05-2025 13:10,12.55,1439925,241,205725,218700,12.15,12.15,-12975,-175.25,56625,10125,Y,-49350,Y,169.15,181.7,184.2,164.8,172.77,21-05-2025 13:10,-6.4,2747400,244,589350,513675,-6.2,-6.2,75675,-88.95,66150,7050,N,45225,Y,87.95,81.55,90.35,79.95,78.96,21-05-2025 13:10,24784.35,24804.15,24780.8,24800.05
21-05-2025 13:15,36.1,127800,129,103200,298275,36.4,36.4,-195075,-1035.1,59325,-29400,YES,-37650,Y,24866.05,24842.6,24878.7,24892.5,24837.1,21-05-2025 13:15,24.55,2911275,256,202950,199800,24.8,24.8,3150,-197.8,51150,-29925,YES,-150675,Y,180.55,205.1,210.9,173.95,173.2,21-05-2025 13:15,-16.3,5471925,262,576450,524475,-16.5,-16.6,51975,-80.25,63675,-223650,Y,90450,Y,81.55,65.25,83.6,62.5,78.85,21-05-2025 13:15,24800.2,24831.05,24793.2,24826.55
