last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,,open,close,,
21-05-2025 09:15,2.3,119700,68,56475,64050,1.1,-0.2,-7575,-589.3,24525,36750,N,22275,N,24772.19,24764,24766.3,24772,24751.7,21-05-2025 09:15,3,3233400,99,187725,203775,3.15,3.2,-16050,-57.3,30000,152025,N,126225,N,121.2,124.2,124.9,117,123.67,21-05-2025 09:15,2,8004150,103,190725,173625,1.8,1.85,17100,-63.25,30750,99450,N,204450,N,99.1,101.1,109.8,97.2,98.61,21-05-2025 09:15,24744.25,24766.15,24700.3,24723.15
21-05-2025 09:20,1.3,174375,157,169425,125100,2.5,1,44325,-960.3,64500,109275,Y,34875,N,24774.14,24767.9,24769.2,24796,24760,21-05-2025 09:20,-1.7,8424975,148,312525,261225,-0.7,-1.1,51300,-129.6,53400,8100,N,-1875,Y,125,123.3,138,121.05,126.83,21-05-2025 09:20,6.2,12989625,152,399900,442725,3.65,3.75,-42825,-95.55,60300,425475,YES,279375,Y,100.65,106.85,106.85,90.1,98.61,21-05-2025 09:20,24723.55,24753.4,24705.6,24706.9
21-05-2025 09:25,23.2,134175,164,83925,136200,25.1,22,-52275,-796.2,37650,34650,N,-35550,Y,24774.33,24766.8,24790,24798.9,24755.3,21-05-2025 09:25,17.5,7735650,160,276750,332025,18.75,18.75,-55275,-116.9,53400,152700,Y,-129375,Y,123.4,140.9,147.8,121.15,129.32,21-05-2025 09:25,-10.1,11491200,151,392250,472200,-9.6,-9.6,-79950,-94.8,61200,24000,N,401775,Y,107.45,97.35,111.4,92.7,99.72,21-05-2025 09:25,24706.35,24746.05,24692.65,24738.3
21-05-2025 09:30,35.9,198225,168,233550,107625,35.9,38.6,125925,-1036.2,42450,69000,Y,-48375,Y,24781.67,24790,24825.9,24833.1,24777.9,21-05-2025 09:30,28.3,9357975,182,277500,268125,29.4,29.5,9375,-146.4,54900,183075,Y,-166500,Y,139.9,168.2,169.65,134.95,136.2,21-05-2025 09:30,-12.75,10144575,186,575100,374925,-12.95,-12.9,200175,-94.55,73725,-377025,Y,488700,Y,98.6,85.85,102.95,83.7,98.44,21-05-2025 09:30,24738.2,24776.1,24722.5,24771.75
21-05-2025 09:35,33.1,229725,191,160575,378300,30.7,30,-217725,-1087.6,41550,14325,N,4350,YES,24793.73,24826.9,24860,24861.7,24815,21-05-2025 09:35,20.95,8211000,242,199350,267150,20.15,20.15,-67800,-166.6,61650,-62925,YES,-88725,YES,169.2,190.15,191,160.35,143.99,21-05-2025 09:35,-12.75,9324225,233,528150,394725,-12.3,-12.35,133425,-72.2,54150,-239400,YES,54675,N,85.7,72.95,90.8,72.95,95.87,21-05-2025 09:35,24772.6,24808.75,24765.15,24807.75
21-05-2025 09:40,-11,156900,212,181200,178050,-11.2,-12,3150,-1087.1,68625,13575,N,11100,N,24801.4,24860,24849,24870,24841.3,21-05-2025 09:40,-6,4839225,226,207525,225150,-6.25,-6.35,-17625,-197.2,52500,-179025,YES,83925,YES,188.7,182.7,199.55,177,148.85,21-05-2025 09:40,4.4,6048975,228,602475,714600,4.8,4.85,-112125,-81.75,75300,181875,YES,-55425,YES,73.55,77.95,79.9,71.1,94.01,21-05-2025 09:40,24807.95,24817.05,24791.65,24796.65
21-05-2025 09:45,35.2,180675,210,108450,304050,34.8,35,-195600,-1082.6,50325,-1875,YES,33525,YES,24810.98,24848.8,24884,24892,24846.6,21-05-2025 09:45,24.25,4709550,233,230925,237150,25.75,25.55,-6225,-222.45,60450,-66825,Y,-99900,Y,184.4,208.65,216.55,182.9,154.09,21-05-2025 09:45,-8.1,6268725,230,532275,689400,-8.35,-8.4,-157125,-76.65,78450,-53325,Y,72900,Y,77.65,69.55,78.8,66.45,92.06,21-05-2025 09:45,24795.7,24839.75,24794.3,24829.25
21-05-2025 09:50,14,122325,168,107475,205275,14.2,13,-97800,-934.2,39000,1125,N,13275,N,24816.72,24884,24898,24899.6,24870.5,21-05-2025 09:50,8.9,2510625,200,247425,174900,11.5,11.55,72525,-193.55,62700,-1575,Y,-69375,YES,210.1,219,224.3,201.55,156.89,21-05-2025 09:50,-1.35,4311300,214,662775,671100,-1.6,-1.65,-8325,-72.65,71100,49275,YES,97575,Y,69.4,68.05,73.8,66.55,90.86,21-05-2025 09:50,24830.65,24844.3,24818.6,24842.05
21-05-2025 09:55,-20.4,103050,200,114375,137700,-24.5,-23.6,-23325,-1211.3,45525,6375,N,19275,N,24820.37,24898,24877.6,24898.8,24862.1,21-05-2025 09:55,-14.5,2266575,234,221100,183825,-14.1,-14.4,37275,-217.5,53850,-31500,YES,47775,YES,219.5,205,222.6,194.4,158.9,21-05-2025 09:55,4.2,4352775,235,627375,1006500,3.65,3.75,-379125,-83.65,62700,-1725,Y,-47025,YES,67.9,72.1,75.5,67.15,89.88,21-05-2025 09:55,24841.5,24843.45,24807.25,24815.9
21-05-2025 10:00,12.5,99375,149,79800,170475,16.3,15,-90675,-964.6,30750,33600,Y,-12825,Y,24824.02,24877.5,24890,24900,24866,21-05-2025 10:00,11.15,1861875,249,170625,190800,11.05,11.1,-20175,-214.1,55500,40950,Y,24675,N,203.35,214.5,222.7,199.8,160.66,21-05-2025 10:00,-6.5,4704825,250,635100,804150,-6.9,-6.95,-169050,-74.6,68700,-48000,Y,172875,Y,72.95,66.45,74.6,63,88.69,21-05-2025 10:00,24815.85,24841.45,24811.25,24832.35
