last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-09-16 09:15:00,7.050000000000004,31034325.0,156,879450,791550,6.949999999999996,7.0,87900,-38.54999999999745,62250,4568175.0,N,450075.0,N,34.05,41.1,43.25,31.65,36.14
2025-09-16 09:20:00,6.899999999999999,34415175.0,245,1732275,1869600,7.300000000000004,7.349999999999994,-137325,-63.19999999999709,89100,605100.0,N,849975.0,YES,40.65,47.55,49.8,40.65,40.84
2025-09-16 09:25:00,-0.8999999999999986,22770825.0,363,1404225,1281600,-1.25,-1.2999999999999972,122625,-67.70000000000073,101550,373725.0,N,579825.0,N,47.55,46.65,49.4,42.8,42.04
2025-09-16 09:30:00,6.75,34023000.0,360,1273425,1430400,6.599999999999994,6.600000000000001,-156975,-69.70000000000437,88500,695475.0,Y,-990450.0,Y,46.6,53.35,56.8,43.35,44.16
2025-09-16 09:35:00,16.349999999999994,25720725.0,362,2099925,1293675,15.649999999999999,15.600000000000009,806250,-68.95000000000073,94350,217050.0,N,-1336275.0,Y,53.5,69.85,69.85,52.05,46.32
2025-09-16 09:40:00,-3.0999999999999943,25855950.0,345,812625,956100,-4.0,-4.0,-143475,-75.54999999999563,80175,-424125.0,YES,1050300.0,YES,71.05,67.95,71.8,58.15,48.98
2025-09-16 09:45:00,-3.950000000000003,10254450.0,348,905850,915600,-4.0,-4.050000000000004,-9750,-81.40000000000146,81225,48750.0,Y,592950.0,N,67.9,63.95,69.65,62.25,49.83
2025-09-16 09:50:00,16.950000000000003,24388425.0,347,940275,1030650,16.9,16.950000000000003,-90375,-93.60000000000582,84525,-290700.0,YES,-1320750.0,Y,64.0,80.95,83.85,62.75,52.49
2025-09-16 09:55:00,5.650000000000006,15093225.0,332,777675,1023750,5.650000000000006,5.75,-246075,-102.89999999999418,89025,-180000.0,Y,-38475.0,YES,81.6,87.25,88.4,76.3,54.35
2025-09-16 10:00:00,11.900000000000006,21018825.0,287,1034925,851775,12.25,12.199999999999989,183150,-121.85000000000582,73650,-1269150.0,YES,-119475.0,Y,87.6,99.5,106.65,84.3,57.87
2025-09-16 10:05:00,0.7999999999999972,6890625.0,322,587325,672825,0.7000000000000028,0.7000000000000028,-85500,-117.95000000000437,70050,-315375.0,Y,35175.0,YES,99.2,100.0,103.3,94.4,58.95
2025-09-16 10:10:00,-4.5,5153175.0,352,750150,606600,-4.3999999999999915,-4.299999999999997,143550,-117.35000000000582,69225,-77100.0,Y,236325.0,YES,99.4,94.9,100.6,93.5,59.68
2025-09-16 10:15:00,2.299999999999997,5298525.0,271,693750,1481025,2.4000000000000057,2.3499999999999943,-787275,-104.60000000000582,79800,152775.0,Y,-3375.0,Y,95.0,97.3,100.9,95.0,60.42
2025-09-16 10:20:00,-5.349999999999994,5986275.0,272,710025,601800,-4.75,-4.799999999999997,108225,-106.5,77850,-283050.0,YES,85500.0,YES,97.0,91.65,99.35,89.35,61.14
2025-09-16 10:25:00,2.0999999999999943,5205600.0,273,722025,849975,3.0,3.1000000000000085,-127950,-107.19999999999709,78975,29700.0,Y,-71925.0,Y,92.15,94.25,99.3,92.05,61.78
2025-09-16 10:30:00,2.299999999999997,3201450.0,232,574425,758850,2.200000000000003,2.200000000000003,-184425,-104.90000000000146,72600,135975.0,Y,68850.0,YES,94.25,96.55,98.25,93.4,62.17
2025-09-16 10:35:00,-0.5,3880950.0,274,631575,768450,-0.5500000000000114,-0.5499999999999972,-136875,-105.29999999999563,72150,-175425.0,YES,-6075.0,Y,96.4,95.9,101.65,94.6,62.63
2025-09-16 10:40:00,-7.700000000000003,5027025.0,282,662325,691725,-7.5,-7.5,-29400,-109.75,75450,-241950.0,YES,30675.0,YES,95.7,88.0,97.1,87.65,63.13
2025-09-16 10:45:00,-6.799999999999997,6201450.0,339,862425,632250,-6.849999999999994,-6.75,230175,-100.94999999999709,70575,6375.0,Y,76725.0,YES,87.85,81.05,88.65,81.0,63.57
2025-09-16 10:50:00,5.299999999999997,7423950.0,352,867150,1062675,5.599999999999994,5.599999999999994,-195525,-98.64999999999418,80850,480225.0,Y,-153225.0,Y,81.2,86.5,87.85,78.2,64.03
2025-09-16 10:55:00,-7.049999999999997,5301225.0,335,981075,742050,-6.75,-6.75,239025,-100.25,72075,-408750.0,YES,260175.0,YES,86.55,79.5,88.7,79.5,64.37
2025-09-16 11:00:00,-2.6499999999999915,5797950.0,340,813975,1210275,-2.75,-2.75,-396300,-91.59999999999854,78825,66375.0,Y,118575.0,N,79.6,76.95,82.65,76.0,64.64
2025-09-16 11:05:00,1.5999999999999943,5317575.0,310,703500,742650,1.4500000000000028,1.4499999999999886,-39150,-87.70000000000437,72150,96075.0,Y,107100.0,N,77.15,78.75,79.6,73.7,64.84
2025-09-16 11:10:00,7.300000000000011,7038750.0,291,707100,1027050,7.300000000000011,7.449999999999989,-319950,-101.84999999999854,75000,285075.0,Y,-408750.0,Y,78.85,86.15,86.5,78.85,65.22
2025-09-16 11:15:00,-4.599999999999994,5287350.0,241,693825,895725,-3.799999999999997,-3.8500000000000085,-201900,-97.34999999999854,69300,-270375.0,YES,266775.0,YES,86.3,81.7,86.5,79.0,65.5
2025-09-16 11:20:00,3.299999999999997,3544050.0,258,741150,1103475,3.6000000000000085,3.6500000000000057,-362325,-99.30000000000291,74400,139275.0,Y,-84600.0,Y,82.3,85.6,86.0,81.55,65.7
2025-09-16 11:25:00,-0.25,3903900.0,311,947550,1188525,0.04999999999999716,0.04999999999999716,-240975,-99.64999999999418,79800,-93600.0,YES,-81450.0,N,85.8,85.55,86.7,81.95,65.91
2025-09-16 11:30:00,6.0,7323300.0,285,1437600,1022400,6.25,6.349999999999994,415200,-99.09999999999854,76950,106125.0,Y,-157200.0,Y,85.9,91.9,92.9,82.9,66.39
2025-09-16 11:35:00,-2.5,4079325.0,210,1046625,650325,-2.3999999999999915,-2.3999999999999915,396300,-96.6000000000131,76350,-101400.0,YES,200175.0,YES,92.0,89.5,92.55,87.9,66.66
2025-09-16 11:40:00,-4.8500000000000085,3935250.0,257,1076625,596325,-4.150000000000006,-4.200000000000003,480300,-96.14999999999418,76800,-189000.0,YES,89175.0,N,89.65,84.8,90.65,84.35,66.88
2025-09-16 11:45:00,4.450000000000003,4091175.0,351,769800,808350,4.5,4.5,-38550,-104.90000000000873,86850,140400.0,Y,-150600.0,Y,85.0,89.45,90.0,84.0,67.12
2025-09-16 11:50:00,1.7999999999999972,3656175.0,321,863400,802425,1.6499999999999915,1.6000000000000085,60975,-100.10000000000582,78375,96075.0,N,-47025.0,YES,89.4,91.2,93.2,88.65,67.36
2025-09-16 11:55:00,-3.25,2969400.0,369,1001025,771675,-3.5,-3.5,229350,-102.35000000000582,85050,-64425.0,YES,133500.0,YES,90.65,87.4,91.65,85.4,67.52
2025-09-16 12:00:00,1.2999999999999972,3929100.0,314,860775,745050,1.25,1.2999999999999972,115725,-96.04999999999563,86250,-18000.0,Y,-9450.0,Y,87.25,88.55,90.0,84.0,67.73
2025-09-16 12:05:00,-3.0,2587425.0,350,1027650,792525,-2.8499999999999943,-2.75,235125,-98.5,85200,-97575.0,YES,132750.0,YES,88.65,85.65,89.5,83.75,67.86
