last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
02-04-2025 09:15,1.35,157275,139,1.8,1.1,41625,-728,31125,-52050,N,100350,N,23340.63,23335.45,23336.8,23356.3,23331.2,02-04-2025 09:15,3.25,6837000,132,2.9,2.9,-12975,-44.35,32925,529275,N,312900,N,59.35,62.6,69.8,59.2,63.66,02-04-2025 09:15,3.15,1843350,118,3.85,3.95,17250,-68.9,27525,237675,N,53775,N,136.45,139.6,144.3,129.8,139.97,02-04-2025 09:15,23192.6,23250.6,23188.6,23202.85
02-04-2025 09:20,-18.15,181650,173,-20.95,-20.85,30075,-1214.15,38400,16425,Y,22500,N,23330.73,23336.8,23318.65,23338.75,23300.65,02-04-2025 09:20,-4.9,6589950,179,-5.35,-5.4,-13500,-49.4,44025,110250,N,235500,N,62.8,57.9,63.65,54.1,61.73,02-04-2025 09:20,17.1,5191950,179,19.15,19.2,-1425,-130.95,43575,-851475,Y,125925,Y,140.25,157.35,170.15,140.15,150.5,02-04-2025 09:20,23205.1,23205.7,23158.45,23175.3
02-04-2025 09:25,61.75,165300,172,58.45,60,-28800,-1098.2,34650,30375,N,-68025,Y,23339.51,23318.65,23380.4,23385.9,23318.65,02-04-2025 09:25,20.5,11491200,180,19.65,19.8,54300,-63.95,46125,121125,N,-232350,Y,58.75,79.25,80.8,58.3,66.12,02-04-2025 09:25,-43.35,4660500,180,-42.45,-42.5,300,-112.65,44625,375,YES,130425,N,156.15,112.8,157.15,109.55,142.79,02-04-2025 09:25,23177.45,23251,23176.85,23246.5
02-04-2025 09:30,34.9,228000,180,34.15,34.45,-53700,-904,40275,38775,N,26925,YES,23355.39,23377.15,23412.05,23414.85,23375,02-04-2025 09:30,16.3,16542375,180,15.75,15.8,-31800,-75.1,55500,356400,Y,72225,YES,79.35,95.65,96.2,77.1,74.32,02-04-2025 09:30,-19.6,6207525,180,-18.9,-18.9,57675,-82.7,40050,188775,YES,232350,Y,113.2,93.6,116.65,93.2,129.62,02-04-2025 09:30,23246.3,23283.25,23245.95,23279.05
02-04-2025 09:35,-14,171750,176,-11.7,-12.75,-69450,-848.35,34050,96225,Y,-75300,Y,23363.44,23414.85,23400.85,23424,23384.5,02-04-2025 09:35,-4.65,13959675,181,-4.95,-4.9,64125,-78.9,49875,-154425,YES,239775,YES,95,90.35,100.45,81,78.25,02-04-2025 09:35,6.2,8940450,181,6.75,6.65,41850,-82.75,42975,211800,YES,143775,N,93.5,99.7,108.75,90.15,120.41,02-04-2025 09:35,23279.8,23293.65,23250.2,23269.6
02-04-2025 09:40,-36.65,116100,165,-37.35,-39.95,-31650,-931.7,32400,-41475,YES,36000,YES,23366.52,23401.65,23365,23414.85,23362.65,02-04-2025 09:40,-20.55,11135550,181,-21.1,-21,-98325,-80.7,52200,-530400,YES,226425,N,90,69.45,95.2,68.85,79.25,02-04-2025 09:40,18.85,8848425,181,20.15,20.2,47325,-90.55,55125,266550,YES,-202650,YES,100.35,119.2,121.35,92.2,116.8,02-04-2025 09:40,23270.95,23280.65,23233.5,23234
02-04-2025 09:45,-26,156975,166,-21.25,-21.85,23025,-1328.4,35025,27825,Y,26325,N,23363.99,23365,23339,23370,23325,02-04-2025 09:45,-13.8,11803200,180,-13.3,-13.3,-8775,-56.75,48675,334125,Y,223575,N,70.65,56.85,70.65,51.2,76.41,02-04-2025 09:45,20.8,10103700,180,21.05,21.05,-22125,-111.25,40800,-204525,Y,-16875,Y,117.7,138.5,147.45,117.7,120.31,02-04-2025 09:45,23233.45,23234.25,23194.45,23204.45
02-04-2025 09:50,2.95,118275,162,5.15,4.55,-12075,-996,39975,-62850,YES,10350,N,23361.2,23340,23342.95,23349.65,23320,02-04-2025 09:50,-2.55,7499550,180,-2.3,-2.3,-52275,-51.75,52950,83550,N,30825,N,57.15,54.6,59.75,47.65,74.43,02-04-2025 09:50,-3,5877600,180,-3.95,-3.85,-39450,-110.25,41100,-203100,N,6300,Y,137.9,134.9,151.3,131.45,122.76,02-04-2025 09:50,23204.55,23208.1,23183.25,23203
02-04-2025 09:55,39.05,140175,165,38.3,41.1,-84675,-991.7,34875,-10500,Y,-5550,Y,23362.55,23342.9,23381.95,23400.7,23340.25,02-04-2025 09:55,17.35,12918150,180,18.5,18.5,-98550,-63,43875,3375,N,-57750,Y,54.35,71.7,78.9,53.8,73.72,02-04-2025 09:55,-29.25,5761875,180,-30.2,-30.3,-1350,-96.1,40725,109650,YES,106575,Y,135.55,106.3,138.05,94.3,121.67,02-04-2025 09:55,23202.9,23250.55,23200.2,23244.65
02-04-2025 10:00,-21.95,55875,131,-21.9,-18.1,-24150,-1017.95,41325,36600,Y,-21825,Y,23362.71,23381.95,23360,23383.1,23353.1,02-04-2025 10:00,-8.65,8394375,180,-9.3,-9.4,56700,-61.25,50700,78900,Y,281625,YES,71.05,62.4,71.25,58.75,72.99,02-04-2025 10:00,9.9,4137750,180,10.95,11,-40275,-93.5,44100,98400,N,3300,N,107.1,117,125.6,106.25,121.31,02-04-2025 10:00,23244.55,23246.45,23223.15,23231.15
02-04-2025 10:05,2.15,59400,118,2.9,-1,-67575,-1054.15,28350,3450,N,15825,YES,23362.58,23360,23362.15,23375.25,23342.55,02-04-2025 10:05,-0.8,5655450,180,-0.7,-0.65,69750,-56.85,48675,20850,N,91200,N,63,62.2,66.7,54.5,72.38,02-04-2025 10:05,-2.1,3371325,180,-2.65,-2.6,-33525,-96.65,44850,-22950,Y,-54825,YES,116.4,114.3,129.65,110.9,121.23,02-04-2025 10:05,23232.75,23240.25,23216.45,23235.4
02-04-2025 10:10,5.75,56475,120,3.95,3.9,-56850,-1013.8,30000,7950,N,-13650,Y,23362.86,23362.15,23367.9,23379,23362,02-04-2025 10:10,-3.85,6135675,180,-3.75,-3.8,-53400,-58.9,46500,-5625,YES,133500,YES,62.45,58.6,69.8,58.6,71.98,02-04-2025 10:10,1.45,2825400,180,1.45,1.4,-5850,-88.5,40800,106950,YES,35775,Y,113.95,115.4,116.9,105.4,120.8,02-04-2025 10:10,23235.55,23248.25,23234.65,23238.85
02-04-2025 10:15,9.05,55425,118,8.6,8.15,-16725,-908.85,32775,44925,Y,-15000,Y,23363.09,23367.9,23376.95,23385,23347.05,02-04-2025 10:15,6.55,7737750,180,6.35,6.3,-37050,-61,63300,79950,Y,-116625,Y,60.45,67,71.25,53.95,71.42,02-04-2025 10:15,-5.3,3836850,176,-5.65,-5.75,-20250,-91.75,42525,9450,N,17175,N,112.2,106.9,125,101.65,120.37,02-04-2025 10:15,23238.15,23255.35,23224.6,23248.65
02-04-2025 10:20,-4.95,32925,116,-5.05,-5.95,12825,-879.7,24975,-9600,YES,1575,N,23363.29,23376.95,23372,23388.35,23358.6,02-04-2025 10:20,-4.35,6596925,180,-5.1,-5.15,42150,-59.6,50550,123075,Y,167625,YES,66.05,61.7,71.25,56.05,71.04,02-04-2025 10:20,-0.55,3160125,179,-0.05,-0.05,-25350,-91.05,47700,40575,YES,39750,Y,108.75,108.2,117.65,101,119.93,02-04-2025 10:20,23248,23258.65,23230.95,23240.65
02-04-2025 10:25,23.05,49650,120,23.8,26.3,-19950,-710.5,31950,2775,N,-22200,Y,23364,23372,23395.05,23398.7,23372,02-04-2025 10:25,10.7,7774800,181,10.85,10.95,-27000,-63.2,54825,136050,N,-255750,Y,62,72.7,75.2,61.6,70.99,02-04-2025 10:25,-15.1,4132350,181,-15.15,-15.2,5625,-78.55,41400,-86700,Y,170775,Y,107.1,92,108,90.45,118.78,02-04-2025 10:25,23240.75,23268.95,23239.75,23267.35
02-04-2025 10:30,-1.95,31200,118,-1.95,-3.7,-36000,-692.7,25050,15675,N,-7575,N,23364.39,23395.05,23393.1,23398.65,23375.55,02-04-2025 10:30,0.15,6905625,180,-0.5,-0.45,-74625,-65.15,54150,-5475,YES,68100,YES,72.25,72.4,72.5,62.25,70.85,02-04-2025 10:30,1.3,4504500,180,2.1,2.05,9225,-88.35,44250,-8175,YES,59400,N,92.7,94,104.2,92.5,117.71,02-04-2025 10:30,23267.75,23270.05,23252.05,23268.9
02-04-2025 10:35,-1.05,31425,93,-0.95,-1.1,-52875,-629.75,28350,5100,N,-33825,Y,23364.76,23393.1,23392.05,23395.05,23375.2,02-04-2025 10:35,-0.8,6054975,181,-1.45,-1.35,2175,-61.7,50475,60900,Y,102675,YES,72.5,71.7,72.95,62.35,70.73,02-04-2025 10:35,-0.45,3516075,181,-0.1,-0.1,33750,-83.45,43425,63000,YES,27075,N,94.2,93.75,105.65,93,116.98,02-04-2025 10:35,23269.35,23270.5,23251,23267.05
02-04-2025 10:40,0.45,94050,129,-0.15,2.1,48075,-633.85,33375,525,YES,-20025,N,23366.58,23392.15,23392.6,23415,23391.3,02-04-2025 10:40,0.6,10186050,181,-0.5,-0.5,46950,-66.75,53700,-87600,YES,-98550,Y,71.3,71.9,82.8,68.5,71,02-04-2025 10:40,-1,5470275,181,-0.2,-0.25,-29400,-75.95,43650,174825,YES,98475,Y,93.8,92.8,96,83.25,115.44,02-04-2025 10:40,23266.95,23285.1,23262.4,23264.6
02-04-2025 10:45,19.4,43500,116,17.5,17,-21225,-774.9,30075,-3150,YES,-14775,N,23367.42,23392.6,23412,23414.85,23392.6,02-04-2025 10:45,6.1,6335325,180,5.95,6,42525,-65.5,46725,107925,Y,-23775,YES,72,78.1,80.45,71.7,71.19,02-04-2025 10:45,-6.9,3581400,180,-6.7,-6.75,-525,-70.8,49050,23850,N,180750,Y,92.8,85.9,93.55,84,114.44,02-04-2025 10:45,23264.4,23285.8,23264.3,23281.7
02-04-2025 10:50,8.45,195000,157,8,7.7,26550,-808.5,43500,-5325,YES,-53700,Y,23372.31,23410.45,23418.9,23433,23403.8,02-04-2025 10:50,6.8,11421975,180,6.6,6.6,73050,-68.2,48225,-118425,YES,-258000,Y,78.55,85.35,92,76.7,72.09,02-04-2025 10:50,-4.65,6473250,180,-4.3,-4.3,-60450,-65.65,46875,10350,N,105525,N,85.45,80.8,87,76.1,112.34,02-04-2025 10:50,23282.25,23302.15,23279.35,23293.7
02-04-2025 10:55,3.1,58275,139,3.1,4.3,-11325,-681.1,28800,31800,Y,4950,YES,23373.49,23418.9,23422,23428,23405.1,02-04-2025 10:55,-0.65,9566100,181,-1,-1,-16050,-72.65,55425,-42000,Y,78150,YES,85.65,85,89.85,76.6,72.61,02-04-2025 10:55,-1.2,5843625,181,-0.5,-0.55,35925,-73.1,56550,-38400,Y,-18975,YES,80.95,79.75,88.2,78.4,110.82,02-04-2025 10:55,23294.2,23301.85,23279.55,23292.7
02-04-2025 11:00,-3.35,124725,155,-5.95,-5.3,163425,-629.1,34575,-75225,YES,-8925,Y,23376.43,23422,23418.65,23442.05,23411.7,02-04-2025 11:00,-5.3,12399600,179,-4.1,-4.05,7275,-74.7,52875,-52950,YES,95175,N,85.8,80.5,97.55,78.55,73.6,02-04-2025 11:00,3.7,8114850,180,2.65,2.7,7050,-65.85,53700,76875,YES,-9000,N,79.65,83.35,83.95,70.05,108.44,02-04-2025 11:00,23293.15,23311.9,23286.55,23291.6
02-04-2025 11:05,-4.5,58575,133,-2.3,-2.7,-63900,-787.7,29925,12675,Y,-23850,Y,23377.29,23416.05,23411.55,23423.9,23405.6,02-04-2025 11:05,-0.4,6085875,181,-0.6,-0.55,48000,-70.65,58950,92175,Y,160650,YES,81.35,80.95,84.9,75.7,73.76,02-04-2025 11:05,-1.15,5775825,181,-0.9,-0.9,23025,-75.75,49800,-53700,Y,92400,Y,82.4,81.25,87.25,79.25,107.32,02-04-2025 11:05,23292.15,23297.05,23278.8,23284.6
02-04-2025 11:10,3.6,51525,107,1.15,2.4,-52800,-762.1,29250,10800,N,-5625,N,23378.23,23411.55,23415.15,23429.4,23411.55,02-04-2025 11:10,-1.55,6729450,179,-1.25,-1.3,-16725,-68.2,54000,0,YES,136650,N,81.05,79.5,86.35,78.45,74.03,02-04-2025 11:10,2.55,4628250,179,2.1,2,25500,-69.05,48975,197400,YES,45975,N,81.45,84,84.5,77.2,106.36,02-04-2025 11:10,23285.65,23297.7,23284.5,23287.5
02-04-2025 11:15,-23,63900,121,-23.75,-20.15,1050,-862.8,33900,15600,N,1275,N,23378.7,23415.15,23392.15,23417.1,23383,02-04-2025 11:15,-10.2,9123600,180,-11,-10.95,57450,-65.15,59250,-252825,YES,75150,N,79.45,69.25,82.85,62.65,73.92,02-04-2025 11:15,9.25,8977950,180,10.2,10.3,3900,-75.45,44700,20850,N,-283050,YES,83.85,93.1,101.6,81,105.48,02-04-2025 11:15,23287.55,23292.75,23260.5,23269.25
02-04-2025 11:20,11.1,32475,113,9.5,6.65,9225,-996.3,27150,18975,N,2925,N,23379.03,23392.15,23403.25,23414.75,23391.7,02-04-2025 11:20,0.15,6704400,181,0.15,0.25,-114000,-64.35,63600,60300,Y,86850,N,69.4,69.55,77.2,67.6,73.89,02-04-2025 11:20,-2.75,6388050,180,-2.8,-2.7,-64800,-70.95,45975,57975,YES,70275,Y,93,90.25,94.55,81.9,104.67,02-04-2025 11:20,23269.5,23287.75,23269.5,23274.45
02-04-2025 11:25,-17.55,42975,105,-16,-18.3,15225,-636.65,25575,-17475,YES,44250,YES,23379.24,23403.25,23385.7,23406,23385.35,02-04-2025 11:25,-7,5800125,181,-7.3,-7.35,48600,-58.95,60600,-40350,YES,188775,YES,70.55,63.55,73.2,62.7,73.72,02-04-2025 11:25,5.65,5187150,182,6.7,6.7,-25950,-76.6,42975,-65850,Y,-74250,YES,90.4,96.05,97.15,85.65,104.27,02-04-2025 11:25,23274.65,23280.95,23262.65,23262.95
02-04-2025 11:30,9.15,27225,101,14.3,9.85,-15675,-932.35,29475,11625,Y,-19650,Y,23379.38,23391.5,23400.65,23409.8,23384.05,02-04-2025 11:30,6.15,5364300,180,6.15,6.1,112425,-60.5,52875,109050,Y,-125400,Y,63.65,69.8,72.25,61.8,73.57,02-04-2025 11:30,-8.35,5353650,180,-8.45,-8.45,-63150,-82.4,47625,-70800,Y,104100,Y,96.15,87.8,98.8,84.65,103.84,02-04-2025 11:30,23263.15,23281.55,23260.75,23278.85
02-04-2025 11:35,9.4,37350,118,9.5,4.75,-326850,-821.5,22875,-5250,YES,14250,YES,23379.87,23400.65,23410.05,23420,23400.3,02-04-2025 11:35,2.6,8034150,180,2.7,2.7,-116850,-71.4,49800,-90300,YES,-184575,Y,69.85,72.45,80.8,68.9,73.64,02-04-2025 11:35,-3.35,5625225,180,-3.45,-3.45,-106875,-70,48750,198000,YES,86550,N,87.5,84.15,88.6,76.5,103.05,02-04-2025 11:35,23278.65,23295.3,23276.55,23286.15
02-04-2025 11:40,-35.95,95850,155,-35.2,-35.75,12300,-721.2,27600,-17325,YES,-7125,Y,23379.83,23409.8,23373.85,23411.65,23361.15,02-04-2025 11:40,-15.85,10871400,181,-15.95,-16,416550,-57.75,52875,-68775,Y,176025,YES,72.65,56.8,72.9,51.65,73.08,02-04-2025 11:40,18.05,10988175,181,18.3,18.25,-99225,-84.7,50550,-231075,Y,-478650,YES,84,102.05,112.35,83.95,102.85,02-04-2025 11:40,23286.15,23286.9,23246.15,23259.05
02-04-2025 11:45,22.7,39900,126,22.25,23.9,-7950,-908.25,25800,8625,Y,5775,N,23379.92,23373.85,23396.55,23399.55,23371.1,02-04-2025 11:45,5.35,7202850,180,5.45,5.5,-168225,-53.3,53175,181875,Y,52275,N,56.25,61.6,63,54.5,72.71,02-04-2025 11:45,-12.6,5426025,180,-13.15,-13.15,53475,-80.65,48825,-22950,YES,168975,Y,102.6,90,106.25,87.55,102.65,02-04-2025 11:45,23259.3,23285.95,23255,23284.35
02-04-2025 11:50,-9.45,21450,96,-12.35,-6.2,-10875,-983.6,25350,29025,Y,1125,Y,23380.01,23396.55,23387.1,23399,23380.05,02-04-2025 11:50,-2.85,5545800,182,-3,-3,76800,-54.4,64425,-18600,YES,195525,YES,62,59.15,62.95,55.8,72.45,02-04-2025 11:50,3.35,4473675,182,3.4,3.45,119175,-76.35,46350,82575,YES,13275,N,89.45,92.8,97.45,88.85,102.42,02-04-2025 11:50,23285,23285,23262.35,23263.45
02-04-2025 11:55,-3.75,18075,61,-1.6,-4.4,-53775,-802.35,20175,6075,N,-37950,Y,23380.05,23387.1,23383.35,23395,23382.55,02-04-2025 11:55,-1.4,4264200,179,-1.25,-1.2,-87225,-53.2,60825,-6825,N,38925,N,59.25,57.85,62.8,57.65,72.26,02-04-2025 11:55,3.5,3326700,178,3.3,3.4,15675,-73.2,47700,90975,N,27000,N,92.1,95.6,95.6,87.8,102.23,02-04-2025 11:55,23263.45,23271.1,23255.25,23255.25
02-04-2025 12:00,16.6,21600,84,12,14,-118800,-1014.65,20325,-1125,YES,-2175,YES,23380.13,23383.35,23399.95,23400,23380,02-04-2025 12:00,6,5590050,180,6.2,6.25,-144975,-57,66300,69675,Y,-374475,Y,57.8,63.8,65,55.85,72.03,02-04-2025 12:00,-9.55,4922625,175,-9.55,-9.55,2100,-74.25,48000,-109425,Y,19875,N,95.55,86,97.7,84.5,101.95,02-04-2025 12:00,23256.15,23262.9,23247.5,23261.8
02-04-2025 12:05,5,31950,103,4,3.45,-48750,-950.55,23175,101550,Y,-4350,Y,23380.39,23395,23400,23409.7,23390,02-04-2025 12:05,1.4,6414675,180,0.4,0.35,-50100,-61.75,62475,19800,N,210075,YES,64.15,65.55,67.8,61.1,71.88,02-04-2025 12:05,-2.85,3857025,180,-1.7,-1.75,-16725,-69.8,51525,240150,YES,119550,Y,85.95,83.1,89.45,81.05,101.59,02-04-2025 12:05,23262.8,23282.95,23257.25,23275
02-04-2025 12:10,3.65,18525,81,4.75,8.2,-67200,-543.95,19875,-2925,YES,3000,N,23380.56,23401.9,23405.55,23414.4,23398.4,02-04-2025 12:10,1.8,6130875,180,1.4,1.35,-25950,-54.95,58500,79875,Y,-47700,Y,65.95,67.75,71.1,62.25,71.8,02-04-2025 12:10,-1.55,4098975,180,-1.6,-1.6,-51150,-67.6,55125,-44925,Y,135750,N,82.35,80.8,86.5,77.7,101.15,02-04-2025 12:10,23275,23285.85,23269,23281.45
02-04-2025 12:15,4.45,18525,94,10,7.4,9825,-710.35,20775,-11550,YES,-4350,Y,23380.77,23410.55,23415,23418,23405,02-04-2025 12:15,2.6,5194500,181,2.65,2.65,27750,-58.95,63300,28725,N,83100,YES,67.75,70.35,72.9,67.65,71.78,02-04-2025 12:15,-2.6,3223875,181,-2.8,-2.9,-85575,-62.8,57600,98925,YES,90000,N,80.55,77.95,80.9,75.35,100.78,02-04-2025 12:15,23281.25,23292.5,23280.7,23291.3
02-04-2025 12:20,-1.8,24150,86,0,-1.4,10200,-745.65,23175,-29925,YES,4125,N,23381.03,23415,23413.2,23418.15,23407,02-04-2025 12:20,-1.05,4566375,180,-0.55,-0.55,-38475,-60.5,71775,-129975,YES,57675,N,70.35,69.3,71.15,65.75,71.73,02-04-2025 12:20,0.5,3390000,180,-0.2,-0.1,57600,-66.95,61500,-31200,Y,-19350,YES,77.85,78.35,82.15,77.1,100.43,02-04-2025 12:20,23291.2,23291.85,23283.5,23290.35
02-04-2025 12:25,-11.2,38775,102,-12.2,-11.2,-61350,-680.15,21075,14400,Y,-65400,Y,23381.47,23413.2,23402,23427.15,23400.65,02-04-2025 12:25,-5.4,8824200,181,-5.8,-5.75,-111225,-57.7,68700,-118275,N,2025,Y,68.75,63.35,76.85,62.65,71.66,02-04-2025 12:25,4.3,7585275,181,5.2,5.3,-75000,-68.6,57525,-45075,Y,-104625,YES,79.3,83.6,85,70.8,99.67,02-04-2025 12:25,23290.55,23300,23278.8,23278.8
02-04-2025 12:30,7.1,23250,91,10,10.3,10350,-766.95,23100,8700,N,900,YES,23381.72,23402,23409.1,23423.65,23400,02-04-2025 12:30,4.7,6389100,179,5.3,5.25,48225,-58.85,53025,87675,Y,22800,YES,63,67.7,74.1,62.7,71.63,02-04-2025 12:30,-5.65,5759250,180,-5.7,-5.7,-56625,-62.1,50475,151725,YES,177675,Y,84.45,78.8,84.85,72.25,99.06,02-04-2025 12:30,23279.15,23294.95,23276.6,23286.5
02-04-2025 12:35,-10.3,22425,113,-11.6,-15.15,8325,-965.15,22125,20700,N,31350,YES,23381.85,23414.3,23404,23414.3,23392.2,02-04-2025 12:35,-4.45,6072750,180,-5.75,-5.75,31425,-57.45,58050,252675,Y,118275,YES,67.75,63.3,69.3,59.1,71.46,02-04-2025 12:35,1.2,6166275,180,2.95,2.95,-69450,-76.5,54450,-127725,Y,-20325,YES,78.8,80,86.95,77.65,98.63,02-04-2025 12:35,23286.55,23289.25,23269.5,23272.7
02-04-2025 12:40,2.7,7800,50,6.4,5.7,-13350,-543.1,13500,-10275,YES,54150,YES,23381.93,23404,23406.7,23415,23398.85,02-04-2025 12:40,2.85,3791775,119,2.65,2.75,-30675,-39.55,36600,-98925,YES,33450,N,63.15,66,67.75,62.4,71.39,02-04-2025 12:40,-3.45,3040350,119,-3.4,-3.3,-9750,-45.65,36900,251025,YES,125325,Y,79.95,76.5,82.1,74.75,98.34,02-04-2025 12:40,23273.45,23289.25,23273.45,23286.15
02-04-2025 12:45,-10.7,7350,33,-9.4,-5.9,-17400,-240.35,7200,-20700,YES,7425,N,23382.15,23415.8,23405.1,23420.95,23405.1,02-04-2025 12:45,-6.2,1791600,57,-5.25,-5.2,15450,-19.55,17700,-154200,YES,112500,YES,70.4,64.2,70.7,64.2,71.3,02-04-2025 12:45,5.8,1495800,58,5.9,5.85,-51750,-19.75,17700,172275,N,-19950,YES,73.15,78.95,78.95,72.8,97.81,02-04-2025 12:45,23286.3,23296.9,23278.95,23278.95
