last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
11-07-2025 09:15,4.5,7.9,7.3,-191775,-730.4,40050,74025,N,19050,N,5.19,25337.2,25341.7,11-07-2025 09:15,1.4,1.6,1.6,36375,-133.25,59700,257025,N,296475,N,127.65,129.05,133.5,121.7,-2.02,11-07-2025 09:15,-9.4,-9.25,-9.25,201075,-126.7,56550,226425,N,253350,N,136.85,127.45,142.4,123.4,-8.09
11-07-2025 09:20,7.6,13.5,12.3,-80550,-1125,47325,59625,N,13200,N,4,25344.9,25352.5,11-07-2025 09:20,6.45,5.5,5.6,28350,-142.1,63600,198825,N,176100,N,128.55,135,136.95,125.85,1.62,11-07-2025 09:20,-7.2,-6.5,-6.5,13425,-129.45,65925,90375,N,312525,Y,127.55,120.35,130.75,118,-4.91
11-07-2025 09:25,10.9,12.4,10.5,-281100,-1735.7,46500,59175,N,34875,YES,7.62,25352.5,25363.4,11-07-2025 09:25,7.8,7.75,7.95,-118200,-155.9,62025,-29175,YES,-4050,Y,135.8,143.6,154.25,134.4,5.74,11-07-2025 09:25,-3.75,-3.7,-3.65,235950,-123.5,64425,206100,YES,120750,N,119.85,116.1,120.2,110.75,-4.53
11-07-2025 09:30,-11.7,-17.9,-13.4,-273300,-1402.4,45825,3450,N,16200,N,0.81,25363.4,25351.7,11-07-2025 09:30,-11.7,-12.1,-12.05,-50700,-156.25,64200,-34125,YES,223425,YES,143.55,131.85,144.9,129,-0.13,11-07-2025 09:30,3.4,3.35,3.2,-110400,-130.7,67575,525,Y,171450,Y,115.75,119.15,121.55,114.3,-1.74
11-07-2025 09:35,10,14.5,11.1,-39450,-1126.9,40050,-17100,YES,450,Y,0.59,25350,25360,11-07-2025 09:35,4.9,5.8,5.8,179925,-161.7,66450,32475,Y,118425,N,131.4,136.3,140.9,128.4,-0.1,11-07-2025 09:35,-7.25,-7.75,-7.75,-133425,-136.65,66975,-8550,Y,112575,N,119.3,112.05,120.8,108.3,-1.41
11-07-2025 09:40,8.3,11.3,10.7,63225,-1148.1,46875,-14475,N,64125,YES,1.84,25363,25371.3,11-07-2025 09:40,4.55,5.8,5.5,167700,-156.95,62625,38775,N,15750,N,136.55,141.1,148.95,136,1.02,11-07-2025 09:40,-2.15,-2.6,-2.55,100875,-123.65,61125,51675,YES,91575,N,111.6,109.45,112.6,105,-1.41
11-07-2025 09:45,-9.8,-13.3,-13,163950,-1264.1,39900,15225,Y,18825,N,0.62,25371.3,25361.5,11-07-2025 09:45,-5.6,-5.4,-5.25,51375,-145.3,62700,1050,YES,90075,YES,140.85,135.25,141.85,132.6,0,11-07-2025 09:45,4.7,4.65,4.8,-108975,-128.7,66150,141900,YES,76575,N,109.65,114.35,115.65,109.25,-0.81
11-07-2025 09:50,2,2.9,2.8,104850,-1365.4,35250,17700,N,31875,N,0.4,25360,25362,11-07-2025 09:50,2.4,2.3,2.35,-108000,-142.7,62625,98700,Y,50250,N,134.9,137.3,140.3,132.4,-0.03,11-07-2025 09:50,-1.4,-1.4,-1.2,-95700,-123.55,70800,-97725,Y,63525,N,114.6,113.2,116.85,110.25,-0.49
11-07-2025 09:55,-14.8,-17.1,-12.5,161925,-1366.3,47550,6075,N,-40275,Y,0.2,25364.8,25350,11-07-2025 09:55,-7.7,-7.4,-7.4,87150,-142.65,66825,-117600,YES,115875,YES,137.4,129.7,139.45,127.9,-0.3,11-07-2025 09:55,6.2,6.35,6.3,-738300,-138.55,71700,107625,YES,-30000,YES,113.15,119.35,121.55,111.1,-0.12
11-07-2025 10:00,-33.4,-27.2,-31.6,85875,-1240.1,45675,-67050,YES,1950,YES,-1.79,25353.5,25320.1,11-07-2025 10:00,-14.25,-14.15,-14.2,-86850,-130.5,69075,-215175,YES,129525,N,130.1,115.85,130.2,115.5,-1.49,11-07-2025 10:00,14.65,15.05,15.1,-355275,-144.95,66375,133875,YES,-431250,YES,119.25,133.9,134.65,118.95,1.52
11-07-2025 10:05,14.4,15,15.4,206325,-1064.4,48900,16875,Y,-17925,Y,-0.94,25323,25337.4,11-07-2025 10:05,3.35,3.5,3.45,-5250,-132.75,69600,179775,Y,129975,N,116.65,120,120.9,115.5,-0.92,11-07-2025 10:05,-8.35,-8.15,-8.15,251250,-151.45,66975,-206475,Y,253575,Y,133.55,125.2,134.9,124,0.7
11-07-2025 10:10,-13,-12.1,-9.6,183075,-1333.5,42225,-14175,YES,4800,YES,-0.83,25337,25324,11-07-2025 10:10,-3.5,-3.3,-3.2,160575,-124.1,65550,-84525,YES,73350,N,119.8,116.3,120.4,112,-0.75,11-07-2025 10:10,3.6,3.4,3.55,-188250,-149.1,68550,-29700,YES,-41100,YES,125.6,129.2,135.15,125.25,0.61
11-07-2025 10:15,-15.8,-19,-19.8,429525,-1688,44700,-58950,YES,1275,Y,-2.53,25324.8,25309,11-07-2025 10:15,-7.9,-8.15,-8.15,258750,-126,68775,-50250,Y,83775,N,116.2,108.3,116.5,108.05,-1.01,11-07-2025 10:15,10.55,11.1,11.1,-163125,-153.3,71025,144075,YES,-230700,YES,129.7,140.25,141.3,129.35,1.24
11-07-2025 10:20,8.4,4.2,3.4,20625,-1723.4,46500,-49650,N,2475,N,-4.12,25304,25312.4,11-07-2025 10:20,0.35,0.3,0.25,225,-120.5,63825,97500,Y,46350,N,108.55,108.9,111.55,104.9,-1.09,11-07-2025 10:20,-2.25,-2.6,-2.75,-175425,-161.2,67575,-153975,Y,8175,Y,139.85,137.6,145.6,134.5,1.2
11-07-2025 10:25,-4,-4,-3.7,-25350,-1459.3,40950,10125,Y,-9075,Y,-0.79,25309,25305,11-07-2025 10:25,-1.7,-1.75,-1.75,36375,-120.45,69150,12450,N,123000,YES,109.3,107.6,110.25,106.55,-0.59,11-07-2025 10:25,2.4,2.7,2.6,-3675,-155.65,66900,4800,YES,6375,N,137.55,139.95,143.85,136,0.57
11-07-2025 10:30,-24.7,-21.2,-21.7,107025,-1317.1,44475,-21900,YES,-19200,Y,-3.14,25308.7,25284,11-07-2025 10:30,-7.5,-7.35,-7.3,183750,-115.15,73125,-11925,YES,17700,N,107.8,100.3,108.45,98.85,-1.51,11-07-2025 10:30,12.25,12.6,12.65,-148950,-170.35,65475,20850,N,-267375,YES,139.9,152.15,153.25,139,1.71
11-07-2025 10:35,11.9,11.2,10,253500,-971.9,44550,54675,Y,8175,YES,-1.88,25285.1,25297,11-07-2025 10:35,3.15,3,3.15,-38775,-118.85,69450,94200,Y,71325,YES,100.5,103.65,104.3,99.4,-0.81,11-07-2025 10:35,-4.5,-4.6,-4.55,-121950,-165.4,61275,-60975,Y,-30600,Y,152.35,147.85,156,146.25,0.87
11-07-2025 10:40,-20,-17.2,-16.4,9900,-1216.9,39150,46425,N,-42375,Y,-1.92,25297,25277,11-07-2025 10:40,-6.6,-6.6,-6.65,150675,-111.4,73125,-175125,YES,51375,N,103.5,96.9,104.6,94.5,-0.98,11-07-2025 10:40,11.65,11.8,11.85,-22350,-161.1,64950,-4950,YES,-133350,YES,147.9,159.55,162,146,0.94
11-07-2025 10:45,-17,-17,-20,620100,-1159.2,42900,-64125,YES,11850,YES,-4.62,25277,25260,11-07-2025 10:45,-5.35,-5.25,-5.25,-65325,-100.7,71925,-3150,Y,78900,YES,96.9,91.55,96.9,90.6,-1.58,11-07-2025 10:45,12.35,12.85,12.9,-138900,-185.95,64500,-53175,Y,-80700,Y,159.95,172.3,173.4,159.85,1.71
11-07-2025 10:50,11.9,10.5,10.6,-1425,-964.8,41100,-10725,Y,4725,N,-2.45,25260.1,25272,11-07-2025 10:50,2.5,2.7,2.7,23100,-109.9,76575,-27375,YES,48300,N,92,94.5,96,90.05,-0.99,11-07-2025 10:50,-7.2,-7.3,-7.2,102675,-183.35,72900,-116700,Y,21675,Y,171.65,164.45,174.7,160.15,0.9
11-07-2025 10:55,-25.8,-27.5,-25.8,185700,-1000,37350,-37950,YES,-75,Y,-4.52,25272,25246.2,11-07-2025 10:55,-6.25,-6.8,-6.8,100275,-100.8,78750,-89775,YES,-54300,Y,94.85,88.6,95.45,84.65,-1.58,11-07-2025 10:55,17.65,18.65,18.75,-167550,-191.2,67275,-51225,YES,-113550,YES,164.2,181.85,190.7,163.1,1.84
11-07-2025 11:00,-10.9,-8.4,-11.8,117150,-1273.2,49500,8400,Y,7950,N,-6.82,25247.9,25237,11-07-2025 11:00,-3.7,-3.65,-3.75,-133050,-103,82725,87450,Y,93600,YES,88.9,85.2,89,82.85,-1.19,11-07-2025 11:00,10.85,10.85,10.8,105300,-202.8,65400,-4725,YES,9750,Y,181.15,192,198.15,181,1.68
11-07-2025 11:05,-21.1,-20,-16.7,392025,-852.1,43200,18000,N,9300,N,-3.45,25236.1,25215,11-07-2025 11:05,-4.75,-5.25,-5.1,163575,-98.5,78375,-165975,YES,14475,N,85.35,80.6,87.6,79.3,-1.12,11-07-2025 11:05,9.25,10.3,10.4,50775,-191.3,65775,-20775,Y,-104850,YES,192.2,201.45,204.85,183.2,1.32
11-07-2025 11:10,24,27.7,24,-26925,-1419.5,40350,16650,N,21600,N,-2.94,25220,25244,11-07-2025 11:10,7.55,7.7,7.65,-343800,-103.15,75000,175800,Y,16650,N,80.55,88.1,95.5,80.4,-1.64,11-07-2025 11:10,-17.6,-17.2,-17.25,-20475,-205.7,58800,-56550,Y,69825,Y,202.1,184.5,202.4,172.1,1.29
11-07-2025 11:15,-8,-8,-8.7,-15825,-1218.6,40800,11550,N,52050,YES,-1.32,25243,25235,11-07-2025 11:15,-3,-2.7,-2.7,94650,-97.95,72750,35925,N,128850,YES,88.3,85.3,88.6,85.3,-0.49,11-07-2025 11:15,3,3,3,-675,-188.25,61350,13800,YES,69600,N,185,188,188.2,182.35,0.39
11-07-2025 11:20,-10,-9.4,-9,83775,-1393.2,39600,8775,N,17925,N,-1.72,25235,25225,11-07-2025 11:20,-2.5,-2.6,-2.6,18825,-98.75,70125,62325,Y,75975,N,85.6,83.1,86.3,82.95,-0.43,11-07-2025 11:20,4.9,5.35,5.05,-26625,-200.1,58800,8625,N,15300,N,187.3,192.2,192.85,186,0.44
11-07-2025 11:25,-1.2,1.1,1.9,266175,-890.4,38550,5550,N,4500,N,-1.45,25228,25226.8,11-07-2025 11:25,1.55,1.6,1.55,124950,-98.3,79950,23475,N,23625,N,83.45,85,85,82,-0.43,11-07-2025 11:25,-0.75,-0.55,-0.7,-29325,-204.7,63150,58200,YES,45750,Y,191.8,191.05,199.2,190.65,0.61
11-07-2025 11:30,5.7,5.5,6.1,-21525,-1096.5,36525,5850,N,-43050,Y,-1.59,25226.8,25232.5,11-07-2025 11:30,1.15,1,0.95,-198300,-106.75,73350,-11925,YES,56175,YES,85.15,86.3,88.7,84.75,-0.57,11-07-2025 11:30,-3.9,-3.35,-3.35,83550,-183.1,64725,20925,N,37125,N,191.3,187.4,191.5,181,0.42
11-07-2025 11:35,9,9.5,9,-147225,-651.5,38100,9600,N,-150,YES,-0.73,25236,25245,11-07-2025 11:35,2.25,2.2,2.1,29475,-105.35,74175,600,N,72900,N,86.5,88.75,89.7,85.8,-0.36,11-07-2025 11:35,-5.45,-5.35,-5.3,143325,-155.95,65925,4200,N,1875,YES,187.2,181.75,188.2,180.55,0.2
11-07-2025 11:40,-9.4,-9.6,-7.3,53475,-1139.9,35025,7200,N,-2175,Y,-0.61,25245,25235.6,11-07-2025 11:40,-2.35,-2.55,-2.55,-122250,-97.15,68550,-89700,YES,-50475,Y,88.6,86.25,90,85.05,-0.4,11-07-2025 11:40,5.45,5.3,5.3,-30000,-187.85,62250,-19575,Y,-14625,YES,181.95,187.4,189.25,180,0.24
11-07-2025 11:45,4.4,7.3,7.1,-6975,-1238,32100,23850,N,-7350,Y,-0.4,25235.6,25240,11-07-2025 11:45,1.6,1.45,1.3,-255975,-92.75,75000,32925,Y,74250,YES,86.15,87.75,88.6,86,-0.22,11-07-2025 11:45,-2.95,-2.35,-2.3,24675,-152.65,60525,21675,YES,20700,Y,187.5,184.55,188.4,181.55,0.17
11-07-2025 11:50,5.9,3.2,2.9,89325,-760.8,40650,18075,N,-27375,Y,-0.57,25240,25245.9,11-07-2025 11:50,1.25,1.55,1.5,-189525,-91.9,76950,43050,N,-25350,Y,87.75,89,90,86,-0.29,11-07-2025 11:50,-4.6,-4.5,-4.7,-24600,-156.35,60150,-26400,Y,9975,N,184.6,180,185.55,177.4,0.18
11-07-2025 11:55,-12.6,-12.5,-14,129450,-1039.3,40800,-15825,YES,-14025,N,-0.85,25243.2,25230.6,11-07-2025 11:55,-4.9,-5.1,-5.15,78300,-89.55,65700,-61275,YES,52575,YES,88.9,84,89.25,83.2,-0.36,11-07-2025 11:55,7.95,8.15,8.2,-55050,-164.95,61950,24075,YES,-46125,YES,180.3,188.25,189.45,179.65,0.27
11-07-2025 12:00,-10.1,-11.7,-10.1,143850,-1175.1,48450,-33225,YES,6975,YES,-2.87,25235,25224.9,11-07-2025 12:00,-3,-3,-2.9,113325,-95.2,69750,-172950,YES,-13200,Y,84.2,81.2,84.65,75.8,-0.84,11-07-2025 12:00,8.55,9.3,9.3,-14400,-200,62625,-56400,Y,-159750,YES,188.15,196.7,208.65,186.6,1.01
11-07-2025 12:05,0.1,3.6,0,-114000,-1263,42525,23775,Y,39975,YES,-1.62,25224.9,25225,11-07-2025 12:05,-1.15,-0.7,-0.8,-347025,-96.35,73800,34950,Y,57150,YES,82,80.85,84.7,77.3,-0.6,11-07-2025 12:05,-5,-5,-5,-15300,-195.15,60300,9075,YES,49050,Y,196.3,191.3,199.25,185.45,0.46
11-07-2025 12:10,10.3,12.4,12.9,27975,-875.7,40275,825,YES,3675,N,-0.75,25225,25235.3,11-07-2025 12:10,3.6,4.1,4.05,56700,-97.9,78975,101700,Y,-49350,Y,80.75,84.35,85.2,78.75,-0.41,11-07-2025 12:10,-6.45,-6.9,-7,-41025,-187.9,61425,-21675,Y,33300,N,191.9,185.45,196,183.05,0.26
11-07-2025 12:15,-2.2,-2.5,-4.6,-45150,-966.8,52500,33075,Y,-2025,Y,-0.64,25235.3,25233.1,11-07-2025 12:15,0.35,0.35,0.35,-153225,-93.25,72600,49350,N,21375,YES,84.4,84.75,85.8,81.2,-0.3,11-07-2025 12:15,-1.45,-1.25,-1.3,8100,-176.9,62775,19425,YES,35325,N,185.7,184.25,190,181.9,0.18
11-07-2025 12:20,-1.6,-2.6,-2.6,75,-673,44025,34575,N,24900,YES,-0.64,25232.6,25231,11-07-2025 12:20,-2.1,-2,-1.9,-31425,-96.75,67725,7800,N,51225,YES,84.3,82.2,84.65,81.85,-0.2,11-07-2025 12:20,3.3,3.35,3.35,11550,-183.35,55725,23550,N,-5550,YES,184.75,188.05,188.45,183.9,0.11
11-07-2025 12:25,-6,-4.1,-3.1,-148200,-1044.9,46050,-3825,YES,1575,Y,-0.36,25231,25225,11-07-2025 12:25,-1.15,-1.25,-1.35,46350,-82.9,80625,26025,N,21750,N,82.15,81,83,80.7,-0.2,11-07-2025 12:25,1.5,1.8,1.9,162825,-179.75,56175,-38775,Y,7575,N,188.3,189.8,191.3,186.3,0.17
11-07-2025 12:30,19.4,19.2,18.1,58875,-957.7,40725,21000,Y,4200,N,-0.72,25225,25244.4,11-07-2025 12:30,6.3,6.25,6.3,-138825,-87.65,75150,5550,N,-29475,Y,80.9,87.2,87.55,80.9,-0.42,11-07-2025 12:30,-13.15,-13.1,-13.1,-19350,-167.55,61500,-40350,Y,39075,Y,190.05,176.9,190.05,175.65,0.26
11-07-2025 12:35,-5,-4.3,-2.1,-6825,-1411.3,41175,-10050,YES,6225,N,-0.69,25246,25241,11-07-2025 12:35,-2.8,-2.5,-2.55,191250,-97.95,75750,-77475,YES,56925,YES,87.5,84.7,90,84,-0.53,11-07-2025 12:35,3.3,3,3,29250,-166.05,58725,40575,YES,-13875,YES,176.4,179.7,181.15,170.3,0.29
11-07-2025 12:40,12.8,10.4,9.9,37425,-969.6,36075,750,N,-47775,Y,-0.45,25241,25253.8,11-07-2025 12:40,3.2,3.4,3.35,-88275,-92.8,67275,3150,Y,-66900,Y,85,88.2,92.1,84,-0.46,11-07-2025 12:40,-7.25,-7.05,-7.05,-45600,-163.2,54975,-30075,Y,8925,Y,179.95,172.7,180.8,165.2,0.26
11-07-2025 12:45,-9.9,-9,-9.9,149400,-697.2,37200,-36300,YES,675,YES,-0.32,25253.8,25243.9,11-07-2025 12:45,-3.35,-3.5,-3.5,32700,-84.9,67200,28875,Y,87525,YES,87.85,84.5,88.65,84.45,-0.26,11-07-2025 12:45,4.45,5.1,5.1,-3600,-137.75,47250,28800,YES,27000,N,172.95,177.4,177.5,171.15,0.16
11-07-2025 12:50,-14.8,-14.4,-14.3,52275,-773.9,39750,-14475,Y,9975,N,-0.53,25243.9,25229.1,11-07-2025 12:50,-3.65,-4.05,-4.05,57825,-81.7,57375,-26850,YES,-3675,Y,84.9,81.25,86.3,80.5,-0.33,11-07-2025 12:50,8.5,9.45,9.35,-28125,-151.85,53325,1200,Y,-102375,YES,177.3,185.8,186.95,175.4,0.32
11-07-2025 12:55,3.3,1.5,3.4,-63825,-850.2,37050,5700,Y,225,Y,-0.4,25229.1,25232.4,11-07-2025 12:55,1.2,1,1,55500,-76.7,65325,-1500,Y,59100,YES,81.4,82.6,83.6,80,-0.25,11-07-2025 12:55,-1.25,-0.75,-0.75,72525,-166.55,57225,-24750,Y,26175,Y,185.85,184.6,189,180,0.21
11-07-2025 13:00,-0.3,0.1,-0.3,-58575,-1079.1,40800,-4275,YES,43200,YES,-0.28,25232.4,25232.1,11-07-2025 13:00,-0.65,-0.55,-0.5,22200,-74.4,66450,32850,Y,26025,N,83,82.35,83.45,80.6,-0.18,11-07-2025 13:00,-0.4,-1.5,-1.35,-78675,-157.25,51675,8325,YES,15300,N,183.4,183,188,181.15,0.14
11-07-2025 13:05,-20.1,-20,-18,68625,-606.3,36000,-29100,YES,2025,Y,-0.74,25232.1,25212,11-07-2025 13:05,-8.55,-9.1,-9.1,40800,-82.85,61800,-270525,YES,11250,N,82.2,73.65,82.4,73.25,-0.49,11-07-2025 13:05,17.2,18.2,18.2,-7650,-180,48450,30825,YES,-103125,YES,182.8,200,201.2,182.65,0.43
11-07-2025 13:10,11.9,12.7,11.9,-92475,-824.2,34650,19050,Y,675,Y,-0.61,25214.1,25226,11-07-2025 13:10,5.95,5.95,6.05,-48525,-81.8,62250,152325,Y,4950,N,73.6,79.55,79.8,73.1,-0.41,11-07-2025 13:10,-12,-12.65,-12.7,-57750,-174.2,48675,-48525,Y,75300,Y,199.35,187.35,200,186.9,0.32
11-07-2025 13:15,7.4,4.9,6.5,170850,-591.5,40875,11025,N,3750,N,-0.39,25225.1,25232.5,11-07-2025 13:15,1.15,1.3,1.25,-18225,-79.85,67425,46275,N,33375,YES,79.55,80.7,81.65,77.35,-0.24,11-07-2025 13:15,-0.95,-1.8,-1.75,-56700,-152.4,52575,546675,YES,-4050,YES,186.9,185.95,193.35,183.3,0.19
11-07-2025 13:20,-4.3,-3,-4.3,340800,-717.7,41625,7200,N,-375,Y,-0.52,25232.5,25228.2,11-07-2025 13:20,-0.7,-0.35,-0.45,-12300,-78,70425,11325,N,-33375,Y,80.7,80,81.95,78.2,-0.18,11-07-2025 13:20,2.75,2.5,2.35,-11100,-175.75,50325,2475,Y,7800,N,185.85,188.6,191.8,183.4,0.17
11-07-2025 13:25,-0.1,-0.1,-1.2,1257525,-520.3,37575,-8175,YES,11175,N,-0.34,25227,25226.9,11-07-2025 13:25,-1.3,-1.25,-1.3,-55125,-79.45,63600,27900,N,19575,YES,80,78.7,82.55,77.9,-0.24,11-07-2025 13:25,1.9,1.45,1.55,-17625,-164.3,51225,18900,N,8475,N,188.6,190.5,190.95,182.35,0.17
11-07-2025 13:30,-6.3,-7.5,-6.3,888000,-281.3,39975,2325,N,-3900,Y,-0.67,25227,25220.7,11-07-2025 13:30,-1.3,-1.55,-1.5,6675,-77.05,65400,-43650,YES,32175,N,78.65,77.35,80.2,77,-0.19,11-07-2025 13:30,3.25,3.65,3.55,-24750,-158,63825,14175,N,-27600,YES,190.1,193.35,193.8,186,0.15
