last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,prev_open,prev_close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
06-08-2025 09:20,3.4,52050,144,72900,89625,2.3,0,-16725,-983.2,24600,20100,N,26250,N,24717.53,24726.6,24730,24738.9,24721,06-08-2025 09:20,6,12640275,215,582750,745425,5.3,5.35,-162675,-63.05,43050,274350,N,89850,N,69.5,75.5,79.85,68.5,70.63,06-08-2025 09:20,-4.45,3213750,212,413850,336300,-4.25,-4.15,77550,-84.5,37950,88950,N,154275,N,110.45,106,112.6,103.6,111.03,06-08-2025 09:20,24662.45,24652.1,24662.55,24652.35,24730,24710.3,24730,24720.3,NIFTY2580724700CE,75.25,69.3,74.85,68.5,NIFTY2580724700PE,106.35,111.6,106.5,112.85
06-08-2025 09:25,-1,108000,162,127050,173100,-7.8,-2.6,-46050,-1541.4,39825,1050,YES,18000,N,24719.49,24730,24729,24734.5,24717.6,06-08-2025 09:25,-4.35,10013550,310,1073400,938925,-3.8,-3.8,134475,-81.85,64950,15975,N,675150,YES,75.8,71.45,75.8,68.55,71.02,06-08-2025 09:25,3,4313475,305,519825,665025,3.05,2.95,-145200,-108.85,60600,87075,N,39375,N,105.9,108.9,111.65,104.25,110.21,06-08-2025 09:25,24651.3,24662.45,24651.3,24662.55,24728.3,24730,24725.2,24730,NIFTY2580724700CE,71.15,75.25,71.45,74.85,NIFTY2580724700PE,108.8,106.35,108.9,106.5
06-08-2025 09:30,-11.6,62400,151,608400,81900,-7.6,-11.7,526500,-1279,36675,15600,N,66675,YES,24719.28,24730.2,24718.6,24731,24709.3,06-08-2025 09:30,-2.8,6484800,307,844725,718650,-2.5,-2.5,126075,-72.25,63375,16275,N,399600,N,71.55,68.75,74,66.8,70.85,06-08-2025 09:30,5.15,4884450,308,683400,720450,4.85,4.85,-37050,-116.3,58200,75150,N,29250,N,108.55,113.7,116.9,105.65,110.59,06-08-2025 09:30,24643.85,24650.55,24644.35,24651.3,24718.6,24728.3,24718.6,24725.2,NIFTY2580724600CE,121.55,125.2,121.05,124.95,NIFTY2580724600PE,65.95,62.15,65.75,62.1
06-08-2025 09:35,-18.1,48150,159,163725,75075,-17.2,-18.3,88650,-1260.1,38250,27975,N,-6375,Y,24717.59,24716.5,24698.4,24716.5,24690.6,06-08-2025 09:35,-6.15,7895775,280,1287600,940575,-6.25,-6.25,347025,-71.85,63675,-95850,YES,190650,N,68.25,62.1,68.25,59.9,69.74,06-08-2025 09:35,8.7,7027125,282,545025,633450,8.65,8.7,-88425,-129.55,53550,-46875,Y,2175,YES,114.4,123.1,127.05,114.4,113.41,06-08-2025 09:35,24622.15,24643.85,24622.15,24644.35,24695.4,24718.6,24698.4,24718.6,NIFTY2580724600CE,111.4,121.55,111.3,121.05,NIFTY2580724600PE,72.35,65.95,72.55,65.75
06-08-2025 09:40,1.1,26475,128,114750,60525,1.5,2.3,54225,-947.2,28950,23250,N,12675,N,24716.57,24695.4,24696.5,24702.8,24692.7,06-08-2025 09:40,1.15,3392100,312,1321275,1002675,1.35,1.3,318600,-68,65550,157350,Y,133950,N,61.7,62.85,64.15,60,69.32,06-08-2025 09:40,0.55,2792025,311,522225,577050,0.05,0.05,-54825,-133.5,56250,7575,YES,88350,Y,123.5,124.05,129.45,122,114.48,06-08-2025 09:40,24620.85,24622.85,24621.05,24622.15,24696.5,24695.4,24697,24698.4,NIFTY2580724600CE,112.25,111.4,111.9,111.3,NIFTY2580724600PE,73.15,72.35,73.4,72.55
06-08-2025 09:45,-10.2,98400,175,152400,103200,-10.2,-7.1,49200,-1553.1,45675,23400,N,-13875,Y,24712.32,24696.5,24686.3,24704.8,24684.4,06-08-2025 09:45,-0.95,6245175,240,1567800,980475,-0.8,-0.75,587325,-67.05,70650,-38250,YES,64875,N,62.5,61.55,64.6,59.7,68.56,06-08-2025 09:45,4.9,4830900,244,430125,574875,4.85,4.85,-144750,-131.05,53850,11250,N,-104775,YES,124.25,129.15,131.75,119.15,116.2,06-08-2025 09:45,24609.65,24620.85,24609.65,24621.05,24689.9,24696.5,24689.9,24697,NIFTY2580724600CE,109.65,112.25,109,111.9,NIFTY2580724600PE,76.65,73.15,76.95,73.4
06-08-2025 09:50,15.1,65175,163,116325,93750,15.1,18.3,22575,-1829.6,39600,26700,N,41700,YES,24711.5,24686.3,24701.4,24720,24684.9,06-08-2025 09:50,3.65,8551200,255,972075,1212150,4.1,4,-240075,-70.05,66600,-13500,Y,-207900,Y,61.95,65.6,71.8,60.8,68.33,06-08-2025 09:50,-10.25,4860600,248,501075,501750,-10.5,-10.55,-675,-128.4,56400,-118050,Y,106800,Y,129,118.75,131.55,107.75,116.56,06-08-2025 09:50,24626.95,24609.75,24626.95,24609.65,24701.4,24689.9,24705.9,24689.9,NIFTY2580724600CE,115.7,109.65,116.05,109,NIFTY2580724600PE,68.6,76.65,68.35,76.95
06-08-2025 09:55,-1.3,20700,108,80700,73575,-1.4,-4.6,7125,-1179.3,29250,-29325,YES,-4200,Y,24711.19,24701.4,24700.1,24708.9,24693,06-08-2025 09:55,-1.95,3525900,316,1050075,888375,-1.85,-1.9,161700,-75.9,64350,125925,Y,183600,YES,65.7,63.75,66.45,62.3,68.15,06-08-2025 09:55,3.9,2409825,314,488550,518100,4.2,4.2,-29550,-127.95,60750,74400,YES,19050,N,118.55,122.45,125.7,117.95,116.87,06-08-2025 09:55,24620.1,24627.3,24620.1,24626.95,24700.1,24701.4,24700,24705.9,NIFTY2580724600CE,112.65,115.7,112.6,116.05,NIFTY2580724600PE,71.1,68.6,71.15,68.35
06-08-2025 10:00,-25.1,114750,149,145800,114375,-30.1,-31.8,31425,-1486.2,47025,12975,Y,10575,N,24706.7,24700.1,24675,24721.7,24655,06-08-2025 10:00,-14.45,15366150,342,1198800,785700,-15.1,-15.15,413100,-75.8,68475,-678225,YES,-3375,Y,63.95,49.5,71.65,43.55,66.03,06-08-2025 10:00,13.65,7686000,339,422100,434250,15.95,15.85,-12150,-137.2,57975,-106350,Y,-338100,YES,122.1,135.75,151.7,110.75,119.42,06-08-2025 10:00,24596.45,24619.95,24595.85,24620.1,24675,24700.1,24671.3,24700,NIFTY2580724600CE,90.95,112.65,91.25,112.6,NIFTY2580724600PE,77.95,71.1,78.1,71.15
06-08-2025 10:05,9.5,177075,165,480150,119700,6.5,2.9,360450,-1371.1,42825,7350,N,26475,N,24700.91,24671.2,24680.7,24693.5,24660,06-08-2025 10:05,0.35,9965100,333,1159050,1285950,0.3,0.3,-126900,-63.45,72000,361200,Y,388425,YES,49.7,50.05,55.7,46.5,64.45,06-08-2025 10:05,-5.55,4944675,330,297300,422175,-5.9,-5.85,-124875,-140.4,51900,60525,YES,265875,Y,134.65,129.1,143,120.5,120.71,06-08-2025 10:05,24602.55,24596.45,24603.1,24595.85,24680.9,24675,24680.9,24671.3,NIFTY2580724600CE,93.75,90.95,93.7,91.25,NIFTY2580724600PE,73.05,77.95,73.15,78.1
