last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-12-19 09:15:00,27.349999999999994,30.049999999999983,29.900000000000006,-5775,-130.95000000000437,12050,3235275.0,N,37150.0,N,172.8,200.15,214.95,171.15,24.830000000000013
2024-12-19 09:20:00,19.150000000000006,18.30000000000001,18.400000000000006,-45775,-234.75,24075,-523000.0,Y,-22150.0,YES,195.6,214.75,240.75,184.4,16.840000000000003
2024-12-19 09:25:00,27.44999999999999,27.650000000000006,27.55000000000001,-24650,-210.3000000000029,20150,132225.0,YES,-25100.0,YES,213.55,241.0,241.55,206.0,4.359999999999985
2024-12-19 09:30:00,-11.949999999999989,-11.949999999999989,-11.900000000000006,4600,-186.89999999999418,24050,-503075.0,Y,1350.0,Y,239.35,227.4,245.4,222.0,4.030000000000001
2024-12-19 09:35:00,-35.650000000000006,-36.150000000000006,-36.20000000000002,-2800,-222.59999999999127,23425,-7300.0,YES,31400.0,Y,228.65,193.0,228.65,191.4,1.1400000000000148
2024-12-19 09:40:00,-42.650000000000006,-40.25,-40.349999999999994,92025,-178.5,27300,-46950.0,Y,6800.0,N,190.4,147.75,193.65,139.5,-3.700000000000017
2024-12-19 09:45:00,29.450000000000017,27.94999999999999,28.0,-2350,-160.65000000000873,27400,72825.0,YES,28325.0,Y,148.45,177.9,193.5,147.9,-1.9800000000000182
2024-12-19 09:50:00,-27.44999999999999,-26.849999999999994,-26.75,-5650,-167.70000000001164,29900,-98650.0,Y,26175.0,N,177.35,149.9,181.35,147.7,-1.7800000000000011
2024-12-19 09:55:00,9.599999999999994,7.0,7.300000000000011,9850,-160.29999999999563,32250,13650.0,YES,15100.0,N,150.1,159.7,166.1,131.95,-3.079999999999984
2024-12-19 10:00:00,-8.449999999999989,-8.599999999999994,-8.349999999999994,74075,-159.85000000000582,31700,-11775.0,Y,12300.0,N,159.75,151.3,176.85,151.1,-1.0900000000000034
2024-12-19 10:05:00,7.849999999999994,7.199999999999989,7.050000000000011,-41675,-143.0500000000029,26700,17675.0,YES,6750.0,N,152.5,160.35,160.35,145.45,-1.2800000000000011
2024-12-19 10:10:00,19.900000000000006,19.75,19.80000000000001,3325,-171.3000000000029,24550,-9675.0,Y,-5025.0,YES,161.5,181.4,188.45,159.9,-0.03999999999999204
2024-12-19 10:15:00,1.5,4.800000000000011,4.900000000000006,1000,-144.29999999999563,20525,7300.0,N,-15300.0,YES,181.75,183.25,189.95,173.9,0.17000000000001592
2024-12-19 10:20:00,-11.900000000000006,-12.150000000000006,-12.099999999999994,-400,-159.05000000001746,26600,-4475.0,Y,7550.0,Y,182.5,170.6,185.8,163.35,-0.23999999999998067
2024-12-19 10:25:00,-8.300000000000011,-9.399999999999977,-9.400000000000006,-42325,-162.25000000001455,30850,9650.0,N,16525.0,N,171.3,163.0,175.65,160.05,-0.27000000000001023
2024-12-19 10:30:00,2.1999999999999886,1.3499999999999943,1.25,-17425,-139.75000000000728,25250,500.0,Y,-8025.0,YES,163.3,165.5,167.0,155.6,-0.47999999999998977
2024-12-19 10:35:00,-3.8000000000000114,-3.450000000000017,-3.3000000000000114,-29350,-149.5,31425,6075.0,N,15750.0,Y,166.15,162.35,171.0,160.6,-0.28000000000000114
2024-12-19 10:40:00,0.3499999999999943,0.15000000000000568,0.15000000000000568,8525,-146.40000000000146,29600,1050.0,Y,250.0,YES,162.9,163.25,163.9,155.0,-0.3400000000000034
2024-12-19 10:45:00,11.449999999999989,11.0,11.25,6000,-126.55000000000291,25075,8475.0,N,2900.0,N,162.9,174.35,174.35,158.8,-0.22999999999998977
2024-12-19 10:50:00,-1.950000000000017,-2.6500000000000057,-2.8000000000000114,33575,-156.10000000000582,29350,4750.0,N,31275.0,Y,174.3,172.35,177.35,165.35,-0.1699999999999875
2024-12-19 10:55:00,0.30000000000001137,1.1500000000000057,1.0999999999999943,22550,-158.95000000000437,27600,-4150.0,Y,-12875.0,YES,172.2,172.5,178.1,168.65,-0.05000000000001137
2024-12-19 11:00:00,8.199999999999989,8.400000000000006,8.450000000000017,67025,-144.1999999999971,30725,-12750.0,Y,-28900.0,YES,172.55,180.75,185.2,171.95,0.060000000000002274
