last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
30-01-2025 09:30:00,-15.099999999999994,9451575.0,530,261725.0,247925.0,-13.199999999999989,-13.5,13800.0,-404.79999999998836,57700.0,9175450.0,N,315475.0,N,168.45,153.35,174.7,137.0,156.95
30-01-2025 09:35:00,4.5,9606775.0,535,298675.0,264075.0,4.75,4.549999999999983,34600.0,-412.0000000000291,59675.0,530775.0,N,173925.0,N,159.35,163.85,183.0,137.0,161.14
30-01-2025 09:40:00,7.050000000000011,7870950.0,536,308225.0,269825.0,6.150000000000006,6.100000000000023,38400.0,-433.95000000001164,60800.0,427950.0,N,141625.0,N,162.6,169.65,183.0,152.75,162.03
30-01-2025 09:45:00,11.650000000000006,7439850.0,536,301800.0,279650.0,12.0,12.049999999999983,22150.0,-446.20000000001164,64675.0,-143600.0,YES,78025.0,N,153.9,165.55,183.0,140.6,161.78
30-01-2025 09:50:00,2.3499999999999943,6512425.0,535,265575.0,238250.0,1.75,1.8500000000000227,27325.0,-439.3999999999942,62000.0,5275.0,Y,28975.0,N,164.5,166.85,188.7,140.6,163.67
30-01-2025 09:55:00,4.300000000000011,6514050.0,535,224775.0,228600.0,5.800000000000011,5.549999999999983,-3825.0,-443.05000000001746,62225.0,222150.0,Y,-2250.0,Y,169.95,174.25,188.7,140.6,164.53
30-01-2025 10:00:00,9.650000000000006,5498575.0,536,210350.0,229200.0,11.800000000000011,11.599999999999994,-18850.0,-445.6499999999942,59150.0,144475.0,N,-116075.0,Y,167.85,177.5,190.3,164.85,165.68
30-01-2025 10:05:00,15.0,4571675.0,541,248050.0,236000.0,15.599999999999994,15.449999999999989,12050.0,-450.3500000000058,59175.0,275475.0,Y,-3825.0,YES,166.35,181.35,190.3,165.75,166.56
30-01-2025 10:10:00,51.89999999999998,5521475.0,537,292150.0,255375.0,52.900000000000006,53.25,36775.0,-465.3500000000349,56650.0,14500.0,N,-338975.0,Y,173.05,224.95,227.8,168.85,169.48
30-01-2025 10:15:00,27.69999999999999,5926850.0,534,296025.0,245350.0,29.19999999999999,29.099999999999994,50675.0,-505.25,59150.0,-148825.0,YES,-191750.0,YES,177.3,205.0,240.15,168.85,173.2
30-01-2025 10:20:00,29.19999999999999,5074825.0,534,246275.0,240525.0,29.099999999999994,29.0,5750.0,-527.8999999999942,59850.0,-231150.0,YES,-201150.0,Y,180.55,209.75,240.15,180.55,174.04
30-01-2025 10:25:00,-5.199999999999989,3613450.0,539,234525.0,221550.0,-4.049999999999983,-3.9000000000000057,12975.0,-547.0499999999884,65725.0,-221050.0,N,71600.0,YES,224.85,219.65,240.15,202.3,175.71
30-01-2025 10:30:00,27.099999999999994,2649200.0,541,291725.0,223900.0,25.5,25.599999999999994,67825.0,-541.6000000000058,65925.0,-584700.0,YES,8925.0,N,204.55,231.65,234.8,202.3,177.13
30-01-2025 10:35:00,16.599999999999994,2623625.0,541,334400.0,242875.0,17.150000000000006,17.150000000000006,91525.0,-562.0999999999767,69175.0,-508075.0,Y,20075.0,N,209.25,225.85,237.2,207.15,178.18
30-01-2025 10:40:00,0.05000000000001137,1919900.0,539,302225.0,268325.0,-0.30000000000001137,-0.3499999999999943,33900.0,-554.6499999999942,68175.0,-528325.0,YES,36825.0,N,219.25,219.3,237.2,210.4,178.68
30-01-2025 10:45:00,-5.449999999999989,1617875.0,539,238800.0,292075.0,-7.200000000000017,-7.200000000000017,-53275.0,-559.4500000000407,67050.0,-30050.0,Y,36200.0,N,231.45,226.0,237.2,208.8,179.48
30-01-2025 10:50:00,1.75,1443350.0,539,278625.0,287625.0,1.0,1.1999999999999886,-9000.0,-559.5500000000466,67675.0,8750.0,Y,250.0,Y,225.0,226.75,232.4,208.8,180.11
30-01-2025 10:55:00,-30.0,1949275.0,540,340825.0,285900.0,-30.19999999999999,-30.100000000000023,54925.0,-564.8500000000349,69400.0,-75600.0,YES,17950.0,N,218.65,188.65,232.4,188.0,180.72
30-01-2025 11:00:00,-49.099999999999994,2697025.0,540,381950.0,265625.0,-47.54999999999998,-47.599999999999994,116325.0,-539.6500000000233,70425.0,-145100.0,YES,98775.0,YES,224.15,175.05,232.4,170.0,180.82
30-01-2025 11:05:00,-50.14999999999998,3620825.0,539,336750.0,364325.0,-52.30000000000001,-52.30000000000001,-27575.0,-501.3500000000349,74450.0,-167450.0,YES,190650.0,YES,225.45,175.3,228.15,165.1,180.57
30-01-2025 11:10:00,9.25,3929300.0,539,308225.0,342775.0,11.299999999999983,11.199999999999989,-34550.0,-473.3999999999942,72350.0,-21725.0,Y,-19625.0,Y,188.75,198.0,198.9,165.1,180.65
30-01-2025 11:15:00,31.25,3644800.0,540,286050.0,339925.0,32.60000000000002,32.599999999999994,-53875.0,-492.6499999999942,70100.0,68125.0,Y,-67375.0,Y,176.45,207.7,214.05,165.1,181.29
30-01-2025 11:20:00,28.549999999999983,3109850.0,540,296525.0,246575.0,28.599999999999994,28.80000000000001,49950.0,-517.9500000000407,65125.0,24725.0,N,-195525.0,Y,174.4,202.95,224.95,172.05,181.92
30-01-2025 11:25:00,-3.0,2477550.0,540,334325.0,295025.0,-1.3999999999999773,-1.5500000000000114,39300.0,-531.3499999999767,71225.0,-19350.0,YES,17075.0,YES,200.0,197.0,224.95,189.65,182.13
30-01-2025 11:30:00,-22.80000000000001,1913850.0,539,317800.0,341275.0,-23.400000000000006,-23.400000000000006,-23475.0,-509.25,75625.0,-11950.0,N,30925.0,N,208.4,185.6,224.95,178.6,182.23
30-01-2025 11:35:00,-34.55000000000001,1781600.0,540,300675.0,355700.0,-34.19999999999999,-34.349999999999994,-55025.0,-478.2500000000291,80800.0,-1650.0,N,105575.0,YES,200.5,165.95,207.8,165.45,182.13
30-01-2025 11:40:00,-31.149999999999977,2373000.0,540,257375.0,330275.0,-30.450000000000017,-30.5,-72900.0,-459.29999999998836,75350.0,16250.0,N,78150.0,N,195.2,164.05,199.0,154.05,181.69
30-01-2025 11:45:00,-14.75,2592625.0,539,278675.0,300825.0,-16.700000000000017,-16.700000000000017,-22150.0,-450.5,77750.0,24875.0,N,34100.0,N,183.4,168.65,183.6,154.05,181.5
30-01-2025 11:50:00,38.30000000000001,3135425.0,538,279925.0,347125.0,40.10000000000002,40.150000000000006,-67200.0,-461.9000000000233,75125.0,77375.0,Y,-102900.0,Y,166.6,204.9,208.15,154.05,181.66
30-01-2025 11:55:00,36.55000000000001,2876000.0,539,297300.0,374275.0,36.45000000000002,36.650000000000006,-76975.0,-505.6499999999942,77900.0,12550.0,N,-96350.0,N,163.45,200.0,213.85,160.45,182.13
30-01-2025 12:00:00,24.400000000000006,2566175.0,540,322800.0,407950.0,24.94999999999999,25.0,-85150.0,-526.2000000000116,77925.0,6775.0,N,-64650.0,YES,168.6,193.0,213.85,161.8,182.3
30-01-2025 12:05:00,-7.799999999999983,1659225.0,540,313950.0,389275.0,-8.200000000000017,-8.349999999999994,-75325.0,-521.6499999999942,79100.0,-18275.0,YES,27075.0,YES,206.35,198.55,213.85,190.8,182.4
30-01-2025 12:10:00,-2.9499999999999886,1136475.0,538,295375.0,394825.0,-2.450000000000017,-2.5,-99450.0,-485.04999999998836,75500.0,-14125.0,N,22800.0,N,201.0,198.05,208.9,190.8,182.52
30-01-2025 12:15:00,-1.8499999999999943,1232025.0,538,268100.0,384075.0,-1.9499999999999886,-1.8499999999999943,-115975.0,-477.6000000000058,73800.0,-51950.0,YES,-10950.0,Y,194.65,192.8,207.55,189.8,182.71
30-01-2025 12:20:00,-0.44999999999998863,1801625.0,539,259350.0,345575.0,-0.4000000000000057,-0.29999999999998295,-86225.0,-495.75,72525.0,-22550.0,Y,9850.0,YES,198.35,197.9,208.35,166.8,182.87
30-01-2025 12:25:00,4.199999999999989,2270450.0,540,260050.0,296225.0,5.650000000000006,5.849999999999994,-36175.0,-522.9499999999825,73325.0,-62975.0,YES,-38650.0,Y,198.3,202.5,221.2,166.8,183.28
30-01-2025 12:30:00,14.099999999999994,2339025.0,540,236600.0,260300.0,10.550000000000011,10.5,-23700.0,-543.0,69700.0,-62375.0,N,-47675.0,Y,191.5,205.6,228.65,166.8,183.69
30-01-2025 12:35:00,8.25,1996125.0,539,216325.0,256425.0,8.900000000000006,8.850000000000023,-40100.0,-560.1499999999942,67525.0,-143025.0,YES,-34775.0,N,197.7,205.95,228.65,188.45,183.93
30-01-2025 12:40:00,2.8500000000000227,1634650.0,537,207700.0,261800.0,3.1999999999999886,3.1499999999999773,-54100.0,-560.7500000000291,65250.0,-277575.0,YES,-17250.0,N,202.95,205.8,228.65,196.15,184.2
30-01-2025 12:45:00,-3.1999999999999886,1294200.0,536,202025.0,252700.0,-3.4000000000000057,-3.5,-50675.0,-546.1000000000058,64250.0,-237175.0,Y,15800.0,YES,206.2,203.0,225.65,196.15,184.31
30-01-2025 12:50:00,-23.650000000000006,1714875.0,537,226125.0,251500.0,-24.599999999999994,-24.75,-25375.0,-512.7000000000116,64900.0,-204425.0,Y,33575.0,N,204.9,181.25,225.65,166.15,184.21
30-01-2025 12:55:00,-34.349999999999994,1907975.0,539,236425.0,264125.0,-32.19999999999999,-32.44999999999999,-27700.0,-483.69999999998254,69100.0,10200.0,Y,57300.0,YES,205.0,170.65,211.3,166.15,184.17
30-01-2025 13:00:00,-16.0,2110575.0,540,251650.0,272775.0,-17.55000000000001,-17.549999999999983,-21125.0,-477.04999999998836,71650.0,22450.0,N,41275.0,N,203.4,187.4,205.3,166.15,184.18
30-01-2025 13:05:00,7.400000000000006,1598050.0,540,249400.0,263275.0,7.25,7.300000000000011,-13875.0,-481.5,73225.0,-212325.0,YES,-5650.0,Y,180.9,188.3,197.75,170.65,184.23
30-01-2025 13:10:00,9.0,1426975.0,540,224525.0,228575.0,8.599999999999994,8.550000000000011,-4050.0,-491.04999999998836,67675.0,-235875.0,YES,18625.0,YES,172.0,181.0,197.75,171.35,184.23
30-01-2025 13:15:00,-17.950000000000017,1328925.0,540,202100.0,204450.0,-12.849999999999994,-12.900000000000006,-2350.0,-477.5,62775.0,-259125.0,YES,41375.0,YES,188.4,170.45,197.75,170.45,184.2
30-01-2025 13:20:00,-26.69999999999999,1679750.0,540,172850.0,203525.0,-27.44999999999999,-27.25,-30675.0,-472.6499999999651,57775.0,-36225.0,Y,71175.0,YES,187.0,160.3,191.9,160.05,183.98
30-01-2025 13:25:00,-18.149999999999977,1690075.0,541,161625.0,194950.0,-17.399999999999977,-17.5,-33325.0,-453.3499999999767,59625.0,-23850.0,N,47600.0,N,180.7,162.55,186.0,160.05,183.84
30-01-2025 13:30:00,-30.44999999999999,2507450.0,542,226075.0,191750.0,-28.150000000000006,-28.25,34325.0,-431.0,60225.0,-50950.0,YES,49000.0,N,170.85,140.4,180.0,137.85,183.08
30-01-2025 13:35:00,-26.69999999999999,2803050.0,542,256575.0,172750.0,-27.05000000000001,-27.150000000000006,83825.0,-403.44999999998254,63900.0,-3825.0,Y,47400.0,N,162.2,135.5,176.35,133.95,182.25
30-01-2025 13:40:00,-18.650000000000006,3360950.0,536,272700.0,187250.0,-18.69999999999999,-18.400000000000006,85450.0,-384.79999999998836,61875.0,-269375.0,YES,33150.0,N,162.0,143.35,165.7,130.55,181.53
30-01-2025 13:45:00,-2.799999999999983,3077450.0,535,218900.0,211925.0,-3.9000000000000057,-4.0,6975.0,-385.55000000001746,64225.0,-222500.0,Y,-4725.0,Y,141.1,138.3,157.0,130.55,180.97
30-01-2025 13:50:00,-16.650000000000006,3236050.0,535,218000.0,229675.0,-16.750000000000014,-16.75,-11675.0,-383.1500000000233,60825.0,-292225.0,YES,25425.0,YES,134.25,117.6,157.0,117.05,179.92
30-01-2025 13:55:00,-33.099999999999994,4249700.0,540,241350.0,244425.0,-33.8,-33.80000000000001,-3075.0,-359.0,64025.0,43275.0,Y,74150.0,YES,143.35,110.25,157.0,103.6,177.77
30-01-2025 14:00:00,-23.200000000000003,5552250.0,535,251775.0,242675.0,-22.549999999999997,-22.599999999999994,9100.0,-324.3999999999942,67600.0,85700.0,Y,99075.0,YES,139.15,115.95,139.15,103.6,175.55
30-01-2025 14:05:00,3.3499999999999943,6217850.0,535,254325.0,281425.0,3.6000000000000085,3.6000000000000085,-27100.0,-316.8499999999767,69975.0,104500.0,N,2625.0,Y,118.15,121.5,133.15,103.6,174.04
30-01-2025 14:10:00,4.25,7508000.0,535,219800.0,286850.0,0.6500000000000057,0.6500000000000057,-67050.0,-335.1000000000349,70075.0,-11825.0,YES,28575.0,YES,110.1,114.35,133.15,91.45,171.15
30-01-2025 14:15:00,-6.550000000000011,7211675.0,540,225700.0,275925.0,-8.199999999999989,-8.200000000000003,-50225.0,-345.0,65575.0,-11050.0,N,37625.0,N,115.65,109.1,133.15,91.45,169.63
30-01-2025 14:20:00,-5.75,6981200.0,537,239050.0,255300.0,-5.049999999999997,-5.1499999999999915,-16250.0,-330.70000000001164,63125.0,71175.0,Y,95775.0,YES,119.55,113.8,129.85,91.45,168.32
30-01-2025 14:25:00,-6.6000000000000085,5535425.0,537,338650.0,242950.0,-5.799999999999997,-5.75,95700.0,-318.3999999999942,63050.0,148025.0,Y,64375.0,N,114.15,107.55,124.1,101.2,166.84
30-01-2025 14:30:00,-26.450000000000003,6616225.0,533,368900.0,294050.0,-25.849999999999994,-25.799999999999997,74850.0,-303.3999999999942,64175.0,23700.0,N,83050.0,N,109.55,83.1,120.05,81.8,163.94
30-01-2025 14:35:00,-49.599999999999994,10107400.0,536,394125.0,319000.0,-49.3,-49.45,75125.0,-268.30000000001746,70150.0,118000.0,Y,40200.0,N,112.6,63.0,115.0,56.9,158.09
30-01-2025 14:40:00,-40.2,14345275.0,531,345400.0,344400.0,-39.60000000000001,-39.8,1000.0,-221.10000000000582,66775.0,171725.0,Y,130475.0,YES,107.65,67.45,107.65,52.85,151.75
