last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-08-28 09:15:00,16.250000000000014,8999700.0,172,208200,203400,17.5,17.500000000000014,4800,-112.75000000000728,36000,853425.0,N,160575.0,N,122.05,138.3,147.9,122.05,119.42
2025-08-28 09:20:00,47.400000000000006,10853325.0,346,329775,380625,48.19999999999999,48.30000000000001,-50850,-187.59999999999127,55125,-182025.0,Y,-284700.0,YES,138.15,185.55,186.9,133.05,131.92
2025-08-28 09:25:00,-18.19999999999999,4937400.0,342,275550,476100,-18.80000000000001,-19.0,-200550,-189.35000000000582,57225,-117600.0,YES,181875.0,Y,186.6,168.4,190.4,158.15,137.37
2025-08-28 09:30:00,20.450000000000017,3866925.0,360,258075,318375,21.349999999999994,21.399999999999977,-60300,-200.6999999999971,59775,20025.0,YES,-67650.0,YES,168.1,188.55,188.75,166.55,141.15
2025-08-28 09:35:00,-27.650000000000006,2381850.0,359,241650,262350,-27.700000000000017,-27.75,-20700,-198.35000000000582,50175,-111300.0,Y,137550.0,Y,189.55,161.9,190.25,161.05,143.01
2025-08-28 09:40:00,-21.80000000000001,3752625.0,351,354675,341625,-22.299999999999983,-22.25,13050,-166.8000000000029,60825,-43500.0,YES,60675.0,N,161.8,140.0,161.8,135.55,143.18
2025-08-28 09:45:00,-0.14999999999997726,3966900.0,359,374550,354075,-0.09999999999999432,-0.05000000000001137,20475,-154.29999999998836,61050,-30300.0,N,38925.0,N,140.7,140.55,151.15,121.8,142.67
2025-08-28 09:50:00,-27.35000000000001,3231300.0,360,327000,314625,-27.549999999999983,-27.599999999999994,12375,-144.89999999999418,55500,-35175.0,Y,78525.0,Y,141.65,114.3,146.45,113.25,141.7
2025-08-28 09:55:00,2.799999999999997,2651175.0,362,342750,350325,3.700000000000003,3.700000000000003,-7575,-142.79999999999563,58050,97425.0,YES,45375.0,N,114.05,116.85,132.45,114.05,140.79
2025-08-28 10:00:00,-6.900000000000006,2972475.0,334,368250,359475,-6.950000000000003,-7.049999999999997,8775,-133.0500000000029,60075,-14175.0,Y,37350.0,N,116.2,109.3,131.05,105.75,139.62
2025-08-28 10:05:00,10.650000000000006,3091125.0,313,368850,365625,11.550000000000011,11.550000000000011,3225,-124.5,58425,82275.0,YES,9600.0,N,109.75,120.4,123.55,104.7,138.34
2025-08-28 10:10:00,7.0,2844525.0,289,361275,333075,7.6000000000000085,7.699999999999989,28200,-128.20000000000437,55275,78825.0,N,6375.0,N,121.5,128.5,130.2,113.1,137.64
2025-08-28 10:15:00,15.849999999999994,4191900.0,231,251700,415125,14.599999999999994,14.599999999999994,-163425,-121.19999999998981,52425,1120650.0,YES,-155775.0,YES,128.9,144.75,149.25,120.2,137.39
2025-08-28 10:20:00,-5.849999999999994,2535825.0,228,238500,268800,-5.399999999999977,-5.400000000000006,-30300,-145.8000000000029,50625,-40200.0,Y,70800.0,Y,145.0,139.15,151.05,136.9,137.64
2025-08-28 10:25:00,-22.249999999999986,2241000.0,236,327450,324375,-21.099999999999994,-21.25,3075,-132.29999999999563,55875,-41625.0,Y,89700.0,N,139.45,117.2,141.0,117.2,137.32
2025-08-28 10:30:00,-27.25,3439500.0,250,319875,298050,-26.700000000000003,-26.75,21825,-109.90000000000146,53925,-128025.0,Y,41175.0,N,117.4,90.15,121.85,90.0,135.93
