last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
03-07-2025 13:30,8.4,13.1,10.4,-30075,-1598.4,30150,-5925,YES,525,N,-0.01,25594.8,25603.2,03-07-2025 13:30,10.45,9.85,9.8,-10275,-68.3,81675,-232950,YES,-1486650,Y,38.45,48.9,58.2,32.3,-0.03,-6.45,-5.9,-5.95,149625,-71.9,100950,-223350,Y,6000,Y,41.85,35.4,48,31.7,0.09
03-07-2025 13:35,47.7,46.7,42,-28875,-1664.1,39675,-60075,YES,-20325,Y,1.62,25605.4,25653.1,03-07-2025 13:35,42.1,42.4,42.45,-140325,-118.35,72000,-1078725,YES,-1243725,YES,49.7,91.8,98.8,47.45,1.04,-17.7,-17.8,-17.85,-214350,-52.4,128250,65775,YES,653475,Y,34.8,17.1,37.35,16.3,-0.38
03-07-2025 13:40,5.5,0.9,5.2,-108525,-1579,52350,23325,Y,-8550,N,2.59,25652.5,25658,03-07-2025 13:40,2.65,2.35,2.3,-46725,-136.55,68475,-771225,Y,-27150,YES,93.3,95.95,115.85,84.9,0.88,-2.45,-2.35,-2.3,311025,-44.5,146925,20325,N,529800,N,17.5,15.05,17.65,14.05,-0.49
03-07-2025 13:45,-50.7,-52.9,-50.4,39150,-1419.4,43275,-34500,YES,14700,YES,0.39,25658,25607.3,03-07-2025 13:45,-60.45,-60.5,-60.45,18225,-100.2,63450,-799650,YES,618600,YES,98,37.55,103.7,34.6,0.25,15.1,14.95,15,122850,-46.9,139500,461775,YES,-1257075,YES,14.75,29.85,31.9,14.05,-0.52
03-07-2025 13:50,3,3.2,-1.9,113700,-1022.8,32700,-46425,YES,67425,YES,-0.14,25606.6,25609.6,03-07-2025 13:50,3.1,3.5,3.5,10350,-66.45,79800,1595250,Y,456600,N,36.6,39.7,43.2,27.4,-0.26,3.95,4.1,4.1,49425,-61.7,97725,-141825,Y,192675,Y,30.55,34.5,38.85,27.95,0
03-07-2025 13:55,-17.6,-13,-15.9,103275,-1143.1,37425,-14250,Y,18975,N,-0.26,25609.6,25592,03-07-2025 13:55,-4.45,-4.35,-4.4,-107700,-61.35,94875,178575,N,404025,N,39.15,34.7,42.2,24.8,-0.29,8.2,9.95,9.9,-23025,-67.95,95025,-256725,Y,-810450,YES,34.4,42.6,55.1,31.45,0.22
03-07-2025 14:00,12.7,9.9,11.4,29175,-1071.8,40650,3450,N,53400,YES,-0.08,25592,25604.7,03-07-2025 14:00,9.3,9.15,9.2,7200,-64.15,97500,860025,Y,-485325,Y,34.6,43.9,43.9,32.15,-0.12,-7.6,-6.8,-6.75,-27225,-71.2,83250,-166350,YES,383775,Y,42.4,34.8,47.25,34.6,0.09
03-07-2025 14:05,-6.3,-3.3,-2.1,-80100,-1070.3,32850,-6375,YES,45900,N,-0.09,25604.7,25598.4,03-07-2025 14:05,0.5,0.5,0.55,-54375,-62.95,86025,146925,N,-22500,YES,43.2,43.7,44.1,33.35,-0.1,2.55,2.65,2.7,83100,-63.4,83400,211425,YES,-31275,YES,34.95,37.5,46.5,33.85,0.08
03-07-2025 14:10,-12.7,-9,-11.7,-24075,-1225.2,31875,-46800,YES,-10500,Y,-0.08,25602.7,25590,03-07-2025 14:10,-13.6,-12.95,-13,48825,-62.7,97050,-153225,YES,523050,YES,42.8,29.2,43.25,25.9,-0.2,2.1,2.05,2,43725,-64.9,91575,-38775,Y,108300,Y,38,40.1,44.75,32.5,0.06
03-07-2025 14:15,-5.4,-4.9,-3.9,33525,-1497.5,38325,12975,Y,10350,YES,-0.08,25591,25585.6,03-07-2025 14:15,-10.05,-9.5,-9.5,170550,-47.75,126075,123150,Y,1219800,YES,29.05,19,31.05,18.35,-0.55,-5.35,-4.8,-4.85,51750,-61.9,109950,361125,YES,193050,Y,40.25,34.9,41.75,28.3,0
03-07-2025 14:20,-5.6,-5.6,-4.7,-30825,-1012.1,41925,-21000,YES,-9750,Y,-1.24,25585.6,25580,03-07-2025 14:20,-1.55,-1.55,-1.55,463800,-38.2,132375,449850,Y,36825,N,18.85,17.3,20.5,12.65,-0.97,2.4,2.35,2.3,-95250,-67.95,90450,-501300,Y,-588825,YES,35.2,37.6,53.2,31.1,0.2
03-07-2025 14:25,-25.3,-28.1,-29.2,-116400,-1477.3,47025,13575,Y,11850,YES,-0.76,25580,25554.7,03-07-2025 14:25,-5.1,-5.3,-5.3,446025,-34.25,152850,-10050,YES,918075,YES,16.35,11.25,17,10.85,-0.88,29,29.85,29.9,67875,-77.8,83775,-115200,YES,-860700,YES,39.2,68.2,69.1,37.95,0.32
03-07-2025 14:30,-19,-25,-26.2,-22275,-1829.9,64350,-26100,YES,39900,YES,-5.94,25546,25527,03-07-2025 14:30,-3.05,-3.25,-3.25,454275,-27.15,153900,-3134100,YES,-194925,Y,10.75,7.7,10.75,6.7,-1.33,21.45,23.1,23.1,-24675,-129.15,64950,-2266425,Y,-241725,Y,68.5,89.95,112.35,67.6,1.1
03-07-2025 14:35,-19,-19.9,-19,-173850,-1173.7,56025,29100,Y,32625,N,-3.97,25527,25508,03-07-2025 14:35,-3.25,-3.3,-3.3,842100,-26,151425,-1458825,Y,-309300,Y,7.5,4.25,7.5,3.8,-1.03,14.85,14.75,14.9,27075,-146.5,58575,-2265750,N,-239850,N,90.65,105.5,132.05,85.35,0.74
03-07-2025 14:40,0.6,3.6,5,41925,-1175.7,51300,10200,N,-24150,Y,-3.86,25508,25508.6,03-07-2025 14:40,-1.05,-1.15,-1.15,-5155875,-23.95,157425,2481375,Y,339450,YES,4.3,3.25,5.35,2.35,-1,-8.95,-7.25,-7.3,179325,-129.7,51600,-353850,YES,141525,Y,104.45,95.5,111.25,90.6,0.32
03-07-2025 14:45,-12.9,-14.5,-16.4,-93150,-1190.7,48600,53850,Y,525,YES,-2.15,25508.5,25495.6,03-07-2025 14:45,-1.4,-1.4,-1.4,7529925,-23.3,167925,-601800,YES,1394700,YES,3.15,1.75,5.75,1.65,-1.68,12.15,13.7,13.8,26925,-114.35,53550,-1611825,Y,-141225,YES,95.85,108,113.7,65.7,0.44
03-07-2025 14:50,11.4,10.7,11.4,-91650,-1508.7,49950,18675,N,-16275,Y,-1.36,25495.6,25507,03-07-2025 14:50,-0.4,-0.45,-0.45,18391200,-23.3,162675,2084550,Y,749700,N,1.75,1.35,1.9,1.1,-0.96,-14.15,-13.35,-13.35,-20325,-127.95,53850,-1335600,YES,85050,Y,107.75,93.6,109.85,87.5,0.25
03-07-2025 14:55,4,4,5.4,48675,-1546.9,61275,-7425,YES,9375,YES,-1.66,25507,25511,03-07-2025 14:55,-0.45,-0.45,-0.45,6054375,-23.65,185175,-2055075,YES,2218050,YES,1.35,0.9,1.85,0.9,-0.83,-3.1,-2.3,-2.3,-47625,-115.35,60675,-467925,YES,132150,Y,93.8,90.7,101,85.65,0.2
