last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2024-12-16 09:15:00,-3.6500000000000057,-3.8000000000000114,-3.8500000000000227,325,-86.45000000001164,15000,-20350.0,N,53575.0,N,4.349999999999994
2024-12-16 09:20:00,14.150000000000006,14.599999999999994,14.700000000000017,-40650,-147.75000000001455,24050,-702100.0,Y,66075.0,N,4.610000000000014
2024-12-16 09:25:00,19.150000000000006,20.25,20.30000000000001,-18725,-156.0,24025,-14900.0,YES,-98175.0,YES,4.1200000000000045
2024-12-16 09:30:00,13.800000000000011,15.25,15.5,-1125,-153.09999999999127,20250,-12825.0,N,10500.0,Y,6.400000000000006
2024-12-16 09:35:00,3.8499999999999943,3.5999999999999943,3.8499999999999943,-2450,-169.19999999998254,22925,-38850.0,Y,-2375.0,YES,3.789999999999992
2024-12-16 09:40:00,-36.94999999999999,-36.349999999999994,-36.45000000000002,-800,-164.69999999998254,19775,-15775.0,YES,71100.0,Y,0.7700000000000102
2024-12-16 09:45:00,-8.0,-7.699999999999989,-7.75,-64050,-142.5499999999738,21675,13275.0,YES,13175.0,N,-1.3100000000000023
2024-12-16 09:50:00,-2.75,-2.8499999999999943,-3.0,-16275,-134.85000000002037,22550,178025.0,YES,15200.0,N,-1.6800000000000068
2024-12-16 09:55:00,18.150000000000006,18.200000000000017,18.30000000000001,-39300,-134.84999999999854,19550,-775.0,Y,-15875.0,YES,-0.44999999999998863
2024-12-16 10:00:00,0.5999999999999943,1.5999999999999943,1.5999999999999943,26125,-158.8000000000029,23700,155550.0,YES,38500.0,Y,0.6599999999999966
2024-12-16 10:05:00,-14.599999999999994,-14.950000000000017,-15.050000000000011,-9375,-150.19999999998254,26350,223550.0,YES,16825.0,N,0.03999999999999204
2024-12-16 10:10:00,18.150000000000006,17.80000000000001,17.75,-24200,-157.49999999998545,28600,46750.0,N,-5350.0,YES,0.3400000000000034
2024-12-16 10:15:00,24.649999999999977,25.099999999999994,25.25,2675,-174.35000000000582,25275,-64200.0,Y,-98525.0,YES,2.569999999999993
2024-12-16 10:20:00,4.400000000000006,4.25,4.299999999999983,10400,-151.24999999998545,22425,8125.0,YES,24900.0,Y,1.0700000000000216
2024-12-16 10:25:00,20.0,19.450000000000017,19.549999999999983,8475,-171.29999999998836,21550,400.0,Y,-70250.0,YES,2.359999999999985
2024-12-16 10:30:00,-10.849999999999994,-11.650000000000006,-11.400000000000006,-17575,-195.49999999998545,27100,-35050.0,Y,13350.0,Y,1.5999999999999943
2024-12-16 10:35:00,-13.950000000000017,-14.25,-14.25,-24550,-194.14999999997963,26425,-8150.0,YES,5725.0,N,0.9399999999999977
2024-12-16 10:40:00,15.300000000000011,15.600000000000023,15.349999999999994,-59475,-182.75,29350,14125.0,YES,-11550.0,YES,0.6699999999999875
2024-12-16 10:45:00,2.0,2.0,1.950000000000017,33850,-182.20000000001164,30325,6775.0,N,4475.0,N,0.5700000000000216
2024-12-16 10:50:00,2.9000000000000057,3.75,3.9000000000000057,-325,-174.6999999999971,24100,-11800.0,Y,-13175.0,YES,0.75
2024-12-16 10:55:00,9.349999999999994,9.349999999999994,9.599999999999994,-4525,-198.4499999999971,23200,2475.0,N,8575.0,Y,0.9399999999999977
2024-12-16 11:00:00,-5.400000000000006,-5.599999999999994,-5.75,-21850,-197.54999999998836,26350,-9150.0,Y,550.0,YES,0.9000000000000057
2024-12-16 11:05:00,-5.600000000000023,-6.75,-6.650000000000006,-9425,-193.5,25675,-6925.0,N,3700.0,N,0.6299999999999955
2024-12-16 11:10:00,32.10000000000002,30.850000000000023,31.150000000000034,3700,-200.75,26675,32175.0,YES,-82475.0,YES,1.240000000000009
2024-12-16 11:15:00,-15.350000000000023,-14.850000000000023,-15.149999999999977,-4350,-191.5500000000029,25125,-41325.0,Y,27100.0,Y,1.5999999999999943
2024-12-16 11:20:00,-2.400000000000034,-2.6000000000000227,-2.6000000000000227,-22225,-196.60000000000582,25900,5175.0,YES,2725.0,YES,0.6000000000000227
2024-12-16 11:25:00,7.650000000000006,7.0,7.250000000000028,34900,-184.15000000000873,23350,-1750.0,Y,7775.0,N,0.5600000000000023
2024-12-16 11:30:00,-4.400000000000034,-4.4500000000000455,-4.399999999999977,6725,-195.64999999999418,31175,-7850.0,Y,-225.0,YES,0.46999999999999886
2024-12-16 11:35:00,-7.899999999999977,-7.299999999999983,-7.349999999999994,-20125,-159.8000000000029,26225,-6875.0,N,575.0,N,0.4300000000000068
2024-12-16 11:40:00,6.399999999999977,7.199999999999989,7.0,-41875,-183.25000000001455,26975,17525.0,YES,375.0,YES,0.3100000000000023
2024-12-16 11:45:00,-11.549999999999983,-11.750000000000028,-11.900000000000006,-8850,-194.1999999999971,27350,-15425.0,Y,17650.0,N,0.3299999999999841
2024-12-16 11:50:00,9.150000000000006,8.599999999999994,8.599999999999994,-1925,-174.89999999999418,26700,23075.0,YES,-5350.0,YES,0.3400000000000034
2024-12-16 11:55:00,8.149999999999977,7.949999999999989,7.9500000000000455,-11700,-197.34999999999127,29775,-12175.0,Y,-6925.0,YES,0.5200000000000102
2024-12-16 12:00:00,-3.4499999999999886,-4.350000000000023,-4.25,-3925,-178.44999999998254,22175,-11525.0,N,-1075.0,N,0.5600000000000023
2024-12-16 12:05:00,12.449999999999989,11.149999999999977,11.25,8725,-210.0500000000029,23725,16825.0,YES,-5575.0,YES,0.3599999999999852
2024-12-16 12:10:00,0.8000000000000114,0.6999999999999886,0.75,16850,-230.25,28350,4850.0,N,-5550.0,N,0.46999999999999886
2024-12-16 12:15:00,-5.949999999999989,-5.7999999999999545,-5.899999999999977,-22600,-206.09999999997672,21625,-21525.0,Y,19100.0,Y,0.6500000000000057
2024-12-16 12:20:00,-2.0,-2.3000000000000114,-2.3000000000000114,-29575,-218.30000000001746,27850,7825.0,YES,23550.0,N,0.3199999999999932
2024-12-16 12:25:00,7.75,8.399999999999977,8.399999999999977,12525,-204.14999999999418,31850,3825.0,N,-15550.0,YES,0.4399999999999977
2024-12-16 12:30:00,-21.700000000000045,-20.850000000000023,-20.80000000000001,-41450,-227.89999999999418,30750,-27350.0,Y,6425.0,Y,0.5
2024-12-16 12:35:00,1.4499999999999886,2.1999999999999886,1.9499999999999886,-23300,-194.85000000000582,28850,30225.0,YES,7700.0,N,0.37000000000000455
2024-12-16 12:40:00,-5.099999999999966,-4.650000000000006,-4.650000000000034,-5475,-180.85000000000582,26400,2225.0,Y,400.0,YES,0.1799999999999784
2024-12-16 12:45:00,-5.900000000000006,-6.099999999999994,-6.099999999999994,11475,-182.75,29050,-5575.0,Y,-5850.0,YES,0.30000000000001137
2024-12-16 12:50:00,0.8499999999999943,1.25,1.0999999999999943,-6825,-180.09999999999127,25300,1625.0,N,7325.0,N,0.19999999999998863
2024-12-16 12:55:00,2.75,2.5,2.5,16650,-157.29999999998836,26250,4150.0,N,-6550.0,YES,0.20000000000001705
2024-12-16 13:00:00,-13.75,-13.5,-13.600000000000023,4725,-184.35000000000582,30425,-7100.0,Y,7075.0,N,0.18000000000000682
2024-12-16 13:05:00,-0.700000000000017,-0.8000000000000114,-0.9000000000000057,-5675,-178.14999999999418,36250,-850.0,N,-4225.0,YES,0.1799999999999784
2024-12-16 13:10:00,-2.0500000000000114,-2.8000000000000114,-2.6999999999999886,12100,-170.14999999999418,31775,-18800.0,Y,2400.0,N,0.13000000000002387
2024-12-16 13:15:00,-11.850000000000023,-11.200000000000017,-11.349999999999994,-1800,-173.64999999999418,28950,-41125.0,Y,15850.0,N,0.1599999999999966
2024-12-16 13:20:00,19.349999999999994,19.0,19.399999999999977,34650,-154.89999999999418,27450,108275.0,YES,-21875.0,YES,0.1699999999999875
2024-12-16 13:25:00,1.0999999999999943,0.6000000000000227,0.6500000000000057,11725,-170.3000000000029,24425,825.0,Y,7300.0,Y,0.2400000000000091
2024-12-16 13:30:00,-3.6500000000000057,-2.5999999999999943,-2.5999999999999943,-22150,-176.6999999999971,24075,6500.0,N,8575.0,N,0.12000000000000455
2024-12-16 13:35:00,-6.75,-6.949999999999989,-6.949999999999989,22750,-173.5,34950,-7825.0,Y,6000.0,N,0.1599999999999966
2024-12-16 13:40:00,-1.5500000000000114,-0.25,-0.30000000000001137,-6075,-146.25000000001455,24150,1900.0,N,-10525.0,YES,0.11000000000001364
