last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
12-11-2024 09:25,-11.4,-10.65,-9.5,6200,-848.4,10675,-17000,N,16500,N,-1.69,24258.7,24247.3,12-11-2024 09:25,-7.5,-6.8,-6.75,27250,-40.2,16875,-56250,N,58300,N,68.45,60.95,68.45,60.9,-0.88,12-11-2024 09:25,7.9,8.25,8.35,-8725,-104.5,14000,4275,N,-75,N,173.45,181.35,183.55,168.3,1.41
12-11-2024 09:30,12.95,11.25,10,-7500,-1174.85,20100,16100,Y,8800,N,-4.73,24247,24259.95,12-11-2024 09:30,5.25,5.75,5.85,1875,-65.1,29225,38325,Y,-17575,Y,60.6,65.85,67.5,58.15,-1.3,12-11-2024 09:30,-5.1,-6.05,-6.25,-35250,-160.3,22025,-9875,YES,-30500,Y,182.05,176.95,194.75,171.85,3.46
12-11-2024 09:35,-45.05,-48.1,-43.55,55525,-1038.7,16625,2000,YES,-16725,Y,-7.58,24258.25,24213.2,12-11-2024 09:35,-9.3,-9.15,-9.1,35000,-58.7,28625,-13575,YES,40450,YES,65.8,56.5,66.8,53.55,-2,12-11-2024 09:35,38.25,38.6,39,-7350,-180.8,19225,4325,N,-31550,Y,176.95,215.2,222.2,174.1,7.48
12-11-2024 09:40,7.5,6.75,2.2,24050,-1429.5,16400,8550,N,90875,YES,-2.52,24214.25,24221.75,12-11-2024 09:40,-0.65,-0.2,-0.15,-86275,-61.3,31325,40925,Y,34375,N,56.95,56.3,62.3,54.9,-0.79,12-11-2024 09:40,-6.25,-5.65,-5.7,-3875,-186.85,21800,8100,N,11775,YES,213.75,207.5,219.2,196,2.74
12-11-2024 09:45,-4.85,-5.45,-3.8,9025,-1440.7,14425,-1750,YES,46300,N,-5.66,24224.8,24219.95,12-11-2024 09:45,-3.4,-3.1,-3.05,5025,-57.5,31775,62275,Y,66950,YES,56.65,53.25,57.35,48.55,-1.34,12-11-2024 09:45,2.05,1.7,1.75,-12000,-191.45,20900,-4325,YES,-5750,Y,206.7,208.75,232,202.8,3.54
12-11-2024 09:50,-7.8,-4.4,-8.75,-57950,-1116.9,16450,-5375,YES,9775,N,-1.96,24220.1,24212.3,12-11-2024 09:50,-2.5,-2.45,-2.4,57100,-57.45,28200,17375,N,30650,N,53.7,51.2,57.5,50.8,-0.75,12-11-2024 09:50,11.95,10.35,10.4,-27600,-191.9,23425,14450,N,14300,YES,206.95,218.9,218.9,193.55,1.39
12-11-2024 09:55,104.15,99,100.6,75,-1074.2,17650,71575,Y,-55250,Y,4.24,24209.85,24314,12-11-2024 09:55,31.1,30.5,30.75,6750,-62.25,23725,36875,N,-338250,Y,51.05,82.15,84.8,50.15,1,12-11-2024 09:55,-73.55,-73.5,-73.6,4625,-188.2,19150,-39775,YES,10975,N,218.15,144.6,220.9,144.35,-1.12
12-11-2024 10:00,-75.35,-73.3,-74.7,-71975,-1285.9,22950,-31100,YES,45825,YES,3.33,24307.45,24232.1,12-11-2024 10:00,-24.95,-24.95,-25.1,2475,-73.85,24025,-62225,YES,348500,YES,81.65,56.7,84.1,50.1,0.1,12-11-2024 10:00,57.05,56.5,56.5,8325,-170.9,20925,43525,Y,-18700,Y,140.2,197.25,209.2,139.25,-1.95
12-11-2024 10:05,12.65,15.65,15,-21125,-1219,16150,10950,Y,17300,N,-0.74,24237.35,24250,12-11-2024 10:05,2.3,2.45,2.4,26000,-63.3,22575,46200,Y,-44025,Y,56.25,58.55,59.5,54.05,-0.4,12-11-2024 10:05,-12.95,-12.45,-12.45,17925,-182.15,22525,1000,YES,8650,YES,198.15,185.2,207.3,184.55,0.5
12-11-2024 10:10,-12.1,-15.35,-12.15,1075,-1244.45,14300,-1775,YES,1900,Y,-0.4,24250,24237.9,12-11-2024 10:10,-4.5,-4.45,-4.5,-7475,-59.1,25275,35275,N,50500,YES,57.9,53.4,66.4,51.85,-0.45,12-11-2024 10:10,4.6,5.45,5.45,8225,-161.4,23725,17625,N,-2400,Y,187.85,192.45,200.1,170.05,0.08
