last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
12-11-2024 10:15,25.25,23.4,18.4,-29950,-1194.95,20500,7700,N,10925,N,-0.27,24231.8,24257.05,12-11-2024 10:15,4.2,4.45,4.45,105375,-58.9,30675,-5075,YES,46675,N,53.3,57.5,63.45,52,-0.3,12-11-2024 10:15,-13.15,-13.4,-13.05,-5950,-163.65,24250,200,YES,1875,N,192.45,179.3,195.35,168.45,-0.22
12-11-2024 10:20,-16.1,-17.1,-16.6,-625,-929.4,15675,1025,YES,-7425,Y,-0.05,24257.1,24241,12-11-2024 10:20,-4.75,-4.55,-4.6,40925,-59.4,26400,15375,Y,62475,N,57.9,53.15,60.35,52.8,-0.28,12-11-2024 10:20,10.75,9.5,9.6,24950,-162.85,21350,4125,N,-625,Y,177.85,188.6,190.15,172.55,-0.07
12-11-2024 10:25,29.95,26,27,-37700,-908.05,13600,-9325,YES,-55950,Y,0.12,24240,24269.95,12-11-2024 10:25,6.6,6.15,6.2,71500,-65.3,31450,35525,Y,-43975,Y,53.45,60.05,64.65,52.15,-0.15,12-11-2024 10:25,-20.75,-20.1,-19.85,-12375,-163.5,22100,-800,YES,11700,N,188.6,167.85,192,163.35,-0.37
12-11-2024 10:30,-28.8,-24.85,-25,-14875,-1076.15,16900,1250,N,6325,YES,0.15,24270,24241.2,12-11-2024 10:30,-5.5,-5.2,-5.2,6275,-59.9,28525,-44350,YES,112925,YES,59.9,54.4,65.35,54.2,-0.22,12-11-2024 10:30,21.9,20.7,20.7,-2100,-151.8,22800,3225,N,-18850,Y,167.85,189.75,190.5,161.05,-0.38
12-11-2024 10:35,-48.2,-50.05,-53.05,-10425,-1258,18575,-36725,YES,12050,N,-6.12,24240.05,24191.85,12-11-2024 10:35,-10.85,-11.2,-11.25,-15975,-54.1,27575,-27000,N,53425,N,54.5,43.65,55.05,42.9,-1.15,12-11-2024 10:35,40.4,42.15,42.4,-25250,-196.95,23650,4425,N,-20225,Y,189.25,229.65,234.95,187.9,2.73
12-11-2024 10:40,11,13.05,14.5,-23750,-1120.4,16600,-40550,YES,14100,N,-2.4,24191.85,24202.85,12-11-2024 10:40,4.25,4.55,4.65,-108025,-49.05,26725,102350,Y,-36400,Y,43.55,47.8,49.65,41.85,-0.69,12-11-2024 10:40,-11.85,-13.2,-13.15,-14400,-200.15,22550,12075,N,4450,YES,230.3,218.45,239.05,212,1.59
12-11-2024 10:45,13.3,22.9,20.05,-17150,-1020.7,13225,6400,Y,225,Y,-1.27,24202.9,24216.2,12-11-2024 10:45,2.4,2.55,2.5,30575,-50.7,26875,89950,N,27975,YES,46.9,49.3,50.5,43.45,-0.45,12-11-2024 10:45,-12.7,-14.4,-14.6,-16875,-214.65,20425,-8850,YES,15925,N,221.15,208.45,237.2,205.6,0.77
12-11-2024 10:50,-1.55,-7.85,-7.1,-6025,-1076.55,11550,-4325,YES,11625,N,-0.44,24216.2,24214.65,12-11-2024 10:50,-1.5,-1.25,-1.2,25325,-52.8,33850,-34075,YES,15100,N,49.65,48.15,51.7,45.6,-0.35,12-11-2024 10:50,3.8,3.75,4,-18725,-196.7,19875,-3050,N,3050,N,207.15,210.95,220.5,200.6,0.32
12-11-2024 10:55,-1,0.95,3,48100,-832.8,17350,-525,N,7450,N,-0.52,24215,24214,12-11-2024 10:55,-0.05,-0.1,-0.05,-30375,-51.35,32650,-5950,Y,-15450,Y,48.3,48.25,52.35,47.5,-0.36,12-11-2024 10:55,-3.25,-2.35,-2.45,-7625,-178.45,21475,2775,N,4875,N,210.95,207.7,214.5,195.7,0.19
12-11-2024 11:00,-4.8,-4.7,-4.15,-21150,-1028.35,11575,2800,N,5525,N,-0.32,24212.8,24208,12-11-2024 11:00,-0.75,-0.45,-0.4,6775,-52,27225,-20725,YES,5850,YES,48.15,47.4,52.65,44.95,-0.3,12-11-2024 11:00,3.3,2.55,2.6,-6975,-175.25,20975,4725,N,-1275,Y,208.75,212.05,219.95,193.05,0.29
12-11-2024 11:05,30,26.15,21.75,-74200,-1271.4,20350,12475,N,-56050,Y,-0.37,24208,24238,12-11-2024 11:05,6.85,6.7,6.7,19025,-51.2,29575,51350,Y,-28575,Y,46.85,53.7,53.95,46.15,-0.2,12-11-2024 11:05,-21.4,-20.5,-20.55,-36750,-177.9,23975,-12600,YES,16500,N,213.8,192.4,218.85,192.4,0.18
12-11-2024 11:10,-12.95,-18,-13.3,-10450,-1223.75,15350,-14475,YES,16775,YES,-0.22,24239,24226.05,12-11-2024 11:10,-7,-7.05,-7,-33425,-52.4,28225,-22275,YES,80375,YES,55.3,48.3,55.3,47.95,-0.19,12-11-2024 11:10,14.75,14,13.95,-13125,-169.5,23350,17700,Y,5800,N,189,203.75,205,189,0.08
12-11-2024 11:15,-18,-18.25,-21.9,45825,-953.75,16575,5275,N,-1600,Y,-0.6,24221,24203,12-11-2024 11:15,-3.45,-3.25,-3.25,-30150,-51.05,29050,19625,Y,36875,N,48.25,44.8,50.8,43.3,-0.34,12-11-2024 11:15,14.15,14.65,14.8,17900,-180.85,22350,-4525,YES,-17500,Y,204.35,218.5,225,196.55,0.58
12-11-2024 11:20,30,31,29.55,-50150,-826.25,26925,10500,N,-29075,Y,-0.42,24203,24233,12-11-2024 11:20,6,6,6,-119325,-47.85,31550,67850,Y,850,Y,44.9,50.9,52.1,44.45,-0.25,12-11-2024 11:20,-24.1,-24.5,-24.65,-25425,-170.65,21175,-2725,N,8200,YES,218.5,194.4,220.75,191.3,0.23
12-11-2024 11:25,-24,-20.1,-20.55,38225,-612.35,11600,7000,N,-225,YES,-0.2,24233,24209,12-11-2024 11:25,-5.15,-5.35,-5.35,-20350,-47.5,25500,-38925,YES,8325,N,50.5,45.35,50.7,45,-0.2,12-11-2024 11:25,16.1,15.7,15.65,5475,-156.35,23100,-675,N,-5750,Y,195.45,211.55,212,195.1,0.14
12-11-2024 11:30,10.85,8.85,7.5,5525,-919.6,17750,41975,Y,-7525,Y,-0.47,24205.15,24216,12-11-2024 11:30,1.85,1.75,1.8,137500,-49.4,29550,19250,Y,19300,N,45.4,47.25,49.2,44.6,-0.22,12-11-2024 11:30,-5.85,-6.05,-5.95,-875,-158.3,24100,4975,N,4275,N,212.5,206.65,214.85,199.4,0.15
12-11-2024 11:35,-5.7,-5.6,-10.65,36225,-862.8,13775,575,YES,875,N,-0.2,24216,24210.3,12-11-2024 11:35,-1.95,-1.9,-1.9,-43675,-44.9,39275,-15350,YES,57875,YES,47.35,45.4,49.3,45.3,-0.12,12-11-2024 11:35,5.65,5.9,5.9,13100,-153.35,22600,-8600,YES,2700,Y,206.85,212.5,213.3,199,0.11
12-11-2024 11:40,-9.25,-9.35,-9.45,91425,-601.25,15225,-64450,YES,8850,N,-0.56,24210.2,24200.95,12-11-2024 11:40,-2.6,-2.3,-2.3,-92800,-48.1,32450,-64450,YES,5850,N,45.55,42.95,47.6,41.6,-0.29,12-11-2024 11:40,8.6,10.2,10.4,13925,-169.9,22800,700,N,23375,YES,212.4,221,228.8,203.85,0.36
12-11-2024 11:45,9.05,9.15,10.2,17100,-720.4,11875,6900,Y,11350,N,-0.2,24200.95,24210,12-11-2024 11:45,0.75,0.2,0.15,165850,-47.25,31425,6575,Y,17275,N,42.9,43.65,47,41.45,-0.24,12-11-2024 11:45,-6.95,-6.95,-6.95,-10225,-168.75,21525,1975,N,-28675,Y,221.25,214.3,229.9,202.65,0.26
12-11-2024 11:50,6.5,6,4.75,-1725,-725.95,11000,425,YES,4275,N,-0.1,24210,24216.5,12-11-2024 11:50,1.75,1.8,1.8,85300,-46.8,32050,85975,Y,9725,N,43.65,45.4,46.5,42.5,-0.13,12-11-2024 11:50,-6.2,-6.05,-6.05,-11200,-175.25,22200,-1725,YES,4600,YES,214.2,208,220.35,204.15,0.18
12-11-2024 11:55,-12.55,-13.45,-12.5,3575,-578.35,12175,1500,N,-25625,Y,-0.15,24216.5,24203.95,12-11-2024 11:55,-1.55,-1.3,-1.35,7575,-47.05,31675,49800,N,-30725,Y,45.5,43.95,48.95,43.1,-0.15,12-11-2024 11:55,9.15,9.15,9.3,6400,-154.65,22700,-5775,YES,37550,YES,208.5,217.65,222,197.3,0.18
12-11-2024 12:00,4.65,5.65,1.3,21600,-562.65,13650,1050,YES,6175,YES,-0.12,24204,24208.65,12-11-2024 12:00,0.1,-0.05,0,128125,-43.9,30950,-55125,YES,14400,YES,44.05,44.15,44.4,42.5,-0.14,12-11-2024 12:00,-2.8,-1.55,-1.3,29450,-156.25,20900,9200,N,4825,N,217.65,214.85,222,214.55,0.16
12-11-2024 12:05,-7.95,-3.8,-8.55,99275,-751.7,12175,145075,Y,10025,N,-0.19,24208.65,24200.7,12-11-2024 12:05,-1.25,-1.35,-1.25,34950,-46.2,35400,28150,Y,18525,N,44.1,42.85,45.6,42.3,-0.15,12-11-2024 12:05,6.8,6,6.2,-7625,-158.05,22525,2725,YES,375,Y,214.85,221.65,223.2,209.25,0.16
12-11-2024 12:10,-18.85,-21.05,-18.25,11225,-853.9,14350,-19050,YES,-26425,Y,-2,24202.7,24183.85,12-11-2024 12:10,-1.6,-1.4,-1.45,-70300,-44.3,35650,-140700,YES,10500,N,42.6,41,45.1,39.05,-0.4,12-11-2024 12:10,13.65,12.1,12.25,-5850,-187.35,20875,9375,N,-56075,Y,222.1,235.75,244.8,210.3,0.85
12-11-2024 12:15,26.4,24.85,20.95,-31975,-1047.85,11875,-7075,N,5375,YES,-0.53,24177.6,24204,12-11-2024 12:15,2.95,3.15,3.15,-64175,-45.45,35725,32900,Y,-17000,Y,41.05,44,44.7,40.6,-0.23,12-11-2024 12:15,-17.35,-18.1,-18.15,-10525,-196.5,27325,-2475,YES,7250,YES,235.35,218,237.9,215.1,0.44
12-11-2024 12:20,0.3,-6.35,-2.2,5775,-867.85,10550,46575,Y,9125,N,-0.18,24202.1,24202.4,12-11-2024 12:20,-0.55,-0.4,-0.4,-125675,-47.15,41700,32250,N,1325,N,43.55,43,46,42.25,-0.21,12-11-2024 12:20,1.45,1.75,1.8,-2075,-183.15,24850,2125,N,11075,N,220.5,221.95,226.3,210.75,0.34
12-11-2024 12:25,-26.6,-21.95,-23.2,40050,-1070.15,14175,-10600,YES,4775,N,-0.79,24202.4,24175.8,12-11-2024 12:25,-2.45,-2.6,-2.6,-85450,-45.05,42600,-49675,YES,60300,YES,42.9,40.45,43.7,39.05,-0.31,12-11-2024 12:25,14.4,14.1,14.1,-10550,-184.95,25200,4200,N,-5025,Y,222.4,236.8,243.5,218.3,0.58
12-11-2024 12:30,4.25,5,5,8550,-1017.2,11600,13050,Y,-1275,Y,-0.8,24175.8,24180.05,12-11-2024 12:30,0.15,0.2,0.2,-28525,-43,30650,81450,Y,-41850,Y,40.3,40.45,43.15,38.7,-0.23,12-11-2024 12:30,-4.85,-4,-3.9,-17850,-199.7,23200,-600,YES,575,N,238.8,233.95,245.1,223,0.6
12-11-2024 12:35,-1.6,1.45,-1.6,300,-896.05,13100,850,YES,14425,N,-0.34,24185,24183.4,12-11-2024 12:35,-0.7,-0.85,-0.8,-10825,-42.85,31450,-66075,YES,-23625,N,40.5,39.8,42.35,39.1,-0.15,12-11-2024 12:35,3.6,3.45,3.25,-25700,-199.4,23425,-2150,YES,2425,N,233.85,237.45,240.05,224.35,0.34
12-11-2024 12:40,-45.55,-51,-48.4,29325,-1201.7,18225,-425,YES,-5325,Y,-6.81,24181.45,24135.9,12-11-2024 12:40,-7.35,-7.5,-7.45,-11300,-41.2,30700,-160550,YES,-24100,Y,39.7,32.35,39.9,31.6,-1.15,12-11-2024 12:40,40.3,41.4,41.6,4600,-246.25,21175,-4350,YES,-33625,Y,236.8,277.1,286.45,236.65,2.3
12-11-2024 12:45,-60.9,-56.45,-58.2,39475,-981,17675,-77000,YES,-40775,Y,-10.41,24135.9,24075,12-11-2024 12:45,-3,-3.05,-3.05,-120400,-36.4,28975,-84375,Y,-31350,Y,32.3,29.3,33,28.55,-0.93,12-11-2024 12:45,50.25,51.05,50.95,6650,-256.6,25850,-10950,YES,-69700,Y,278.4,328.65,337.5,275,3.25
12-11-2024 12:50,21.95,16.3,17.35,53450,-1092.9,20925,17050,Y,20675,YES,-6.49,24073,24094.95,12-11-2024 12:50,-0.2,-0.1,-0.1,-66325,-37.55,33950,1575,Y,7200,YES,29.25,29.05,31,27.75,-0.73,12-11-2024 12:50,-12.4,-12.6,-13.05,18300,-311.3,35200,-2350,N,23050,YES,329,316.6,332.1,300.85,2.84
12-11-2024 12:55,1.05,-5.2,-4.7,36800,-1091.5,16300,-6500,YES,-16400,Y,-6.54,24090.4,24091.45,12-11-2024 12:55,-0.6,-0.6,-0.55,-8950,-38.35,29675,32725,Y,22425,N,29.2,28.6,30.3,26.35,-0.54,12-11-2024 12:55,3.85,3.85,3.95,6475,-306.1,23650,-4425,YES,-3600,Y,315.55,319.4,345.55,307.45,1.62
12-11-2024 13:00,16,22.4,18,-46850,-1052.05,18675,25875,Y,13900,YES,-3.84,24092,24108,12-11-2024 13:00,1.15,1.45,1.4,-15175,-38.05,30975,400,YES,-29925,Y,28.65,29.8,31.55,27.5,-0.52,12-11-2024 13:00,-16.1,-17.1,-17.4,-6200,-298.8,25400,-625,N,3100,N,319.15,303.05,328.3,288.85,1.15
12-11-2024 13:05,-16.4,-15.85,-15.65,-93700,-701.35,15400,20375,N,925,Y,-1.23,24108,24091.6,12-11-2024 13:05,-2.4,-2.4,-2.4,-1575,-37.55,30825,10625,N,-12050,N,29.9,27.5,30.1,26.4,-0.35,12-11-2024 13:05,9.7,8.65,8.65,14825,-265.55,25575,675,N,5950,N,302.15,311.85,320.1,297.3,0.61
12-11-2024 13:10,-13.4,-13.75,-12.25,30500,-925.55,17925,-11375,YES,425,Y,-2.01,24091.6,24078.2,12-11-2024 13:10,-0.55,-0.35,-0.35,-13750,-37,32600,16375,N,3600,N,27.35,26.8,28.15,26.2,-0.3,12-11-2024 13:10,16.4,14.2,14.45,10775,-266.4,20575,4775,N,-4825,Y,311.7,328.1,334.6,309.25,0.92
12-11-2024 13:15,-28.65,-32.6,-29.85,47200,-934,16750,2300,N,12250,N,-7.03,24072.65,24044,12-11-2024 13:15,-3.6,-3.7,-3.75,19850,-34.1,34650,-62275,YES,-45750,Y,26.7,23.1,26.75,21.7,-0.81,12-11-2024 13:15,29,28.25,28.5,-600,-388.65,25175,-5450,YES,-6775,Y,328.1,357.1,375,326.9,1.61
12-11-2024 13:20,17.95,18.6,18.35,69900,-839,20875,26825,Y,-6225,Y,-3.89,24042,24059.95,12-11-2024 13:20,0.75,0.55,0.6,34025,-33.6,35850,10375,Y,-50,YES,22.85,23.6,25.4,22.85,-0.36,12-11-2024 13:20,-15.5,-16.35,-17,5950,-316.9,26125,2750,N,18275,YES,357.7,342.2,360.15,330.25,0.86
12-11-2024 13:25,-5.75,-8.95,-7.6,24200,-1147.45,18875,-11100,YES,30275,YES,-1.89,24058.9,24053.15,12-11-2024 13:25,-1.2,-1.15,-1.15,52550,-30.1,40775,-8950,YES,17500,N,23.7,22.5,23.8,22.3,-0.27,12-11-2024 13:25,10.5,11.2,11.45,23600,-311.25,25325,-400,YES,-2700,Y,341.15,351.65,357.95,340,0.83
12-11-2024 13:30,-30,-27.25,-26.95,56125,-761.45,18025,-24475,YES,-64425,Y,-2.57,24051,24021,12-11-2024 13:30,-3.2,-3.15,-3.2,7000,-29.75,45050,-34225,YES,59350,YES,22.35,19.15,22.65,19.15,-0.48,12-11-2024 13:30,26.1,25.85,25.6,-10900,-337.25,24325,-3600,YES,-6250,Y,351.4,377.5,378.65,343.65,0.81
12-11-2024 13:35,-8.15,-7,-8.45,768850,-695.8,27700,-38200,YES,-27925,YES,-7.57,24025.7,24017.55,12-11-2024 13:35,-0.3,-0.4,-0.4,-80675,-28.55,41500,40525,Y,-36125,Y,19.15,18.85,19.25,17.4,-0.66,12-11-2024 13:35,5.1,3.75,3.65,7075,-391.6,25250,-2700,N,4675,N,376.9,382,394.1,367.75,1.31
12-11-2024 13:40,-11.25,-7.1,-11.25,-260575,-611.2,22450,-26300,N,3600,YES,-8.21,24017.35,24006.1,12-11-2024 13:40,0.2,0.2,0.2,-168075,-27.95,40625,-18750,YES,-6675,YES,18.8,19,19.8,17.8,-0.5,12-11-2024 13:40,4.1,2.4,2.65,-16900,-368.9,21400,-1100,N,-11025,Y,382,386.1,399.5,373.55,0.86
12-11-2024 13:45,23.9,23.3,20,-43250,-1055.1,22125,-4425,Y,40850,YES,-4.35,24006.1,24030,12-11-2024 13:45,2.05,2.25,2.25,-187950,-34.3,38500,21050,Y,-26150,Y,19.05,21.1,24.5,18.75,-0.5,12-11-2024 13:45,-18.2,-20.85,-20.5,-7425,-378.1,23675,-1200,YES,-825,N,386.3,368.1,388.7,334.6,0.69
12-11-2024 13:50,12.9,13.3,15.45,-17450,-1195.45,17800,-33000,YES,11650,N,-1.82,24030,24042.9,12-11-2024 13:50,1.5,1.75,1.75,-143050,-32.65,40550,48925,Y,800,YES,21.3,22.8,23.25,20,-0.29,12-11-2024 13:50,-17.45,-16.3,-16.4,-7850,-356.3,21125,-2325,YES,100,N,370,352.55,381,351.55,0.49
12-11-2024 13:55,-7.7,-15.75,-11.25,192850,-1046.1,21125,975,Y,4450,N,-1.65,24042.9,24035.2,12-11-2024 13:55,-2.25,-2.3,-2.3,-148400,-32.4,44975,15500,N,52775,YES,23.05,20.8,24,20.3,-0.24,12-11-2024 13:55,13.1,14.2,14.3,-43075,-320.3,21375,3200,N,-2300,Y,353.5,366.6,371,343.9,0.33
12-11-2024 14:00,-5.7,-5.35,-6,54825,-997.5,11125,-11475,YES,14625,N,-0.8,24030.7,24025,12-11-2024 14:00,-0.75,-0.55,-0.55,-204825,-31.3,42300,26775,N,17375,N,21,20.25,21.55,19.95,-0.17,12-11-2024 14:00,6.55,8.75,8.85,-7425,-318.25,15600,4400,N,4000,N,367.2,373.75,376.55,360,0.52
12-11-2024 14:05,0.15,0.25,1.25,8525,-1141.6,12925,1225,N,-62850,Y,-0.95,24025,24025.15,12-11-2024 14:05,0.1,0.1,0.1,18350,-32.85,36975,25200,N,-3500,Y,20.35,20.45,23.25,20,-0.19,12-11-2024 14:05,-4.25,-6.65,-6.75,1650,-322.6,21850,-10425,YES,2975,Y,371.85,367.6,375.95,342.75,0.77
12-11-2024 14:10,1.1,-2.8,1.8,-7625,-943.3,15375,2875,N,41350,YES,-0.79,24025.15,24026.25,12-11-2024 14:10,-0.25,-0.4,-0.45,-135350,-30.35,40700,-800,YES,-4200,Y,20.5,20.25,22.25,20.05,-0.2,12-11-2024 14:10,-1.7,0.65,0.75,-3250,-297.8,22200,-2850,N,-550,Y,367.6,365.9,373,348.45,0.31
12-11-2024 14:15,18,12.4,12.9,-35075,-1003.65,14975,3100,N,6950,N,-1.22,24026.25,24044.25,12-11-2024 14:15,0.4,0.4,0.4,11675,-30.35,34125,11300,N,-27700,Y,20.25,20.65,20.7,18.75,-0.26,12-11-2024 14:15,-9.2,-10.6,-10.65,-1300,-316.2,18525,3300,N,4600,N,365.9,356.7,383.9,354.05,1.07
12-11-2024 14:20,-0.45,5.15,4.6,4125,-959,12475,9225,N,5700,N,-0.88,24044.25,24043.8,12-11-2024 14:20,0.05,0,0,-40025,-34,40550,28900,N,32175,YES,20.7,20.75,22.65,20.2,-0.19,12-11-2024 14:20,-7.55,-6.8,-6.85,-22700,-299.85,19275,-3000,YES,1350,Y,356.7,349.15,360.75,336,0.26
12-11-2024 14:25,-33.75,-33.75,-36.15,85200,-1032.35,18975,-41325,YES,30825,YES,-2.2,24043.75,24010,12-11-2024 14:25,-1.3,-1.25,-1.2,66950,-30.9,42850,18275,N,15550,N,20.7,19.4,21.65,18.4,-0.36,12-11-2024 14:25,33.9,32.2,32.35,-6500,-319.75,24425,-5250,YES,1975,N,348.55,382.45,390.7,342.8,0.66
12-11-2024 14:30,45,45,44.05,18175,-971.35,20925,44775,Y,-10775,Y,-1.46,24010,24055,12-11-2024 14:30,2.6,2.6,2.6,-4150,-32.6,44100,-12800,YES,-30725,Y,19.45,22.05,23.55,19.25,-0.28,12-11-2024 14:30,-39,-38.1,-38.3,-25025,-341.05,23275,7075,N,5150,N,382.45,343.45,385,330,0.48
12-11-2024 14:35,-22,-20,-20.4,-11625,-1064.55,15475,7525,N,-9175,N,-1.44,24051,24029,12-11-2024 14:35,-2.15,-2,-2,-37750,-33.05,36700,-7600,N,-23525,N,22.1,19.95,23.9,19.8,-0.28,12-11-2024 14:35,20.9,20.9,21.5,-5700,-330.8,27775,-2700,YES,-3200,Y,343.05,363.95,366.65,324,0.62
12-11-2024 14:40,3.75,2,-0.05,12300,-1145.05,12400,18600,N,5575,N,-1,24029,24032.75,12-11-2024 14:40,0.55,0.3,0.35,-252650,-31.8,38100,31850,Y,2975,YES,19.85,20.4,20.55,19.05,-0.19,12-11-2024 14:40,-6.85,-4.2,-4.15,5125,-326.75,19075,2950,N,14625,N,365.85,359,373.3,356.2,0.22
12-11-2024 14:45,-3.55,2.05,3.95,12225,-1094.15,11950,-17550,YES,54000,YES,-0.89,24034.7,24031.15,12-11-2024 14:45,-0.65,-0.75,-0.75,-29625,-32.5,44300,-32625,YES,45375,YES,20.55,19.9,21.75,19.55,-0.18,12-11-2024 14:45,0,-0.65,-0.9,11800,-329.1,19325,2800,YES,1050,Y,358,358,362.45,344,0.18
12-11-2024 14:50,-7.15,-8.9,-13.9,30525,-1163.1,17250,-2800,N,7275,N,-0.8,24031.15,24024,12-11-2024 14:50,-1.3,-1.55,-1.55,264275,-30.2,37850,-33075,YES,22675,N,19.9,18.6,20.75,18.2,-0.21,12-11-2024 14:50,5.85,7.25,7.15,14100,-288.8,21075,-1075,YES,950,Y,358,363.85,370.05,348,0.18
12-11-2024 14:55,-16.95,-15.2,-16,-26800,-1272.8,10950,-13500,YES,4250,N,-1.34,24024.95,24008,12-11-2024 14:55,-1.95,-2,-2,233475,-30.9,45350,-73025,YES,6850,N,18.55,16.6,18.95,16.5,-0.21,12-11-2024 14:55,21.5,19.6,19.9,18400,-314.9,15600,25,N,-3275,Y,363.85,385.35,385.35,354.1,0.23
12-11-2024 15:00,-9.1,-10.95,-11.05,94425,-861,16600,1125,N,-15575,Y,-3.42,24008,23998.9,12-11-2024 15:00,-0.3,-0.4,-0.35,-31575,-27.15,36450,61325,Y,-142600,Y,16.6,16.3,17.6,15.5,-0.32,12-11-2024 15:00,-0.35,-0.55,-0.8,11175,-398.05,23000,-18500,YES,-800,N,383.65,383.3,395.9,369.25,0.55
