last_traded_time,ltp,bid_price,ask_price,bid_ask_pr_diff_1,bid_size1,ask_size1,volume_1,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_1,low_1,open_1,close_1,ltp,bid_price,ask_price,bid_ask_pr_diff_2,bid_size2,ask_size2,volume_2,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_2,low_2,open_2,close_2,ltp,bid_price,ask_price,bid_ask_pr_diff_3,bid_size3,ask_size3,volume_3,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_3,low_3,open_3,close_3,ltp,bid_price,ask_price,bid_ask_pr_diff_4,bid_size4,ask_size4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_4,low_4,open_4,close_4,final_signal,result,datetime,open,high,low,close
01-04-2025 09:15,25.95,25.55,15.7,9.85,192450,162600,445800,218775,N,159375,N,23554.9,23492.9,23506.05,23532,-2.15,-2.15,-3.2,1.05,658500,670650,5064225,4057950,N,446775,N,30,21.7,25,22.85,-11,-10.95,-14.75,3.8,141600,110175,645525,1213575,N,54075,N,330.2,275.5,302.6,291.6,114.95,114.95,88.05,26.9,116070,36090,94950,62700,N,37740,N,51770.95,51542.6,51542.6,51657.55,no signal,win,01-04-2025 09:15,23341.1,23450.95,23339.1,23420.55
01-04-2025 09:20,18.7,15.75,16.8,1.05,154950,120825,145950,41100,N,23175,N,23566.45,23525,23531.3,23550,2.25,2.75,2.75,0,820050,835800,3392850,-1726650,YES,60225,N,30.2,21.7,22.5,24.75,-13.3,-16.95,-16.95,5.68E-14,114525,115275,294750,3525,N,12225,N,297.65,265.5,294.55,281.25,0,5,12.6,7.6,48090,22890,33750,6900,N,8010,N,51730.05,51625.05,51655,51655,no signal,win,01-04-2025 09:20,23417.1,23467.1,23410.25,23436.5
01-04-2025 09:25,40.35,38.3,39,0.7,168525,168225,182925,28425,N,-4425,Y,23589.85,23537.05,23545,23585.35,5.7,5.85,5.8,0.05,1035525,1145400,3200625,30600,Y,-29325,Y,32.45,23.85,24.7,30.4,-33.35,-33.25,-33.45,0.2,83025,87525,234825,-13350,Y,13875,N,284.3,244.95,281.35,248,66.9,77,71.8,5.2,19440,28260,27570,10110,N,6450,N,51796.1,51640,51665.1,51732,BUY,win,01-04-2025 09:25,23434.45,23481.45,23426.5,23471.45
01-04-2025 09:30,33.65,34.65,35,0.35,92850,99825,234300,14250,N,9375,N,23620.4,23575.25,23585.35,23619,11.05,10.65,10.75,0.1,705075,775575,3074250,28350,N,-62475,Y,41.55,29.15,30.5,41.55,-27.3,-26,-26,0,77250,60600,290475,-17700,Y,5250,N,254,220.15,248.3,221,18,10.1,14,3.9,16290,32640,12810,9810,N,16470,N,51761.55,51679.95,51732,51750,no signal,win,01-04-2025 09:30,23472.7,23518.45,23467.2,23514.4
01-04-2025 09:55,0,-2,0.9,2.9,182475,127350,79800,1425,YES,49350,YES,23646.35,23617.1,23630,23630,-0.9,-1.1,-1.1,0,838650,765150,1745100,60150,Y,31650,YES,43.3,36.1,39.9,39,1.85,2.2,2.25,0.05,77700,80025,508500,-20850,Y,10950,N,226.1,202.1,211.85,213.7,8.9,-5.05,0.25,5.3,20970,26010,9870,7380,N,1830,N,51888,51840.3,51866.85,51875.75,no signal,neutral,01-04-2025 09:55,23525,23526.5,23492.75,23514.85
01-04-2025 10:00,-36.75,-31.9,-30.95,0.95,227925,204300,99750,-2625,YES,62550,N,23643.1,23590,23630,23593.25,15.45,15.25,15.3,0.05,803475,756150,19753125,-3268425,YES,255600,YES,56.75,29.85,38.75,54.2,-44,-43.35,-43.45,0.1,105750,121800,15869400,256425,YES,158550,Y,250.95,162.3,213.1,169.1,-138.15,-121.45,-133.3,11.85,25950,61290,21780,-8220,N,5100,N,51880,51715.6,51874.15,51736,SELL,reverse,01-04-2025 10:00,23513.9,23523.4,23466.1,23479.6
01-04-2025 10:05,-10.25,-10.4,-13.9,3.5,201075,214575,81075,-2250,N,25425,N,23611.85,23582.3,23593.25,23583,-4.5,-4.45,-4.4,0.05,526800,530400,2664675,5775,Y,82500,N,58.3,49.65,54.35,49.85,6.6,6.1,6.15,0.05,187125,164325,1588275,20850,N,20850,N,176.25,158,168.4,175,-54.9,-54.95,-55.3,0.35,99180,42540,20340,-5130,N,-5640,N,51765,51681.05,51736,51681.1,no signal,exc_loss,01-04-2025 10:05,23479.1,23496.7,23458.15,23462.65
01-04-2025 10:10,-8,-7.9,-6.45,1.45,159600,202575,76200,-48375,YES,2550,Y,23600,23575,23583,23575,-4.2,-4.15,-4.15,0,566250,563175,2697075,-1575,YES,93375,N,52.9,44.85,49.1,44.9,4.1,3.5,3.6,0.1,129225,164775,1456275,-6975,Y,-3375,YES,182.75,165,175.85,179.95,-31,-31.1,-38.05,6.95,46440,25200,19470,-14370,N,-6720,N,51725,51650,51681,51650,SELL,reverse,01-04-2025 10:10,23462.75,23475.7,23448.2,23456.1
01-04-2025 10:15,35,32.2,32.25,0.05,260400,163050,96375,42750,Y,-18675,Y,23612,23570,23575,23610,9.85,10.15,10.15,7.11E-15,706500,635850,2790300,135975,Y,-53550,Y,55.4,43.95,44.55,54.4,-26.35,-25.95,-25.95,2.84E-14,209850,154500,1209300,-35700,Y,46350,Y,181.6,152.9,181,154.65,92.4,92.45,86.8,5.65,19500,25860,14670,22230,N,510,N,51738,51625.55,51639.15,51731.55,BUY,reverse,01-04-2025 10:15,23455.6,23481.7,23450.7,23480.15
01-04-2025 10:20,-97.2,-96.15,-97.6,1.45,623775,107400,225300,-111375,YES,18150,YES,23613.95,23511,23608.2,23511,-24.1,-23.45,-23.55,0.1,544725,602400,4970550,-243750,YES,61050,YES,55.25,30.75,54.85,30.75,82.35,80.65,80.85,0.2,130500,168900,2484300,-21375,N,-240525,YES,237.3,154.35,154.7,237.05,-172.85,-173.05,-173.7,0.65,39690,33810,33540,-31590,N,3060,N,51737,51561.15,51737,51564.15,SELL,open_win,01-04-2025 10:20,23480.4,23483.7,23374.85,23374.85
01-04-2025 10:25,-55.45,-58.95,-56.15,2.8,174150,76275,631650,-40275,Y,60525,YES,23525.95,23451.05,23510.25,23454.8,-8.1,-8.15,-8.15,3.55E-15,1115025,1218675,6916950,2657475,Y,179100,YES,32.2,22.25,30.7,22.6,49.4,49,48.7,0.3,129000,139350,1897500,-46725,Y,-14850,Y,287.9,227.75,236.65,286.05,-180.1,-161,-159.9,1.1,96720,44400,80520,-23940,N,9450,N,51593.2,51384,51564.1,51384,BUY,reverse,01-04-2025 10:25,23372.95,23380.2,23296.9,23307.2
01-04-2025 10:30,-9,-10.55,-13.3,2.75,139875,76875,330825,-13950,Y,14850,N,23470.1,23430,23452.1,23443.1,-1.55,-1.3,-1.3,3.55E-15,1654200,1403625,5740575,135525,N,106575,N,24.7,19.95,22.9,21.35,13.55,12.7,12.3,0.4,113475,104625,883875,-56925,Y,-6075,N,307.45,272,285.6,299.15,-55.8,-53,-56.75,3.75,70890,45540,81660,-12270,N,-1620,N,51432.9,51320.1,51390,51334.2,no signal,reverse,01-04-2025 10:30,23306.15,23323.4,23276.1,23289.35
01-04-2025 10:35,22.9,23.75,26.7,2.95,105225,82875,209550,17850,Y,-2550,Y,23473.85,23440,23443.1,23466,2.95,3.1,3.05,0.05,2240400,1722975,2888625,53775,N,-29475,Y,25.15,20.75,21.25,24.2,-30.45,-28.65,-28.4,0.25,103650,97200,511425,-12675,YES,2100,N,300.3,263.45,299.9,269.45,77.6,71,75.85,4.85,70080,28050,36330,5970,N,1170,N,51428.35,51318.45,51331,51408.6,BUY,exc_loss,01-04-2025 10:35,23288.4,23324.15,23285.85,23315.55
01-04-2025 10:40,6.25,3.35,1.6,1.75,187275,106275,136425,10500,N,15300,N,23474.9,23450,23466.15,23472.4,0.85,0.7,0.75,0.05,2352750,2272425,2326125,66375,N,67425,YES,25.8,22.45,24.25,25.1,0.4,0.95,1.05,0.1,99975,90525,251400,-40875,Y,2175,N,287.55,264.1,270,270.4,39.8,46,36.3,9.7,55410,36390,23220,21930,N,-2880,N,51450.05,51381,51410,51449.8,no signal,exc_loss,01-04-2025 10:40,23316.05,23324.65,23298.65,23319.95
01-04-2025 10:45,-14.3,-11.3,-12.15,0.85,135675,83700,103800,42450,Y,5550,N,23489,23458.1,23472.4,23458.1,-1.45,-1.35,-1.4,0.05,2206875,2093775,2435400,-67275,YES,88125,YES,27.9,23.5,24.95,23.5,11.9,11.9,11.85,0.05,94800,96900,346050,-4575,YES,-10575,YES,285,253.3,271.4,283.3,-56.75,-54.75,-54.1,0.65,30120,25710,15660,-6180,N,9480,N,51488,51385.25,51442,51385.25,SELL,win,01-04-2025 10:45,23320.65,23339.35,23307.4,23307.4
01-04-2025 10:50,-0.4,3.5,-0.4,3.9,109725,77475,136425,7275,N,825,Y,23461,23445,23458.1,23457.7,0.2,-0.15,-0.1,0.05,2156175,2062725,1740675,63450,Y,-1050,Y,24.6,21.9,23.4,23.6,3.95,4.15,4.1,0.05,111750,87300,295950,-1800,N,13800,Y,296.6,279.5,282.65,286.6,-8.8,-8.75,-14.4,5.65,28230,32100,17970,10500,N,2640,N,51395.25,51350,51385.25,51376.45,BUY,reverse,01-04-2025 10:50,23307.15,23311.9,23293.85,23305.3
01-04-2025 10:55,-54.15,-53.95,-53.75,0.2,232800,82350,364575,-50400,YES,15300,N,23459.5,23390.05,23457.7,23403.55,-5.6,-5.6,-5.65,0.05,2458200,2273325,4908000,-327450,YES,154800,YES,24.05,17.35,23.6,18,56.55,56.45,56.6,0.15,90825,86475,690675,-13800,Y,-40950,YES,352.3,284.2,286.75,343.3,-185.85,-190,-187.8,2.2,176700,40410,89040,-25020,N,24630,N,51376.45,51180.9,51376.45,51190.6,SELL,exc_loss,01-04-2025 10:55,23304.45,23309.2,23236.45,23243.15
01-04-2025 11:00,-19.4,-19.55,-17.25,2.3,120225,103275,220500,-25500,Y,16050,N,23409.4,23384,23403.55,23384.15,-1.7,-1.65,-1.65,3.55E-15,2461875,3234900,2148525,-675,Y,107325,N,18.6,16.15,17.85,16.15,11.2,10.15,10.2,0.05,92025,86925,254700,-8325,N,4875,Y,355.25,330.45,343.75,354.95,-53.5,-53.5,-56.9,3.4,68280,187500,62160,-1080,N,2250,N,51208.95,51130,51185,51131.5,BUY,reverse,01-04-2025 11:00,23243.5,23255.7,23227.45,23228.45
01-04-2025 11:05,-2.15,-3.9,-3.5,0.4,344925,112425,153600,5025,Y,525,Y,23396.1,23380,23384.15,23382,0.45,0.65,0.65,3.55E-15,3935325,1677750,5008275,90375,Y,-136200,Y,17.65,15.85,16.1,16.55,3.9,3.05,3.35,0.3,91350,80925,193725,-4575,N,7125,N,361,344.25,356,359.9,-1.55,-0.05,1.2,1.25,22800,23520,31890,7890,N,-9210,N,51187.95,51125,51131.5,51129.95,BUY,reverse,01-04-2025 11:05,23230.35,23240.75,23224.7,23226.4
01-04-2025 11:10,-3.1,-1.4,-3.1,1.7,174525,80025,146175,3900,N,15375,N,23400.5,23370.1,23382,23378.9,-0.9,-0.8,-0.85,0.05,3794175,2939175,1657725,-69975,YES,91050,YES,18.05,15.75,16.65,15.75,-1.8,-2.2,-2.25,0.05,80175,94875,183000,-10500,Y,-11775,YES,370.85,341.8,360.8,359,50.3,51.15,48.05,3.1,32850,21450,37890,-6540,N,-13380,N,51226.65,51120.5,51129.95,51180.25,SELL,reverse,01-04-2025 11:10,23227.2,23250.45,23221.15,23228.95
